ORF	hom | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | Nannocystin A [75 uM] | Krastel P~Hoepfner D, 2015
YAL001C	-4.293	0.693
YAL002W	-22.289	-0.468
YAL003W	NaN	-16.033
YAL004W	-0.342	1.153
YAL005C	-0.051	-16.448
YAL007C	-0.022	0.465
YAL008W	0.306	-0.327
YAL009W	-4.909	-1.067
YAL010C	NaN	-0.643
YAL011W	-3.967	1.144
YAL012W	NaN	-0.111
YAL013W	-2.737	1.213
YAL014C	-1.846	-1.369
YAL015C	-0.187	1.765
YAL016W	NaN	0.175
YAL017W	-0.072	0.274
YAL018C	0.044	-0.024
YAL019W	0.091	0.806
YAL020C	1.359	0.641
YAL021C	-10.229	2.726
YAL022C	-0.049	0.412
YAL023C	-15.912	-2.984
YAL024C	-0.540	-0.516
YAL025C	NaN	1.584
YAL026C	-9.356	-0.022
YAL027W	-0.152	0.616
YAL028W	-0.292	-2.216
YAL029C	1.447	1.977
YAL030W	-0.045	-0.022
YAL031C	0.066	0.070
YAL032C	NaN	-0.865
YAL033W	NaN	1.855
YAL034C	0.602	2.219
YAL034C-B	NaN	-2.032
YAL034W-A	NaN	-0.474
YAL035W	2.913	-9.529
YAL036C	-0.255	0.018
YAL037W	-0.609	0.362
YAL038W	NaN	1.625
YAL039C	1.257	0.639
YAL040C	-2.815	-0.199
YAL041W	NaN	1.969
YAL042C-A	-1.056	0.234
YAL042W	-1.042	-1.361
YAL043C	NaN	0.197
YAL044C	1.667	-2.180
YAL045C	0.439	3.152
YAL046C	0.331	0.025
YAL047C	-2.050	0.969
YAL048C	0.259	0.205
YAL049C	1.376	0.095
YAL051W	0.414	0.485
YAL053W	-2.492	-0.041
YAL054C	0.404	-0.187
YAL055W	0.596	-0.014
YAL056C-A	-4.977	0.668
YAL056W	0.317	1.103
YAL058W	-5.078	0.367
YAL059W	0.453	0.004
YAL060W	0.436	0.160
YAL061W	0.044	0.441
YAL062W	0.230	0.152
YAL064C-A	0.219	0.099
YAL065C	0.296	0.576
YAL066W	1.043	1.420
YAL067C	0.304	1.905
YAL068C	0.603	0.809
YAR002C-A	-0.063	-0.029
YAR002W	-1.090	-16.006
YAR003W	-0.049	0.024
YAR007C	NaN	-0.007
YAR008W	NaN	2.550
YAR014C	-5.869	-0.253
YAR015W	NaN	-1.272
YAR018C	-4.829	-7.033
YAR019C	NaN	0.331
YAR020C	-0.264	-0.668
YAR023C	-0.010	0.546
YAR027W	-0.390	0.513
YAR028W	0.795	-0.056
YAR029W	0.625	0.049
YAR030C	0.124	0.996
YAR031W	-0.794	-0.120
YAR035W	0.088	0.093
YAR040C	0.218	-0.061
YAR042W	-2.574	0.017
YAR043C	-0.687	-0.584
YAR047C	0.188	-12.886
YAR050W	0.418	0.069
YBL001C	-0.454	7.553
YBL002W	-0.475	7.231
YBL003C	0.177	NaN
YBL004W	NaN	0.816
YBL005W	-0.017	NaN
YBL006C	0.737	0.621
YBL007C	-8.084	-0.626
YBL008W	0.830	0.082
YBL009W	-0.097	-0.165
YBL010C	-1.554	0.003
YBL011W	0.905	11.441
YBL012C	0.420	1.000
YBL013W	0.741	2.145
YBL015W	-0.011	-0.610
YBL016W	NaN	0.051
YBL017C	-1.407	-0.079
YBL018C	NaN	0.381
YBL019W	0.419	-0.103
YBL020W	NaN	-0.008
YBL022C	-4.017	NaN
YBL023C	NaN	-9.994
