orf	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019
YAL012W	6.403757456	0.26642441860465116
YAL016W	6.279963888899999	0.457536682970209
YAL024C	6.962224676	0.29117647058823526
YAL047C	2.0793596158	0.0
YAL054C	6.1887475763	0.44773650172958335
YAL056C-A	6.5638513924	0.45731707317073167
YAL064C-A	4.328120954999999	0.8737634408602151
YAR002C-A	6.5284818018	0.030652979754776166
YAR050W	6.757453362	0.32245179063360885
YBL001C	6.2836870037	0.2755147385572508
YBL002W	6.5480281545	0.0012793176972281423
YBL003C	6.0295844186	0.4631058968817536
YBL005W	5.8908983923	0.28171907094327703
YBL006C	3.4839046740999993	0.12610205717339038
YBL007C	6.3925881116	0.08663366336633664
YBL008W	4.8847266176	0.577934451219512
YBL009W	5.7363891281	0.45724484828817136
YBL010C	5.7568662595	0.5459983831851253
YBL011W	6.5024199982	0.0
YBL012C	5.506486789199999	0.012170385395537522
YBL013W	6.0360998695	0.13215111796453355
YBL015W	5.3864163369	0.223950233281493
YBL016W	7.3140590246	0.01794349707304658
YBL017C	3.425265616	0.364945652173913
YBL019W	3.5630208636	0.2513061650992685
YBL021C	5.686127078299999	0.034866590276641025
YBL022C	3.369418894	0.10055248618784532
YBL024W	6.8291233219	0.0
YBL025W	0.07632385339999999	
YBL027W	6.952916889	0.0
YBL028C	5.190952809900001	0.15169445938676704
YBL029W	4.5133459163	0.1352856259022479
YBL031W	3.8962396381999995	0.13258480649784996
YBL032W	5.0327204309	0.2343258738672091
YBL033C	0.06236217290000004	
YBL036C	4.3346364058999995	0.2581060768735237
YBL037W	4.5552309578	0.2323252962811606
YBL038W	5.6526190451	0.08941215214885558
YBL039C	4.979666045	0.17906542056074767
YBL042C	5.911375523699999	0.0
YBL043W	2.3437007666	0.20691024622716436
YBL044W	3.8692470558999994	0.0
YBL045C	0.0	
YBL046W	4.5068304654	0.1809169764560099
YBL047C	5.6609960534	0.4343965800723446
YBL048W	4.3392902994	0.13449163449163445
YBL049W	4.4807686618	0.13834648940589947
YBL051C	3.7128762343	0.15492604662822765
YBL052C	4.2545894377	0.17370378472981843
YBL053W	4.6054930076	0.08104284559417946
YBL054W	3.7640690627999995	0.20128585558852619
YBL055C	5.407824247000001	0.0378657487091222
YBL056W	3.0659850378	0.4277474195506983
YBL057C	3.2260789742	0.3170802077322562
YBL058W	0.0	
YBL059W	5.0885671529000005	0.1680995061276751
YBL060W	2.677850319899999	0.2978797358359403
YBL061C	3.9492940241	0.08131039358944143
YBL062W	3.8571469327999997	0.11631274131274129
YBL063W	4.74697137	0.360392156862745
YBL064C	3.4541197557	0.27917003503098897
YBL065W	3.6076982412000005	0.2956656346749225
YBL066C	4.4314373907	0.19428691451375762
YBL067C	3.6821605371999993	0.1185540950455005
YBL068W	4.177334805599999	0.10049019607843139
YBL069W	4.6343471473	0.21389837316730267
YBL070C	3.7901308663999997	0.33546168958742634
YBL071C	3.8376005800999997	0.12272617026437062
YBL072C	2.103559862	0.0008849557522124147
YBL075C	4.9442964544	0.2364457831325301
YBL078C	4.7600022718	0.3161908486507626
YBL079W	0.057708279400000034	
YBL080C	6.0202766316	0.011750154607297458
YBL081W	4.2527278803	0.560297658130882
YBL082C	3.9855943934	0.36478281177020083
YBL083C	3.3898960253999997	0.6040637012630422
YBL085W	4.2266660767	0.3880202598546576
YBL086C	4.7953718624	0.4813664596273292
YBL087C	4.8819342815	0.4737845567206863
YBL088C	4.9219577656	0.6280257186081694
YBL089W	4.6520319426	0.5394157663065227
YBL090W	6.0379614269	0.0
YBL091C	5.3463928528	0.49408077994428967
YBL091C-A	5.660065274699999	0.6419996711067258
YBL093C	2.7234584761999994	0.0
YBL094C	6.6196981144	0.0
YBL095W	6.1208007312	0.43491484184914847
YBL096C	3.2688947943999995	0.22465831435079728
YBL098W	4.9005498555	0.10332383665716997
YBL099W	0.0	
YBL100C	0.0	
