ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YPL173W	3.012	0.144
YDR502C	5.631	0.144
YCL051W	4.212	0.143
YDR101C	5.180	0.143
YNL098C	4.680	0.143
YDL044C	5.485	0.143
YDR496C	5.520	0.142
YKL109W	5.076	0.142
YJL172W	5.403	0.295
YNL070W	5.001	0.142
YHR199C	4.901	0.141
YML110C	4.818	0.141
YPL053C	4.659	0.141
YBR077C	5.493	0.140
YBR047W	5.340	0.140
YGR040W	5.260	0.139
YNL184C	5.410	0.139
YPL032C	5.065	0.139
YBL049W	4.481	0.138
YOR033C	6.346	0.138
YCL023C	5.805	0.307
YOR065W	5.516	0.138
YKL134C	3.507	0.137
YBR022W	5.206	0.137
YDL173W	4.078	0.137
YKL202W	5.687	0.137
YLR183C	4.530	0.136
YLR043C	4.336	0.136
YBL029W	4.513	0.135
YCR004C	4.514	0.135
YPL144W	4.852	0.135
YHR184W	4.346	0.135
YKL066W	4.938	0.135
YLR211C	4.883	0.135
YDL104C	4.367	0.135
YGL244W	1.374	0.135
YLR174W	4.807	0.135
YDR150W	5.247	0.135
YBL048W	4.339	0.134
YNL141W	4.471	0.134
YOR136W	6.044	0.134
YMR064W	5.474	0.134
YOR273C	5.643	0.133
YHR182W	5.167	0.133
YLR069C	3.468	0.133
YDL057W	5.889	0.133
YJL003W	5.369	0.133
YKR019C	6.506	0.133
YBL031W	3.896	0.133
YPR008W	6.423	0.132
YBL013W	6.036	0.132
YGL020C	4.501	0.132
YMR060C	5.837	0.132
YOR070C	5.927	0.131
YDR220C	5.685	0.130
YJL139C	5.051	0.216
YLR044C	5.760	0.129
YIL043C	5.522	0.129
YDL136W	4.850	0.129
YJR075W	5.103	0.128
YHR112C	6.221	0.128
YLR170C	4.207	0.128
YBR221C	3.873	0.128
YCL061C	5.981	0.088
YNL229C	3.286	0.127
YDL122W	5.017	0.127
YOR360C	5.988	0.127
YBR179C	3.706	0.127
YCL044C	5.954	0.127
YDR297W	6.681	0.127
YHR034C	5.196	0.127
YNL051W	5.949	0.127
YLR048W	6.407	0.126
YPL002C	4.916	0.126
YKL208W	4.611	0.126
YBL006C	3.484	0.126
YIR021W	5.389	0.126
YJR004C	4.399	0.126
YKL176C	5.324	0.126
YHR093W	2.192	0.125
YOR051C	6.865	0.125
YLR451W	3.739	0.125
YLR057W	4.158	0.124
YBR069C	3.381	0.124
YHR154W	6.061	0.124
YPL084W	4.560	0.124
