ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YJR108W	7.593	0.000
YDR274C	6.553	0.000
YGR257C	6.902	0.000
YFL001W	2.227	0.000
YKL039W	6.102	0.000
YKL037W	6.016	0.000
YEL044W	4.357	0.000
YPR070W	3.039	0.000
YLL042C	5.177	0.000
YJR105W	5.127	0.000
YLL009C	6.618	0.000
YBR084C-A	1.281	0.000
YJL132W	6.409	0.000
YGR289C	6.517	0.000
YBL044W	3.869	0.000
YKL027W	6.785	0.000
YHR087W	6.906	0.000
YEL027W	7.206	0.000
YDR173C	7.145	0.000
YDL045W-A	5.983	0.000
YKL031W	5.680	0.000
YGR238C	6.961	0.000
YJL217W	7.298	0.000
YOR290C	5.455	0.000
YLR062C	5.150	0.000
YKL029C	6.645	0.000
YGL237C	5.937	0.000
YKL034W	5.339	0.000
YGL167C	4.864	0.000
YPL048W	7.557	0.000
YJL181W	5.701	0.000
YKL003C	3.823	0.000
YJL183W	6.630	0.000
YJL096W	8.987	0.000
YJL136C	5.933	0.000
YFL016C	6.688	0.000
YBL042C	5.911	0.000
YDR207C	2.978	0.000
YBL027W	6.953	0.000
YFL014W	3.511	0.000
YNL220W	5.980	0.000
YDR287W	6.286	0.000
YGR248W	5.535	0.000
YAL047C	2.079	0.000
YIL128W	5.103	0.000
YKR027W	3.703	0.000
YBL094C	6.620	0.000
YBL024W	6.829	0.000
YHR091C	3.667	0.000
YJL179W	2.974	0.000
YPR044C	3.546	0.000
YNL055C	3.826	0.000
YLR202C	1.012	0.000
YDR255C	1.912	0.000
YDR241W	2.629	0.000
YKL032C	3.011	0.000
YDR275W	2.857	0.000
YBL093C	2.723	0.000
YIR026C	0.731	0.000
YJL129C	0.446	0.000
YOL072W	0.692	0.000
YPL157W	1.365	0.000
YNL059C	1.753	0.000
YLR358C	1.295	0.000
YJL180C	1.057	0.000
YPL045W	1.295	0.000
YDL083C	0.792	0.000
YJL189W	0.376	0.000
YDR369C	0.931	0.000
YCR033W	0.528	0.000
YDR289C	0.662	0.000
YGL220W	0.585	0.000
YDR516C	4.409	0.799
YKL213C	4.357	0.799
YFR010W	4.870	0.799
YNL022C	5.309	0.798
YPL119C	5.313	0.798
YGL254W	3.908	0.798
YFL056C	4.132	0.797
YKL148C	3.195	0.797
YML010C-B	5.345	0.796
YOL141W	3.630	0.796
YKR013W	4.606	0.796
YER150W	4.943	0.795
YJL153C	4.223	0.795
YJR024C	5.143	0.793
YML047W-A	4.104	0.793
YIR007W	3.149	0.793
YIL101C	3.930	0.793
YOR090C	4.836	0.793
YGL158W	3.729	0.792
YML038C	4.378	0.792
YKR064W	5.605	0.792
YER031C	3.834	0.791
YOL126C	5.724	0.791
YIL002C	5.133	0.790
YJL157C	5.467	0.789
YOR109W	4.181	0.789
YGR234W	4.796	0.789
YER066W	4.256	0.789
YKL101W	3.885	0.788
YBR172C	4.353	0.788
YER174C	5.265	0.788
YGR209C	4.526	0.788
YHR080C	4.930	0.787
YGR010W	2.871	0.787
YJR078W	6.047	0.787
YOR182C	4.228	0.786
YMR119W-A	4.773	0.786
YER063W	3.981	0.785
YNR061C	5.487	0.785
YOR216C	4.999	0.785
YPL176C	5.825	0.784
YOR220W	4.995	0.783
YOL058W	5.953	0.783
YPL254W	3.095	0.782
YER176W	5.636	0.782
YEL004W	4.559	0.781
YML111W	3.885	0.781
YNL024C	4.369	0.781
YFR054C	5.459	0.781
YLR326W	5.260	0.780
YNL083W	4.302	0.780
YJR146W	5.154	0.779
YOL128C	6.004	0.779
YER033C	4.397	0.779
YMR122C	4.009	0.779
YBR300C	4.868	0.778
YJL029C	3.799	0.778
YDR033W	4.960	0.778
YNR013C	5.252	0.778
YEL028W	3.795	0.778
YGR138C	4.695	0.777
YLR327C	5.188	0.777
YDR035W	4.968	0.777
YKR059W	4.938	0.777
YIL103W	3.512	0.776
YJL028W	5.076	0.776
YHR044C	4.354	0.776
YGL067W	3.956	0.776
YER081W	4.863	0.776
YOR175C	5.265	0.775
YHL047C	3.957	0.775
YGL059W	3.833	0.775
YDL048C	5.384	0.775
YER030W	4.236	0.774
YDR387C	5.121	0.774
YDR385W	3.706	0.773
YKR084C	6.072	0.773
YNR019W	5.457	0.773
YEL049W	3.747	0.772
YFL042C	4.101	0.649
YPR065W	6.248	0.771
YMR106C	4.314	0.770
YNR039C	4.216	0.770
YGR034W	6.300	0.770
YGR126W	4.706	0.770
YMR054W	6.216	0.770
YJL067W	5.170	0.769
YNL223W	5.213	0.769
YIL036W	6.395	0.769
YPL004C	4.748	0.769
YKR075C	6.043	0.768
YMR096W	4.253	0.768
YGL104C	5.340	0.768
YLR354C	4.155	0.768
YOR344C	5.888	0.767
YLR448W	5.505	0.767
YDR034C	5.596	0.767
YNL274C	3.539	0.767
YKL071W	4.488	0.767
YBR082C	3.852	0.767
YNR031C	4.557	0.766
YGR014W	3.854	0.765
YMR101C	4.912	0.764
YER132C	5.137	0.764
YGL216W	4.434	0.763
YDR073W	6.310	0.763
YNR058W	5.455	0.762
YIL014C-A	4.327	0.762
YML074C	5.331	0.761
YER186C	6.167	0.761
YLR329W	5.398	0.760
YOR084W	4.584	0.760
YER084W	4.829	0.759
YKL103C	4.812	0.759
YLR367W	5.098	0.759
YKL116C	4.197	0.759
YIL121W	5.345	0.759
YOR186W	5.156	0.758
YOL084W	5.412	0.758
YHL022C	3.918	0.757
YCL014W	5.134	0.560
YKR056W	5.269	0.756
YOR213C	5.375	0.756
YKL214C	5.794	0.756
YKR021W	4.941	0.756
YPL222W	4.215	0.756
YML100W	5.545	0.755
YLR313C	5.108	0.755
YGL066W	3.583	0.755
YKR005C	4.450	0.754
YOR112W	5.997	0.754
YGL006W	5.197	0.753
YPR109W	5.521	0.753
YGR044C	5.130	0.753
YCR102C	6.057	0.752
YGL177W	4.232	0.752
YPL203W	3.681	0.751
YOR156C	5.103	0.751
YOR298W	6.118	0.751
YIL006W	2.457	0.751
YER079W	4.351	0.751
YLR333C	5.143	0.750
YLR363C	5.129	0.750
YPL150W	4.261	0.750
YKR093W	5.414	0.749
YLR124W	5.289	0.749
YOL046C	6.579	0.749
YPR127W	5.533	0.748
YFR057W	5.459	0.748
YLR271W	4.992	0.748
YIL020C	5.887	0.748
YER091C	5.129	0.748
YLR353W	4.735	0.747
YPL123C	5.020	0.747
YJL043W	5.497	0.747
YGL156W	4.407	0.747
YPL081W	4.001	0.747
YCR090C	6.001	0.746
YPL191C	4.611	0.746
YCL002C	4.076	0.746
YFL032W	4.532	0.746
YNL050C	5.355	0.746
YMR071C	6.017	0.746
YEL041W	3.243	0.745
YKR035C	5.081	0.745
YOR167C	5.812	0.745
YLR133W	4.592	0.745
YJL207C	5.118	0.744
YBR262C	4.576	0.744
YNR014W	5.232	0.743
YOL091W	5.922	0.743
YBR161W	3.655	0.742
YMR316W	5.959	0.742
YDR050C	4.625	0.742
YPR017C	4.994	0.741
YMR111C	5.103	0.741
YBR273C	5.589	0.741
YKR018C	4.970	0.740
YFR055W	5.370	0.740
YER106W	5.735	0.740
YGL209W	5.985	0.740
YOL055C	5.608	0.739
YOL070C	6.100	0.739
YPL270W	3.583	0.739
YPL149W	3.750	0.739
YGR205W	4.862	0.739
YGR181W	4.649	0.738
YPL220W	5.120	0.738
YER035W	5.166	0.738
YOL136C	6.496	0.738
YFR030W	4.066	0.738
YML099W-A	5.966	0.738
YEL039C	3.767	0.737
YGR132C	3.923	0.737
YKR054C	5.392	0.737
YLR407W	4.532	0.737
YER060W-A	4.564	0.737
YPR006C	5.743	0.736
YPL216W	4.546	0.736
YGL063W	3.317	0.736
YMR320W	6.223	0.736
YOL014W	5.874	0.736
YIL132C	4.495	0.736
YEL011W	5.143	0.735
YKL171W	3.900	0.735
YGL229C	3.606	0.734
YDR455C	2.019	0.734
YLR017W	5.640	0.733
YJL027C	5.178	0.733
YDL213C	5.183	0.733
YOR114W	5.729	0.733
YDL095W	6.487	0.732
YMR052C-A	6.117	0.732
YJR005W	4.134	0.732
YJR147W	4.532	0.731
YDR036C	5.198	0.731
YER170W	5.201	0.731
YML101C	5.776	0.730
YLL012W	5.226	0.729
YGR223C	5.776	0.729
YMR073C	6.065	0.729
YLR422W	5.742	0.728
YML086C	4.543	0.626
YLR380W	5.132	0.728
YIL160C	2.279	0.728
YPR118W	4.866	0.727
YNR002C	5.669	0.727
YGR043C	5.846	0.727
YOR108W	6.016	0.727
YPL099C	4.855	0.727
YPL008W	5.047	0.727
YGR230W	6.405	0.727
YNR070W	5.584	0.727
YPR130C	5.886	0.726
YIL105C	4.626	0.726
YNR032C-A	5.291	0.726
YGL157W	5.148	0.725
YDL096C	6.082	0.725
YBR295C	5.284	0.725
YDL131W	4.852	0.725
YER109C	6.104	0.725
YIL056W	3.787	0.724
YGR221C	5.594	0.724
YER046W-A	5.090	0.724
YER140W	5.009	0.723
YOL042W	6.218	0.723
YDR139C	5.315	0.723
YFR032C	6.171	0.723
YOR166C	5.903	0.722
YNL057W	4.404	0.722
YDR425W	3.573	0.722
YLR219W	5.264	0.721
YNL100W	4.862	0.721
YNL063W	4.457	0.721
YJL214W	5.548	0.721
YLR341W	4.659	0.721
YNL049C	4.798	0.721
YPL130W	4.748	0.721
YHL032C	4.571	0.720
YKL150W	3.384	0.720
YDR046C	5.938	0.720
YER142C	5.168	0.719
YJL068C	5.878	0.719
YKR090W	5.284	0.719
YNL143C	4.939	0.719
YGL017W	5.929	0.719
YMR318C	5.927	0.719
YGR249W	5.970	0.719
YCR005C	4.990	0.718
YGR196C	3.134	0.718
YPL140C	4.951	0.718
YGL174W	3.496	0.717
YBR277C	5.251	0.717
YBR258C	3.058	0.717
YKL077W	3.624	0.716
YLR294C	4.926	0.716
YHR059W	5.468	0.716
YPL121C	5.547	0.715
YJR031C	5.236	0.715
YFL025C	4.660	0.715
YNR005C	5.608	0.715
YOL089C	5.009	0.714
YMR138W	5.333	0.714
YOR012W	5.818	0.714
YJL192C	6.327	0.714
YLR118C	4.987	0.714
YFL031W	4.386	0.713
YDR357C	3.660	0.713
YOR289W	5.874	0.713
YKL047W	4.476	0.713
YDR009W	4.236	0.713
YBR183W	5.516	0.713
YJL212C	5.297	0.713
YNL157W	5.538	0.712
YBR137W	5.180	0.712
YEL018W	5.285	0.712
YNR057C	5.891	0.712
YOR093C	6.318	0.711
YER085C	4.754	0.711
YML118W	5.560	0.711
YLR433C	4.964	0.711
YJL198W	5.413	0.711
YMR173W	5.332	0.711
YOL103W	6.208	0.711
YFL034C-A	4.953	0.688
YER045C	5.249	0.710
YKL129C	4.343	0.710
YOR152C	5.453	0.710
YOR209C	5.839	0.710
YLR126C	5.292	0.710
YBR274W	5.762	0.709
YPL091W	5.514	0.709
YJR125C	6.200	0.708
YDL012C	6.479	0.708
YER175C	6.198	0.708
YKL127W	4.331	0.708
YLR449W	5.252	0.708
YLR325C	5.094	0.707
YLR352W	4.751	0.707
YER129W	5.277	0.707
YMR271C	5.935	0.707
YLR348C	6.248	0.707
YJR036C	5.240	0.707
YER162C	5.905	0.707
YDR411C	4.034	0.707
YLR235C	4.550	0.707
YJL149W	5.801	0.707
YNL034W	4.539	0.706
YML078W	4.579	0.706
YDL025C	6.287	0.706
YOR303W	6.368	0.585
YDR158W	4.882	0.706
YGR007W	2.694	0.706
YJL178C	5.669	0.705
YDR346C	5.171	0.705
YHL023C	4.229	0.704
YCR049C	6.098	0.704
YFR044C	5.696	0.704
YDL130W-A	4.926	0.704
YCR099C	5.795	0.703
YDR022C	4.805	0.703
YGL125W	3.695	0.703
YPR154W	5.627	0.703
YGR012W	3.018	0.702
YHR127W	4.828	0.702
YKR033C	4.839	0.702
YLR035C	6.547	0.702
YGR001C	4.014	0.702
YPL027W	4.486	0.701
YCR051W	5.484	0.701
YGR042W	5.294	0.701
YLR351C	5.371	0.701
YML071C	4.222	0.701
YMR068W	5.947	0.701
YOR229W	5.833	0.700
YMR266W	5.415	0.700
YLR120C	4.698	0.700
YKL168C	4.192	0.699
YER161C	5.518	0.699
YOL045W	6.808	0.699
YER042W	4.122	0.699
YIL122W	5.587	0.699
YOL132W	6.404	0.698
YOR193W	6.371	0.698
YPR018W	6.253	0.698
YDR359C	4.499	0.698
YKL221W	3.883	0.698
YPR106W	5.116	0.697
YGL181W	5.239	0.697
YNR056C	6.175	0.697
YOL007C	6.355	0.696
YGR233C	5.509	0.696
YOR121C	5.423	0.696
YLR434C	6.464	0.696
YCR073W-A	4.674	0.696
YGR125W	5.086	0.696
YML131W	4.550	0.696
YLR016C	5.763	0.695
YNL012W	5.928	0.695
YOL067C	5.545	0.695
YOL024W	5.988	0.694
YCR043C	5.413	0.694
YLR441C	5.640	0.694
YKR097W	6.103	0.693
YLL030C	5.121	0.693
YFR032C-A	5.657	0.693
YOR007C	5.017	0.693
YPL260W	5.377	0.693
YLR266C	5.115	0.692
YJR053W	3.601	0.692
YGR236C	6.058	0.692
YDR124W	4.532	0.692
YKR096W	5.487	0.692
YDR538W	5.881	0.692
YDL176W	5.197	0.692
YDR435C	2.553	0.692
YOR013W	5.945	0.692
YER128W	5.866	0.692
YDR098C	5.965	0.691
YNR066C	5.917	0.691
YNL044W	4.937	0.691
YML094W	4.490	0.691
YML119W	4.454	0.691
YER044C-A	5.188	0.690
YOR214C	6.168	0.690
YGL162W	3.892	0.690
YPL107W	5.059	0.690
YGR213C	4.668	0.690
YLR049C	5.301	0.690
YGR241C	5.705	0.690
YGL132W	4.179	0.690
YOL090W	5.684	0.690
YPL141C	4.449	0.689
YGR061C	5.104	0.689
YLR366W	5.565	0.689
YJR144W	6.483	0.689
YCR076C	5.639	0.689
YIL008W	2.014	0.689
YBR184W	5.420	0.689
YPL265W	4.278	0.688
YLR214W	4.434	0.688
YOR019W	5.721	0.688
YNL105W	5.531	0.687
YNL058C	3.468	0.687
YOR024W	6.098	0.687
YCL006C	5.158	0.577
YPL108W	5.051	0.686
YLR453C	5.189	0.686
YJL023C	5.193	0.686
YNL300W	5.773	0.686
YFL021W	5.502	0.686
YIR003W	5.429	0.686
YIL113W	4.094	0.686
YJL216C	4.700	0.685
YLL023C	5.953	0.685
YPR129W	6.224	0.685
YIR044C	4.520	0.684
YNR022C	5.335	0.684
YOR107W	6.188	0.684
YBR261C	4.525	0.684
YMR316C-B	6.051	0.683
YNL230C	5.899	0.683
YNL023C	4.787	0.683
YER184C	6.058	0.683
YPL186C	5.767	0.683
YNR050C	5.620	0.683
YJL044C	6.310	0.682
YLR053C	5.184	0.682
YHL041W	5.246	0.682
YFR049W	4.585	0.682
YCR091W	5.842	0.681
YHR014W	3.772	0.681
YEL042W	4.906	0.681
YCR086W	5.999	0.681
YLR356W	4.937	0.681
YIL072W	5.468	0.681
YGR153W	3.281	0.681
YML042W	4.982	0.681
YMR095C	4.831	0.681
YOR188W	5.468	0.681
YCR092C	6.061	0.681
YIL066C	3.479	0.681
YJL145W	5.736	0.680
YGL087C	4.541	0.680
YPR152C	5.881	0.680
YER078C	5.589	0.680
YER058W	4.353	0.680
YKL067W	4.780	0.680
YNL001W	5.942	0.680
YLR121C	5.023	0.679
YHL014C	3.647	0.679
YDL226C	5.283	0.679
YGR194C	5.780	0.679
YGL083W	5.044	0.679
YOR180C	5.551	0.678
YIR002C	5.438	0.678
YNL004W	5.469	0.678
YOL158C	3.294	0.678
YMR171C	6.350	0.678
YER087C-B	4.220	0.678
YNL204C	6.844	0.678
YDR074W	5.184	0.677
YFR048W	5.867	0.677
YML047C	4.820	0.677
YOR105W	5.879	0.677
YIL071C	5.021	0.676
YGL179C	4.457	0.676
YPL112C	4.326	0.676
YLR263W	5.426	0.676
YDR110W	5.746	0.676
YLR292C	4.935	0.676
YER108C	5.939	0.676
YDL024C	6.394	0.675
YGL101W	5.345	0.675
YJL199C	4.749	0.674
YOR076C	6.662	0.674
YMR169C	5.166	0.674
YML057W	3.392	0.673
YMR311C	6.444	0.673
YJL150W	6.369	0.673
YKL162C-A	6.329	0.673
YGL202W	5.123	0.673
YLL020C	5.895	0.673
YMR055C	6.308	0.672
YER114C	5.566	0.672
YPR111W	4.807	0.672
YNL227C	4.651	0.672
YPL256C	2.663	0.672
YJR135C	5.182	0.672
YJL193W	6.486	0.671
YLR324W	6.184	0.671
YOR191W	5.542	0.671
YKR104W	5.659	0.671
YLR375W	4.833	0.671
YOL122C	6.368	0.670
YLR269C	4.825	0.670
YGL198W	4.571	0.670
YMR209C	6.156	0.670
YJL024C	5.294	0.670
YIL096C	6.636	0.670
YLR328W	4.787	0.670
YJL107C	6.591	0.670
YKL097C	2.957	0.669
YJL055W	5.910	0.669
YLR461W	4.996	0.669
YML027W	4.819	0.669
YOR276W	4.696	0.669
YLR444C	4.633	0.669
YPL109C	5.099	0.669
YHR114W	4.508	0.668
YMR052W	6.746	0.668
YER145C	5.130	0.668
YGR097W	4.723	0.668
YGR275W	6.421	0.668
YMR129W	3.996	0.667
YIR009W	2.951	0.667
YOR386W	6.116	0.667
YJL082W	6.389	0.666
YER179W	6.231	0.666
YFR053C	5.336	0.666
YBR073W	3.378	0.666
YNR029C	4.926	0.666
YLL007C	2.991	0.665
YER046W	4.654	0.665
YIL114C	5.696	0.665
YOL119C	5.933	0.665
YKL188C	4.147	0.665
YJL122W	5.550	0.664
YJR038C	4.077	0.664
YPR200C	5.245	0.664
YDL197C	4.761	0.664
YHL024W	5.779	0.664
YEL060C	3.790	0.663
YGL109W	5.921	0.663
YNL096C	5.881	0.663
YDR537C	4.687	0.663
YLL044W	4.876	0.663
YOL041C	6.598	0.663
YOR299W	6.111	0.662
YML117W	5.441	0.662
YMR004W	5.348	0.662
YGL242C	4.943	0.662
YOR367W	6.677	0.662
YIL012W	5.957	0.662
YOL052C-A	5.855	0.662
YDR157W	3.530	0.662
YDR467C	5.149	0.662
YDR528W	5.397	0.661
YER143W	5.384	0.661
YOR291W	5.684	0.661
YPL264C	5.415	0.661
YLR456W	5.335	0.661
YER039C-A	4.200	0.660
YOR081C	6.610	0.660
YGR292W	5.349	0.660
YJL098W	6.261	0.660
YPL214C	5.547	0.659
YMR087W	5.475	0.659
YLR401C	5.701	0.659
YKL159C	3.220	0.659
YHR039C	5.423	0.659
YLR228C	5.419	0.659
YDR349C	5.597	0.658
YHR138C	5.559	0.658
YDR020C	4.381	0.658
YML075C	5.087	0.658
YJL049W	6.034	0.657
YGL250W	4.062	0.657
YGR129W	3.433	0.657
YPL136W	3.054	0.657
YHR104W	5.936	0.657
YER032W	5.297	0.656
YOR144C	5.636	0.656
YMR121C	5.077	0.656
YIL108W	4.974	0.656
YLR400W	5.369	0.656
YDR032C	4.396	0.656
YNL234W	5.506	0.655
YBR271W	6.130	0.655
YKR076W	6.945	0.655
YDL089W	6.061	0.655
YNL231C	5.992	0.655
YPR201W	6.242	0.654
YGR127W	5.061	0.654
YLR231C	4.530	0.654
YDR072C	5.439	0.654
YLR460C	5.218	0.654
YLL016W	6.035	0.653
YDR055W	4.993	0.653
YCR098C	5.759	0.653
YIL001W	6.063	0.653
YKR066C	6.292	0.653
YPL179W	6.149	0.652
YLR125W	5.435	0.652
YHR004C	5.110	0.652
YLL015W	5.810	0.652
YJL108C	5.625	0.651
YPL114W	4.158	0.651
YOL131W	5.894	0.651
YOR375C	5.924	0.651
YJL123C	6.609	0.651
YNR021W	4.381	0.651
YMR056C	6.005	0.651
YMR082C	6.152	0.650
YIR030C	4.996	0.650
YHL006C	3.253	0.650
YMR086W	5.945	0.650
YOR351C	6.121	0.650
YGR232W	6.098	0.650
YPR128C	6.486	0.650
YDL010W	5.618	0.649
YPL155C	3.879	0.649
YKR089C	4.991	0.649
YHL028W	5.484	0.649
YJR035W	5.489	0.649
YPR073C	5.883	0.649
YKL206C	5.440	0.649
YOR345C	6.784	0.649
YMR316C-A	6.064	0.649
YHR137W	5.445	0.649
YDL001W	6.226	0.649
YNL205C	6.910	0.648
YPL249C	3.604	0.648
YIL086C	5.966	0.648
YDL094C	6.419	0.648
YGL203C	5.015	0.648
YGR087C	4.618	0.648
YFL011W	6.317	0.648
YNL015W	4.424	0.648
YNL159C	6.077	0.648
YGL205W	4.964	0.647
YOL050C	4.666	0.647
YJR049C	5.328	0.647
YLL061W	5.705	0.647
YCR069W	4.713	0.647
YIL136W	4.822	0.647
YOR133W	5.418	0.647
YGR041W	6.163	0.647
YCR059C	5.496	0.647
YFL015C	4.380	0.646
YLR344W	5.105	0.646
YER181C	6.461	0.646
YDR409W	4.277	0.646
YIL095W	6.049	0.646
YLR123C	5.712	0.645
YER124C	5.918	0.645
YOL150C	4.256	0.645
YFR046C	5.877	0.645
YGR142W	4.576	0.645
YER180C	6.457	0.645
YMR070W	5.197	0.645
YER137C	4.955	0.645
YOR041C	7.019	0.644
YPL135W	3.326	0.644
YOR300W	6.509	0.549
YOL016C	6.760	0.644
YLR267W	4.826	0.644
YHR155W	4.197	0.644
YLR377C	5.517	0.643
YNL115C	4.874	0.643
YLR255C	4.446	0.643
YFR047C	6.219	0.643
YMR279C	6.061	0.643
YPR179C	5.753	0.643
YLR122C	5.040	0.643
YPR030W	6.434	0.643
YER163C	6.394	0.642
YCL038C	6.144	0.489
YGL108C	6.465	0.642
YPR077C	5.977	0.642
YBL091C-A	5.660	0.642
YNL279W	6.029	0.642
YDR142C	5.788	0.642
YLR046C	5.963	0.642
YCL001W	5.481	0.642
YER041W	5.169	0.641
YML096W	4.854	0.641
YOR190W	5.965	0.641
YGR059W	5.125	0.641
YHR113W	3.893	0.641
YCL010C	4.608	0.641
YOR091W	6.498	0.640
YIL087C	6.065	0.640
YOR178C	6.936	0.640
YBR244W	5.243	0.639
YNL009W	5.658	0.639
YOR369C	6.535	0.639
YKR092C	5.774	0.639
YHR185C	4.020	0.639
YCR100C	5.793	0.639
YIR020W-A	6.157	0.638
YGL086W	5.981	0.638
YOL071W	6.148	0.638
YDR351W	5.912	0.638
YDR446W	5.049	0.638
YGR109C	3.806	0.638
YIR014W	3.940	0.637
YJR030C	4.263	0.637
YMR075W	6.220	0.637
YOL117W	6.417	0.637
YNL106C	6.071	0.636
YGR079W	4.951	0.636
YDR122W	6.206	0.635
YHR181W	6.373	0.635
YDL201W	5.195	0.635
YKR011C	5.082	0.635
YKL123W	4.126	0.635
YOR153W	5.672	0.634
YOR018W	6.342	0.634
YPR005C	5.042	0.634
YML128C	6.013	0.634
YLR454W	5.942	0.634
YDR352W	4.502	0.634
YOR267C	4.652	0.633
YLR342W	4.554	0.633
YJR047C	4.920	0.632
YNR047W	4.844	0.632
YKR080W	6.733	0.632
YOR179C	6.489	0.632
YDR143C	6.347	0.632
YGL140C	2.884	0.631
YNL233W	3.083	0.631
YDR059C	5.197	0.631
YBR245C	5.057	0.631
YPR007C	4.262	0.631
YDL177C	5.235	0.630
YNL027W	5.761	0.630
YOR087W	6.712	0.619
YOR072W	5.921	0.630
YMR065W	5.870	0.629
YOR127W	6.121	0.629
YNL224C	6.259	0.629
YFL050C	4.169	0.629
YOR253W	6.016	0.629
YBR098W	2.242	0.628
YOL036W	6.043	0.628
YGL154C	3.905	0.628
YBL088C	4.922	0.628
YOR365C	6.382	0.628
YOR009W	5.211	0.628
YOL098C	5.776	0.628
YPL134C	6.408	0.627
YOR382W	5.789	0.627
YNL043C	5.449	0.627
YEL014C	4.305	0.627
YIL027C	4.007	0.626
YFR043C	5.863	0.626
YER152C	6.143	0.625
YKL076C	5.130	0.625
YLR332W	5.039	0.625
YGR263C	6.279	0.625
YER088C	5.531	0.625
YKR101W	5.315	0.625
YCR089W	5.766	0.624
YER038W-A	5.772	0.624
YOR172W	5.906	0.624
YOL121C	5.920	0.624
YMR069W	6.428	0.624
YER064C	6.431	0.624
YER166W	6.363	0.623
YOL060C	6.051	0.623
YPR195C	5.762	0.623
YOR371C	5.701	0.623
YNL076W	4.986	0.623
YER062C	5.333	0.623
YOR085W	6.718	0.623
YDR388W	5.901	0.623
YOR363C	6.673	0.623
YGR260W	6.156	0.623
YDL088C	6.398	0.623
YPR167C	5.962	0.622
YCR077C	6.346	0.622
YJR021C	5.983	0.622
YDR051C	5.130	0.622
YLL063C	6.149	0.622
YFL044C	5.473	0.622
YOR355W	5.779	0.622
YLL024C	6.079	0.622
YDR447C	5.767	0.622
YJL215C	5.508	0.622
YLR402W	4.505	0.622
YCR101C	6.276	0.621
YNL010W	5.824	0.621
YOR124C	6.862	0.621
YIR019C	5.643	0.621
YPR138C	6.124	0.620
YDR519W	4.034	0.620
YCR001W	4.722	0.620
YPR053C	5.951	0.620
YJL071W	5.427	0.620
YJL119C	6.051	0.619
YDR111C	5.829	0.619
YBR285W	6.187	0.619
YGL165C	4.195	0.619
YDR535C	6.417	0.619
YPR076W	5.912	0.619
YIL047C	5.267	0.618
YKL033W-A	4.989	0.618
YJR015W	4.546	0.618
YPL182C	6.025	0.618
YMR058W	6.691	0.618
YER080W	5.723	0.618
YNR004W	5.323	0.618
YCR106W	5.128	0.618
YOR288C	6.070	0.618
YHL040C	4.948	0.618
YGL213C	2.583	0.618
YOL114C	6.741	0.618
YFL052W	5.149	0.617
YOR208W	6.355	0.617
YPL017C	3.942	0.617
YLL017W	6.070	0.617
YKL178C	4.277	0.617
YER027C	4.206	0.617
YDR358W	4.029	0.617
YPR199C	6.412	0.616
YFR045W	6.651	0.616
YJL059W	6.215	0.615
YJR150C	6.857	0.614
YKR103W	5.379	0.614
YHL003C	4.868	0.614
YLL019C	6.530	0.614
YPR126C	6.138	0.613
YLR248W	4.785	0.613
YGL081W	4.683	0.613
YOL019W	6.873	0.613
YGR169C	4.148	0.613
YOR001W	6.034	0.613
YDR536W	6.211	0.612
YER077C	6.003	0.612
YER024W	6.021	0.612
YKR087C	5.478	0.611
YER053C	5.564	0.611
YGL079W	4.437	0.610
YDR085C	6.103	0.610
YPL095C	5.754	0.610
YBR180W	5.336	0.610
YLR290C	5.180	0.610
YGR199W	4.435	0.609
YPR079W	5.959	0.609
YJL158C	4.968	0.609
YJR062C	4.809	0.609
YML072C	6.387	0.609
YOR022C	5.762	0.609
YGR291C	5.169	0.608
YOL047C	8.237	0.608
YDL200C	5.349	0.608
YER177W	6.105	0.608
YDR218C	4.804	0.608
YKL149C	3.226	0.608
YOL138C	6.781	0.608
YGL004C	5.748	0.608
YPR054W	5.936	0.607
YOR010C	5.530	0.607
YLR273C	5.388	0.607
YPR029C	6.088	0.607
YOL107W	5.829	0.607
YDL211C	4.269	0.607
YOR358W	6.716	0.607
YGL016W	6.084	0.607
YOR378W	4.827	0.607
YPR115W	6.554	0.606
YHR037W	4.919	0.606
YDL190C	3.510	0.606
YDL199C	5.304	0.606
YKL030W	7.444	0.606
YLR179C	5.063	0.606
YOR097C	6.495	0.606
YGL037C	6.738	0.606
YLR119W	5.603	0.605
YJL092W	5.887	0.605
YMR081C	6.617	0.605
YPR125W	6.595	0.605
YDL215C	5.069	0.605
YFR038W	5.421	0.605
YOR384W	6.732	0.605
YEL006W	4.858	0.605
YPL170W	3.978	0.605
YKL124W	3.874	0.605
YJL079C	6.161	0.604
YBR058C	4.875	0.604
YDL175C	4.604	0.604
YLR014C	5.325	0.604
YGL105W	5.772	0.604
YPL100W	5.345	0.604
YBL083C	3.390	0.604
YOR120W	6.539	0.604
YOR381W	5.466	0.604
YMR127C	3.996	0.604
YNL156C	6.454	0.603
YOR126C	6.046	0.603
YNL206C	6.642	0.603
YDL210W	4.908	0.603
YGR247W	6.689	0.602
YGR146C	5.414	0.602
YOR383C	6.314	0.602
YDL107W	3.543	0.602
YPR171W	5.734	0.602
YER183C	6.336	0.602
YPL098C	4.018	0.602
YDL159W	3.760	0.601
YIR016W	5.067	0.601
YER010C	5.486	0.601
YKR088C	5.840	0.601
