orf	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YAL012W	0.5512924605106772	-1.022799263563454
YAL016W	0.47864421067036683	-0.4654457611678117
YAL024C	0.879028925955684	-0.9506131958072714
YAL047C	-1.9864802369184935	-1.7997906477950263
YAL054C	0.42511392131434933	-0.4940266863988937
YAL056C-A	0.6452435806049125	-0.4660862239413832
YAL064C-A	-0.6667947360599326	0.7484242229010191
YAR002C-A	0.6244869377933953	-1.7103953089772723
YAR050W	0.7588588886258479	-0.8594028842990002
YBL001C	0.4808291204400005	-0.9962885543721944
YBL002W	0.6359577140839705	-1.7960596878715809
YBL003C	0.3317090286625223	-0.4492038894622232
YBL005W	0.25032113974367876	-0.9781944441022016
YBL006C	-1.1622230263243014	-1.4320307687615847
YBL007C	0.5447377312017772	-1.547135090272917
YBL008W	-0.3401507254997418	-0.11432168214998517
YBL009W	0.1596473843038937	-0.466296858205954
YBL010C	0.17166438803687717	-0.2074589772932414
YBL011W	0.6091925694059614	-1.7997906477950263
YBL012C	0.02472920602903215	-1.764297337367116
YBL013W	0.3355326207593809	-1.4143894874480063
YBL015W	-0.04573413404164397	-1.1466695762817523
YBL016W	1.0855028991860383	-1.747460824944103
YBL017C	-1.196635355196027	-0.7354751885101981
YBL019W	-1.1157936937195918	-1.066889639287393
YBL021C	0.1301511024138427	-1.698106874271688
YBL022C	-1.2294090017405275	-1.5065426946224036
YBL024W	0.8009184016912907	-1.7997906477950263
YBL025W	-3.161961692981252	
YBL027W	0.8735666515316005	-1.7997906477950263
YBL028C	-0.16044189694739602	-1.3573939313210561
YBL029W	-0.5580954750206718	-1.40524811191582
YBL031W	-0.9202442693374046	-1.4131246925182033
YBL032W	-0.2533005621568148	-1.1164104004028785
YBL033C	-3.170155104617377	
YBL036C	-0.662971143963074	-1.047058600939623
YBL037W	-0.533515240112296	-1.1222448188694272
YBL038W	0.11048691448714257	-1.539031997258741
YBL039C	-0.28443552637409064	-1.2775701632081262
YBL042C	0.26233814347666223	-1.7997906477950263
YBL043W	-1.8313516432745236	-1.1963644323237492
YBL044W	-0.9360848651672465	-1.7997906477950263
YBL045C	-3.2067523432587364	
YBL046W	-0.5619190671175298	-1.2721703466838883
YBL047C	0.11540296146881773	-0.5329307937937168
YBL048W	-0.660240006751032	-1.4075636822694366
YBL049W	-0.5772134355049636	-1.3963215105813709
YBL051C	-1.0278510754918482	-1.3479694369103787
YBL052C	-0.7099467040101914	-1.293206661048068
YBL053W	-0.5040189582222455	-1.5634399667648164
YBL054W	-0.9978085661593895	-1.2127672196157784
YBL055C	-0.033170902866251656	-1.6893602275709543
YBL056W	-1.4074791479656479	-0.5523221861621403
YBL057C	-1.3135280278714125	-0.8750683914469393
YBL058W	-3.2067523432587364	
YBL059W	-0.22052691561231405	-1.3095507942604232
YBL060W	-1.6352559914499283	-0.9310640142008569
YBL061C	-0.8891093051201286	-1.5626596986186914
YBL062W	-0.9431858219185549	-1.4605800065569865
YBL063W	-0.4209923869761771	-0.7487548520014282
YBL064C	-1.1797023044813681	-0.9856283683360146
YBL065W	-1.089574776483991	-0.9375211457766257
YBL066C	-0.6061634899526057	-1.233178700448957
YBL067C	-1.045876581091324	-1.4540433964801398
YBL068W	-0.7552835817300845	-1.50672435544235
YBL069W	-0.48708590750758685	-1.1759844894760136
YBL070C	-0.9825141977719557	-0.8214612442279386
YBL071C	-0.9546565982091302	-1.441876093961828
YBL072C	-1.9722783234158767	-1.7972097920367727
YBL075C	-0.3051921691856079	-1.1102279669640305
YBL078C	-0.4133452027824599	-0.8776620889294289
YBL079W	-3.172886241829419	
YBL080C	0.32624675423843885	-1.765522884573192
YBL081W	-0.711039158895008	-0.16575704361989393
YBL082C	-0.8678064348662031	-0.7359500908909626
YBL083C	-1.217391998007544	-0.038119199409910404
YBL085W	-0.7263335272824418	-0.6681811639746061
YBL086C	-0.3925885599709432	-0.39594938674493885
YBL087C	-0.3417894078269667	-0.41806099823083515
YBL088C	-0.318301627803408	0.031762837392425934
YBL089W	-0.47670758610182823	-0.22665630397657818
YBL090W	0.33662507564419747	-1.7997906477950263
YBL091C	-0.06922191406520267	-0.35886976245832986
YBL091C-A	0.11485673402640892	0.07251601141417867
YBL093C	-1.6084908467719192	-1.7997906477950263
YBL094C	0.6780172271494133	-1.7997906477950263
YBL095W	0.3852393180185403	-0.5314193522469467
YBL096C	-1.2884015655206291	-1.1446045520130748
YBL098W	-0.33086485897879975	-1.4984604195493116
YBL099W	-3.2067523432587364	
YBL100C	-3.2067523432587364	
YBL101C	-0.40679047347355984	-1.2132174164180738
YBL102W	-0.6640635988478906	-0.7027855717577686
YBL103C	-0.5520869731541805	0.5819090744467247
YBL104C	-0.13586166203902075	-0.6398837414868884
YBL106C	-0.838310152976153	-1.3343556919084878
YBL107C	0.09519254609970879	-1.2724806166185978
YBR001C	0.04876321349500019	-1.096143708899607
YBR003W	-1.5680700160337016	-1.7997906477950263
YBR005W	-0.19485422581912218	-1.058269693211976
YBR006W	-0.14241639134792078	-1.266942843517433
YBR007C	0.014897112065681822	-1.013587945039118
YBR008C	-0.24619960540550645	-0.5546848814118476
YBR009C	-0.06048227498666894	-0.2530022440006926
YBR010W	-0.18666081418299674	-1.2174666876690357
YBR012C	-1.1054153723138336	-1.275193307341678
YBR013C	-0.32267144734267483	-1.3247763247134157
YBR014C	-0.928983908415938	-1.2144191406693927
YBR015C	-0.6405758188243319	-1.212544332669868
YBR016W	-0.8918404423321706	-1.3456136245516148
YBR018C	-0.03043976565421019	-1.338387785150056
YBR019C	-1.0944908234656665	-0.9068559345592534
YBR020W	0.014623998344477937	-0.6879861287366728
YBR021W	-3.2067523432587364	
YBR022W	-0.15170225786886282	-1.400374032878309
YBR023C	-0.13149184249975387	-1.6034668297511019
YBR024W	-0.4373792102484274	-1.4857203547521582
YBR025C	0.42456769387194104	-1.3668101670883646
YBR026C	0.31477597794786366	-1.7997906477950263
YBR027C	0.01762824927772433	-1.4638378162446093
YBR028C	-0.37073946227460935	-1.539721710167767
YBR030W	-0.07195305127724415	-1.4522048257581879
YBR031W	-0.10691160759137858	-1.243753801735746
YBR032W	0.3704911770735148	-1.1643263450401622
YBR033W	-0.9338999553976132	-0.9776569061445479
YBR034C	0.25032113974367876	-1.0754220374724688
YBR035C	-3.1515833715754935	
YBR036C	1.5410565861545984	-1.7135612045420991
YBR037C	-0.9912538368504894	-1.6502333653936605
YBR040W	-0.04027185961756052	-1.3102917522210547
YBR041W	-0.38384892089240946	-1.1045576461676248
YBR042C	-0.49855668379816254	-0.44278002158505375
YBR043C	-0.4641443549264364	-0.5777161243209701
YBR044C	1.4077770902069617	-1.5374280856278577
YBR045C	-0.6990221551620245	-1.6174780076383624
YBR046C	0.04930944093740849	-1.3526241582396594
YBR047W	-0.07304550616206125	-1.3920991122407367
YBR048W	1.0494518879870873	-1.7698484814005024
YBR050C	-0.14897112065682083	-1.3741615222899604
YBR051W	-0.010775577727509537	-1.317301626669034
YBR052C	-0.21834200584268088	-1.1590534622337738
YBR053C	0.45898002274366667	-1.2179078550456803
YBR054W	0.13452092195310958	-1.1838112178751292
YBR056W	-0.09762574107043655	-1.3663320238007657
YBR057C	-0.33796581573010864	-1.3111381409390788
YBR058C	-0.34561299992382527	-0.03705335424536635
YBR059C	-0.29536007522225755	-1.1048964454179488
YBR061C	-1.208106131486602	-1.2506305309041954
YBR062C	-0.9694047391541556	-1.2672119072905532
YBR063C	-1.1638617086515262	-0.8593792546846201
YBR064W	-1.2763845617876453	-0.7228639517257686
YBR065C	-1.0267586206070318	-0.8790634043468784
YBR066C	-1.242518460358328	-0.3951333463979938
YBR067C	-1.1360041090887008	-0.6520144477988942
YBR068C	-0.6263739053217147	-1.6497743093829027
YBR069C	-1.2228542724316276	-1.436850700910214
YBR071W	-0.2931751654526244	-1.0901085377723474
YBR072W	-0.6700721007143824	-0.7535659636061437
YBR073W	-1.2244929547588523	0.14177526250895456
YBR074W	-0.6099870820494648	-0.7973148376249342
YBR076W	0.09136895400285021	-0.9429448263126733
YBR077C	0.017082021835316038	-1.3901552278256466
YBR078W	-0.09544083130080337	-1.0415147459147165
YBR082C	-0.946463186573005	0.4357618281967767
