orf	hom | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [4.8 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [9.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [19.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [38.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [76.9 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [31.25 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [62.5 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [125 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [77.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [154.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.025 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.05 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.1 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [16.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [32.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [65.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [130.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [1.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [2.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [4.7 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | alverine citrate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004
YAL001C					-0.8033278902239804	-0.161376581685898	-0.7373639461067584	1.939277715977054	-1.5918646798028866	-2.422657048210684	-0.32646640403968685	0.2527317297013863	-0.8658997022750553	-0.5798994334113771	-2.4381660324989016	-0.8653889169771417	0.0408883640966505	0.29054878101552245	-0.2326398544754742	-0.741349658241011	-0.29243384729941124	-0.2553951949317777	0.21164371656576408	-1.8877004758670586	-0.523505685588016	-1.5205883688435355	0.149968752503606	-0.694591186952395	-0.6213625314456483	-0.1723322093070457	-0.31192627751153057	-0.7851589101164742	-1.026414480462457
YAL002W	0.03382502477565988	1.2934404183395785	-0.2654326217214098	-0.05698380457931118	1.9340638258753402	0.9202799972095949	0.5159336379530752	-0.6248271927707042	-0.9141198288794498	-0.033177318363690284	-0.7240921351384924	-0.12817079770143733	-1.158477381847394	-1.4652528196984693	-0.9204461587270986	0.27606352990070593	0.09657377815691977	-0.5314846375187253	-0.4345669563036883	-0.5007216245720626	-0.19567236617499462	0.12300444464412662	0.2264808185008306	-1.1242859563791254	-0.15404521416306957	-0.027042141348930307	0.0365710318088492	-0.5316828483791509	-0.5359542215701094	0.282120413719677	0.002432527558577193	0.6487874588954905	0.446637162183944
YAL003W					-1.3657044376576708	-1.0262120149207494	-0.5580785676804778	-0.9059235568654345	-0.808175972548889	-2.2828060413746276	-0.7950173502165798	-0.49984990176700017	-0.6300888020392983	-0.19888821278533436	-1.4041329543712824	-0.5826448074763653	-0.3444078981892584	-0.9034647784305677	-0.39440394761283604	-0.7615450968661946	-0.720213682822923	-0.24652326230273097	-0.5622102009513559	-1.7188179472005127	-0.41561745436001013	-0.5388936047226608	-0.14674109668312818	-0.16076644639880847	0.06384100470647866	0.282120413719677	-0.34655756505353896	-1.1603309817775775	-0.6561881175067323
YAL004W	-0.04182477636975962	-0.32953302121606043	-0.193906481651875	0.007442265606353056	-0.9500747985219317	-1.2765958676832345	-0.3355848769001202	-1.3051480182654835	4.355005945648165	-0.23778465710068014	-0.3750006331741712	-0.5473308036739927	-1.4785604057148976	-1.0497568647322357	-2.4409574969155248	-0.8695366629547642	-0.47198164304810036	-0.6546206498888248	-0.8685315844137972	-0.006796398416875656	-0.8115984681612182	-0.3323299199273586	0.9161944792346935	-1.5991692935539377	-0.02730511711463736	-0.014788788912039193	0.26426573814738347	-0.22452665607357292	-0.4275951677835292	0.09747990899900835	-0.4065448001881539	-0.1996801157571337	-1.0728032718769818
YAL005C	-0.0002969457361490235	-0.16939842694658683	-0.08765766383741203	-0.10824371981130411	-0.5459325457972267	-0.02607147536393984	-0.40783932067900164	-0.6514450055103184	0.8646714868912877	-0.26942359053529635	-0.015348135100284098	0.4354610309276147	-0.6787977961317142	-0.1644162148712821	1.4960445865362435	0.08566985099831934	0.8018362346313792	-0.46385575274176427	-0.4721666105038327	-0.01683970479365768	-0.09525995615040761	-0.05039514624334849	-0.25051472559999055	-0.584974865207345	-0.10045731344182736	-0.22135110479978778	0.4717916764256885	-0.015971482391645395	-0.37346276529457606	-0.30287192325523343	-0.7628936607926582	0.08606687803712328	0.6369623250447639
YAL007C	0.04028086768116621	0.07410915984856914	-0.1750151741051728	-0.10393560502996102	-0.7799761419922043	-0.6258382203365971	-0.4224832695583696	-0.15053641225680853	-0.819429225977175	0.1277569899351126	0.18169612531990453	-0.3355853052301275	-0.8727489303773814	-1.301430366374013	-0.5820368431524058	0.015388970141721688	-0.10414739737766074	-0.4400425179389355	-0.49371848238569904	-0.24265697785992213	-0.06953394162292069	0.07047677281690969	-0.2907749369218992	1.7267458867963645	-0.1427738585153753	-0.1294172809462729	-0.18682762926893082	-0.40358877901183837	-0.4243213163086052	-0.1542267592538183	-0.18478854459265376	-0.3704732499686469	-0.30588095075694915
YAL008W	-0.08950540695558833	-0.9405353451317526	-0.37026553371687543	-0.1658802752358438	-1.4494413959878276	-0.9304746186411655	-0.27572629199571425	-0.07141541673017418	-1.0368425662626088	-1.1398677296114585	-0.7056543815642974	-0.19971827049160706	-2.1946948442946193	-1.9986330042728324	-2.1142173114716885	-0.7484299675752966	0.04976716027510649	-0.9524307524663711	-0.525678912391344	-0.28581173856637315	-0.7262561813838061	-0.2529283065283059	-0.15422029108452429	-1.833245447428749	-0.5317388068931462	-0.09210317273183959	-0.3662788926460448	-0.6388381482501683	-0.5777662185672687	-0.22135357324081906	-0.3565373659634594	-1.2449782611769873	-0.991764555761825
YAL009W	0.09956559644726308	0.7241281186433889	-0.008041843153792137	-0.04650687472175221	-1.3035214693983763	-1.2697424987254604	-0.5673982026311815	-1.4487945675923106	0.49295108555475203	-2.751325526375573	-0.7963072713325828	-0.3655734973024648	-1.1800727141711302	-0.5735711507590511	-1.899854817838498	-0.8007053362113971	-0.41631980467197016	-0.6559269126962256	-0.7477926059795744	-0.6197958912034048	-0.5464350570352996	-0.21651873962911009	-0.6510355493494265	-1.2533224089633095	-0.27373680670174905	-0.31471250860118455	-0.3594534885909956	0.44572672082925424	-0.21957029216269655	0.08886700269592934	-0.41614467679365624	-0.878656783728716	-0.9726852954295777
YAL010C	0.09534225201130027	0.33589589191041713	-0.21950183090163175	-0.08396301906318919	-1.5340877589146038	-0.8805558660229983	-0.6630492745506107	-1.092266824170624	-1.0713083893090989	-1.7619745515328593	-0.7465275015848283	-0.471054516489541	-1.2633648411668008	-1.631255611486799	-1.2430332108950062	-0.7011033593295334	-0.2100261467214769	-0.8497726434393241	-0.37265279885589486	-0.8404839904674904	-0.59282709047115	-0.2989807957410892	0.0750173550733573	-1.7397818266309208	-0.486157200676752	0.08248933265867088	-0.3454165738408193	-0.45583857164414193	-0.2158023125799215	-0.028314464824572682	-0.34243115206114766	-1.1296615848553522	-0.7593377792340056
YAL011W	0.2877199419727763	0.6998910563853429	0.2939662783414036	-0.09088886919876658	-0.8516029272164188	-0.3463627065653426	0.40703884048709027	-0.8551499977853123	-0.6544381367828722	-0.6972540510271978	-0.519928472336889	-0.16997852201753522	-1.315743132341449	-1.0112680733961845	-1.237742037349433	-0.19623701327035253	1.125177974162389	-0.4470349597666618	-0.15280331091817248	-0.5053508846251596	-0.5690496755280577	0.14436154308294513	0.8570489346697434	-1.1377512951918674	-0.321332676397359	0.04408170672357698	0.650773259251266	-0.5308977505732421	-0.39921118472672334	-0.02999846294839205	-0.26750693255647295	-0.4977394022964662	0.6410684353788311
