orf	hom | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [4.8 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [9.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [19.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [38.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [76.9 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [31.25 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [62.5 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [125 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [77.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [154.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.025 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.05 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.1 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [16.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [32.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [65.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [130.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [1.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [2.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [4.7 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | alverine citrate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004
YAL001C					-10.241723333333333	-8.394513	-12.963801	-5.305541000000001	-12.777055	-14.8624642	-9.651862	-6.0717165	-10.6145295	-10.0504125	-12.695339666666667	-12.653381000000001	-8.4725975	-8.062036	-9.143468666666665	-11.9028525	-9.998140750000001	-11.733138	-7.572544499999999	-12.756594999999999	-12.7443405	-37.104400999999996	-6.220064000000001	-11.965641999999999	-12.169580499999999	-10.486425	-11.23460725	-11.504931	-12.5500375
YAL002W	-8.3147415	-5.943437333333333	-7.896116	-7.291485000000001	-4.606830666666666	-4.655539555555555	-5.151632	-10.826236999999999	-11.320897	-7.8553128	-11.304884	-9.2284825	-11.077281499999998	-11.336412	-10.35616	-7.917127333333333	-8.156091499999999	-11.153166	-10.008150666666667	-11.165441	-9.585293	-7.114981	-7.490410000000001	-11.360089	-10.0730725	-6.074381	-7.62848	-11.216772	-11.303706	-0.0	-7.6830929999999995	-7.473625	-8.000328
YAL003W					-11.399369666666667	-11.383998555555557	-11.846263	-11.431457	-11.093273	-14.452351000000002	-11.599736499999999	-12.308808500000001	-10.241561999999998	-9.496983499999999	-11.101640333333334	-11.480184666666666	-10.662552999999999	-12.55194	-9.836166666666667	-11.964742000000001	-11.82332925	-11.624861	-11.856407	-12.44766	-11.964288499999999	-16.7086425	-9.905243	-9.511714	-5.2229465	-0.0	-11.625859250000001	-12.559666	-11.40654575
YAL004W	-9.620950999999998	-9.317006333333332	-7.211975500000001	-5.8175835	-10.543800333333332	-12.249502999999999	-10.459394999999999	-12.291015	-0.0	-8.455324000000001	-9.853629999999999	-12.702311	-11.583537	-10.732893	-12.699641999999999	-12.670591333333334	-11.3876595	-11.6162	-11.866452	-9.651793000000001	-12.2132365	-12.6720835	-3.6723269999999997	-12.228788	-9.156718	-5.8198045	-4.800479	-9.804812	-10.2051555	-4.2605515	-12.303573750000002	-9.858953	-12.693315250000001
YAL005C	-8.903909500000001	-8.984145	-6.195716	-8.464179	-9.711877666666666	-7.926802444444443	-10.909778	-10.883547	-7.499103	-8.5481052	-8.3584715	-4.55733	-10.318602	-9.446912000000001	-6.631753333333333	-8.707132	-4.147505	-10.898858	-10.169158000000001	-9.682571	-9.156868	-9.2312265	-10.130938500000001	-10.373533	-9.685622	-10.1113575	-2.2229769999999998	-8.846109	-9.656358	-13.498608999999998	-16.329476749999998	-9.055622	-7.41248425
YAL007C	-8.2032715	-8.477981666666667	-7.031282	-8.3656205	-10.193654	-10.000022333333332	-11.001058	-9.805056	-11.117450999999999	-7.383372800000001	-7.539313	-10.94745	-10.625362500000001	-11.0984555	-9.834588	-8.99875	-9.296954999999999	-10.809312	-10.261446333333334	-10.3745945	-9.047104000000001	-7.756052	-10.353809000000002	-6.144727	-9.9915785	-8.201334	-10.4031235	-10.627939	-10.171965	-10.068644500000001	-9.798250249999999	-10.33911	-10.324577
YAL008W	-10.44423	-10.587057000000001	-8.898832500000001	-9.782754	-11.571741333333335	-11.05306211111111	-10.086279	-9.634703	-11.584571	-11.1006834	-11.228234	-9.821439000000002	-12.716202499999998	-12.111161	-12.196055000000001	-12.168080666666667	-8.422132000000001	-12.736069	-10.398305666666666	-10.506843500000002	-11.8491105	-11.703031	-9.5978765	-12.656981	-12.803867499999999	-7.4260935	-12.631934	-11.709352	-11.7275985	-11.6175855	-11.7386075	-12.797638000000001	-12.44301675
YAL009W	-7.17963	-7.126829666666667	-5.4341985	-7.0518	-11.271366666666665	-12.225812888888889	-11.904355	-12.600296	-8.297757	-15.826284800000002	-11.605099	-11.19598	-11.111437500000001	-10.041220500000001	-11.865669666666667	-12.384988	-11.0712875	-11.621112	-11.349429666666667	-11.5303475	-11.081876	-11.2586725	-12.348122	-11.596134	-10.938465	-12.0510405	-12.5471615	-6.723738000000001	-8.096187	-4.459293	-12.41202975	-11.767785	-12.384088
YAL010C	-7.252552499999999	-7.933822666666667	-7.4567925	-7.908699499999999	-11.745985	-10.880507444444444	-12.500575999999999	-11.832667	-11.658622	-12.925012200000001	-11.398153	-12.070164	-11.2431755	-11.5775355	-10.853346	-11.971707333333333	-9.898751	-12.350039	-9.743025000000001	-12.2066525	-11.27981475	-12.265076	-8.328874	-12.486009	-12.474304	-3.7987474999999997	-12.372821	-10.868125	-8.057987	-7.1632375	-11.5792405	-12.473444	-11.72513675
YAL011W	-3.9308574999999997	-7.177209666666667	-2.5455205	-8.067145	-10.341097000000001	-9.033956444444444	-5.830405000000001	-11.322138	-10.762962	-9.8027184	-10.4561285	-9.574968	-11.326018999999999	-10.676987	-10.845191	-9.876854333333334	-2.309688	-10.835606	-8.801596666666667	-11.179627499999999	-11.17836475	-6.8543295	-3.9997420000000004	-11.384721	-11.282592000000001	-4.596707	-0.0	-11.213163	-9.917397000000001	-7.2020955	-10.73277325	-10.696898	-7.399801999999999
