ORF	hom | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | methotrexate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [4.8 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [9.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [19.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [38.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | 5-fluorouracil [76.9 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [31.25 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [62.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | cisplatin [125 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [62.5 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | time [overnight + 20 generations], atorvastatin [125 uM] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [77.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | lovastatin [154.5 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.025 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.05 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.1 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | miconazole [0.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [16.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [32.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [65.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fluconazole [130.6 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [1.2 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [2.3 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | fenpropimorph [4.7 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | alverine citrate [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [250 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004	het | growth (relative abundance in pooled culture) | dyclonine [500 uM], time [overnight + 20 generations] | Giaever G~Davis RW, 2004
YAL013W	-4.610	-8.685	-10.200	-9.872	-8.598	-9.222	-11.261	-4.069	-12.423	-8.999	-12.445	-11.748	-11.575	-12.536	-12.706	-11.454	-9.701	-12.401	-11.410	-10.906	-11.836	-10.282	-12.540	-12.838	-10.002	-7.573	-12.541	-11.456	-12.085	-0.000	-9.709	-12.290	-12.020
YAL014C	-9.127	-9.015	-7.292	-8.766	-11.344	-11.474	-10.990	-11.803	-10.142	-10.550	-11.973	-12.621	-11.085	-9.205	-11.257	-12.071	-5.462	-12.607	-11.152	-11.902	-11.651	-12.165	-9.758	-12.636	-11.199	-6.799	-11.539	-8.444	-6.953	-10.110	-12.254	-12.584	-11.879
YAL015C	-9.563	-7.420	-8.655	-9.411	-11.361	-11.409	-12.485	-11.964	-11.443	-9.371	-11.400	-12.596	-12.068	-11.236	-11.925	-11.975	-9.877	-12.695	-10.134	-12.372	-10.733	-9.295	-6.966	-12.495	-12.688	-5.234	-3.596	-12.577	-10.567	-10.345	-11.835	-12.664	-11.286
YAL016W	-9.289	-9.330	-9.367	-9.334	-8.030	-3.454	-8.629	-7.600	-3.741	-9.575	-9.068	-6.263	-7.741	-10.530	-8.861	-7.873	-0.000	-5.498	-2.841	-8.047	-7.511	-9.572	-6.676	-7.980	-9.409	-6.902	-5.753	-10.654	-9.885	-0.500	-5.782	-9.931	-9.945
YAL017W	-9.995	-9.534	-7.689	-7.373	-11.636	-12.026	-11.762	-12.152	-4.851	-9.553	-10.141	-10.437	-11.941	-11.473	-12.414	-12.196	-11.210	-11.331	-11.467	-10.146	-10.851	-11.511	-10.252	-12.071	-11.313	-11.915	-4.088	-7.367	-9.139	-4.058	-11.826	-9.503	-12.151
YAL018C	-9.578	-9.555	-9.555	-9.506	-11.803	-11.078	-11.839	-12.160	-12.141	-7.667	-10.736	-11.311	-12.031	-11.570	-11.971	-12.111	-8.584	-9.673	-9.888	-11.920	-11.023	-11.818	-4.133	-12.181	-11.933	-36.893	-11.582	-12.008	-12.005	-9.482	-11.470	-9.957	-11.268
YAL019W	-2.298	-8.655	-7.846	-8.226	-12.150	-11.410	-11.297	-11.519	-11.810	-9.800	-11.440	-8.347	-12.046	-12.262	-11.876	-11.806	-7.812	-9.304	-10.540	-11.749	-10.381	-11.043	-8.838	-12.155	-11.222	-11.455	-9.223	-12.096	-12.115	-9.776	-11.994	-11.506	-12.188
YAL020C	-8.086	-4.896	-1.727	-6.934	-11.628	-11.474	-12.556	-12.546	-10.370	-12.881	-11.353	-12.421	-10.474	-10.517	-11.283	-11.779	-10.333	-12.599	-10.092	-12.141	-11.048	-12.281	-11.538	-12.557	-12.412	-7.917	-8.446	-8.679	-6.933	-11.250	-12.077	-12.463	-11.687
YAL021C	-3.130	-7.080	-7.767	-2.742	-12.698	-12.210	-15.628	-12.740	-5.647	-9.570	-10.110	-10.794	-11.621	-10.724	-12.340	-11.860	-20.012	-12.732	-12.488	-11.755	-11.658	-5.886	-12.521	-12.750	-10.760	-48.635	-11.908	-4.923	-7.135	-3.408	-12.500	-10.470	-12.569
YAL022C	-8.495	-9.246	-7.396	-9.067	-11.070	-10.214	-11.722	-11.631	-11.734	-10.949	-10.772	-11.318	-11.445	-10.629	-10.560	-11.082	-11.503	-11.708	-10.209	-11.709	-9.675	-11.498	-11.373	-11.704	-11.713	-1.197	-11.244	-10.651	-10.336	-2.502	-10.407	-11.034	-10.987
YAL023C	-6.890	-5.226	-7.419	-1.252	-10.982	-10.746	-11.027	-11.073	-11.407	-5.459	-11.217	-11.375	-11.256	-11.388	-11.585	-10.649	-5.360	-10.972	-11.371	-11.364	-9.909	-11.371	-11.328	-11.388	-7.555	-35.622	-0.000	-11.262	-11.472	-10.827	-10.828	-10.583	-10.620
