orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YBR005W	-0.705986	0.7838345
YBR006W	0.703689	-0.114815
YBR007C	0.320918	-0.43726
YBR008C	0.765329	0.966712
YBR009C	-1.007637	-2.51056
YBR010W	-0.81229655	-30.57305
YBR012C	-0.620107	1.1246965
YBR013C	1.2843704999999999	-0.8229449999999998
YBR014C	-0.24695950000000003	0.990192
YBR015C	1.2305205	1.596965
YBR016W	-0.41471749999999996	1.145783
YBR017C	1.7732700000000001	
YBR018C	-0.31316600000000006	0.4471273
YBR019C	0.254679	-0.043172000000000016
YBR020W	0.7201237500000001	1.2956929750000001
YBR021W	-0.900402	-4.785195
YBR022W	-0.40877235	0.602694
YBR023C	-0.404293	-5.67798
YBR024W	0.1152873	0.5812155
YBR025C	-0.09623225	3.82747
YBR026C	-0.0999641	
YBR027C	-0.4524857	0.40712250000000005
YBR028C	-0.7855515	-3.848665
YBR030W	-0.17715250000000002	-2.201465
YBR031W	1.5413450000000002	1.1514945
YBR032W	-0.04575700000000002	-0.7602377499999999
YBR033W	-0.97586505	2.74559
YBR034C	-0.5343479999999999	2.944235
YBR035C	-0.1160015	-0.3649485
YBR036C	-0.022863300000000003	1.836365
YBR037C	0.7446465	2.36746
YBR039W	1.1796250000000001	
YBR040W	0.0634798	0.04716475
YBR041W	0.3821405	2.12918
YBR042C	-0.609849	-1.4745185
YBR043C	0.24828865	1.168151
YBR044C	0.137243	-0.90582
YBR045C	-0.499079	0.049185000000000034
YBR046C	-1.9067500000000002	1.4861595
YBR047W	-0.8222665	0.9098350000000001
YBR048W	-0.10079359999999998	-2.0186665
YBR050C	-0.40707849999999995	-0.21365249999999997
YBR051W	-1.3925100000000001	0.8223244999999999
YBR052C	-0.3305345	-0.407676
YBR053C	-0.2796167	0.41226799999999997
YBR054W	-1.162175	1.5608395000000002
YBR056W	0.02207061	-0.9812514999999999
YBR057C	-0.45157400000000003	-1.7703
