ORF	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016
YJR030C	6.319	NaN
YOR291W	1.130	NaN
YGL195W	0.482	NaN
YLR135W	-49.700	-23.698
YDR075W	-34.323	-16.453
YNL201C	-41.336	-15.965
YNR051C	-13.023	-14.789
YCL061C	-17.809	-11.313
YER151C	-5.590	-12.817
YNL273W	-22.643	-11.266
YDR120C	-15.466	-11.185
YHR025W	-11.698	-9.919
YHR204W	-15.262	-8.794
YDR121W	-10.544	-8.426
YIL153W	-12.829	-8.332
YML061C	NaN	-8.280
YMR073C	-16.678	-6.907
YJL092W	-3.572	-6.829
YMR038C	NaN	-6.680
YBR277C	-5.725	-6.621
YLR087C	-16.037	-6.582
YML073C	-1.603	-6.375
YGL175C	-27.019	-6.149
YCR020C-A	-39.265	-6.114
YPL042C	-2.787	-5.902
YLR204W	-25.602	-5.801
YJR043C	-10.171	-5.671
YBR278W	-2.694	-5.646
YDL190C	-23.976	-5.544
YDL101C	-6.515	-5.294
YHR077C	-21.153	-5.264
YGR223C	-66.662	-5.252
YGR164W	-31.658	-4.837
YMR284W	-20.542	-4.760
YPR070W	-6.742	-4.701
YFL056C	-30.380	-4.652
YKR092C	-2.293	-4.430
YLR268W	-7.964	-4.409
YLR421C	-21.149	-4.274
YCR081W	NaN	-4.128
YPR040W	-8.529	-3.828
YHL027W	-19.134	-3.653
YMR190C	-2.418	-3.604
YFR032C-A	-2.779	-3.579
YEL053C	-22.601	-3.576
YMR106C	-83.521	-3.476
YPR051W	-27.137	-3.450
YJR104C	NaN	-3.442
YLR252W	-17.170	-3.436
YBL046W	-28.472	-3.433
YDR457W	-15.144	-3.432
YGL168W	-2.613	-3.414
YNL031C	-10.268	-3.383
YPR123C	NaN	-3.373
YPR120C	-21.775	-3.360
YPR050C	-26.693	-3.356
YML028W	-15.807	-3.343
YJR139C	-10.540	-3.320
