ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YAL047C	-0.050	1.583	0.431	0.574
YAL048C	0.038	-0.106	0.105	-1.386
YAL049C	-0.092	0.018	0.274	0.707
YAL051W	-0.036	-0.103	0.080	0.811
YAL053W	2.101	2.333	-0.016	0.539
YAL054C	-0.022	0.133	-0.072	0.297
YAL055W	1.008	0.669	0.292	-0.431
YAL056C-A	0.326	0.707	-0.115	1.038
YAL056W	1.137	0.796	0.317	0.396
YAL058W	0.224	-0.399	0.098	0.363
YAL059W	-0.880	-2.160	0.044	-1.971
YAL060W	-0.082	-0.571	0.184	1.658
YAL061W	-0.401	-0.459	-0.078	-2.277
YAL062W	-0.118	0.456	-0.017	-0.234
YAL064C-A	-0.192	-0.641	-0.318	1.165
YAL065C	-0.317	-0.038	-0.094	0.173
YAL066W	-0.557	-0.251	0.021	0.401
YAL067C	0.289	0.541	0.992	0.835
YAL067W-A	0.043	-0.119	-0.436	0.123
YAL068C	-0.087	-0.275	-0.468	0.126
YAR002C-A	-0.111	0.346	-0.482	2.285
YAR002W	0.768	-0.235	1.773	4.040
YAR003W	-0.248	1.851	0.091	0.225
YAR007C	NaN	NaN	-0.505	-1.872
YAR008W	NaN	NaN	0.123	1.203
YAR014C	-0.284	2.601	0.292	1.683
YAR015W	-2.682	0.549	0.040	0.336
YAR018C	-0.713	-0.079	0.192	2.342
YAR019C	NaN	NaN	0.172	0.596
YAR020C	-0.090	-0.414	1.054	0.258
YAR023C	-0.281	-0.651	0.269	1.341
YAR027W	-0.087	-0.637	-0.211	1.336
YAR028W	-0.195	-0.744	-0.170	1.404
YAR029W	0.186	-0.007	0.199	1.830
YAR030C	-0.069	-0.240	0.046	0.131
YAR031W	0.103	0.162	0.150	0.837
YAR035C-A	0.142	0.683	0.183	1.428
YAR035W	-0.175	-0.330	-0.183	0.412
YAR037W	0.025	-0.042	0.316	0.749
YAR040C	-0.252	0.372	-0.143	-1.617
YAR042W	0.131	-0.312	-0.549	0.247
YAR043C	-0.045	-0.615	-0.140	-0.884
