ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YDR534C	-0.954	-0.325	0.213	-0.233
YDR535C	-0.275	-0.161	-0.220	-0.099
YDR536W	-0.470	-1.400	0.037	-1.174
YDR537C	0.108	0.863	0.094	2.057
YDR538W	-0.159	-1.320	0.099	0.272
YDR539W	0.034	-0.728	0.194	-0.012
YDR540C	1.116	0.597	-0.143	-0.344
YDR541C	0.012	-0.836	0.208	0.597
YEL001C	-0.085	-0.639	-0.278	0.305
YEL002C	NaN	NaN	-0.125	0.059
YEL003W	-1.376	-1.948	-0.084	1.502
YEL004W	-0.194	-0.578	0.477	-0.427
YEL005C	-0.137	-1.306	0.047	0.738
YEL006W	0.110	0.155	-0.073	1.195
YEL007W	-0.114	0.183	-0.138	-0.046
YEL008W	0.753	-0.400	0.217	-1.193
YEL009C	0.343	-2.014	0.583	-1.528
YEL010W	-0.196	-0.270	-0.083	1.261
YEL011W	-0.088	-0.247	-0.052	-0.143
YEL012W	1.141	0.995	-0.191	1.016
YEL013W	-0.014	0.317	-1.088	-1.573
YEL014C	-0.238	-0.511	0.063	0.469
YEL015W	-0.276	-0.803	-0.002	-0.647
YEL016C	0.090	-0.340	-0.111	-0.037
YEL017C-A	-0.400	-1.041	-1.251	-0.259
YEL017W	-0.060	-1.169	0.738	-0.651
YEL018W	-0.197	-0.491	-0.450	0.318
YEL019C	NaN	NaN	-0.248	-1.587
YEL020C	-0.022	-0.156	0.115	0.933
YEL020W-A	0.123	0.541	0.285	0.683
YEL022W	0.085	0.944	0.470	2.561
YEL023C	0.037	-0.368	0.681	0.786
YEL024W	-0.455	0.356	0.190	-0.463
YEL025C	0.036	-0.153	0.440	0.700
YEL026W	NaN	NaN	0.198	0.537
YEL027W	0.053	1.773	-0.657	-1.058
YEL028W	0.005	0.160	0.204	1.704
YEL029C	-0.161	0.098	-0.399	-1.883
YEL030W	-0.197	-0.115	0.255	2.389
YEL031W	-0.372	1.624	-0.148	1.731
YEL032W	NaN	NaN	-0.767	-0.021
YEL033W	0.054	3.399	-0.530	1.126
YEL034W	NaN	NaN	-0.765	2.389
YEL035C	NaN	NaN	0.015	0.104
YEL036C	-0.327	1.111	-0.766	-0.047
YEL037C	-0.277	-0.183	1.320	2.349
YEL038W	-0.035	-0.304	-0.000	-0.186
YEL039C	-0.015	-0.191	0.338	0.057
YEL040W	0.004	-0.038	-0.459	1.286
YEL041W	0.218	0.027	-0.022	0.550
YEL042W	0.526	-1.880	-0.015	-0.231
YEL043W	-0.065	1.009	0.615	2.296
YEL044W	-0.137	0.566	-0.114	2.055
YEL045C	0.108	3.030	-0.182	0.857
YEL046C	0.158	0.809	-0.454	0.563
YEL047C	1.740	0.935	0.094	0.228
YEL048C	0.004	-0.796	0.282	-0.185
YEL049W	-0.229	0.324	-0.010	-0.570
YEL050C	-0.278	0.871	-1.346	-0.378
YEL051W	-0.243	1.967	0.138	-1.139
YEL052W	0.239	-0.207	-0.304	-0.812
YEL053C	0.774	-2.115	0.439	1.225
YEL054C	0.716	0.073	-0.924	1.685
YEL055C	NaN	NaN	-0.243	-0.276
YEL056W	-0.238	-0.291	-0.216	0.047
YEL057C	0.198	0.098	0.006	0.127
YEL058W	NaN	NaN	-0.103	1.040
YEL059C-A	0.362	1.109	-0.926	1.227
YEL059W	-0.600	-0.454	0.705	2.098
YEL060C	-0.220	0.956	-0.183	1.163
YEL061C	-0.128	0.230	0.465	1.112
YEL062W	-1.990	-0.243	0.371	1.277
YEL063C	-1.139	-0.642	-0.116	1.599
YEL064C	-0.287	0.383	0.372	-0.990
YEL065W	-0.083	-0.188	-1.062	0.709
YEL066W	-0.080	-0.620	-0.096	0.980
YEL067C	-0.126	0.120	-0.323	0.074
YEL068C	-0.149	-0.623	0.439	0.044
YEL071W	-0.065	0.341	-0.286	0.812
YEL072W	-0.174	-0.026	0.489	1.292
YER001W	-0.327	-0.471	-0.295	-1.466
YER002W	-0.828	-0.223	-0.185	0.601
YER003C	NaN	NaN	-0.079	-2.189
YER004W	0.224	0.271	0.037	-0.407
YER005W	0.738	1.226	-0.171	-0.712
YER006W	NaN	NaN	-0.038	-0.073
YER007C-A	0.184	-1.773	0.020	0.189
YER007W	-0.253	-0.341	0.715	0.448
YER008C	NaN	NaN	0.083	-0.542
YER009W	NaN	NaN	0.123	-1.236
YER010C	-0.155	-0.640	0.168	-0.456
YER011W	0.156	-0.174	-0.034	0.019
YER012W	NaN	NaN	0.436	0.243
YER013W	NaN	NaN	-0.323	0.570
YER014C-A	0.131	0.303	-0.554	-0.284
YER014W	-0.076	0.060	-0.164	-1.056
YER015W	-0.445	0.971	0.068	-0.745
YER016W	0.126	0.561	-0.102	0.803
YER017C	0.442	2.120	0.679	1.223
YER018C	NaN	NaN	0.064	0.627
YER019C-A	0.817	-1.647	1.069	-0.739
YER019W	-0.517	-0.053	0.088	-1.546
YER020W	-0.860	0.290	0.266	0.311
YER021W	NaN	NaN	1.373	2.410
YER022W	NaN	NaN	0.097	1.548
YER023W	NaN	NaN	0.282	-1.356
YER024W	-0.254	-0.212	0.057	1.144
YER025W	NaN	NaN	-1.108	-1.204
YER026C	0.247	0.401	0.150	0.420
YER027C	0.075	-0.163	0.276	0.237
YER028C	0.994	1.776	0.164	1.173
YER029C	0.088	0.352	0.156	0.451
YER030W	-0.435	-1.647	0.436	0.408
YER031C	1.398	1.526	-0.278	0.952
YER032W	0.252	-0.472	0.624	0.307
YER033C	-0.553	-0.358	-0.504	-0.688
YER034W	-0.044	-0.687	-0.647	0.078
YER035W	-0.205	0.127	-0.081	1.188
YER036C	NaN	NaN	-0.285	-0.845
YER037W	0.197	-0.132	0.285	1.148
YER038C	NaN	NaN	0.039	0.514
YER038W-A	-0.127	-0.782	0.067	-0.737
YER039C	-0.180	-0.575	0.965	0.318
YER039C-A	-0.261	0.010	-0.008	0.628
YER040W	0.385	-2.501	0.659	1.312
YER041W	0.152	-0.069	0.210	-1.248
YER042W	-0.250	-1.197	0.214	0.979
YER043C	NaN	NaN	0.644	-0.951
YER044C	0.108	0.342	0.798	-1.335
YER044C-A	0.082	-0.228	0.239	0.230
YER045C	0.789	-3.581	-0.115	0.070
YER046W	-0.192	-0.159	-0.170	-0.156
YER046W-A	0.078	-0.376	0.025	-0.511
YER047C	0.050	0.142	0.462	0.350
YER048C	0.022	-0.518	-0.349	0.408
YER048W-A	NaN	NaN	0.174	0.187
YER049W	0.296	-0.309	-0.131	0.117
YER050C	-0.339	0.987	-0.173	-0.199
YER051W	-0.162	-0.034	0.241	0.475
YER052C	0.080	0.796	0.138	0.816
YER053C	0.016	-0.341	0.611	-1.336
YER053C-A	0.130	-0.168	-0.722	0.501
YER054C	0.262	1.021	-0.115	-0.082
YER055C	0.068	0.164	0.141	-0.394
YER056C	-0.880	-2.158	0.015	-1.576
YER056C-A	0.363	0.178	-0.483	-1.246
YER057C	0.062	-0.271	0.236	-1.831
YER058W	0.015	-0.112	0.345	1.078
YER059W	-0.663	0.334	-0.302	-0.398
YER060W	0.372	0.094	0.739	0.039
YER060W-A	0.000	-0.866	-0.156	0.346
YER061C	0.060	1.848	-0.061	0.814
YER062C	-0.220	-0.491	0.044	-0.948
YER063W	-0.246	-0.473	-0.167	0.733
YER064C	0.025	0.316	-0.112	0.619
YER065C	-0.258	-0.542	0.221	0.075
YER066C-A	-0.053	-0.102	0.198	-0.805
YER066W	-0.208	-0.720	-0.315	0.379
YER067C-A	0.018	-1.559	0.668	1.326
YER067W	-0.197	-0.539	0.341	0.872
YER068C-A	0.033	-0.553	-0.112	-0.255
YER068W	0.102	1.341	-0.448	-1.128
YER069W	0.164	-0.730	-0.679	2.443
YER070W	-0.272	0.309	0.293	1.254
YER071C	-0.083	-0.407	-0.076	-0.908
YER072W	0.394	-1.625	0.605	0.840
YER073W	0.060	0.009	-0.465	-0.960
YER074W	-0.199	-1.234	-0.558	0.242
YER074W-A	0.253	0.271	-1.383	0.233
YER075C	-0.402	-0.418	0.106	0.166
YER076C	-1.097	-0.656	-1.778	0.175
YER077C	0.012	1.301	0.191	0.558
YER078C	0.256	1.152	-0.365	1.032
YER078W-A	-0.031	0.423	0.009	0.336
YER079W	-0.489	-1.649	-0.145	0.463
YER080W	-0.110	0.522	-0.179	0.638
YER081W	-1.987	-0.067	-0.202	-0.509
YER082C	NaN	NaN	-0.219	-1.949
YER083C	0.022	0.375	0.301	0.500
YER084W	1.269	2.900	0.239	2.170
YER085C	-0.088	-1.118	0.081	-0.853
YER086W	0.108	2.770	-0.341	-0.426
YER087C-B	-0.240	-0.648	0.143	-0.500
YER087W	1.414	2.259	-0.474	2.266
YER088C	0.763	-0.904	1.945	0.811
YER089C	0.126	-0.242	-0.921	1.485
YER090W	0.456	-1.638	-0.116	0.520
YER091C	-0.894	-1.180	-0.079	0.161
YER091C-A	-0.096	-1.231	0.024	0.672
YER092W	-1.385	0.474	-0.171	0.941
YER093C	NaN	NaN	-0.123	0.435
YER093C-A	0.665	0.632	-0.110	0.683
YER094C	NaN	NaN	-0.317	2.512
YER095W	0.233	1.948	-1.059	0.958
YER096W	-0.243	-1.037	-0.427	3.000
YER097W	-0.677	-1.772	-0.313	0.645
YER098W	-0.384	-3.073	-0.540	-1.082
YER099C	-0.024	-0.755	1.024	0.049
YER101C	-0.003	1.070	0.466	1.325
YER103W	-0.420	-0.052	-1.180	0.234
YER104W	NaN	NaN	0.401	0.911
YER105C	0.574	0.546	0.353	2.109
YER106W	-0.127	-0.674	0.543	0.017
YER107C	0.160	0.524	0.614	0.911
YER108C	-0.365	0.764	0.041	0.738
YER109C	-0.051	0.194	0.229	0.941
YER110C	0.848	0.270	0.817	1.377
YER111C	0.129	1.256	1.314	-0.483
YER112W	NaN	NaN	0.180	0.446
YER113C	0.646	-0.043	-0.045	0.798
YER114C	0.303	1.287	1.073	0.861
YER115C	0.505	0.817	-0.227	-1.864
YER116C	0.202	2.233	1.731	-0.971
YER117W	0.113	0.442	-0.805	2.869
YER118C	-0.179	-0.271	1.001	1.226
YER119C	0.094	0.541	-0.504	-0.745
YER119C-A	-0.470	0.888	-0.542	0.303
YER120W	-0.233	1.037	-1.600	-2.371
YER121W	0.260	0.588	0.328	0.407
YER122C	0.319	1.265	0.010	0.512
YER123W	-0.408	1.040	-0.269	-0.248
YER124C	-0.494	-0.258	0.130	-0.174
YER125W	NaN	NaN	4.482	3.124
YER126C	NaN	NaN	0.239	-1.413
YER127W	NaN	NaN	-0.035	-1.016
YER128W	0.035	0.420	0.202	0.612
YER129W	-0.022	0.538	-0.466	0.495
YER130C	0.621	0.026	1.120	1.339
YER131W	-0.493	0.681	-0.026	-0.734
YER132C	-0.335	0.166	-0.976	-0.842
YER133W	NaN	NaN	-2.344	-2.152
YER134C	-0.376	0.592	0.189	0.470
YER135C	-0.188	0.090	1.470	2.398
YER136W	NaN	NaN	0.361	0.461
YER137C	-0.145	1.143	-0.172	0.703
YER139C	0.444	1.842	0.308	0.700
YER140W	-0.390	0.598	0.365	-0.323
YER141W	0.146	1.519	-0.238	-1.788
YER142C	-0.544	-0.446	0.210	0.772
YER143W	-0.081	0.337	0.254	0.742
YER144C	0.034	0.306	0.249	0.671
YER145C	-0.161	0.536	0.909	0.998
YER146W	NaN	NaN	-0.093	0.834
YER147C	NaN	NaN	0.361	0.304
YER148W	NaN	NaN	-0.850	-0.468
YER149C	0.121	1.644	-0.718	1.178
YER150W	0.053	-0.080	0.028	0.563
YER151C	0.756	1.203	-0.683	1.159
YER152C	-1.112	-0.085	-0.653	0.142
YER153C	0.189	0.372	0.259	1.790
YER154W	0.053	2.792	0.091	-1.568
YER155C	1.928	1.401	1.734	2.623
YER156C	0.433	1.615	-1.095	0.154
YER157W	NaN	NaN	0.133	1.724
YER158C	0.093	0.893	-0.392	0.710
YER159C	NaN	NaN	-0.420	0.569
YER161C	0.885	0.049	0.156	1.244
YER162C	-0.837	-0.753	-0.011	-0.448
YER163C	-0.186	0.449	-1.209	-0.154
YER164W	0.791	-0.505	1.004	3.195
YER165W	NaN	NaN	-0.058	2.140
YER166W	0.495	-0.112	1.468	2.620
YER167W	0.211	1.711	0.301	-0.067
YER168C	NaN	NaN	-0.167	1.151
YER169W	-0.808	0.681	-1.290	-0.725
YER170W	-0.257	-0.145	0.445	0.999
YER171W	NaN	NaN	0.151	-0.392
YER172C	NaN	NaN	0.139	-0.594
YER173W	0.190	0.506	0.734	-0.143
YER174C	-0.981	0.562	-0.213	0.556
YER175C	-0.169	-0.098	0.238	1.087
YER175W-A	-0.402	0.019	0.089	-1.050
YER176W	0.344	0.599	0.096	0.345
YER177W	-2.163	0.078	-0.617	1.303
YER178W	0.251	0.152	0.741	3.152
YER179W	0.079	0.340	0.348	0.727
YER180C	-0.146	0.256	-0.512	0.433
YER180C-A	0.323	0.570	-0.053	-0.688
YER181C	0.330	0.747	0.007	0.541
YER182W	-0.362	1.095	-0.419	-0.390
YER183C	-0.465	-0.025	-0.361	-0.805
YER184C	0.137	0.254	-0.119	0.228
YER185W	-0.157	0.777	1.238	-0.661
YER186C	-0.132	0.979	0.201	0.706
YER186W-A	-0.131	-0.611	-0.341	-0.268
YER187W	0.158	1.344	0.781	-0.203
YER188C-A	-0.097	0.437	0.223	1.154
YER188W	-0.036	0.156	1.594	0.885
YFL001W	-0.083	0.200	0.053	0.507
YFL002C	NaN	NaN	0.162	0.806
YFL003C	0.684	1.131	0.319	-0.058
YFL004W	0.211	1.112	0.614	1.417
YFL005W	NaN	NaN	-0.413	1.276
YFL007W	0.146	0.548	-0.106	0.262
YFL008W	NaN	NaN	0.734	0.153
YFL009W	NaN	NaN	0.074	1.303
YFL010C	0.173	0.800	-0.145	0.565
YFL010W-A	0.391	0.307	0.070	0.808
YFL011W	-0.090	0.025	-0.101	-0.514
YFL012W	-0.027	0.541	0.128	0.469
YFL012W-A	-0.074	1.094	0.255	1.126
YFL013C	-0.024	0.275	0.393	0.209
YFL014W	-0.083	0.403	0.515	2.365
YFL015C	-0.320	-0.840	-0.712	0.663
YFL016C	-0.173	1.231	0.065	1.095
YFL017C	NaN	NaN	-0.095	1.018
YFL017W-A	NaN	NaN	-0.249	-1.210
YFL018C	-0.352	0.948	0.587	0.719
YFL019C	-0.236	0.090	0.132	1.895
YFL020C	-0.025	-0.338	0.268	0.399
YFL021W	-0.147	0.581	0.233	-1.153
YFL022C	NaN	NaN	0.122	0.572
YFL023W	1.099	1.022	0.143	-1.261
YFL024C	NaN	NaN	-0.364	-1.287
YFL025C	1.514	3.039	0.130	0.358
YFL026W	0.072	0.589	-0.217	1.359
YFL027C	0.015	0.065	0.263	0.716
YFL028C	-0.108	-1.297	-0.296	-0.152
YFL029C	NaN	NaN	0.686	-0.445
YFL030W	0.071	-0.591	0.033	0.314
YFL031W	-0.537	-0.591	0.128	0.642
YFL032W	-0.156	-0.019	0.182	-0.456
YFL033C	0.780	0.121	0.709	3.079
YFL034C-A	0.006	-1.185	0.054	1.327
YFL034C-B	NaN	NaN	0.134	-0.544
YFL034W	0.485	0.447	0.284	0.436
YFL036W	0.296	0.306	-0.042	0.456
YFL037W	NaN	NaN	-0.432	-0.308
YFL038C	NaN	NaN	0.139	-1.126
YFL039C	NaN	NaN	0.158	0.476
YFL040W	-0.187	-1.006	-0.107	0.085
YFL041W	-0.177	-0.484	0.028	0.620
YFL041W-A	-0.645	-0.117	0.318	0.015
YFL042C	-0.172	-0.176	-0.303	1.271
YFL044C	-0.194	-0.311	0.203	-1.291
YFL045C	NaN	NaN	0.078	0.709
YFL046W	0.098	0.121	-0.066	0.803
YFL047W	0.004	-0.507	0.196	0.892
YFL048C	-0.142	-0.006	0.095	0.178
YFL049W	0.054	-0.890	-0.598	-0.601
YFL050C	0.109	0.110	0.529	1.151
YFL051C	-0.345	-0.557	-0.048	-0.247
YFL052W	-0.002	-0.130	0.106	-0.397
YFL053W	-0.311	-0.414	-0.083	-0.504
YFL054C	-0.191	0.001	-0.014	0.621
YFL055W	-0.239	-0.746	-0.030	0.021
YFL056C	0.081	-0.742	0.402	0.546
YFL060C	0.221	1.141	-0.368	0.710
YFL063W	-0.124	0.696	0.366	0.735
YFR001W	0.281	1.093	-0.253	1.533
YFR002W	NaN	NaN	0.362	0.307
YFR003C	NaN	NaN	0.085	0.127
YFR004W	NaN	NaN	0.932	1.138
YFR005C	NaN	NaN	0.091	-0.242
YFR006W	-0.004	0.592	-0.338	-2.362
YFR007W	0.202	0.242	0.100	0.205
YFR008W	-0.306	0.527	-0.190	0.163
YFR009W	0.236	-0.725	-0.083	0.181
YFR010W	-0.253	-0.812	0.752	0.708
YFR011C	0.216	-0.203	-0.198	1.025
YFR012W	-0.083	-0.584	-0.364	0.081
YFR012W-A	-0.062	-0.407	-0.394	0.147
YFR013W	0.070	-0.152	-0.038	0.769
YFR014C	-0.138	-0.055	-0.026	0.293
YFR015C	-0.454	-0.009	-0.275	-0.382
YFR016C	0.112	0.551	0.375	1.320
YFR017C	0.051	0.572	0.409	0.228
YFR018C	-0.745	-0.045	0.194	0.298
YFR019W	0.139	1.520	0.668	0.587
YFR020W	-0.203	-0.195	0.266	-0.405
YFR021W	1.352	-1.190	-0.189	-1.157
YFR022W	-0.281	-0.954	-0.040	0.125
YFR023W	0.001	-0.444	-0.083	-1.182
YFR024C-A	-0.211	-0.509	0.177	0.378
YFR025C	-0.125	0.618	0.242	1.096
YFR026C	-0.132	-0.238	-0.667	1.604
YFR027W	NaN	NaN	0.115	0.748
YFR028C	NaN	NaN	-0.035	0.303
YFR029W	NaN	NaN	-0.599	2.231
YFR030W	-0.029	-0.000	0.193	0.204
YFR031C	NaN	NaN	-0.223	1.157
YFR031C-A	-0.508	1.376	-0.300	2.156
YFR032C	0.157	-0.890	0.076	1.581
YFR032C-A	-0.656	-0.276	-0.246	0.015
YFR032C-B	-1.220	-0.781	-0.203	1.142
YFR033C	-0.609	-0.611	-0.042	0.846
YFR034C	4.044	4.163	-0.397	-0.608
YFR035C	-0.030	-0.321	0.150	2.305
YFR036W	-0.050	-0.408	0.037	0.036
YFR037C	NaN	NaN	3.647	5.137
YFR038W	-1.993	-1.192	0.210	-0.004
YFR039C	-0.034	0.694	0.109	0.833
YFR040W	1.016	-0.534	0.287	1.309
YFR041C	0.183	0.143	-0.109	0.751
YFR042W	NaN	NaN	-0.066	-0.216
YFR043C	0.170	-0.117	0.101	0.909
YFR044C	1.027	1.254	1.428	2.294
YFR045W	0.228	0.232	0.657	0.851
YFR046C	0.195	-0.604	0.149	1.275
YFR047C	0.000	0.044	-0.348	0.631
YFR048W	-0.301	-0.749	0.379	1.085
YFR049W	0.096	-0.510	0.221	-1.529
YFR050C	NaN	NaN	0.050	1.194
YFR051C	NaN	NaN	0.336	-0.148
YFR052W	NaN	NaN	1.242	-0.065
YFR053C	0.160	-0.666	0.307	0.699
YFR054C	0.144	0.450	0.531	1.840
YFR055W	0.225	-0.257	1.874	3.302
YFR056C	0.120	-0.271	0.176	-0.325
YFR057W	-0.087	-0.220	-0.233	0.331
YGL001C	NaN	NaN	0.442	0.993
YGL002W	-0.281	-0.387	0.212	1.044
YGL003C	1.085	1.461	0.005	1.570
YGL004C	-0.251	0.382	-0.280	1.157
YGL005C	0.671	-0.605	-0.496	0.562
YGL006W	0.288	-0.505	-0.103	1.055
YGL006W-A	-0.023	-0.938	0.228	0.894
YGL007C-A	0.088	0.687	-2.250	-1.855
YGL007W	-2.354	0.180	-1.501	0.638
YGL008C	NaN	NaN	-1.355	-1.136
YGL009C	-0.022	-0.011	0.201	0.991
YGL010W	-0.312	-0.943	-0.333	0.043
YGL011C	NaN	NaN	0.770	2.605
YGL012W	-2.427	0.019	0.188	1.022
YGL013C	-0.407	0.167	-0.292	0.356
YGL014W	-0.312	-0.961	-1.352	0.070
YGL015C	0.449	0.112	-0.091	0.791
YGL016W	0.494	0.658	-0.323	1.248
YGL017W	0.142	0.219	-1.324	0.932
YGL018C	NaN	NaN	0.046	0.210
YGL019W	-1.693	-0.544	-0.782	0.198
YGL020C	0.477	2.001	-0.131	1.101
YGL021W	0.201	-1.062	-0.235	1.167
YGL022W	NaN	NaN	0.048	0.801
YGL023C	-0.135	0.464	-0.022	0.354
YGL024W	0.135	0.574	-0.293	-0.018
YGL025C	0.317	1.064	-0.167	0.528
YGL026C	0.519	1.011	0.011	1.214
YGL027C	0.982	0.963	-0.245	1.057
YGL028C	0.589	0.510	0.055	0.484
YGL029W	-0.238	0.055	-0.055	0.847
YGL030W	NaN	NaN	-0.125	0.253
YGL031C	-1.255	-0.349	-0.508	1.803
YGL032C	-0.036	-0.324	-0.089	-0.008
YGL033W	0.548	0.039	0.183	0.846
YGL034C	0.423	0.911	0.306	0.084
YGL035C	0.564	0.581	0.156	0.632
YGL036W	0.028	0.305	-0.438	0.273
YGL037C	0.106	-0.026	0.934	-0.438
YGL038C	0.026	1.603	-0.528	-0.859
YGL039W	-0.110	-1.477	-0.038	0.803
YGL040C	NaN	NaN	0.135	0.410
YGL041C	0.029	-0.249	-0.360	1.185
YGL041C-B	-0.127	0.198	0.643	0.720
YGL042C	0.163	0.532	0.128	0.633
YGL043W	0.683	-1.739	-0.778	-0.061
YGL044C	NaN	NaN	-0.683	0.760
YGL045W	0.574	0.379	1.202	0.852
YGL047W	NaN	NaN	0.230	1.020
YGL048C	NaN	NaN	0.362	1.958
YGL049C	-0.052	0.700	-0.188	-0.332
YGL050W	-0.080	0.017	-0.203	0.475
YGL051W	-0.490	0.520	-0.853	1.354
YGL053W	-0.044	-0.182	-1.304	0.544
YGL054C	0.553	1.795	0.071	1.528
YGL055W	NaN	NaN	1.870	3.234
YGL056C	-0.475	-0.065	-0.671	1.079
YGL057C	-0.404	0.498	0.092	0.191
YGL058W	0.228	1.982	-1.888	0.183
YGL059W	0.075	-0.735	0.530	2.662
YGL060W	-0.724	0.006	0.815	2.087
YGL061C	NaN	NaN	0.097	0.292
YGL062W	-0.311	-0.639	-0.456	1.738
YGL063W	0.036	0.499	-0.028	1.262
YGL064C	-1.588	1.855	0.073	0.358
YGL065C	NaN	NaN	-0.532	-1.129
YGL066W	0.957	-0.053	-0.131	0.831
YGL067W	0.055	-0.988	-0.521	0.669
YGL068W	NaN	NaN	0.014	0.060
YGL069C	NaN	NaN	0.431	0.622
YGL070C	-0.007	0.532	3.508	0.488
YGL071W	-0.984	0.387	0.327	0.046
YGL072C	-0.256	-0.488	1.286	0.305
YGL073W	NaN	NaN	0.256	0.205
YGL074C	NaN	NaN	-0.353	0.594
YGL075C	NaN	NaN	-0.007	0.116
YGL076C	0.235	0.479	-0.082	1.904
YGL077C	0.771	0.362	0.099	1.388
YGL078C	-1.162	-0.132	-0.531	0.888
YGL079W	0.001	-1.629	-0.078	1.206
YGL080W	0.034	-0.424	0.262	0.856
YGL081W	0.160	0.222	0.002	0.826
YGL082W	0.154	-0.169	0.284	0.916
YGL083W	-0.313	0.186	-0.712	0.923
YGL084C	1.275	2.417	-0.412	-1.293
YGL085W	-0.036	0.079	-0.206	-0.115
YGL086W	0.480	-0.265	-0.161	2.117
YGL087C	0.263	0.073	0.986	0.973
YGL088W	-0.160	1.077	1.464	3.484
YGL089C	-0.161	-0.103	-0.090	1.115
YGL090W	-0.154	-0.028	0.021	0.143
YGL091C	NaN	NaN	-0.350	0.721
YGL092W	NaN	NaN	-0.217	1.065
YGL093W	NaN	NaN	0.183	0.227
YGL094C	-0.236	-0.166	0.013	0.849
YGL095C	1.310	1.781	0.892	1.555
YGL096W	-0.048	0.933	-0.213	1.805
YGL097W	NaN	NaN	-0.351	0.036
YGL098W	NaN	NaN	-1.019	2.218
YGL099W	NaN	NaN	0.034	0.703
YGL100W	-0.241	0.920	0.143	0.236
YGL101W	0.187	0.007	0.035	0.203
YGL102C	NaN	NaN	0.191	0.548
YGL103W	NaN	NaN	0.254	2.061
YGL104C	-0.187	0.203	-0.034	-0.685
YGL105W	-0.099	1.432	0.315	0.526
YGL107C	-0.216	0.743	-0.592	1.098
YGL108C	0.015	0.069	1.727	1.759
YGL109W	-0.127	0.432	-0.103	0.942
YGL110C	0.143	0.111	0.196	-0.032
YGL111W	NaN	NaN	0.101	0.801
YGL112C	NaN	NaN	0.673	3.570
YGL113W	NaN	NaN	0.100	0.553
YGL114W	0.393	0.143	-0.588	-1.147
YGL115W	0.153	1.063	0.616	2.065
YGL116W	NaN	NaN	-0.531	0.613
YGL117W	0.978	1.796	-0.419	1.738
YGL118C	0.275	0.668	0.053	0.988
YGL119W	-0.508	2.784	-0.407	-2.442
YGL120C	NaN	NaN	0.309	0.789
YGL121C	0.132	1.031	0.921	1.843
YGL122C	NaN	NaN	-0.507	0.065
YGL123W	NaN	NaN	0.030	-0.006
YGL124C	-0.042	0.723	0.149	-0.875
YGL125W	0.017	0.092	0.105	1.036
YGL126W	-0.233	-0.869	0.046	0.409
YGL127C	0.010	2.028	-0.016	0.190
YGL128C	NaN	NaN	0.155	0.992
YGL129C	0.226	0.745	-0.023	0.004
YGL130W	NaN	NaN	-0.032	0.545
YGL131C	-0.436	-1.238	-0.330	0.214
YGL132W	0.117	0.397	-0.292	1.608
YGL133W	-0.233	0.847	-1.039	-0.057
YGL134W	-0.748	-0.063	-0.274	-0.823
YGL135W	0.100	1.691	0.139	0.031
YGL136C	-0.225	0.923	0.141	0.953
YGL137W	NaN	NaN	-0.309	1.360
YGL138C	-0.019	0.187	0.795	-0.352
YGL139W	-0.387	-0.190	0.183	1.804
YGL140C	0.183	0.171	0.492	0.535
YGL141W	-0.414	0.353	-0.649	0.054
YGL142C	NaN	NaN	0.040	1.107
YGL143C	-0.744	1.388	-0.018	0.691
YGL144C	-0.239	0.382	0.019	0.561
YGL145W	NaN	NaN	-0.087	0.265
YGL146C	-0.398	-0.347	0.886	3.072
YGL147C	0.595	1.038	-0.371	-0.981
YGL148W	-0.083	2.866	0.637	-0.213
YGL149W	-0.777	-0.072	-0.310	1.029
YGL150C	NaN	NaN	-0.297	0.435
YGL151W	-0.547	-1.192	0.066	0.251
YGL152C	1.810	1.409	0.409	0.971
YGL153W	2.068	0.986	-0.572	1.521
YGL154C	-1.714	-0.091	-0.126	1.083
YGL155W	NaN	NaN	0.265	0.318
YGL156W	-0.109	0.093	-1.584	-2.656
YGL157W	0.185	0.037	-0.987	1.233
YGL158W	0.516	0.734	-0.015	0.550
YGL159W	0.993	1.004	-0.479	0.325
YGL160W	-0.094	-0.279	-1.040	0.680
YGL161C	-0.087	0.772	0.017	1.172
YGL162W	0.407	1.202	-0.033	0.036
YGL163C	-0.050	1.147	-0.501	1.141
YGL164C	-0.150	0.199	0.355	0.068
YGL165C	-0.133	0.156	-0.063	2.109
YGL166W	0.454	0.818	0.050	-0.546
YGL167C	0.535	1.640	1.257	1.169
YGL168W	0.301	1.023	1.854	0.618
YGL169W	NaN	NaN	-0.689	-0.637
YGL170C	-0.044	0.429	0.814	0.667
YGL171W	NaN	NaN	-0.680	-0.302
YGL172W	NaN	NaN	0.565	0.862
YGL173C	0.009	0.014	-0.138	-0.240
YGL174W	0.059	0.214	0.587	0.970
YGL175C	-0.007	0.115	0.378	0.150
YGL176C	-0.309	0.309	-0.390	2.300
YGL177W	0.451	0.065	0.123	0.872
YGL178W	0.588	0.917	0.289	-0.037
YGL179C	0.216	0.197	0.512	-0.283
YGL180W	-0.196	-0.269	-0.068	0.006
YGL181W	0.076	0.880	-0.335	0.108
