orf	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YAL001C			-0.00586621990983599	0.9529949007913501
YAL002W	0.3351772981274026	0.76775902743657	-0.0724205570237001	0.3173013675487738
YAL003W			-0.43921801547858397	1.511620989075062
YAL004W	-0.472267412106327	-2.102163643910811	-2.083094350831117	-0.46673942903818305
YAL005C	0.147738106176031	-2.8075028596977742	1.189115965299234	1.8754750249626229
YAL007C	0.02767624610393199	-0.5719774108317481	-0.38388253828486196	0.1497689276413205
YAL008W	0.22108789225704698	1.6266942568299918	-1.479571712226349	-1.9884668504780592
YAL009W	-0.2977953914857199	1.767839472448279	0.301975924965202	0.18985347614016002
YAL010C	0.02628150826282405	0.39370578260632305	0.18627776005858002	0.024349735238192005
YAL011W	0.2578433857610652	-1.1833254288896558	0.03337978213694803	0.19315907783481606
YAL012W	2.971614866993489	3.071721021894771	0.811686069778997	1.824225785879989
YAL013W	0.40780179926897	1.0852040559678948	0.0887935063428645	0.1047895097796225
YAL014C	-0.0548097009322799	-0.2188224089033673	-0.3795233394712551	0.2064160765523779
YAL015C	-0.6841481073027101	-0.3456263948953481	-0.48141336705746696	0.559298869424388
YAL016C-B			0.24161168538183597	-0.09111793073061902
YAL016W	0.11309512019652924	0.251304759158937	-1.10567809130074	2.75630663280498
YAL017W	-0.29263742911632395	-0.255354636690597	-0.37143660837153425	-3.2092465553891483
YAL018C	-0.06517876374586501	-1.45023034059932	-0.03865310431074198	0.94846983551959
YAL019W	0.747989696437302	-0.49242396229555707	0.44477743579515105	-0.17528523730951698
YAL020C	0.020370654570598057	-0.7635444720319311	0.2852457057487045	0.196132419010635
YAL021C	-0.77729245820918	0.18052137848272265	-1.036225634772841	0.41116163084572255
YAL022C	0.21859816835546397	-1.482118497396081	0.01519785886926095	0.53446211424541
