orf	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YAL001C			-0.03952529085754114	0.30992787941770344
YAL002W	0.660212131576625	0.9754821979762703	-0.14987681282607068	-0.2904743266311422
YAL003W			-0.7580514194701976	0.8375411367858437
YAL004W	-0.6058119303372113	-1.8768502553406763	-3.4837078289667938	-1.0309881108471475
YAL005C	0.36631890997457717	-2.577866333534081	1.941834731367522	1.1811953575741887
YAL007C	0.17806923560936908	-0.3560427800015888	-0.6663015141749942	-0.4487059921195457
YAL008W	0.4813269011569307	1.8291528750840522	-2.4830271130195016	-2.4682349177749145
YAL009W	-0.3322504425512845	1.9694329889553603	0.4708974807628594	-0.4108467878196155
YAL010C	0.1758823717355649	0.6037215856957591	0.2790622204316131	-0.5671623800830964
YAL011W	0.5389572733593009	-0.9636437476467883	0.02554719344401869	-0.40772470076665035
YAL012W	4.793985450807234	3.265322838496622	1.3160308361859858	1.1327912845508497
YAL013W	0.7740829202069673	1.2909815548279042	0.11742683749494559	-0.4911883209442612
YAL014C	0.04873630123747182	-0.005052321928162116	-0.6590736723166651	-0.3952036810309131
YAL015C	-0.9380279384103879	-0.13107910587808233	-0.8280141216568438	-0.06191162088314378
YAL016C-B			0.370809552622264	-0.676219713136901
YAL016W	0.3120008207348853	0.4621933610436871	-1.8630865965528374	2.0131264892446694
YAL017W	-0.324163072125375	-0.04136063781061106	-0.6456653337574859	-3.621241499719464
YAL018C	0.03247824312511545	-1.228912756188315	-0.09388812806913023	0.30565402884410786
YAL019W	1.3074767958846074	-0.2769769273573691	0.7076718931130302	-0.7557143656770838
YAL020C	0.16661451363213617	-0.5464356958467059	0.4431576634426288	-0.4049164283713162
YAL021C	-1.0840726000254248	0.3918438231017933	-1.7479297996457541	-0.20182483407399635
