ORF	het | growth (relative abundance in pooled culture) | glucose limitation, chemostat (glucose [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | phosphorus limitation, chemostat (phosphorus(.) [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.2/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.3/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, chemostat (culture dilution rate [0.3/h], minimal complete [standard]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, turbidostat (minimal complete [standard]) | Pir P~Oliver SG, 2012
YAL001C	0.000	-0.001	0.000	0.003	-0.000	-0.000	-0.006
YAL002W	-0.002	-0.004	-0.002	0.002	0.002	0.001	-0.011
YAL003W	-0.001	-0.003	0.002	0.001	-0.001	-0.000	-0.008
YAL004W	-0.002	-0.004	-0.005	-0.007	0.001	0.000	-0.003
YAL005C	-0.014	-0.013	-0.007	-0.020	0.000	-0.003	-0.045
YAL007C	-0.001	-0.004	-0.001	0.002	0.000	0.003	0.006
YAL008W	-0.001	-0.001	0.001	-0.003	0.000	-0.003	-0.008
YAL009W	0.002	0.000	0.003	0.004	-0.001	0.001	-0.006
YAL010C	0.001	-0.000	0.003	0.004	-0.000	0.000	-0.005
YAL011W	-0.002	-0.000	-0.004	-0.014	-0.003	-0.002	-0.009
YAL012W	0.003	0.000	0.002	0.005	0.001	0.000	0.002
YAL013W	-0.004	-0.002	-0.001	0.001	-0.000	0.004	-0.003
YAL014C	0.001	0.003	0.001	0.002	-0.000	0.001	-0.003
