orf	het | growth (relative abundance in pooled culture) | glucose limitation, chemostat (glucose [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | phosphorus limitation, chemostat (phosphorus(.) [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.2/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.3/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, chemostat (culture dilution rate [0.3/h], minimal complete [standard]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, turbidostat (minimal complete [standard]) | Pir P~Oliver SG, 2012
YAL001C	9.5599654e-05	-0.0010946198	0.00016977654999999998	0.003133439	-0.00019566020999999998	-0.00037799980999999997	-0.0060446644
YAL002W	-0.0019932825	-0.0036475464000000003	-0.0017087459	0.0020635007	0.0018711584	0.00088665722	-0.010962632
YAL003W	-0.0009429122799999999	-0.0030026437	0.0015221814	0.0005860109000000001	-0.00098696777	-0.00044090050999999995	-0.0079823017
YAL004W	-0.0023816167000000003	-0.0036442084	-0.0046008113	-0.007208782600000001	0.00055119405	5.0745429e-06	-0.0028465214
YAL005C	-0.013759326	-0.013101479000000001	-0.006521494	-0.019683033000000003	0.00016107755	-0.0033490455000000003	-0.045375548
YAL007C	-0.00096206414	-0.0037399661	-0.00140959	0.0015260797	5.1139355000000004e-05	0.0028152774000000003	0.0063324675
YAL008W	-0.0006833141	-0.0009348774	0.0007406342899999999	-0.0032008424000000003	0.00033387749	-0.0026537558	-0.0082647484
YAL009W	0.0024956257000000003	0.00022469987999999998	0.0030475295	0.0039256611	-0.0006595466	0.00050886063	-0.0063406725
YAL010C	0.0014462201	-8.848094900000001e-05	0.0026709194	0.0043421791	-8.333398600000001e-05	0.00045914496999999995	-0.0049090514
YAL011W	-0.0022205603	-0.00039381343	-0.0037799932000000002	-0.013725864	-0.0026201271	-0.0022349342	-0.008602598500000001
YAL012W	0.0025987916000000002	0.00031879928999999996	0.0016477208000000001	0.0048652247	0.0011584525	0.00032527148999999996	0.0024652626
YAL013W	-0.0040752589	-0.0020353561	-0.0009904359099999998	0.0011005443	-0.00035812889	0.0039889633	-0.0026868167
YAL014C	0.0007573754599999999	0.0030073706000000003	0.00065419354	0.0021755059	-0.00043434078999999995	0.001135339	-0.0032743607000000003
YAL015C	-0.0028730719	-0.0035998805	-0.0042914095	-0.0039077374	0.00037684611999999997	0.00017929530000000002	-0.0046038356
YAL016W	-0.0011854079	-0.0021597367	-0.0011176137	0.0054917813	0.0007190918199999999	0.0059241666	0.010526002000000001
YAL017W	-0.0012956679	0.0002958607	-0.0013633005	2.2163851000000002e-05	0.00023750266	0.0016201059	0.0019347266
YAL018C	-0.0017878395	-0.00034706338999999995	-0.0016005443	0.0005977226099999999	0.00038337174	0.0012064159	0.0016673038
YAL019W	-0.0032769703000000002	-0.00072509003	-0.00039771086999999995	-0.0010133446	-0.00077235798	-0.0016487516000000002	-0.0069612565000000005
YAL020C	-0.0010512584000000001	-0.0010730971	-0.0006885945199999999	-0.0009311446399999999	-0.00035619274	0.00016789029	0.0053513350000000005
YAL021C	-0.0029782931	-0.0018684675000000001	-0.0075416809	-0.0024696654	0.0016992788	0.0010720416000000001	0.0065449704
YAL022C	-0.0024664876	-0.0006010434499999999	-0.00089237448	0.00025351765	-0.0010072332	-0.00032728677	0.0060344676
YAL023C	-0.0023783078	-0.0022112041	0.00044797772999999997	-0.0064324508	-0.0065203925000000005	-0.010086821000000001	-0.0066096464
YAL024C	0.0010019337	-0.00015552524	-0.0012206682000000001	0.002030094	-0.00016523906999999999	-0.0010888859	-0.0027125898
YAL025C	-0.0007170079899999999	-0.0044689065000000005	-0.001384936	-0.0032408526	0.00013546406	-0.0012541696	-0.0044700604
YAL026C	0.0012914965	-0.0001970078	-0.0017118636	-0.00042760646	0.00041582612999999997	-0.00084971534	-0.0065261509
YAL027W	-0.00034525831	0.0010625872	-0.00068838161	0.0034252185	0.00013433263	0.00040121340999999997	-0.0001933263
YAL029C	-0.00029517732	-0.00065993527	-0.0036480092000000003	-0.0028146231	0.00086186182	-0.0010457699	0.0004899926299999999
YAL030W	-0.00035253003	0.00084291269	-0.0012956094	0.00035890095999999995	-0.0011262391	-0.0007922658299999999	-0.0039502245
YAL031C	-0.00099690119	-1.1745490000000002e-05	-0.0015531568	0.0006680235899999999	0.00051302911	-0.0002775316	-0.0059547278
YAL032C	0.0013696392	0.0012652471	0.00047638551	0.0027737262000000003	0.00093011827	-0.00076902387	-0.0030468723
YAL033W	-0.0025748798000000002	-0.00058246669	-0.0020531620000000003	0.00038105888999999995	-0.0016312721	0.00062700935	0.0063000464
YAL034C	-5.0838636e-05	-0.00027644133	-0.0013283075	-0.0059451606	-0.0012793321	-2.3262304000000004e-05	-0.0010821483000000001
YAL034C-B	-0.00083463884	-0.0041584027	-0.00070504041	-0.0055319829	-0.00059192585	0.00064671901	-0.0024779592
YAL034W-A	-0.0023287223	-0.0042596478	-0.0012914255	-0.009205108200000001	-0.0028282344	-0.00055558534	-0.0083945951
YAL035W	-0.010744782000000001	-0.0072532402	-0.0064257834	-0.014596602	0.0010014475	-0.0009322397699999999	-0.007881924700000001
YAL036C		-0.0065832373	-0.017645248000000002	-0.0060667771	0.0059796041	0.0007274916	-0.0030290703
YAL037W	-0.0020353682	-0.0033718743	-0.0054728624	-0.0057889819	0.0010776594	-0.0042204241	-0.0085030125
YAL038W	-0.0048190548	-0.0017903627	-0.0039452581000000006	-0.0061477156	-0.0006359019	-0.00083113207	-0.005555175000000001
YAL039C	-0.0012741088	-0.00066864968	-0.0012011333	0.0046627119	-0.00030380026	0.002759969	-0.0015086665
YAL040C	-2.3547108000000002e-05	-0.0035468503	-0.0025858023	0.004149433100000001	0.0014578396	0.0011068962	-0.0031577233
YAL041W	-0.0016345105	-0.0067707716	-0.0074235778		0.0078182289	0.0016125456000000002	0.0006660317499999999
YAL042W	-0.0005445736499999999	-0.00062798098	-0.0020190254	0.000854197	-0.0015704579	0.0020086233000000003	0.0025772498
YAL043C	-0.0057425417	-0.0050447698000000004	-0.012079436	-0.0076821863	0.001268884	-0.0011247734	0.0081110746
YAL044C			-0.0033875975		0.00073764595	-0.0034286012	0.0026583215
