orf	het | growth (relative abundance in pooled culture) | glucose limitation, chemostat (glucose [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | phosphorus limitation, chemostat (phosphorus(.) [unknown], culture dilution rate [0.1/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.2/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | nitrogen limitation, chemostat (ammonium [unknown], culture dilution rate [0.3/h]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, chemostat (culture dilution rate [0.3/h], minimal complete [standard]) | Pir P~Oliver SG, 2012	het | growth (relative abundance in pooled culture) | synthetic complete, turbidostat (minimal complete [standard]) | Pir P~Oliver SG, 2012
YAL001C	-0.0389385154331028	-0.7808923293513474	0.3331072500118012	0.48755805852329837	0.009411445831723852	-0.2463614007055499	-0.7450070090418981
YAL002W	-0.907387602332114	-1.905311900360974	-0.29987095264584834	0.20506888952044341	1.399357569317083	0.2738825652015175	-1.5634543868160558
YAL003W	-0.470698028093493	-1.6212687879279921	0.7888073089695679	-0.1850235726450799	-0.5227469497744868	-0.2722369613121522	-1.0674682971688063
YAL004W	-1.0688368639651176	-1.9038417004233688	-1.2743678817937414	-2.243034523710067	0.511674769024622	-0.08877549728477858	-0.2127725648587404
YAL005C	-5.799099523189975	-6.069233745370511	-1.9215522065387776	-5.536533438020856	0.24931942044244712	-1.468565172946234	-7.290446338077052
YAL007C	-0.47866038025278945	-1.9460175436124638	-0.19906876958094455	0.06317695828040529	0.17538542003046734	1.0672621039778152	1.3147932930015476
YAL008W	-0.36277054068117764	-0.7105348498687614	0.5254608235548843	-1.1848429471386552	0.36552826701437857	-1.182542747575827	-1.114473031599339
YAL009W	0.9588680981143958	-0.19980673581718247	1.3027815224612727	0.6967235428271098	-0.3025545324106133	0.11846778346597743	-0.7942686294813883
YAL010C	0.5225795629466483	-0.3377451526101366	1.1758807317889453	0.8066942053360893	0.08495140800312508	0.09801617365198118	-0.5560184760519199
YAL011W	-1.0018779485225175	-0.47222681663499533	-0.9977888259262605	-3.963699078862418	-1.6210549816377406	-1.010251442484562	-1.170697990955667
YAL012W	1.0017591398529402	-0.15836127544849857	0.8311084823064742	0.9447906889320122	0.920059193495828	0.04294442810134721	0.6712136749250937
YAL013W	-1.7729656341339455	-1.19523338673983	-0.05783255357255838	-0.049174512385985004	-0.0998495753634469	1.5500831320198651	-0.18619453434605293
YAL014C	0.23619361365901884	1.0258021074779788	0.4963341497845607	0.2346409273398192	-0.15110246928259627	0.3761831830030323	-0.28397351241962543
YAL015C	-1.2731585002405217	-1.8843177711800612	-1.1701132878371763	-1.371480046794096	0.39442489123239677	-0.01710602843516022	-0.5052245116579206
YAL016W	-0.571515156222402	-1.250015996194375	-0.10068579119671989	1.1102165394387695	0.6245868811104215	2.346170779299574	2.0126806306754403
YAL017W	-0.617355557576841	-0.16846442511498944	-0.1834712745859173	-0.33389260959489475	0.3007156991809292	0.5756025106261704	0.5829219590514895
YAL018C	-0.8219750358940584	-0.4516360719103006	-0.26341184389647887	-0.18193140254003518	0.39881340417613237	0.4054221999564114	0.5384174996449202
YAL019W	-1.4410785506886965	-0.6181353956194157	0.14188932384731667	-0.6072914792478677	-0.37842076448215134	-0.7691125776891665	-0.8975461190461017
YAL020C	-0.5157427371992087	-0.7714127990346635	0.04387451973385144	-0.5855887339657633	-0.098547504550863	-0.021797725466733888	1.1515133799996797
YAL021C	-1.3169040293444187	-1.1217284109138907	-2.2653096475727557	-0.9917948217243199	1.2837676561189364	0.35014443128897593	1.3501579914746327
YAL022C	-1.104121791584494	-0.5634999030561701	-0.024790229424960973	-0.2728097018934287	-0.5363755554648835	-0.22549949710089928	1.2652001975260991
YAL023C	-1.067461194601416	-1.2726844708105198	0.4268486279195484	-2.038064456695464	-4.244003481842156	-4.240294554398749	-0.8390312227007274
YAL024C	0.3378682724304247	-0.36727436544565817	-0.13541055702838872	0.19624872585107328	0.029869818622844303	-0.5387997377381353	-0.19048368950683744
YAL025C	-0.37677871627334447	-2.2670745030485815	-0.19076147221097076	-1.1954065919297967	0.23209421695232033	-0.6067927552503963	-0.48296166436888727
YAL026C	0.4582534979819859	-0.3855450835773824	-0.300921478362177	-0.452642673403757	0.4206391480282171	-0.44041176557574263	-0.8251359150067641
YAL027W	-0.22222443970356176	0.1692351711882151	0.04394626089889729	0.5645947890404399	0.23133332447008406	0.07418477603931521	0.2287717373685138
YAL029C	-0.20140335606645268	-0.5894384141674478	-0.9533161100960253	-1.0828718623481914	0.720600438899126	-0.5210630405135533	0.3424895639035937
YAL030W	-0.22524764452250876	0.07248099177077708	-0.16066239582382466	-0.24498600059339085	-0.6164076340307362	-0.4167786696352427	-0.3964506574179938
YAL031C	-0.49314382260726664	-0.3039475291727816	-0.24744437191953264	-0.16337027109882374	0.48600865098727214	-0.2050316339956111	-0.7300397745208893
YAL032C	0.4907411882678513	0.25849537859835126	0.43642078156929265	0.3925853204208395	0.7665032518607202	-0.4072175877300138	-0.24611492944440636
YAL033W	-1.1491856583692812	-0.5553178924531437	-0.41592380255688205	-0.2391357798540048	-0.9560449186892971	0.16707080958416828	1.309397778748962
YAL034C	-0.09981997731644876	-0.42053105447305184	-0.17168019578055138	-1.9094082494532003	-0.7193634623038055	-0.10043247088540562	0.08085412294421739
YAL034C-B	-0.4256835355701322	-2.1303151659047486	0.03833298899872211	-1.8003195056223542	-0.25707923096184576	0.17517880364250984	-0.15143650275522544
YAL034W-A	-1.0468461100615964	-2.1749078979906717	-0.15925260830592766	-2.770111982104748	-1.7610082090300587	-0.3194150415135313	-1.1360820985496027
YAL035W	-4.545808149522137	-3.4934157948435143	-1.8893020071529332	-4.1935946289508745	0.8144725251438245	-0.47435997108045574	-1.0507635729573586
YAL036C		-3.1983174659713853	-5.6697607061102575	-1.941517899161072	4.1623083897885	0.20840635195114934	-0.24315232346482743
