orf	hap a | growth (spot assay) | CG-1521 [55-75 uM] | Gaupel AC~Tenniswood M, 2014
YAL002W	0.5456634436676905
YAL004W	-0.011250792652942399
YAL005C	-0.011250792652942399
YAL007C	-0.011250792652942399
YAL008W	-0.011250792652942399
YAL009W	-0.011250792652942399
YAL010C	-3.909650446897373
YAL011W	-3.3527362105767398
YAL012W	1.1025776799883233
YAL013W	-4.466564683218006
YAL014C	-0.011250792652942399
YAL015C	0.5456634436676905
YAL016W	-0.5681650289735753
YAL017W	-0.011250792652942399
YAL018C	-0.011250792652942399
YAL019W	-0.011250792652942399
YAL020C	0.5456634436676905
YAL021C	-0.011250792652942399
YAL022C	-0.011250792652942399
YAL023C	-0.011250792652942399
YAL024C	-0.011250792652942399
YAL026C	-4.466564683218006
YAL027W	-0.011250792652942399
YAL028W	-0.011250792652942399
YAL029C	-0.011250792652942399
YAL030W	-0.011250792652942399
YAL031C	-0.011250792652942399
YAL034C	-0.011250792652942399
YAL035W	-0.011250792652942399
YAL036C	-0.011250792652942399
YAL037W	-0.011250792652942399
YAL039C	-0.011250792652942399
YAL040C	1.1025776799883233
YAL042C-A	-0.011250792652942399
YAL042W	-0.011250792652942399
YAL044C	-0.011250792652942399
YAL045C	0.5456634436676905
YAL046C	-1.1250792652942083
YAL047C	-0.011250792652942399
YAL048C	-0.011250792652942399
YAL049C	-0.011250792652942399
YAL051W	-0.011250792652942399
YAL053W	0.5456634436676905
YAL054C	-0.011250792652942399
YAL055W	-0.011250792652942399
YAL056C-A	0.5456634436676905
YAL056W	-0.011250792652942399
YAL058W	-0.011250792652942399
YAL059W	-2.2389077379354743
YAL060W	1.1025776799883233
YAL061W	-0.011250792652942399
YAL062W	-0.011250792652942399
YAL064C-A	-0.011250792652942399
YAL065C	-0.011250792652942399
YAL066W	-1.1250792652942083
YAL067C	-0.011250792652942399
YAL068C	-1.1250792652942083
YAR002C-A	-0.011250792652942399
YAR002W	-0.011250792652942399
YAR014C	0.5456634436676905
YAR015W	-2.795821974256107
YAR018C	-0.011250792652942399
YAR020C	-0.011250792652942399
YAR023C	-0.011250792652942399
YAR027W	-0.011250792652942399
YAR028W	-0.011250792652942399
YAR029W	-0.011250792652942399
YAR030C	-0.011250792652942399
YAR031W	-0.011250792652942399
YAR035W	-0.011250792652942399
YAR042W	-0.011250792652942399
YAR047C	-0.011250792652942399
YAR050W	-0.011250792652942399
YBL001C	-0.011250792652942399
YBL002W	-0.011250792652942399
YBL003C	-0.011250792652942399
YBL005W	-0.011250792652942399
YBL006C	-0.011250792652942399
YBL007C	-1.681993501614841
YBL008W	-0.011250792652942399
YBL009W	-0.011250792652942399
YBL010C	-0.011250792652942399
YBL011W	-0.011250792652942399
YBL012C	-0.011250792652942399
YBL013W	-0.011250792652942399
YBL015W	-0.011250792652942399
YBL016W	-0.011250792652942399
YBL017C	-0.011250792652942399
YBL019W	-0.011250792652942399
YBL021C	-0.011250792652942399
YBL022C	-0.011250792652942399
YBL024W	-1.681993501614841
YBL025W	-0.011250792652942399
YBL027W	-0.011250792652942399
YBL028C	-0.011250792652942399
YBL029W	-0.011250792652942399
YBL031W	-0.011250792652942399
YBL032W	-1.1250792652942083
YBL033C	-2.2389077379354743
YBL036C	-0.5681650289735753
YBL037W	-0.011250792652942399
YBL038W	-0.011250792652942399
YBL039C	-0.011250792652942399
YBL042C	-0.011250792652942399
YBL043W	-0.011250792652942399
YBL044W	-0.011250792652942399
YBL045C	-0.011250792652942399
YBL046W	-0.011250792652942399
YBL047C	-0.011250792652942399
YBL048W	-0.011250792652942399
YBL049W	-0.011250792652942399
