orf	hap a | growth (spot assay) | chlorpromazine [10 uM] | YPD, pH [8.0] | De Filippi L~Deloche O, 2007	hap a | growth (spot assay) | chlorpromazine [20 uM] | YPD, pH [8.0] | De Filippi L~Deloche O, 2007
YAL026C	-10.173494974687904	-13.298660418705293
YAL035W	-10.173494974687904	-6.649330209352646
YBL058W	-10.173494974687904	-13.298660418705293
YBR111C	-10.173494974687904	-6.649330209352646
YBR201W	-10.173494974687904	-13.298660418705293
YCL008C	-10.173494974687904	-6.649330209352646
YDL047W	-10.173494974687904	-6.649330209352646
YDR027C	-20.346989949375807	-13.298660418705293
YDR140W	-10.173494974687904	-6.649330209352646
YDR159W	-10.173494974687904	-13.298660418705293
YDR195W	0.0	-6.649330209352646
YDR484W	-20.346989949375807	-13.298660418705293
YGR166W	-10.173494974687904	-13.298660418705293
YGR252W	0.0	-6.649330209352646
YHR210C	0.0	-6.649330209352646
YJL204C	-10.173494974687904	-13.298660418705293
YJR145C	-10.173494974687904	-6.649330209352646
YKL135C	-10.173494974687904	-13.298660418705293
YKL212W	-20.346989949375807	-13.298660418705293
YKR001C	-20.346989949375807	-13.298660418705293
YLR025W	-10.173494974687904	-13.298660418705293
YLR169W	0.0	-6.649330209352646
YLR357W	0.0	-6.649330209352646
YLR360W	0.0	-6.649330209352646
YLR369W	0.0	-6.649330209352646
YLR396C	-10.173494974687904	-13.298660418705293
YLR417W	0.0	-6.649330209352646
YML112W	-10.173494974687904	-13.298660418705293
YMR038C	-10.173494974687904	-6.649330209352646
YMR202W	-10.173494974687904	-13.298660418705293
YMR231W	-20.346989949375807	-13.298660418705293
YNL238W	0.0	-6.649330209352646
YOL072W	-10.173494974687904	-13.298660418705293
YOR035C	0.0	-6.649330209352646
YOR036W	-10.173494974687904	-13.298660418705293
YOR039W	-10.173494974687904	-13.298660418705293
YPL002C	-10.173494974687904	-13.298660418705293
YPL050C	0.0	-6.649330209352646
YPL129W	-10.173494974687904	-13.298660418705293
YPR163C	-10.173494974687904	-6.649330209352646
