orf	hap a | transport to/from membrane (Mrh1-GFP) | standard [standard] | Bircham PW~Atkinson PH, 2011
YCL045C	-13.773464826735983
YDR202C	-13.773464826735983
YDR486C	-13.773464826735983
YEL031W	-13.773464826735983
YGL231C	-13.773464826735983
YHL031C	-13.773464826735983
YIL027C	-13.773464826735983
YJL029C	-13.773464826735983
YJL192C	-13.773464826735983
YJR033C	-13.773464826735983
YJR073C	-13.773464826735983
YJR088C	-13.773464826735983
YKL081W	-13.773464826735983
YKL207W	-13.773464826735983
YKR020W	-13.773464826735983
YLL014W	-13.773464826735983
YLR181C	-13.773464826735983
YLR262C	-13.773464826735983
YLR386W	-13.773464826735983
YMR123W	-13.773464826735983
YNL297C	-13.773464826735983
YOR070C	-13.773464826735983
YOR270C	-13.773464826735983
YPL154C	-13.773464826735983
