orf	hom | growth (relative abundance in pooled culture) | peloruside A [10 uM] | Wilmes A~Miller JH, 2012
YBL054W	-7.745425916924515
YBL065W	-14.218656272615053
YBR156C	-8.587320038329354
YBR189W	-15.116676668780215
YCL029C	-18.353291846625485
YDL115C	-10.47690462192688
YDR017C	-5.799715058566667
YDR264C	-9.036330236411935
YDR441C	-7.726717158671075
YER087W	-7.689299642164194
YGL012W	-7.446085784869462
YGL086W	-11.038167369530107
YGL170C	-7.352541993602258
YGR106C	-6.6229004217180645
YHR025W	-7.090619378054086
YIL157C	-6.042928915861397
YJL030W	-10.551739654940643
YJL124C	-7.502212059629785
YKL212W	-15.097967910526775
YLR085C	-7.333833235348817
YML008C	-13.657393525011827
YMR202W	-6.211307740142365
YNL054W	-9.859515599563332
YNL187W	-9.204709060692903
YNL280C	-20.991226760360647
YNL323W	-29.447585490915912
YOR014W	-15.752774449397204
YOR019W	-6.866114279012796
YOR153W	-12.516159271551937
YOR161C	-6.566774146957742
YOR292C	-8.811825137370645
YPL018W	-8.998912719905054
YPL187W	-11.356216259838602
