ORF	hap alpha | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	het | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	hom | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits
YBL105C	NaN	0.000	NaN
YLR113W	-96.000	0.000	-60.000
YJL128C	-93.000	0.000	-79.000
YDR523C	-52.000	0.000	NaN
YLR362W	-39.000	0.000	NaN
YLR006C	-35.000	0.000	-11.000
YNR031C	-30.000	0.000	-14.000
YAL016W	-22.000	0.000	NaN
YPL049C	-13.000	0.000	-18.000
YDL005C	-66.000	0.000	NaN
YOL051W	-58.000	0.000	-62.000
YGR104C	-31.000	0.000	-24.000
YHR041C	-24.000	0.000	-28.000
YGL133W	-21.000	0.000	-25.000
YDR207C	-18.000	0.000	-39.000
YLR182W	-18.000	0.000	-19.000
YGR006W	-48.000	0.000	-3.000
YPL178W	-39.000	0.000	-19.000
YDR364C	-37.000	0.000	NaN
YGR159C	-22.000	0.000	-16.000
YPR057W	-20.000	0.000	-16.000
YMR125W	-19.000	0.000	-24.000
YDL083C	-57.000	0.000	-16.000
YNL302C	-49.000	0.000	NaN
YIL069C	-49.000	0.000	-44.000
YER074W	-29.000	0.000	-42.000
YOR293W	-28.000	-12.000	-18.000
YMR116C	-27.000	0.000	-30.000
YML024W	-27.000	0.000	-28.000
YDR025W	-26.000	0.000	-39.000
YPR132W	-26.000	0.000	-23.000
YMR142C	-24.000	0.000	-30.000
YMR143W	-21.000	0.000	-35.000
YLR048W	-20.000	0.000	-25.000
YOR182C	-20.000	0.000	-20.000
YIL018W	-18.000	-11.000	-36.000
YHR203C	-17.000	0.000	-14.000
YLR287C-A	-16.000	0.000	-14.000
YKL006W	-15.000	0.000	-45.000
YBR181C	-14.000	-15.000	-26.000
YPR163C	-54.000	0.000	-39.000
YAL035W	-22.000	0.000	NaN
YPL050C	-52.000	0.000	-46.000
YEL036C	-35.000	0.000	-29.000
YLR244C	-34.000	0.000	-30.000
YDR245W	-33.000	0.000	-36.000
YJL062W	-14.000	0.000	-19.000
YDL151C	-34.000	0.000	-7.000
YMR014W	-28.000	0.000	-44.000
YER014C-A	-23.000	0.000	-15.000
YBR200W	-21.000	0.000	-14.000
YFL023W	-15.000	0.000	-57.000
YDR024W	-41.000	0.000	-38.000
YHR059W	-27.000	0.000	-16.000
YCL058C	-25.000	0.000	-19.000
YNL133C	-23.000	0.000	-12.000
