orf	hap alpha | growth (culture turbidity) | sulforaphane [200 ug/ml] | SC | Wilcox A~Austriaco N, 2020
YAL023C	-4.12220054260256
YAL044C	-4.12220054260256
YAR015W	-4.12220054260256
YBL032W	-4.12220054260256
YBL046W	-4.12220054260256
YBL057C	-4.12220054260256
YBL058W	-4.12220054260256
YBL067C	-4.12220054260256
YBL079W	-4.12220054260256
YBL103C	-4.12220054260256
YBR008C	-4.12220054260256
YBR106W	-4.12220054260256
YBR127C	-4.12220054260256
YBR128C	-4.12220054260256
YBR146W	-4.12220054260256
YBR189W	-4.12220054260256
YBR191W	-4.12220054260256
YBR279W	-4.12220054260256
YBR289W	-4.12220054260256
YCR028C-A	-4.12220054260256
YCR077C	-4.12220054260256
YCR079W	-4.12220054260256
YDL005C	-4.12220054260256
YDL006W	-4.12220054260256
YDL020C	-4.12220054260256
YDL039C	-4.12220054260256
YDL044C	-4.12220054260256
YDL045W-A	-4.12220054260256
YDL047W	-4.12220054260256
YDL056W	-4.12220054260256
YDL074C	-4.12220054260256
YDL077C	-4.12220054260256
YDL088C	-4.12220054260256
YDL091C	-4.12220054260256
YDL160C	-4.12220054260256
YDL185W	-4.12220054260256
YDL192W	-4.12220054260256
YDL232W	-4.12220054260256
YDR028C	-4.12220054260256
YDR049W	-4.12220054260256
YDR069C	-4.12220054260256
YDR074W	-4.12220054260256
YDR080W	-4.12220054260256
YDR120C	-4.12220054260256
YDR126W	-4.12220054260256
YDR129C	-4.12220054260256
YDR140W	-4.12220054260256
YDR158W	-4.12220054260256
YDR162C	-4.12220054260256
YDR176W	-4.12220054260256
YDR195W	-4.12220054260256
YDR207C	-4.12220054260256
YDR244W	-4.12220054260256
YDR273W	-4.12220054260256
YDR289C	-4.12220054260256
YDR293C	-4.12220054260256
YDR294C	-4.12220054260256
YDR296W	-4.12220054260256
YDR297W	-4.12220054260256
YDR298C	-4.12220054260256
YDR315C	-4.12220054260256
YDR335W	-4.12220054260256
YDR337W	-4.12220054260256
YDR359C	-4.12220054260256
YDR408C	-4.12220054260256
YDR432W	-4.12220054260256
YDR448W	-4.12220054260256
YDR495C	-4.12220054260256
YDR529C	-4.12220054260256
YEL003W	-4.12220054260256
YEL013W	-4.12220054260256
YEL024W	-4.12220054260256
YEL050C	-4.12220054260256
YEL059W	-4.12220054260256
YER007W	-4.12220054260256
YER060W-A	-4.12220054260256
YER086W	-4.12220054260256
YER087W	-4.12220054260256
YER095W	-4.12220054260256
YER122C	-4.12220054260256
YER131W	-4.12220054260256
YER145C	-4.12220054260256
YER151C	-4.12220054260256
YER154W	-4.12220054260256
YER155C	-4.12220054260256
YFL023W	-4.12220054260256
YFL025C	-4.12220054260256
YFR019W	-4.12220054260256
YGL007W	-4.12220054260256
YGL012W	-4.12220054260256
YGL019W	-4.12220054260256
YGL025C	-4.12220054260256
YGL031C	-4.12220054260256
YGL053W	-4.12220054260256
YGL058W	-4.12220054260256
YGL070C	-4.12220054260256
YGL084C	-4.12220054260256
YGL095C	-4.12220054260256
YGL129C	-4.12220054260256
YGL135W	-4.12220054260256
YGL143C	-4.12220054260256
YGL163C	-4.12220054260256
YGL167C	-4.12220054260256
YGL173C	-4.12220054260256
YGR004W	-4.12220054260256
YGR027C	-4.12220054260256
YGR036C	-4.12220054260256
YGR061C	-4.12220054260256
YGR085C	-4.12220054260256
YGR092W	-4.12220054260256
YGR138C	-4.12220054260256
YGR157W	-4.12220054260256
YGR188C	-4.12220054260256
YGR236C	-4.12220054260256
YGR252W	-4.12220054260256
YGR260W	-4.12220054260256
YHL009C	-4.12220054260256
YHL011C	-4.12220054260256
YHL031C	-4.12220054260256
YHR021C	-4.12220054260256
YHR026W	-4.12220054260256
