orf	hap a | growth (colony size) | isobutanol [2%] | YPD | Liu HL~Li WH, 2021
YAL002W	0.18868059797053158
YAL004W	-0.6007506120180807
YAL005C	-0.11317789687118857
YAL007C	0.9594257018377209
YAL008W	0.5683560489230323
YAL009W	0.47835331271678166
YAL010C	-0.420000736894201
YAL011W	-1.6970858790143653
YAL012W	-0.002447904087980834
YAL013W	-2.757889359633906
YAL014C	-0.09310854164599457
YAL015C	-0.6816177081880257
YAL016C-B	0.6879443362165176
YAL016W	-2.89438932593566
YAL017W	-0.4369319401533752
YAL018C	0.14367331065485922
YAL019W	0.21529966362130795
YAL020C	0.10981645197135508
YAL021C	-1.0469205784979583
YAL022C	0.5055657965620849
YAL023C	-0.07597585959069739
YAL024C	0.2176770663273577
YAL026C	-0.5762400724684982
YAL027W	0.3422291637794669
YAL028W	0.40777158969535593
YAL029C	0.333107349782045
YAL030W	-0.30879043611286927
YAL031C	0.14669686880043703
YAL034C	0.5857300902857052
YAL035W	0.03219584775958917
YAL036C	-0.14545571818478778
YAL037C-A	0.28633257154275554
YAL037W	1.3563566238495999
YAL039C	1.2551851087924686
YAL040C	1.1375033293230141
YAL042C-A	0.04939210559844573
YAL042W	0.7119495849334196
YAL044C	0.8951601319102895
YAL044W-A	0.17662539782528994
YAL045C	0.5484768707459514
YAL046C	-0.0871540313271024
YAL047C	-2.1862143400373286
YAL048C	-0.2995978256207571
YAL049C	-0.14154933250230484
YAL051W	-0.10264636611874584
YAL053W	0.2751918324898319
YAL054C	-0.8997893453947027
YAL055W	0.9252932739802082
YAL056C-A	-1.6412348282397289
YAL056W	0.9082301889353124
YAL058W	1.9248998891265723
YAL059W	0.435082201739508
YAL060W	0.945162347307106
YAL061W	0.4774792847720421
YAL062W	0.5599908872634872
YAL064C-A	0.08914916855946196
YAL065C	0.020607767994117773
YAL066W	0.14435341749990427
YAL067C	0.2370895505272463
YAL067W-A	0.2839990667646886
YAL068C	-0.05704528164919154
YAR002C-A	-0.15757359063565804
YAR002W	-0.5897855857824637
YAR003W	-0.10907565161619892
YAR014C	-0.8614794711706829
YAR015W	-1.2153474051399742
YAR018C	-1.3475031097865087
YAR020C	-0.621690302060237
YAR023C	-0.3765997902354932
