orf	hom | growth (culture turbidity) | zinc dichloride [3-6 mM] | YPD | Zhao Y~Deng Y, 2020
YAL015C	-6.497862896539309
YAL020C	-6.497862896539309
YAL047C	-6.497862896539309
YBR127C	-6.497862896539309
YBR131W	-6.497862896539309
YCL001W	-6.497862896539309
YCL007C	-6.497862896539309
YCL038C	-6.497862896539309
YCL045C	-6.497862896539309
YCR037C	-6.497862896539309
YCR077C	-6.497862896539309
YCR079W	-6.497862896539309
YCR081W	-6.497862896539309
YCR086W	-6.497862896539309
YDL041W	-6.497862896539309
YDL045W-A	-6.497862896539309
YDL047W	-6.497862896539309
YDL100C	-6.497862896539309
YDL101C	-6.497862896539309
YDL133W	-6.497862896539309
YDL160C	-6.497862896539309
YDR028C	-6.497862896539309
YDR089W	-6.497862896539309
YDR127W	-6.497862896539309
YDR137W	-6.497862896539309
YDR186C	-6.497862896539309
YDR203W	-6.497862896539309
YDR276C	-6.497862896539309
YDR283C	-6.497862896539309
YDR310C	-6.497862896539309
YDR417C	-6.497862896539309
YDR456W	-6.497862896539309
YER116C	-6.497862896539309
YFL001W	-6.497862896539309
YFL004W	-6.497862896539309
YFL016C	-6.497862896539309
YFL049W	-6.497862896539309
YGL071W	-6.497862896539309
YGL095C	-6.497862896539309
YGL124C	-6.497862896539309
YGL195W	-6.497862896539309
YGL212W	-6.497862896539309
YGL234W	-6.497862896539309
YGR092W	-6.497862896539309
YGR105W	-6.497862896539309
YHL031C	-6.497862896539309
YHR004C	-6.497862896539309
YHR026W	-6.497862896539309
YHR061C	-6.497862896539309
YHR076W	-6.497862896539309
YHR094C	-6.497862896539309
YHR106W	-6.497862896539309
YHR108W	-6.497862896539309
YHR112C	-6.497862896539309
YHR113W	-6.497862896539309
YHR151C	-6.497862896539309
YHR178W	-6.497862896539309
YIL154C	-6.497862896539309
YJL004C	-6.497862896539309
YJL012C	-6.497862896539309
YJL024C	-6.497862896539309
YJL092W	-6.497862896539309
YJL124C	-6.497862896539309
YJL154C	-6.497862896539309
YJL198W	-6.497862896539309
YJL204C	-6.497862896539309
YJL208C	-6.497862896539309
YJL211C	-6.497862896539309
YJL216C	-6.497862896539309
YJL218W	-6.497862896539309
YJR043C	-6.497862896539309
YKL006W	-6.497862896539309
YKL044W	-6.497862896539309
YKL080W	-6.497862896539309
YKL119C	-6.497862896539309
YKL139W	-6.497862896539309
YKR020W	-6.497862896539309
YLL002W	-6.497862896539309
YLL010C	-6.497862896539309
YLR149C	-6.497862896539309
YLR182W	-6.497862896539309
YLR232W	-6.497862896539309
YLR242C	-6.497862896539309
YLR261C	-6.497862896539309
YLR262C	-6.497862896539309
YLR268W	-6.497862896539309
YLR396C	-6.497862896539309
YLR425W	-6.497862896539309
YMR243C	-6.497862896539309
YMR264W	-6.497862896539309
YMR265C	-6.497862896539309
YNL059C	-6.497862896539309
YNL069C	-6.497862896539309
YNL129W	-6.497862896539309
YNL204C	-6.497862896539309
YNL220W	-6.497862896539309
YNL271C	-6.497862896539309
YNL323W	-6.497862896539309
YNR052C	-6.497862896539309
YOR270C	-6.497862896539309
YPL031C	-6.497862896539309
YPL045W	-6.497862896539309
YPL254W	-6.497862896539309
YPL261C	-6.497862896539309
YPL268W	-6.497862896539309
YPR060C	-6.497862896539309
YPR123C	-6.497862896539309
YPR133W-A	-6.497862896539309
