number,ORF name,Gene name,rDNA stability,rDNA copy number,Gel(Plate/Row/Colum),Replicative lifespan,Other chromosome abnormality,InputDate
"1705","YGR039W","YGR039W","2","2,2","19-B-1","","","0000-00-00 00:00:00"
"1706","YGR041W","BUD9","2","2","19-B-2","","","0000-00-00 00:00:00"
"1707","YGR042W","YGR042W","2","2","19-B-3","","","0000-00-00 00:00:00"
"1708","YGR043C","NQM1","2","2","19-B-4","","","0000-00-00 00:00:00"
"1709","YGR044C","RME1","2","2","19-B-5","","","0000-00-00 00:00:00"
"1710","YGR045C","YGR045C","2","2","19-B-6","","","0000-00-00 00:00:00"
"1711","YGR049W","SCM4","2","2","19-B-8","","","0000-00-00 00:00:00"
"1712","YGR051C","YGR051C","3","2","19-B-9","","","0000-00-00 00:00:00"
"1713","YGR052W","FMP48","2","2","19-B-10","","","0000-00-00 00:00:00"
"1714","YGR054W","YGR054W","2","2","19-B-11","","","0000-00-00 00:00:00"
"1715","YGR055W","MUP1","2","2","19-B-12","","","0000-00-00 00:00:00"
"1716","YGR056W","RSC1","3","1,2,4","19-C-1","","","0000-00-00 00:00:00"
"1717","YGR057C","LST7","2","2","19-C-2","","","0000-00-00 00:00:00"
"1718","YGR058W","PEF1","2","2","19-C-3","","","0000-00-00 00:00:00"
"1719","YGR059W","SPR3","2","2","19-C-4","","","0000-00-00 00:00:00"
"1720","YGR061C","ADE6","2","2","19-C-5","","","0000-00-00 00:00:00"
"1721","YGR062C","COX18","2","2","19-C-6","","","0000-00-00 00:00:00"
"1722","YGR064W","YGR064W","2","2","19-C-7","","","0000-00-00 00:00:00"
"1723","YGR066C","YGR066C","2","2","19-C-8","","","0000-00-00 00:00:00"
"1724","YGR067C","YGR067C","2","2","19-C-9","","","0000-00-00 00:00:00"
"1725","YGR068C","ART5","2","2","19-C-10","","","0000-00-00 00:00:00"
"1726","YGR069W","YGR069W","2","2","19-C-11","","","0000-00-00 00:00:00"
"1727","YGR070W","ROM1","2","2","19-C-12","","","0000-00-00 00:00:00"
"1728","YGR071C","ENV11","2","2","19-D-1","","","0000-00-00 00:00:00"
"1729","YGR072W","UPF3","2","2","19-D-2","","","0000-00-00 00:00:00"
"1730","YGR076C","MRPL25","2","2","19-D-3","increased[33]","","0000-00-00 00:00:00"
"1731","YGR077C","PEX8","3","3","19-D-4","","","0000-00-00 00:00:00"
"1732","YGR078C","PAC10","3","3","19-D-5","","","0000-00-00 00:00:00"
"1733","YGR079W","YGR079W","3","2","19-D-6","","","0000-00-00 00:00:00"
"1734","YGR080W","TWF1","2","2","19-D-7","","","0000-00-00 00:00:00"
"1735","YGR081C","SLX9","3","3","19-D-8","","","0000-00-00 00:00:00"
"1736","YGR084C","MRP13","2","2","19-D-9","","","0000-00-00 00:00:00"
"1737","YGR085C","RPL11B ","2","3","19-D-10","","","0000-00-00 00:00:00"
"1738","YGR087C","PDC6","2","2","19-D-11","","","0000-00-00 00:00:00"
"1739","YGR088W","CTT1","2","2","19-D-12","","","0000-00-00 00:00:00"
"1740","YGR096W","TPC1","2","2","19-E-1","","","0000-00-00 00:00:00"
"1741","YGR097W","ASK10","2","2","19-E-2","","","0000-00-00 00:00:00"
"1742","YGR100W","MDR1","2","2","19-E-3","","","0000-00-00 00:00:00"
"1743","YGR101W","PCP1","2","2","19-E-4","","","0000-00-00 00:00:00"
"1744","YGR102C","GTF1","2","2","19-E-5","","","0000-00-00 00:00:00"
"1745","YGR104C","SRB5","3","2","19-E-6","","","0000-00-00 00:00:00"
"1746","YGR105W","VMA21","3","2","19-E-7","","","0000-00-00 00:00:00"
"1747","YGR107W","YGR107W","2","2","19-E-8","","","0000-00-00 00:00:00"
"1748","YGR108W","CLB1","2","2","19-E-9","","","0000-00-00 00:00:00"
"1749","YGR109C","CLB6","3","2","19-E-10","","","0000-00-00 00:00:00"
"1750","YGR111W","YGR111W","3","4","19-E-11","","","0000-00-00 00:00:00"
