orf	het | growth (pooled culture) | NVP-BHS345 [25 uM] | SC | Shimada K~Gasser SM, 2013	hom | growth (pooled culture) | NVP-BHS345 [18 uM] | SC | Shimada K~Gasser SM, 2013
YAL001C	0.039189148757420314	-0.09760004650596392
YAL002W	-0.2645170098089741	-0.8890647582038372
YAL003W	0.32604818788206824	
YAL004W	0.37608388730613673	0.18829986308737065
YAL005C	-0.10594916827528653	0.9300343572425762
YAL007C	-0.016598935520905134	0.3595242403949543
YAL008W	-0.2751313307695856	0.4538150377116683
YAL009W	-0.12160096406157687	-2.9820633855182477
YAL010C	-1.716120395059161	0.24662158832796033
YAL011W	-0.01512349306126799	-1.9523169474373236
YAL012W	-0.5097474746889377	
YAL013W	0.029132112168040642	-2.196420429317591
YAL014C	2.5154585489003516	-0.10425410259585004
YAL015C	-0.041356761542735695	-0.045350034137247065
YAL016W	2.881288172741605	
YAL017W	-0.11398944508073636	-0.06847055027745551
YAL018C	0.7712946404738747	-0.207403942779765
YAL019W	0.22812309161475	0.17893168511658955
YAL020C	0.01758962105778396	-0.06663191159737542
YAL021C	-2.9743686631995088	-2.141066525677762
YAL022C	0.008930165461955863	0.013336446670387775
YAL023C	-0.03320620746636508	0.43322895891321345
YAL024C	0.29392124674404846	0.12993466333352433
YAL025C	-0.26319726873980065	
YAL026C	-0.013064395709215821	-0.3167129321190539
YAL027W	-0.06854356950436469	0.18671874934269295
YAL028W	-0.7874430398954831	0.11049953518011395
YAL029C	0.0912674475160532	-0.011838184761572241
YAL030W	0.2774192664022851	-0.07482822707796745
YAL031C	0.021518007936925022	0.7339950856806173
YAL032C	-2.051582812359841	
YAL033W	1.9915693756232142	
YAL034C	-0.12089954130898066	0.895769436103336
YAL034C-B	0.30362804279059863	
YAL034W-A	0.19880902366113304	
YAL035W	-0.6812012536177424	-0.050206015968898385
YAL036C	-0.011428868793367127	0.5064300049596662
YAL037W	-0.19268145566785036	1.3006634658935663
YAL038W	0.10172637344236247	
YAL039C	-0.05440277999508504	
YAL040C	-0.03036942676577131	0.4131927496274176
YAL041W	0.8917151367249808	
YAL042C-A	-0.11714762645925597	-0.4369507170664011
YAL042W	-0.009456336499727852	0.06407525513250781
YAL043C	-0.06679473261606043	
