ORF	Gene	strain	CPT	T/C
YJR129C		32607	757	0.967
YDR453C	TSA2	34287	758	0.967
YLR189C	UGT51	34138	759	0.967
YOR126C	IAH1	32382	760	0.967
YPL150W		32102	761	0.967
YOR377W	ATF1	31674	762	0.967
YDL091C		33788	763	0.967
YOL104C	NDJ1	36254	764	0.967
YOR382W	FIT2	31679	765	0.968
YBR012C		33147	766	0.968
YLL048C	YBT1	36425	767	0.968
YMR074C		37118	768	0.968
YLL023C		31511	769	0.968
YDL237W		33934	770	0.968
YMR247C		30834	771	0.968
YML013W	SEL1	30560	772	0.968
YDR130C	FIN1	34064	773	0.968
YPR069C	SPE3	35488	774	0.968
YPL018W	CTF19	32810	775	0.968
YAR029W		30421	776	0.968
YGL035C	MIG1	34403	777	0.968
YBL011W	SCT1	33037	778	0.968
YMR007W		30582	779	0.968
YER019W	ISC1	30150	780	0.968
YMR160W		36746	781	0.968
YPL181W	CTI6	32070	782	0.968
YJL007C		36775	783	0.968
YPL166W		32086	784	0.968
YOR338W		31635	785	0.968
YHL044W		30919	786	0.968
YGR142W	BTN2	34772	787	0.968
YPL258C	THI21	31034	788	0.968
YPL176C		32076	789	0.968
YGR130C		34760	790	0.968
YPL065W	VPS28	32763	791	0.969
YAL004W		30402	792	0.969
YDR276C	PMP3	33635	793	0.969
YHR140W		36415	794	0.969
YLR047C		32658	795	0.969
YEL047C		30288	796	0.969
YIL130W		32289	797	0.969
YOR042W	CUE5	31818	798	0.969
YGR291C		37295	799	0.969
YGL209W	MIG2	34575	800	0.969
YDR497C	ITR1	34331	801	0.969
YOR066W		31842	802	0.969
YKL162C-A		35980	803	0.969
YHR193C	EGD2	36422	804	0.969
YLR452C	SST2	36055	805	0.969
YBL085W	BOI1	33111	806	0.969
YJL070C		37093	807	0.969
YPL149W	APG5	32103	808	0.969
YOL119C	MCH4	36269	809	0.969
YCR073C	SSK22	37195	810	0.969
YOR313C	SPS4	31610	811	0.969
YDL204W	RTN2	33902	812	0.969
YER041W	YEN1	30174	813	0.969
YNL314W	DAL82	31130	814	0.969
YDR215C		33574	815	0.97
YOR162C	YRR1	32418	816	0.97
YJR127C	ZMS1	32605	817	0.97
YOL160W		36666	818	0.97
YEL037C	RAD23	30278	819	0.97
YOR090C	PTC5	31866	820	0.97
YFR036W	CDC26	35850	821	0.97
YBR172C	SMY2	33312	822	0.97
YLR025W	SNF7	31580	823	0.97
YHR117W	TOM71	31945	824	0.97
YCR062W		37190	825	0.97
YLR027C	AAT2	31582	826	0.97
YDR256C	CTA1	33615	827	0.97
YDR455C		34289	828	0.97
YMR008C	PLB1	30583	829	0.97
YNL235C		31977	830	0.97
YHL012W		30951	831	0.97
YMR135W-A		36741	832	0.97
YBL094C		33120	833	0.971
YNL248C	RPA49	31196	834	0.971
YDL182W	LYS20	33880	835	0.971
YDR334W		33693	836	0.971
YIL162W	SUC2	32321	837	0.971
YJR098C		36910	838	0.971
YJR024C		36822	839	0.971
YGL006W	PMC1	34374	840	0.971
YJL141C	YAK1	37006	841	0.971
YOR173W	DCS2	32429	842	0.971
YCL024W	KCC4	33431	843	0.971
YNL305C		31139	844	0.971
YKL037W		34886	845	0.971
YPR011C		37399	846	0.971
YHR113W		31941	847	0.971
YLR421C	RPN13	35328	848	0.971
YDR121W	DPB4	34055	849	0.971
YNL101W	AVT4	32975	850	0.971
YOR015W		31791	851	0.971
YNL127W	FAR11	32949	852	0.971
YNL090W	RHO2	37230	853	0.972
YER066C-A		30204	854	0.972
YBR273C		35721	855	0.972
YOR177C	MPC54	32433	856	0.972
YCL057W	PRD1	33464	857	0.972
YDR282C		33641	858	0.972
YER067W		30205	859	0.972
YBR071W		33208	860	0.972
YJL137C	GLG2	37003	861	0.972
YIL095W	PRK1	31486	862	0.972
YPL053C	KTR6	32775	863	0.972
YER011W	TIR1	30333	864	0.972
YLR183C	TOS4	34132	865	0.972
YDR218C	SPR28	33577	866	0.972
YHR029C		30992	867	0.972
YLR199C		34148	868	0.972
YNR055C	HOL1	37124	869	0.972
YHL005C		30959	870	0.972
YGL138C		34505	871	0.972
YNL056W		37211	872	0.972
YMR123W	PKR1	36564	873	0.972
YAL049C		30356	874	0.972
YLR213C	CRR1	34162	875	0.972
YDR222W		33581	876	0.972
YNL194C		32018	877	0.973
YBR239C		33379	878	0.973
YOL050C		31741	879	0.973
YMR147W		30728	880	0.973
YHR110W	ERP5	31938	881	0.973
YJR133W	XPT1	36931	882	0.973
YMR136W	GAT2	36956	883	0.973
YPL273W	SAM4	31019	884	0.973
YMR244C-A		30832	885	0.973
YJR074W	MOG1	36896	886	0.973
YHR153C	SPO16	32847	887	0.973
YOR273C	TPO4	37331	888	0.973
YOL129W	VPS68	36279	889	0.973
YLR024C	UBR2	31579	890	0.973
YGL016W	KAP122	34384	891	0.973
YLR037C	DAN2	36435	892	0.973
YGL032C	AGA2	34400	893	0.973
YLR224W		34173	894	0.973
YHR125W		31953	895	0.973
YBR073W	RDH54	33210	896	0.973
YHR139C	SPS100	31967	897	0.973
YNL197C	WHI3	32015	898	0.973
YDL241W		33938	899	0.973
YDL178W	DLD2	33876	900	0.973
YDR476C		34310	901	0.973
YNL108C		32968	902	0.973
YAL068C		30338	903	0.973
YIL079C	AIR1	31472	904	0.973
YMR204C		30790	905	0.973
YMR145C	NDE1	30726	906	0.974
YLR390W-A	CCW14	37108	907	0.974
YFL021W	GAT1	35640	908	0.974
YMR104C	YPK2	37119	909	0.974
YOR038C	HIR2	31814	910	0.974
YPR060C	ARO7	35479	911	0.974
YDL050C		33747	912	0.974
YJR088C		32565	913	0.974
YOL028C	YAP7	31719	914	0.974
YHL034C	SBP1	30929	915	0.974
YPL197C		31095	916	0.974
YEL028W		30269	917	0.974
YML007W	YAP1	30569	918	0.974
YPL108W		32144	919	0.974
YLL015W	BPT1	31503	920	0.974
YHL037C		30926	921	0.974
YMR326C		36075	922	0.974
YLR253W		35162	923	0.974
YEL067C		30309	924	0.974
YDL046W	NPC2	33743	925	0.974
YDL134C	PPH21	33831	926	0.974
YHL045W		30918	927	0.974
YLL056C		31544	928	0.974
YFL051C		35672	929	0.974
YMR265C		30851	930	0.975
YCL069W		33476	931	0.975
YMR139W	RIM11	36745	932	0.975
YDR525W-A	SNA2	35829	933	0.975
YHL022C	SPO11	30941	934	0.975
YLR165C	PUS5	34114	935	0.975
YLR318W	EST2	35227	936	0.975
YJL178C	ETF1	31247	937	0.975
YJL197W	UBP12	31228	938	0.975
YMR171C		36445	939	0.975
YOR136W	IDH2	32392	940	0.975
YLR152C		34109	941	0.975
YGL039W		34407	942	0.975
YCL076W		36880	943	0.975
YOR019W		31795	944	0.975
YNL116W		32960	945	0.975
YMR101C	SRT1	36541	946	0.975
YJR109C	CPA2	36916	947	0.975
YPL054W	LEE1	32774	948	0.975
YPL216W		31076	949	0.975
YOL044W	PEX15	31735	950	0.975
YDL121C		33818	951	0.975
YAR037W		30426	952	0.975
YHR105W	YPT35	31933	953	0.975
YIL065C	FIS1	31458	954	0.975
YLR164W		34113	955	0.975
YHR096C	HXT5	31924	956	0.975
YLR118C		32729	957	0.975
YOR044W		31820	958	0.975
YKR066C	CCP1	35982	959	0.976
YOR231W	MKK1	32487	960	0.976
YLR142W	PUT1	34099	961	0.976
YHR171W	APG7	37090	962	0.976
YJR032W	CPR7	36830	963	0.976
YGR117C		36995	964	0.976
YDR482C	CWC21	34316	965	0.976
YOR087W	YVC1	31863	966	0.976
YBR261C		33401	967	0.976
YML107C		36507	968	0.976
YMR319C	FET4	36461	969	0.976
YOL030W	GAS5	31721	970	0.976
YNL333W	SNZ2	31111	971	0.976
YPL046C	ELC1	32782	972	0.976
YKR105C		36021	973	0.976
YGR231C	PHB2	35884	974	0.976
YNL096C	RPS7B	37379	975	0.976
YML119W		36520	976	0.976
YFR007W		35686	977	0.976
YER120W	SCS2	36119	978	0.976
YHR077C	NMD2	31905	979	0.976
YMR012W	CLU1	30587	980	0.976
YKL174C		35024	981	0.976
YEL053C	MAK10	30294	982	0.976
YOR295W	UAF30	31591	983	0.976
YOL059W	GPD2	31751	984	0.976
YFL011W	HXT10	35627	985	0.977
YIR023W	DAL81	37303	986	0.977
YFR024C-A	LSB3	35704	987	0.977
YLR041W		36439	988	0.977
YGR136W	LSB1	34766	989	0.977
YOR114W		32370	990	0.977
YOR180C	DCI1	32436	991	0.977
YGR122W		34752	992	0.977
YER119C	AVT6	36117	993	0.977
YBR067C	TIP1	33204	994	0.977
YNL143C		32933	995	0.977
YDR131C		34065	996	0.977
YDL175C	AIR2	33873	997	0.977
YOR141C	ARP8	32397	998	0.977
YJR126C	VPS70	36929	999	0.977
YNL085W	MKT1	37228	1000	0.977
YOR037W	CYC2	31813	1001	0.977
YJL200C		37022	1002	0.977
YOR233W	KIN4	32489	1003	0.977
YBL083C		33109	1004	0.977
YMR029C	FAR8	30604	1005	0.978
YMR082C		36216	1006	0.978
YLL005C	SPO75	31493	1007	0.978
YBR085W	AAC3	33223	1008	0.978
YOR302W		37336	1009	0.978
YFL028C	CAF16	35647	1010	0.978
YMR181C		36446	1011	0.978
YMR312W	ELP6	36452	1012	0.978
YLR119W	SRN2	32730	1013	0.978
YJL027C		36795	1014	0.978
YIL034C	CAP2	31427	1015	0.978
YBR019C	GAL10	33156	1016	0.978
YOR088W		31864	1017	0.978
YIL010W	DOT5	31402	1018	0.978
YBR086C	IST2	33224	1019	0.978
YBL051C	PIN4	33077	1020	0.978
YBR009C	HHF1	33144	1021	0.978
YNL159C	ASI2	32053	1022	0.978
YLR044C	PDC1	32655	1023	0.979
YDR155C	CPR1	33513	1024	0.979
YOR190W	SPR1	32446	1025	0.979
YLR123C		32734	1026	0.979
YJR110W		32588	1027	0.979
YHR206W	SKN7	32900	1028	0.979
YNL325C	FIG4	31120	1029	0.979
YGL146C		34513	1030	0.979
YLR094C	GIS3	32705	1031	0.979
YOR325W		31622	1032	0.979
YJR052W	RAD7	36850	1033	0.979
YDR521W		34355	1034	0.979
YBR104W	YMC2	33243	1035	0.979
YIL160C	POT1	32319	1036	0.979
YHR180W		36633	1037	0.979
YJR105W	ADO1	32583	1038	0.979
YPR062W	FCY1	35481	1039	0.979
YEL006W		30246	1040	0.979
YHR138C		31966	1041	0.979
YOR009W	TIR4	31785	1042	0.979
YML051W	GAL80	30520	1043	0.979
YBR197C		33337	1044	0.979
YIR003W		32339	1045	0.979
YLR241W		35150	1046	0.979
YOR021C		31797	1047	0.979
YBL009W		33035	1048	0.98
YHR049W	FSH1	31876	1049	0.98
YOR364W		31661	1050	0.98
YMR252C		30838	1051	0.98
YGR131W		34761	1052	0.98
YLL013C	PUF3	31501	1053	0.98
YIR016W		32352	1054	0.98
YPL170W	DAP1	32082	1055	0.98
YBL064C	PRX1	33090	1056	0.98
YML033W		30539	1057	0.98
YBL005W	PDR3	33029	1058	0.98
YGL226C-A	OST5	34592	1059	0.98
YJL151C	SNA3	37007	1060	0.98
YGR178C	PBP1	34808	1061	0.98
YOL072W	THP1	31764	1062	0.98
YGR022C		34652	1063	0.98
YJL154C	VPS35	31271	1064	0.98
YMR206W		30792	1065	0.98
YER134C		36133	1066	0.98
YOR013W		31789	1067	0.98
YJL101C	GSH1	37097	1068	0.98
YLR046C		32657	1069	0.98
YPL140C	MKK2	32112	1070	0.98
YHR093W	AHT1	31921	1071	0.98
YNL032W	SIW14	35358	1072	0.98
YDR306C		33665	1073	0.981
YBR165W	UBS1	33305	1074	0.981
YER083C	RMD7	30223	1075	0.981
YHR043C	DOG2	31006	1076	0.981
YML084W		30486	1077	0.981
YPR151C	SUE1	37407	1078	0.981
YGR169C	PUS6	34799	1079	0.981
YHR106W	TRR2	31934	1080	0.981
YJR035W	RAD26	36833	1081	0.981
YLR134W	PDC5	34091	1082	0.981
YJL099W	CHS6	31324	1083	0.981
YDL223C	HBT1	33921	1084	0.981
YBR287W		37173	1085	0.981
YNL326C		31118	1086	0.981
YCR107W	AAD3	37253	1087	0.981
YOR296W		31592	1088	0.981
YGR135W	PRE9	34765	1089	0.981
YBR245C	ISW1	33385	1090	0.981
YER045C	ACA1	30179	1091	0.981
YJL192C	SOP4	31233	1092	0.981
YMR318C	ADH6	36460	1093	0.981
YIL136W	OM45	32295	1094	0.981
YLR407W		35316	1095	0.981
YPL224C	MMT2	36767	1096	0.981
YGR106C		36992	1097	0.981
YMR175w	SIP18	30760	1098	0.981
YBR180W	DTR1	33320	1099	0.981
YMR304C-A		30893	1100	0.982
YCR037C	PHO87	35766	1101	0.982
YMR237W		30823	1102	0.982
YMR196W		30782	1103	0.982
YPL239W	YAR1	31053	1104	0.982
YBR235W		33375	1105	0.982
YOL062C	APM4	31754	1106	0.982
YOR018W	ROD1	31794	1107	0.982
YMR148W		30729	1108	0.982
YOR327C	SNC2	31624	1109	0.982
YMR153W	NUP53	30734	1110	0.982
YLL062C	MHT1	31550	1111	0.982
YBR186W	PCH2	33326	1112	0.982
YPR138C	MEP3	35553	1113	0.982
YML026C	RPS18B	30547	1114	0.982
YEL060C	PRB1	30302	1115	0.982
YLR081W	GAL2	32692	1116	0.982
YLR296W		35206	1117	0.982
YOL114C		36264	1118	0.982
YCR020C	PET18	33500	1119	0.982
YPL014W		32814	1120	0.982
YCR001W		33481	1121	0.982
YNR075W	COS10	36234	1122	0.982
YBL024W	NCL1	33050	1123	0.982
YML009C	MRPL39	36065	1124	0.982
YML059C		30511	1125	0.982
YJR106W	ECM27	36914	1126	0.982
YDL197C	ASF2	33895	1127	0.983
YER106W	MAM1	36104	1128	0.983
YKR035W-A	DID2	35981	1129	0.983
YFL004W	VTC2	37273	1130	0.983
YDL109C		33806	1131	0.983
YOR133W	EFT1	32389	1132	0.983
YMR040W		30616	1133	0.983
YJR051W	OSM1	36849	1134	0.983
YDR349C	YPS7	34186	1135	0.983
YIL071C	PCI8	31464	1136	0.983
YLR154C		34111	1137	0.983
YIL006W		31398	1138	0.983
YOR364W		36757	1139	0.983
YOR367W	SCP1	31664	1140	0.983
YJL049W		31374	1141	0.983
YHR176W	FMO	32870	1142	0.983
YGL132W		34499	1143	0.983
YEL010W		30250	1144	0.983
YPR068C	HOS1	35487	1145	0.983
YDR205W	MSC2	36971	1146	0.983
YCR027C	RHB1	35756	1147	0.983
YDR318W	MCM21	33677	1148	0.983
YDL149W	APG9	33847	1149	0.983
YPL052W		32776	1150	0.983
YOR321W	PMT3	31618	1151	0.983
YFR023W	PES4	35702	1152	0.983
YPL081W	RPS9A	32747	1153	0.983
YJL171C		31254	1154	0.983
YOR213C	SAS5	32469	1155	0.983
YOR094W	ARF3	31870	1156	0.983
YEL040W	UTR2	30281	1157	0.983
YIL073C	SPO22	31466	1158	0.983
YML106W	URA5	36506	1159	0.983
YDR126W	SWF1	34060	1160	0.984
YOL011W	PLB3	31702	1161	0.984
YIL094C	LYS12	31485	1162	0.984
YMR274C	RCE1	30860	1163	0.984
YKR018C		35089	1164	0.984
YGR151C		34781	1165	0.984
YOL125W		37126	1166	0.984
YOR227W		32483	1167	0.984
YOR185C	GSP2	32441	1168	0.984
YAR042W	SWH1	30428	1169	0.984
YER037W	PHM8	36695	1170	0.984
YLL051C	FRE6	31539	1171	0.984
YPL203W	TPK2	31089	1172	0.984
YOR304W	ISW2	31601	1173	0.984
YJR025C	BNA1	36823	1174	0.984
YLR390W	ECM19	35299	1175	0.984
YGL231C		34598	1176	0.984
YGR138C	TPO2	34768	1177	0.984
YGR164W		34794	1178	0.984
YMR188C	MRPS17	30773	1179	0.984
YLR394W	CST9	36716	1180	0.984
YPR122W	AXL1	35537	1181	0.984
YGL181W	GTS1	34548	1182	0.984
YER080W		30220	1183	0.984
YDR022C	CIS1	33961	1184	0.984
YKR100C		36016	1185	0.984
YEL068C		30310	1186	0.984
YKR072C	SIS2	35988	1187	0.984
YDR213W	UPC2	33572	1188	0.984
YDR143C	SAN1	34077	1189	0.984
YDL138W	RGT2	33836	1190	0.984
YLR178C	TFS1	34127	1191	0.984
YBR076W	ECM8	33213	1192	0.984
YDR134C		34068	1193	0.984
YMR180C	CTL1	30765	1194	0.984
YCR028C	FEN2	35757	1195	0.984
YOR380W	RDR1	31677	1196	0.984
YDL129W		33826	1197	0.985
YJL142C		31283	1198	0.985
YOR093C		31869	1199	0.985
YPL262W	FUM1	31030	1200	0.985
YHR047C	AAP1'	31874	1201	0.985
YBL086C		33112	1202	0.985
YKL033W-A		35978	1203	0.985
YNL334C	SNO2	31110	1204	0.985
YEL005C	VAB2	30245	1205	0.985
YLR124W		32735	1206	0.985
YDR033W	MRH1	33972	1207	0.985
YDR262W		33621	1208	0.985
YJR043C	POL32	36841	1209	0.985
YBL037W	APL3	33063	1210	0.985
YJL036W	SNX4	31386	1211	0.985
YHR037W	PUT2	31000	1212	0.985
YDL122W	UBP1	33819	1213	0.985
YOR263C		32519	1214	0.985
YGR233C	PHO81	35886	1215	0.985
YOR303W	CPA1	37337	1216	0.985
YIL092W		37302	1217	0.985
YBR045C	GIP1	33182	1218	0.985
YMR102C		36542	1219	0.986
YCL075W		36879	1220	0.986
YBR162W-A	YSY6	33302	1221	0.986
YER149C	PEA2	36146	1222	0.986
YCL008C	STP22	33416	1223	0.986
YHR178W	STB5	32872	1224	0.986
YOR178C	GAC1	32434	1225	0.986
YPL077C		32751	1226	0.986
YOL159C		36665	1227	0.986
YKL168C	KKQ8	35018	1228	0.986
YOR084W		31860	1229	0.986
YLR098C	CHA4	32709	1230	0.986
YDR197W	CBS2	33556	1231	0.986
YDL070W	BDF2	33767	1232	0.986
YDR502C	SAM2	37264	1233	0.986
YOR230W	WTM1	32486	1234	0.986
YJL030W	MAD2	31392	1235	0.986
YPL087W	YDC1	32741	1236	0.986
YOR316C	COT1	31613	1237	0.986
YHR066W	SSF1	31894	1238	0.986
YKL008C	LAC1	34857	1239	0.986
YBR219C		33359	1240	0.986
YMR105C	PGM2	36545	1241	0.986
YLR203C	MSS51	34152	1242	0.987
YMR178W		30763	1243	0.987
YML068W	ITT1	36953	1244	0.987
YML099C	ARG81	36497	1245	0.987
YOR192C		32448	1246	0.987
YLL012W		31500	1247	0.987
YOR161C		32417	1248	0.987
YDL021W	GPM2	33717	1249	0.987
YBL049W	MOH1	33075	1250	0.987
YLR036C		36434	1251	0.987
YDR119W		34053	1252	0.987
YLR248W	RCK2	35157	1253	0.987
YLR013W	GAT3	31568	1254	0.987
YJR152W	DAL5	32630	1255	0.987
YLR143W		34100	1256	0.987
YLR104W		32715	1257	0.987
YJL147C		31278	1258	0.987
YMR234W	RNH1	30820	1259	0.987
YMR273C	ZDS1	30859	1260	0.987
YCR021C	HSP30	33502	1261	0.987
YML003W		30573	1262	0.987
YLR109W	AHP1	32720	1263	0.987
YER071C		30211	1264	0.987
YDR007W	TRP1	37202	1265	0.987
YML095C	RAD10	36492	1266	0.988
YMR303C	ADH2	30891	1267	0.988
YGR014W	MSB2	34644	1268	0.988
YPL183C		36762	1269	0.988
YDR179W-A		33538	1270	0.988
YHL003C	LAG1	30960	1271	0.988
YHR115C		31943	1272	0.988
YDR338C		34177	1273	0.988
YDR352W		34189	1274	0.988
YLL049W		36426	1275	0.988
YAL037W		30369	1276	0.988
YMR153C-A		30735	1277	0.988
YCL036W	GFD2	33443	1278	0.988
YGL168W	HUR1	34535	1279	0.988
YKL150W	MCR1	35000	1280	0.988
YCR004C	YCP4	33484	1281	0.988
YJL043W		31380	1282	0.988
YBR054W	YRO2	33191	1283	0.988
YDR009W	GAL3	33949	1284	0.988
YGR126W		34756	1285	0.988
YCR022C		33503	1286	0.988
YIR032C	DAL3	37305	1287	0.988
YGR173W	GIR1	34803	1288	0.988
YAL056W	GPB2	30351	1289	0.988
YGL252C	RTG2	34619	1290	0.988
YLR096W	KIN2	32707	1291	0.989
YAR040C		30427	1292	0.989
YKL213C	DOA1	35063	1293	0.989
YML030W		30543	1294	0.989
YGL235W		34602	1295	0.989
YDR259C	YAP6	33618	1296	0.989
YIL105C		32264	1297	0.989
YNL193W		32019	1298	0.989
YAL051W	OAF1	30355	1299	0.989
YNL211C		32001	1300	0.989
YCR095C		36962	1301	0.989
YMR256C	COX7	30842	1302	0.989
YGR023W	MTL1	34653	1303	0.989
YLL017W	SDC25	31505	1304	0.989
YBR075W		37346	1305	0.989
YBL069W	AST1	33095	1306	0.989
YBR164C	ARL1	33304	1307	0.989
YBR263W	SHM1	33403	1308	0.989
YNR065C	YSN1	36092	1309	0.989
YLR070C	XYL2	32681	1310	0.989
YOR120W	GCY1	32376	1311	0.989
YML018C		30555	1312	0.989
YDL201W	TRM8	33899	1313	0.989
YNL285W		31159	1314	0.989
YFL063W		37364	1315	0.989
YLR211C		34160	1316	0.989
YGL139W		34506	1317	0.99
YJL095W	BCK1	31328	1318	0.99
YGR235C		35888	1319	0.99
YLR012C		31567	1320	0.99
YPR198W	SGE1	35613	1321	0.99
YHR151C		32845	1322	0.99
YOL048C		31739	1323	0.99
YNR068C		36095	1324	0.99
YOR099W	KTR1	32355	1325	0.99
YPR030W	CSR2	35449	1326	0.99
YBR050C	REG2	33187	1327	0.99
YBR246W		33386	1328	0.99
YNL278W	CAF120	31166	1329	0.99
YLR205C	HMX1	34154	1330	0.99
YBR301W	DAN3	37177	1331	0.99
YER063W	THO1	36585	1332	0.99
YFL052W		35673	1333	0.99
YKL027W		34876	1334	0.99
YMR175W	SIP18	36073	1335	0.99
YPL107W		32145	1336	0.99
YDR200C	VPS64	33559	1337	0.99
YBL054W		33080	1338	0.99
YAR018C	KIN3	30415	1339	0.99
YDR272W	GLO2	33631	1340	0.99
YMR243C	ZRC1	30829	1341	0.99
YLR136C	TIS11	34093	1342	0.99
YCR105W	ADH7	35821	1343	0.99
YHL002W	HSE1	36593	1344	0.99
YDR297W	SUR2	33656	1345	0.99
YJR119C		36922	1346	0.991
YPR076W		35495	1347	0.991
YNL173C	MDG1	32039	1348	0.991
YGR237C		35890	1349	0.991
YNR021W		35396	1350	0.991
YOR381W	FRE3	31678	1351	0.991
YDL211C		33909	1352	0.991
YFL033C	RIM15	37281	1353	0.991
YMR121C	RPL15B	36562	1354	0.991
YPR004C		32831	1355	0.991
YBL036C		33062	1356	0.991
YGL256W	ADH4	34623	1357	0.991
YMR251W		30836	1358	0.991
YMR151W	YIM2	30731	1359	0.991
YDR485C	VPS72	34319	1360	0.991
YIL159W	BNR1	32318	1361	0.991
YPL257W		31035	1362	0.991
YDR252W	BTT1	33611	1363	0.991
YNL004W	HRB1	35332	1364	0.991
YJL078C	PRY3	37094	1365	0.991
YML011C		30563	1366	0.991
YER050C	RSM18	30185	1367	0.991
YOR152C		32408	1368	0.991
YHR132W-A		37298	1369	0.991
YGR153W		34783	1370	0.991
YMR320W		36462	1371	0.991
YGR079W		34709	1372	0.991
YJL155C	FBP26	31270	1373	0.991
YMR289W	ABZ2	30875	1374	0.991
YBR294W	SUL1	37176	1375	0.992
YER033C	ZRG8	30165	1376	0.992
YPL171C	OYE3	32081	1377	0.992
YLL059C		36427	1378	0.992
YLR054C	OSW2	32665	1379	0.992
YKL106W	AAT1	34956	1380	0.992
YMR253C		30839	1381	0.992
YGL230C		34597	1382	0.992
YML075C	HMG1	36733	1383	0.992
YDL012C		33708	1384	0.992
YCL023C		33430	1385	0.992
YER118C	SHO1	36116	1386	0.992
YOR142W	LSC1	32398	1387	0.992
YOR243C	PUS7	32499	1388	0.992
YDL227C	HO	33925	1389	0.992
YML037C		30534	1390	0.992
YNL328C	MDJ2	31116	1391	0.992
YLR050C		36440	1392	0.992
YDR193W		33552	1393	0.992
YEL048C		30289	1394	0.992
YGL224C	SDT1	34590	1395	0.992
YLR114C		32725	1396	0.992
YNL270C	ALP1	31174	1397	0.992
YLL052C	AQY2	31540	1398	0.992
YJR100C		36912	1399	0.993
YML109W	ZDS2	36509	1400	0.993
YGL021W	ALK1	34389	1401	0.993
YHL043W	ECM34	30920	1402	0.993
YGL242C		34609	1403	0.993
YFR014C	CMK1	35693	1404	0.993
YJL207C		31218	1405	0.993
YNL292W	PUS4	31152	1406	0.993
YPR064W		37150	1407	0.993
YJL131C		31294	1408	0.993
YOR072W		31848	1409	0.993
YLR375W	STP3	35284	1410	0.993
YPL201C		31091	1411	0.993
YDR504C		34338	1412	0.993
YPR001W	CIT3	32828	1413	0.993
YNR066C		36093	1414	0.993
YBR034C	HMT1	33171	1415	0.993
YJL110C	GZF3	31313	1416	0.993
YKR009C	FOX2	35080	1417	0.993
YCR032W	BPH1	37181	1418	0.993
YNL115C		37241	1419	0.993
YNR033W	ABZ1	37389	1420	0.993
YOR311C	HSD1	31608	1421	0.993
YOR299W	BUD7	31595	1422	0.993
YBR056W		33193	1423	0.993
YOR118W		32374	1424	0.993
YGR187C	HGH1	34817	1425	0.993
YHR150W	PEX28	32844	1426	0.993
YBR016W		33153	1427	0.993
YNL226W		31985	1428	0.993
YML087C		30483	1429	0.993
YLR413W		35321	1430	0.993
YNL327W	EGT2	31117	1431	0.993
YBR217W	APG12	33357	1432	0.993
YGL261C		34628	1433	0.993
YLR209C	PNP1	34158	1434	0.994
YNL087W		37229	1435	0.994
YIL024C		31417	1436	0.994
YKL084W		34933	1437	0.994
YER152C		36149	1438	0.994
YBR095C	RXT2	33234	1439	0.994
YJL159W	HSP150	31266	1440	0.994
YGR088W	CTT1	34718	1441	0.994
YHR014W	SPO13	30977	1442	0.994
YBR297W	MAL33	35745	1443	0.994
YJR031C	GEA1	36829	1444	0.994
YML029W	USA1	30544	1445	0.994
YOR214C		32470	1446	0.994
YDR286C		33645	1447	0.994
YHL030W	ECM29	30933	1448	0.994
YHR045W		36413	1449	0.994
YOR022C		31798	1450	0.994
YDR147W	EKI1	33505	1451	0.994
YHL010C		30953	1452	0.994
YKR103W	NFT1	36019	1453	0.994
YMR109W	MYO5	36549	1454	0.994
YDL187C		33885	1455	0.994
YER186C		36182	1456	0.994
YML060W	OGG1	30510	1457	0.994
YLL030C		36423	1458	0.994
YOR215C		32471	1459	0.994
YHR162W		36416	1460	0.994
YHL038C	CBP2	30925	1461	0.994
YKR098C	UBP11	36014	1462	0.994
YBR221C	PDB1	33361	1463	0.994
YCR043C		35767	1464	0.995
YLR319C	BUD6	35228	1465	0.995
YOL124C		36274	1466	0.995
YKL198C	PTK1	35048	1467	0.995
YJR135C	MCM22	32613	1468	0.995
YDL161W	ENT1	33859	1469	0.995
YBR227C	MCX1	33367	1470	0.995
YGR209C	TRX2	34839	1471	0.995
YJL210W	PEX2	31214	1472	0.995
YDL112W	TRM3	33809	1473	0.995
YLR188W	MDL1	34137	1474	0.995
YER090W	TRP2	36395	1475	0.995
YDR415C		34251	1476	0.995
YDL154W	MSH5	33852	1477	0.995
YDL051W	LHP1	33748	1478	0.995
YBR068C	BAP2	33205	1479	0.995
YKL096W-A	CWP2	37026	1480	0.995
YMR154C	RIM13	36643	1481	0.995
YGR132C	PHB1	34762	1482	0.995
YPL112C	PEX25	32140	1483	0.995
YOL032W		31723	1484	0.995
YBL061C	SKT5	33087	1485	0.995
YCR045C		35769	1486	0.995
YFL030W	AGX1	35649	1487	0.995
YGL117W		34484	1488	0.995
YHR033W		30996	1489	0.995
YPR196W		35611	1490	0.995
YPL141C		32111	1491	0.995
YBL047C	EDE1	33073	1492	0.995
YLR437C		36040	1493	0.996
YBR199W	KTR4	33339	1494	0.996
YIL037C	PRM2	31430	1495	0.996
YGR144W	THI4	34774	1496	0.996
YLR191W	PEX13	34140	1497	0.996
YDL214C	PRR2	33912	1498	0.996
YCL048W		33455	1499	0.996
YDR466W		34300	1500	0.996
YLR392C		35301	1501	0.996
YNL183C	NPR1	32029	1502	0.996
YMR115W		36555	1503	0.996
YJL163C		37011	1504	0.996
YIL055C		31448	1505	0.996
YOR289W		31585	1506	0.996
YJR034W	PET191	36832	1507	0.996
