orf	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YAL001C		0.292940351260524		-1.862700688501658		-1.817783470397372
YAL002W		-0.695175775555578		-0.0520728292097008		0.25522198027836407
YAL003W	-1.4528688831275594	-0.30691549935412754	-1.4708153338552912	-0.2667874524218492	-0.6201174126608185	-0.18574203871941236
YAL004W	0.14510526091969037	0.23236252296978804	-0.38855151007613054	-0.32317166017718507	-2.210413271943918	0.33178741844043813
YAL005C	-0.10133587832819717	-1.7252907950547487	-0.04134807625487548		-1.6813833262421678	
YAL007C	0.6709850367195447	0.059009294028171046	-0.04406001951023463	0.36199012625684673	0.07229401167869005	-0.503846150712252
YAL008W	-0.027729076257105228	-0.35069551341455646	-0.15521732533183702	-0.4758454217147176	-0.34066214285283114	-0.49308693714893714
YAL009W	0.29907950193284416	-0.3292262561582039	-2.138162222285965	-1.528114321699674	-2.4231770955088527	-1.003276891368975
YAL010C	-1.7914030536261816	1.084420212726314	-2.822445279840476	0.14403417427349888	-1.2300230863035213	-0.6419332193425025
YAL011W	-3.0703068071924937	-1.1960997166106102	-2.761997854212773	-0.5965478923139261	0.2107502271540732	-0.41542648586684167
YAL012W	-0.6811056648892103	0.4714160735946497	-1.7937287751670123	0.9812395911061923	-1.1298400475423096	-0.026393282155746857
YAL013W	-2.1785749829824255	1.1959880105788292	-3.90183489938895	0.7215495742953157	-2.210047258472808	0.27539171607623675
YAL014C	0.05310788797454095	0.3677567143296292	-0.25199482713636484	-0.4116678805133507	1.1151662346935316	1.6819889157671142
YAL015C	-0.14524321992642064	0.24192261167299683	-0.0541782520011129	-0.37890835801305844	0.10138898944474606	1.2860615128548873
YAL016C-B						
YAL016W		0.9900250513846935		-2.446797603737193		-0.7893120143341803
YAL017W	-0.16681670830202047	1.2190302400985809	0.011584401789950918		0.15181190496647903	1.796563637843303
YAL018C	-0.18377304260732494	-0.1403031432412112	-0.38452519696054144	-0.17813447118343492	-0.2666812184921713	-0.2397878628105324
YAL019W	0.26169113903812397	0.10461781682240658	0.6093333528532664	0.23627268283034925	-0.2938792148533444	0.20221071231271023
YAL020C	-0.5347919667375847	-0.7923980445200157	0.21923192398409194	-0.008804249799252298	0.4078914746628294	-0.42913235055352905
YAL021C	-1.9762567416808217	-0.4895944311459906	-1.6284010553693675	1.407805815228249	-1.2143454253859736	-0.04083006630590715
YAL022C	-0.07289419937037717	-0.5384177200178139	-0.45054692664632906	-0.6666348769421115	-0.15632713067355541	-0.16712140121543528
YAL023C	-1.5841775883811773	-0.3756055250809064	-2.8625323482824787	-2.1963844095319924	-1.8113763810590093	-0.4466752928464205
YAL024C		0.3226333594272709		0.10471243878948862		-0.4623057054205215
YAL025C	-1.5764438324835528	0.4970295476183935	-1.6329203200326858	0.32304115162654734	-1.468802614352753	1.411005336592155
YAL026C	-0.3390541843767102	-0.2516501155805804	-0.5948157248037439	0.22587818954392408	-0.20723655102972266	0.5249668642531096
YAL027W	-0.03940900744418797	0.15678214594421058	-0.20998692297831914	-0.15545421203128346	-0.01234229810556706	-0.12300138822789333
YAL028W		-0.6092750458698328	-0.18401520866085222	3.305367994744641	0.23120248393448925	1.0053173024954036
YAL029C	-0.0821507466311437	0.21784274486533883	-0.3040665276769953	-0.5021348856174922	-0.35873608041973615	0.14344731696948856
YAL030W	-0.15666137580522035	0.3086925759908378	0.10248994052012764	0.08616166017783937	-0.22017798571799144	0.25206527621270397
YAL031C	-0.13908962091505286	0.5001105426657925	0.034424503451151195	-0.5651381281304563	0.04052817101740283	0.05850202948669851
YAL032C		-0.2815860134514612		0.2912347003889983		-0.5739554484096197
YAL033W	-1.6386621191591642	0.403456206074287	-2.5425868341862596	-0.26932885751720453	-1.617385279037585	0.6437150740161561
YAL034C	-0.008013214779379545	0.2863135897051102	0.050762640375839316	1.270577066610887	-0.1620421018850202	0.09451590776762006
YAL034W-A	-1.530238892749957	-0.23441817698161074	-1.7172921811043023	-4.916765459465127	-1.4537686103129395	0.43768058461615666
YAL035W	-0.17907496822173316	2.9255159765710457	-0.405864705390918		-1.2970373737877117	
YAL036C		-4.912341218159978		0.1580246247731665		-0.39343159356274615
YAL037C-A						
YAL037W	-0.06618876867235855	-1.2474719120728492	-0.018079904150981256	-1.0306790642175683	0.13307125664501873	0.849577939630966
YAL038W	0.14319857307156414	-0.8049097790082574		-0.5245697598969709		0.17303109224831323
YAL039C	-1.249865183264035	0.9433511946047736	-0.47606763452031947	0.22336228115457313	-0.9239631042848288	-0.0164883800942499
YAL040C	-2.0006137522006413	0.237805492670824	-0.6508373897297717	0.8682844565249829	-2.387410261422993	-1.7799629987601495
YAL041W	0.052309593531528545	-0.008659602426525831	-0.7242063919981725	-0.5159324381052911	-0.009654206506614811	0.8501505821408937
YAL042W		-0.8100377510309257		-2.033218340453656		-1.3942800467185241
YAL043C	-1.1025803655959228	-0.741316730401103	-1.9454777018145792	0.491097936269928	-0.41395359632468565	-0.6740388724482828
YAL044C	0.12138852318377473	1.136822777624399	-0.6626012406956098	3.5630617478065947		0.3506654343265257
YAL044W-A						
YAL045C	0.008005950235410075	-0.1734376542112258	-0.9650703299383844	-2.9184139433189435	-0.7357424645862637	1.1312754170562833
YAL046C						
YAL047C	-0.46825633800836125	0.43492293751315986	-1.3549965745722137	0.3807131534411137	-1.463361561198821	1.0136770984668273
YAL048C	-0.5846094906728079	0.7476814847105052	-1.4224020427043897	0.3038612033853924	-1.6054983387488504	-0.25417421469796525
YAL049C	0.05715034359106324	-0.3175214953929517	-0.11191039282022802	0.5967694928993013	-0.11403053100151828	0.1006822579184053
YAL051W	0.8161962080153914	1.2194858255681555	-0.9702410453885316		0.06156050614991052	0.5042452806564403
YAL053W	1.2275429066364172	0.2510438417448544	0.7624197478803663	0.35951376503804144	-2.684656835462046	0.5753417649808712
YAL054C	0.02423768516609284	0.37898657328308777	0.3613158240736829	0.6614809425408505	-0.4957722724136848	0.2856591130806128
YAL055W	0.39921170508295845	0.8609982698836828	-0.6316446320265099	0.8173208412101277	0.36603724868087906	-0.6241132565660176
YAL056W	-0.961624164578139	0.14636498681752372	-1.5100242565309663	0.02034708569347286	1.6284239794600799	0.8178646211730045
YAL058W	-1.8067811186509646	0.4926322524935491	-0.29162953610789216	0.15773311655001374	-0.6691385335329124	-0.16092690433612364
YAL059W	0.4234425387615856	-0.034445303768209055	-0.01737183257248622	-0.8083981313390469	-0.10006799184469646	-0.08678329590416325
YAL060W	-0.2736069743271832	0.486722823022277	-0.4224014428828546	0.4487445291181151	-0.3787037921170197	-0.4847984139214601
YAL061W	-0.1902436362322075	-0.36298709690357417	-0.462496734204899	-0.6900226569743787	-0.5529315047696993	-1.0314194089738637
YAL062W	0.3405150052552865	0.29062857982750034	-0.23441697264591957	0.444896116131452	0.48115531278063917	0.4188744374661881
YAL064C-A	0.13184524068882345	0.181833328796954	-0.20425959243339029	0.7175830090716846	-0.07464804475676387	-0.3073472270825834
YAL065C	-0.27090501408274636	0.027495568600086836	0.30575188017494886	-0.013693318391050289	0.30828447016977323	0.27860596846246655
YAL066W	-0.30469649808938476	-0.7256081165144652	-0.39756693998944903	-0.005777968138192763	-0.3561303867021544	-0.0710678721075679
YAL067C	-0.17831268869452957	1.9391956645506256	0.04458014539400119		0.048546349366084665	0.8641404646701611
YAL068C	-0.13412130017086066	1.3902177167264236	-0.07083874282662433		-0.48538576404531436	0.34237791649654087
YAR002C-A	0.3486836584592926	-0.28387111061363324	-0.4325079501469715	-0.108111560184498	0.1981186081445405	0.1536810372777569
YAR002W						
YAR003W	-2.633969292716688	0.12772618347839718	-3.9422628022343256	-0.18911994567320095	-1.762253508286698	0.18115617577169207
YAR007C	-2.1206314810078224	-0.3892980576530185	-2.076750845038783	-0.5529935609276768	-1.8989013968804354	0.15446099129660648
YAR008W		-1.1308903065525997		-0.34647420034515397		-0.4770126366363456
YAR014C	-2.1997911305623767	0.20815975635483	-1.1419425069304054	-0.1593782114948698	-3.7781075669511326	-0.42513924274742987
YAR015W		-0.554250148043971		-0.8058654642702282		-1.2993708032573383
YAR018C	-2.6169562321591777		-1.950605945741919		-3.2399831427959236	
YAR019C	-1.646964045431797	0.9601501050948088	-1.9038695254952598	0.012372542917533699	-1.3309871780301745	0.39290352827404523
YAR020C	0.21725941015128222	0.5229777886165207	0.32069444238989725	0.8682229451107117	-0.10680052521286598	0.15066320565506353
YAR023C	0.3313056102105726	1.5418617409193427	0.5199810817611559	1.5633820529659224	0.6824265118667739	1.3903073006454498
YAR027W	-0.2376193180092528	-0.08737558042988686	-0.06762212266512878	-0.1577146618715531	-0.028030036739067815	0.9352128869350074
YAR028W	-0.43961843804552503	-0.15264438056521176	0.24021945943300613	0.5224189046106141	0.052779062264395764	0.3077607029289726
YAR029W	-0.14861527905085906	-0.785171612889187	0.3413811001103262	-0.3260266226981226	0.1533104854449876	0.44584330591805515
YAR030C	-0.05017678052375403	-0.5924059192818634	-0.4058949146746614	-0.5397566511782601	-0.06814010029190691	0.04042654149586869
YAR031W	0.12487181730069057	-0.3391155034968958	0.4803298375439727	0.897332134768888	0.16519292419208995	0.21315364247945182
YAR035C-A						
YAR035W	-0.2652937350689229	0.6091014291261935	-0.020542393008182024	0.07411388340310554	-0.4544909268522648	0.6339840895618298
YAR042W		0.036430396803066395		0.24396884269762986		0.7351843169882384
YAR047C	0.1620485087774946	0.08174949662666915	-0.18215374635073356	-1.6981587655237604	-0.3961933361573071	-0.3493237641927164
YAR050W	-0.27769823667284044	-0.8814401467563897	0.12563873664396905	-0.4859782751924287	0.049490894105213824	-1.1734305663641735
YBL001C						
YBL002W						
YBL003C	-0.18629675445802948	1.479398598034943	-0.1105988932470557	3.6491475691165762	-0.22248092715833612	0.9710310815018703
YBL004W	-2.675618864868661	-0.367780043865681	1.0792356187378684	-0.5139376646184649	-2.5452645280594997	0.06987698614483939
YBL005W	0.8646751764929222	0.887814381789875	0.1666414977398985		0.27985563881882514	
YBL006C	-1.2529982681909364	-0.8285125547235146	-3.415867137228427	-1.7084531829268081	-3.1852446453195618	-0.8711818227653484
YBL007C	0.01009237047670444	1.682846523560615	-0.9727612835121136		0.26445311778359193	0.6418702041738034
YBL008W	-0.05991794542581626	0.9353477325834281	-2.693292587358617	-0.2636821771691645	-0.4582184062552952	0.5582845850594034
YBL009W	-0.0003730729033149943	0.16629027247698105	0.05027577831710247	0.5080702664265522	0.022040802514513885	-1.002828292942554
YBL010C	0.21722192343737387	1.637201649140295	-0.03078415181737803	0.5600310266777482	-0.34444047023681373	-0.05979291212457782
YBL011W	-0.32748834886486944	0.30582507069228965	-0.4454429868409645		0.20560026113601607	0.39045468140109285
YBL012C	-1.83393470994256	-1.5723063689291752	-0.7587893291754549	-0.9384238328336736	0.23820335242091872	0.24044927523478063
YBL013W	0.017993784338043297	-1.1817980288679477	0.514712926837802	4.474165831949304	-0.1664440609463774	-1.5002528256066932
YBL015W	-0.02525182628906523	0.7484436745042835	-0.021422486367143286	-0.93772249837287	-2.9071992346245676	-0.21009795478938018
YBL016W	-4.198804546680639	-0.5897138961001921	-1.6653664090960034	-0.7866584404696322	-1.4934800330176854	0.10308741994195081
YBL017C	-2.5313874897693136	-3.1254375211865906	-2.399671356281779	-0.06827120404806956	-1.0698611517718861	-4.161919018905109
YBL018C	-0.3904789103378234	0.21355569579040107		0.17816822808207705		-0.4001645734314877
YBL019W	0.11886918017990832	0.2123612217091457	0.1666301072202206	-0.0749628109654941	-0.20421791234231848	-0.16479812051646234
YBL020W	-0.1304418465090945	0.10115890877680625	-0.18539176171716448	0.6390295839523714	0.24575056482563495	-0.35309026409163846
YBL021C				1.8943618968622513		
YBL022C						
YBL023C						
YBL024W	0.07505097259740763	0.012975815824900856	0.2478584470821584	0.33832059912503726	1.2553011410629733	-0.09560824987393421
YBL025W		-0.03152749664646962		0.36559993206823377		-0.9788772251387369
YBL026W	-3.341632721937071	0.4403075672335234	1.3102818213319876	4.264395077953558	-2.164481543296967	-0.46818177727527666
