ORF	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YAL001C	NaN	0.008	NaN	-0.065	NaN	-0.076
YAL002W	NaN	-0.017	NaN	-0.005	NaN	0.008
YAL003W	-0.085	-0.007	-0.081	-0.012	-0.039	-0.010
YAL004W	0.013	0.006	-0.018	-0.014	-0.138	0.011
YAL005C	-0.002	-0.043	0.003	NaN	-0.105	NaN
YAL007C	0.045	0.002	0.002	0.009	0.004	-0.023
YAL008W	0.002	-0.008	-0.004	-0.019	-0.022	-0.022
YAL009W	0.022	-0.008	-0.120	-0.054	-0.151	-0.043
YAL010C	-0.105	0.028	-0.160	0.001	-0.077	-0.028
YAL011W	-0.183	-0.030	-0.157	-0.023	0.012	-0.019
YAL012W	-0.038	0.012	-0.100	0.029	-0.071	-0.003
YAL013W	-0.129	0.031	-0.224	0.020	-0.138	0.009
YAL014C	0.007	0.010	-0.010	-0.017	0.068	0.066
YAL015C	-0.005	0.007	0.002	-0.016	0.006	0.050
YAL016C-B	NaN	NaN	NaN	NaN	NaN	NaN
YAL016W	NaN	0.025	NaN	-0.084	NaN	-0.034
YAL017W	-0.006	0.031	0.006	NaN	0.009	0.071
YAL018C	-0.007	-0.003	-0.018	-0.009	-0.017	-0.012
YAL019W	0.020	0.003	0.041	0.004	-0.019	0.006
YAL020C	-0.029	-0.019	0.018	-0.004	0.025	-0.020
YAL021C	-0.117	-0.012	-0.090	0.043	-0.076	-0.004
YAL022C	-0.001	-0.013	-0.021	-0.025	-0.010	-0.009
YAL023C	-0.093	-0.009	-0.163	-0.076	-0.113	-0.020
YAL024C	NaN	0.009	NaN	0.000	NaN	-0.021
YAL025C	-0.092	0.013	-0.091	0.007	-0.092	0.055
YAL026C	-0.017	-0.006	-0.030	0.004	-0.014	0.019
YAL027W	0.001	0.004	-0.007	-0.008	-0.001	-0.007
YAL028W	NaN	-0.015	-0.006	0.105	0.014	0.038
YAL029C	-0.001	0.006	-0.013	-0.020	-0.023	0.004
YAL030W	-0.006	0.008	0.011	-0.001	-0.014	0.008
YAL031C	-0.005	0.013	0.007	-0.022	0.002	0.000
YAL032C	NaN	-0.007	NaN	0.006	NaN	-0.026
YAL033W	-0.096	0.011	-0.144	-0.012	-0.101	0.024
YAL034C	0.003	0.008	0.008	0.038	-0.011	0.002
YAL034W-A	-0.089	-0.005	-0.096	-0.165	-0.091	0.015
YAL035W	-0.007	0.074	-0.019	NaN	-0.081	NaN
YAL036C	NaN	-0.123	NaN	0.002	NaN	-0.018
YAL037C-A	NaN	NaN	NaN	NaN	NaN	NaN
YAL037W	-0.000	-0.031	0.004	-0.037	0.008	0.032
YAL038W	0.013	-0.020	NaN	-0.021	NaN	0.005
YAL039C	-0.072	0.024	-0.023	0.004	-0.058	-0.003
YAL040C	-0.118	0.007	-0.033	0.025	-0.149	-0.074
YAL041W	0.007	0.000	-0.037	-0.020	-0.001	0.032
YAL042W	NaN	-0.020	NaN	-0.070	NaN	-0.059
YAL043C	-0.063	-0.018	-0.109	0.013	-0.026	-0.030
YAL044C	0.011	0.029	-0.034	0.114	NaN	0.012
YAL044W-A	NaN	NaN	NaN	NaN	NaN	NaN
YAL045C	0.004	-0.004	-0.052	-0.099	-0.046	0.044
YAL046C	NaN	NaN	NaN	NaN	NaN	NaN
YAL047C	-0.025	0.011	-0.074	0.009	-0.092	0.039
YAL048C	-0.032	0.019	-0.078	0.007	-0.100	-0.013
YAL049C	0.007	-0.007	-0.002	0.016	-0.008	0.002
YAL051W	0.054	0.031	-0.052	NaN	0.003	0.018
YAL053W	0.079	0.007	0.050	0.008	-0.167	0.021
YAL054C	0.005	0.010	0.026	0.018	-0.032	0.009
YAL055W	0.028	0.022	-0.032	0.024	0.022	-0.028
YAL056W	-0.055	0.004	-0.083	-0.003	0.100	0.031
YAL058W	-0.106	0.013	-0.012	0.002	-0.042	-0.009
YAL059W	0.030	-0.000	0.004	-0.030	-0.007	-0.006
YAL060W	-0.013	0.013	-0.020	0.011	-0.024	-0.022
YAL061W	-0.008	-0.009	-0.022	-0.026	-0.035	-0.044
YAL062W	0.025	0.008	-0.009	0.011	0.029	0.015
YAL064C-A	0.012	0.005	-0.007	0.020	-0.005	-0.015
YAL065C	-0.013	0.001	0.023	-0.004	0.018	0.009
YAL066W	-0.015	-0.018	-0.018	-0.004	-0.023	-0.005
YAL067C	-0.007	0.049	0.008	NaN	0.002	0.033
YAL068C	-0.004	0.036	0.001	NaN	-0.031	0.012
YAR002C-A	0.025	-0.007	-0.020	-0.007	0.012	0.004
YAR002W	NaN	NaN	NaN	NaN	NaN	NaN
YAR003W	-0.157	0.004	-0.226	-0.010	-0.110	0.005
YAR007C	-0.125	-0.009	-0.117	-0.022	-0.119	0.004
YAR008W	NaN	-0.028	NaN	-0.015	NaN	-0.022
YAR014C	-0.130	0.006	-0.062	-0.009	-0.235	-0.020
YAR015W	NaN	-0.013	NaN	-0.030	NaN	-0.055
YAR018C	-0.156	NaN	-0.109	NaN	-0.202	NaN
YAR019C	-0.097	0.025	-0.107	-0.003	-0.083	0.014
YAR020C	0.017	0.014	0.024	0.025	-0.007	0.004
YAR023C	0.024	0.039	0.035	0.048	0.042	0.054
YAR027W	-0.011	-0.002	0.001	-0.009	-0.002	0.036
YAR028W	-0.023	-0.003	0.019	0.014	0.003	0.010
YAR029W	-0.005	-0.019	0.025	-0.014	0.009	0.016
YAR030C	0.001	-0.014	-0.019	-0.021	-0.005	-0.001
YAR031W	0.011	-0.008	0.033	0.026	0.010	0.006
YAR035C-A	NaN	NaN	NaN	NaN	NaN	NaN
YAR035W	-0.012	0.016	0.004	-0.001	-0.029	0.023
YAR042W	NaN	0.001	NaN	0.005	NaN	0.028
YAR047C	0.014	0.003	-0.006	-0.059	-0.025	-0.016
YAR050W	-0.013	-0.022	0.012	-0.019	0.002	-0.050
YBL001C	NaN	NaN	NaN	NaN	NaN	NaN
YBL002W	NaN	NaN	NaN	NaN	NaN	NaN
YBL003C	-0.008	0.038	-0.002	0.117	-0.015	0.037
YBL004W	-0.159	-0.009	0.068	-0.020	-0.159	0.001
YBL005W	0.056	0.023	0.015	NaN	0.017	NaN
YBL006C	-0.073	-0.020	-0.195	-0.060	-0.198	-0.038
YBL007C	0.004	0.043	-0.052	NaN	0.016	0.024
YBL008W	0.000	0.024	-0.153	-0.012	-0.029	0.020
YBL009W	0.004	0.005	0.008	0.013	0.001	-0.043
YBL010C	0.017	0.042	0.003	0.015	-0.022	-0.005
YBL011W	-0.016	0.008	-0.021	NaN	0.012	0.014
YBL012C	-0.108	-0.039	-0.039	-0.034	0.014	0.007
YBL013W	0.005	-0.029	0.035	0.144	-0.011	-0.063
YBL015W	0.002	0.019	0.004	-0.034	-0.181	-0.011
YBL016W	-0.252	-0.014	-0.093	-0.029	-0.093	0.002
YBL017C	-0.150	-0.078	-0.136	-0.006	-0.067	-0.171
YBL018C	-0.020	0.006	NaN	0.002	NaN	-0.019
YBL019W	0.011	0.006	0.015	-0.006	-0.013	-0.009
YBL020W	-0.004	0.003	-0.006	0.018	0.015	-0.017
YBL021C	NaN	NaN	NaN	0.059	NaN	NaN
YBL022C	NaN	NaN	NaN	NaN	NaN	NaN
YBL023C	NaN	NaN	NaN	NaN	NaN	NaN
YBL024W	0.008	0.001	0.019	0.008	0.077	-0.006
YBL025W	NaN	-0.000	NaN	0.009	NaN	-0.042
YBL026W	-0.200	0.012	0.082	0.137	-0.135	-0.021
YBL027W	-0.022	-0.060	-0.024	-0.023	0.018	0.047
YBL028C	-0.005	-0.001	0.016	0.011	0.027	-0.007
YBL029C-A	NaN	NaN	NaN	NaN	NaN	NaN
YBL029W	-0.004	-0.013	0.032	-0.013	-0.010	-0.038
YBL031W	-0.014	-0.017	0.014	-0.017	0.009	0.010
YBL032W	-0.074	-0.012	-0.064	0.040	-0.031	0.040
YBL033C	0.000	-0.011	-0.001	-0.009	NaN	-0.006
YBL034C	NaN	-0.005	NaN	0.011	NaN	-0.035
YBL035C	NaN	-0.022	NaN	-0.011	NaN	-0.024
YBL036C	-0.022	-0.000	0.020	0.014	0.015	0.015
YBL037W	0.012	-0.008	0.021	-0.006	-0.064	-0.030
YBL038W	-0.183	-0.017	0.066	-0.032	-0.123	-0.012
