orf	hom | growth (relative abundance in pooled culture) | phleomycin D1 [5-15 ug/ml] | YPD | Krol K~Skoneczna A, 2015	het | growth (relative abundance in pooled culture) | phleomycin D1 [5-15 ug/ml] | YPD | Krol K~Skoneczna A, 2015
YAL038W	0.0	-20.37601085055213
YAL058W	-2.200694000245091	0.0
YAR002W	-4.401388000490182	0.0
YBL011W	-4.401388000490182	0.0
YBL051C	-4.401388000490182	0.0
YBL079W	-4.401388000490182	0.0
YBR077C	-4.401388000490182	0.0
YBR098W	-4.401388000490182	0.0
YBR106W	-8.802776000980364	0.0
YBR160W	0.0	-20.37601085055213
YBR164C	-4.401388000490182	0.0
YBR194W	-4.401388000490182	0.0
YBR195C	-4.401388000490182	0.0
YBR229C	-4.401388000490182	0.0
YCR009C	-8.802776000980364	0.0
YCR020W-B	-6.6020820007352725	0.0
YCR034W	-4.401388000490182	0.0
YCR044C	-8.802776000980364	0.0
YCR084C	-8.802776000980364	0.0
YDL020C	-2.200694000245091	0.0
YDL040C	-2.200694000245091	0.0
YDL059C	-6.6020820007352725	0.0
YDL106C	-8.802776000980364	0.0
YDL118W	-4.401388000490182	0.0
YDL119C	-4.401388000490182	0.0
YDL142C	-4.401388000490182	0.0
YDL192W	-6.6020820007352725	0.0
YDR004W	-8.802776000980364	0.0
YDR076W	-4.401388000490182	0.0
YDR126W	-4.401388000490182	0.0
YDR137W	-4.401388000490182	0.0
YDR157W	-4.401388000490182	0.0
YDR240C	0.0	-20.37601085055213
YDR320C	-8.802776000980364	0.0
YDR323C	-8.802776000980364	0.0
YDR339C	0.0	-20.37601085055213
YDR353W	0.0	-20.37601085055213
YDR369C	-4.401388000490182	0.0
YDR386W	-6.6020820007352725	0.0
YDR388W	-8.802776000980364	0.0
YDR389W	-4.401388000490182	0.0
YDR418W	-4.401388000490182	0.0
YDR455C	-8.802776000980364	0.0
YDR456W	-8.802776000980364	0.0
YDR484W	-8.802776000980364	0.0
YDR495C	-8.802776000980364	0.0
YDR524C-B	-4.401388000490182	0.0
YEL036C	-6.6020820007352725	0.0
YER019W	-2.200694000245091	0.0
YER031C	-4.401388000490182	0.0
YER095W	-8.802776000980364	0.0
YER151C	-2.200694000245091	0.0
YER155C	-4.401388000490182	0.0
YER171W	0.0	-20.37601085055213
YFL018C	-2.200694000245091	0.0
YFR029W	0.0	-20.37601085055213
YGL027C	-4.401388000490182	0.0
YGL036W	-2.200694000245091	0.0
YGL057C	-4.401388000490182	0.0
YGL058W	-6.6020820007352725	0.0
YGL070C	-4.401388000490182	0.0
YGL084C	-8.802776000980364	0.0
YGL095C	-8.802776000980364	0.0
YGL100W	-4.401388000490182	0.0
YGL116W	0.0	-20.37601085055213
YGL124C	-2.200694000245091	0.0
YGL163C	-6.6020820007352725	0.0
YGL168W	-4.401388000490182	0.0
YGL186C	-4.401388000490182	0.0
YGL212W	-6.6020820007352725	0.0
YGL223C	-8.802776000980364	0.0
YGR036C	-6.6020820007352725	0.0
YGR104C	-8.802776000980364	0.0
YGR178C	-2.200694000245091	0.0
YGR285C	-8.802776000980364	0.0
YHR010W	-4.401388000490182	0.0
YHR064C	-8.802776000980364	0.0
YHR098C	-2.200694000245091	0.0
YHR100C	-4.401388000490182	0.0
YHR108W	-6.6020820007352725	0.0
YHR151C	-4.401388000490182	0.0
YHR191C	-6.6020820007352725	0.0
YIL041W	-2.200694000245091	0.0
YIL046W	0.0	-20.37601085055213
YIL154C	-4.401388000490182	0.0
YIR023W	-4.401388000490182	0.0
YIR037W	-2.200694000245091	0.0
YJL004C	-4.401388000490182	0.0
YJL062W	-4.401388000490182	0.0
YJL087C	0.0	-20.37601085055213
YJL092W	-6.6020820007352725	0.0
YJL129C	-8.802776000980364	0.0
YJL204C	-6.6020820007352725	0.0
YJR104C	-8.802776000980364	0.0
YKL212W	-4.401388000490182	0.0
YKR001C	-8.802776000980364	0.0
YKR007W	-4.401388000490182	0.0
YKR020W	-8.802776000980364	0.0
YLR032W	-6.6020820007352725	0.0
YLR039C	-6.6020820007352725	0.0
YLR085C	-2.200694000245091	0.0
YLR148W	-8.802776000980364	0.0
YLR182W	-6.6020820007352725	0.0
YLR195C	0.0	-20.37601085055213
YLR234W	-8.802776000980364	0.0
YLR261C	-8.802776000980364	0.0
YLR262C	-8.802776000980364	0.0
YLR330W	-6.6020820007352725	0.0
YLR372W	-4.401388000490182	0.0
YLR373C	-4.401388000490182	0.0
YLR396C	-8.802776000980364	0.0
YML032C	-8.802776000980364	0.0
YML121W	-4.401388000490182	0.0
YMR060C	-4.401388000490182	0.0
YMR091C	-8.802776000980364	0.0
YMR142C	-6.6020820007352725	0.0
YMR190C	-4.401388000490182	0.0
YMR202W	-6.6020820007352725	0.0
YMR242C	-4.401388000490182	0.0
YNL225C	-4.401388000490182	0.0
YNL250W	-8.802776000980364	0.0
YNL296W	-4.401388000490182	0.0
YNR004W	-2.200694000245091	0.0
YOL009C	-4.401388000490182	0.0
YOR036W	-8.802776000980364	0.0
YOR104W	-4.401388000490182	0.0
YOR198C	-4.401388000490182	0.0
YPL051W	-4.401388000490182	0.0
YPL055C	-2.200694000245091	0.0
YPL183W-A	-2.200694000245091	0.0
YPL195W	-4.401388000490182	0.0
YPL268W	-4.401388000490182	0.0
YPR185W	-8.802776000980364	0.0
