orf	hom | response to dehydration (correlation between dehydration time and lag phase) | YPD [standard] | D'Elia R~Hammond TG, 2005	hom | growth (relative abundance in pooled culture) | dessication [6 months] | D'Elia R~Hammond TG, 2005
YBL092W	-11.238903111054872	0.0
YBL101C	-0.05136610197008693	8.175426658689483
YBR256C	-0.05136610197008693	14.775248643993764
YBR257W	-0.05136610197008693	42.60460347752035
YCL009C	-11.163566161498746	0.0
YCR082W	-10.736656780680695	0.0
YDL001W	10.219571354181825	0.0
YDL051W	-10.322303558122	0.0
YDL133W	-0.05136610197008693	0.006327729611988764
YDL189W	-10.4604212989749	0.0
YDR375C	-0.05136610197008693	0.006327729611988764
YER047C	-10.987779945867784	0.0
YFL008W	-0.05136610197008693	4.264889758480427
YGL246C	10.05634129681022	0.0
YGR006W	10.859935425408903	0.0
YGR019W	-0.05136610197008693	15.015702369249338
YGR076C	-0.05136610197008693	0.006327729611988764
YGR123C	-10.322303558122	0.0
YGR172C	10.520919152406334	0.0
YGR183C	-0.05136610197008693	0.006327729611988764
YGR270W	-0.05136610197008693	6.555527878020359
YHL030W	-0.05136610197008693	45.76214055390274
YHR057C	10.608812260221814	0.0
YHR108W	-10.585982881568444	0.0
YHR142W	11.048277799299218	0.0
YHR151C	10.872491583668257	0.0
YIL133C	-10.4604212989749	0.0
YJL067W	-11.08822921194262	0.0
YJL166W	-0.05136610197008693	0.006327729611988764
YJR109C	-10.359972032900064	0.0
YKL019W	9.91822355595732	0.0
YKL096W	10.847379267149547	0.0
YKL204W	-10.786881413718113	0.0
YKR081C	11.211507856670826	0.0
YLR093C	-0.05136610197008693	0.006327729611988764
YLR167W	10.596256101962458	0.0
YLR383W	10.533475310665686	0.0
YML092C	10.834823108890193	0.0
YMR048W	-10.661319831124569	0.0
YMR111C	-11.464913959723253	0.0
YNL011C	-0.05136610197008693	4.587603968691854
YNR073C	-10.97522378760843	0.0
YOL102C	11.286844806226952	0.0
YOL134C	10.068897455069573	0.0
YOR125C	-0.05136610197008693	0.006327729611988764
YOR143C	-0.05136610197008693	4.638225805587764
YOR158W	-0.05136610197008693	0.006327729611988764
YOR163W	-10.498089773752964	0.0
YOR200W	-0.05136610197008693	0.006327729611988764
YOR277C	-10.37252819115942	0.0
YOR310C	11.24917633144889	0.0
YOR363C	-11.992272606616137	0.0
YPL066W	-0.05136610197008693	0.006327729611988764
YPL101W	9.805218131623132	0.0
YPL216W	-10.422752824196836	0.0
YPR058W	-0.05136610197008693	7.0237798693075275
YPR086W	10.445582202850206	0.0
YPR108W	10.48325067762827	0.0
YPR113W	9.91822355595732	0.0
YPR185W	-10.4604212989749	0.0
