ORF	hom | response to dehydration (correlation between dehydration time and lag phase) | YPD [standard] | D'Elia R~Hammond TG, 2005	hom | growth (relative abundance in pooled culture) | dessication [6 months] | D'Elia R~Hammond TG, 2005
YBL092W	-0.891	0.000
YBL101C	0.000	12.920
YBR256C	0.000	23.350
YBR257W	0.000	67.330
YCL009C	-0.885	0.000
YCR082W	-0.851	0.000
YDL001W	0.818	0.000
YDL051W	-0.818	0.000
YDL133W	0.000	0.010
YDL189W	-0.829	0.000
YDR375C	0.000	0.010
YER047C	-0.871	0.000
YFL008W	0.000	6.740
YGL246C	0.805	0.000
YGR006W	0.869	0.000
YGR019W	0.000	23.730
YGR076C	0.000	0.010
YGR123C	-0.818	0.000
YGR172C	0.842	0.000
YGR183C	0.000	0.010
YGR270W	0.000	10.360
YHL030W	0.000	72.320
YHR057C	0.849	0.000
YHR108W	-0.839	0.000
YHR142W	0.884	0.000
YHR151C	0.870	0.000
YIL133C	-0.829	0.000
YJL067W	-0.879	0.000
YJL166W	0.000	0.010
YJR109C	-0.821	0.000
YKL019W	0.794	0.000
YKL096W	0.868	0.000
YKL204W	-0.855	0.000
YKR081C	0.897	0.000
YLR093C	0.000	0.010
YLR167W	0.848	0.000
YLR383W	0.843	0.000
YML092C	0.867	0.000
YMR048W	-0.845	0.000
YMR111C	-0.909	0.000
YNL011C	0.000	7.250
YNR073C	-0.870	0.000
YOL102C	0.903	0.000
YOL134C	0.806	0.000
YOR125C	0.000	0.010
YOR143C	0.000	7.330
YOR158W	0.000	0.010
YOR163W	-0.832	0.000
YOR200W	0.000	0.010
YOR277C	-0.822	0.000
YOR310C	0.900	0.000
YOR363C	-0.951	0.000
YPL066W	0.000	0.010
YPL101W	0.785	0.000
YPL216W	-0.826	0.000
YPR058W	0.000	11.100
YPR086W	0.836	0.000
YPR108W	0.839	0.000
YPR113W	0.794	0.000
YPR185W	-0.829	0.000
