orf	hap a | growth (spot assay) | formic acid [60 mM] | None | Henriques SF~Sa Correia I, 2017
YAL002W	-3.980856970832062
YAL013W	-7.961713941664124
YAL023C	-3.980856970832062
YAL024C	-3.980856970832062
YAL039C	3.980856970832062
YAL059W	-3.980856970832062
YBL091C-A	-3.980856970832062
YBR095C	-3.980856970832062
YBR104W	3.980856970832062
YBR105C	-3.980856970832062
YBR121C	3.980856970832062
YBR128C	-3.980856970832062
YBR163W	-3.980856970832062
YBR191W	-3.980856970832062
YBR194W	-3.980856970832062
YBR221W-A	-3.980856970832062
YBR231C	3.980856970832062
YBR248C	3.980856970832062
YBR279W	-3.980856970832062
YCL002C	-3.980856970832062
YCL010C	3.980856970832062
YCL032W	-3.980856970832062
YCR008W	3.980856970832062
YCR024C-A	-3.980856970832062
YCR025C	-3.980856970832062
YCR028C	-3.980856970832062
YCR034W	-3.980856970832062
YCR079W	3.980856970832062
YDL074C	-3.980856970832062
YDL077C	-7.961713941664124
YDL096C	-3.980856970832062
YDL106C	-3.980856970832062
YDL167C	3.980856970832062
YDL176W	3.980856970832062
YDL189W	-3.980856970832062
YDL191W	-3.980856970832062
YDL192W	-3.980856970832062
YDL226C	-7.961713941664124
YDL232W	-3.980856970832062
YDR025W	-3.980856970832062
YDR027C	-3.980856970832062
YDR034W-B	-3.980856970832062
YDR074W	-7.961713941664124
YDR092W	3.980856970832062
YDR136C	-3.980856970832062
YDR266C	3.980856970832062
YDR295C	-3.980856970832062
YDR354W	-3.980856970832062
YDR360W	3.980856970832062
YDR461W	-3.980856970832062
YEL007W	-3.980856970832062
YEL009C	-7.961713941664124
YEL053C	3.980856970832062
YER014C-A	-3.980856970832062
YER031C	-3.980856970832062
YER040W	-3.980856970832062
YER062C	-3.980856970832062
YER083C	-7.961713941664124
YER087W	-3.980856970832062
YER140W	3.980856970832062
YER155C	-3.980856970832062
YER177W	3.980856970832062
YER180C-A	-3.980856970832062
YFL023W	-3.980856970832062
YFL025C	-3.980856970832062
YFL028C	-3.980856970832062
YFL041W-A	-3.980856970832062
YFR008W	-3.980856970832062
YFR010W	-7.961713941664124
YFR012W-A	-3.980856970832062
YFR019W	-3.980856970832062
YFR030W	-3.980856970832062
YFR040W	3.980856970832062
YGL007W	-7.961713941664124
YGL012W	-7.961713941664124
YGL058W	-3.980856970832062
YGL066W	-3.980856970832062
YGL195W	-7.961713941664124
YGL211W	-3.980856970832062
YGL212W	-7.961713941664124
YGL213C	-3.980856970832062
YGL220W	-3.980856970832062
YGL232W	-7.961713941664124
YGL236C	-7.961713941664124
YGL244W	-3.980856970832062
YGL252C	-3.980856970832062
YGL253W	-7.961713941664124
YGR081C	3.980856970832062
YGR105W	-7.961713941664124
YGR129W	-7.961713941664124
YGR163W	3.980856970832062
YGR166W	-3.980856970832062
YGR197C	-3.980856970832062
YHL008C	-7.961713941664124
YHL011C	-3.980856970832062
YHL047C	3.980856970832062
YHR007C-A	-3.980856970832062
YHR010W	-3.980856970832062
YHR059W	-3.980856970832062
YHR064C	3.980856970832062
YHR081W	3.980856970832062
YHR087W	3.980856970832062
YHR090C	3.980856970832062
YHR141C	-3.980856970832062
YHR200W	-3.980856970832062
YHR205W	-3.980856970832062
YHR206W	-3.980856970832062
YIL017C	-3.980856970832062
YIL023C	-3.980856970832062
YIL028W	-3.980856970832062
YIL029C	-3.980856970832062
YIL065C	-3.980856970832062
YIL073C	-3.980856970832062
YJL053W	-3.980856970832062
YJL056C	-3.980856970832062
YJL165C	3.980856970832062
YJL176C	-3.980856970832062
YJL204C	-3.980856970832062
YJL206C	-3.980856970832062
YJR102C	-3.980856970832062
YJR105W	-3.980856970832062
YKL006W	-3.980856970832062
YKL081W	-3.980856970832062
YKL105C	-3.980856970832062
YKL135C	-3.980856970832062
YKL143W	-3.980856970832062
YKL175W	-3.980856970832062
YLL007C	3.980856970832062
YLL039C	-3.980856970832062
YLL040C	-3.980856970832062
YLL043W	-3.980856970832062
YLR015W	-3.980856970832062
YLR023C	-3.980856970832062
YLR025W	-3.980856970832062
YLR052W	-3.980856970832062
YLR055C	-3.980856970832062
YLR056W	-3.980856970832062
YLR062C	-3.980856970832062
YLR087C	-3.980856970832062
YLR113W	-3.980856970832062
YLR119W	-3.980856970832062
YLR192C	-3.980856970832062
YLR203C	-3.980856970832062
YLR322W	-3.980856970832062
YLR330W	-3.980856970832062
YLR342W	-3.980856970832062
YLR350W	-3.980856970832062
YLR357W	-3.980856970832062
YLR358C	-3.980856970832062
YLR371W	-3.980856970832062
YLR372W	-3.980856970832062
YLR414C	-3.980856970832062
YLR436C	3.980856970832062
YML006C	3.980856970832062
YML022W	-7.961713941664124
YML048W	-3.980856970832062
YML061C	-7.961713941664124
YML128C	-3.980856970832062
YMR015C	-3.980856970832062
YMR031W-A	3.980856970832062
YMR142C	-7.961713941664124
YMR143W	-3.980856970832062
YMR154C	-3.980856970832062
YMR198W	3.980856970832062
YMR237W	-3.980856970832062
YMR263W	-3.980856970832062
YMR269W	-3.980856970832062
YMR275C	-3.980856970832062
YMR304W	3.980856970832062
YNL074C	3.980856970832062
YNL107W	3.980856970832062
YNL229C	-3.980856970832062
YNL236W	-7.961713941664124
YNL241C	-3.980856970832062
YNL246W	-3.980856970832062
YNL257C	-3.980856970832062
YNL274C	-3.980856970832062
YNL296W	-7.961713941664124
YNL297C	-3.980856970832062
YNL298W	-3.980856970832062
YNL299W	3.980856970832062
YNL323W	-3.980856970832062
YOL001W	-3.980856970832062
YOL004W	-3.980856970832062
YOL006C	-3.980856970832062
YOL012C	3.980856970832062
YOL049W	-3.980856970832062
YOL050C	-3.980856970832062
YOL059W	-3.980856970832062
YOL140W	-3.980856970832062
YOR014W	3.980856970832062
YOR039W	3.980856970832062
YOR043W	-3.980856970832062
YOR069W	-3.980856970832062
YOR096W	-3.980856970832062
YOR241W	-3.980856970832062
YOR265W	3.980856970832062
YOR267C	-7.961713941664124
YOR306C	-3.980856970832062
YOR317W	-3.980856970832062
YPL045W	-7.961713941664124
YPL084W	-3.980856970832062
YPL137C	3.980856970832062
YPL193W	-3.980856970832062
YPL213W	-3.980856970832062
YPR008W	-7.961713941664124
YPR036W	-3.980856970832062
YPR044C	-3.980856970832062
YPR051W	3.980856970832062
YPR066W	3.980856970832062
YPR070W	-3.980856970832062
YPR141C	-3.980856970832062
YPR194C	-3.980856970832062
