ORF	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YAL002W	-0.015	-0.022	NaN	NaN
YAL003W	NaN	-0.021	NaN	NaN
YAL004W	NaN	-0.027	-0.032	NaN
YAL005C	-0.097	-0.086	-0.046	NaN
YAL009W	0.018	NaN	0.021	NaN
YAL010C	NaN	NaN	0.018	0.015
YAL011W	NaN	NaN	-0.028	NaN
YAL012W	0.017	NaN	NaN	NaN
YAL014C	NaN	0.019	NaN	NaN
YAL015C	NaN	-0.026	-0.030	NaN
YAL016W	NaN	-0.016	NaN	NaN
YAL021C	-0.021	-0.014	-0.052	NaN
YAL023C	NaN	-0.016	NaN	NaN
YAL025C	NaN	-0.030	NaN	NaN
YAL029C	NaN	NaN	-0.025	NaN
YAL034C-B	NaN	-0.029	NaN	NaN
YAL035W	-0.073	-0.048	-0.045	NaN
YAL036C	-0.083	-0.066	-0.125	-0.028
YAL037W	NaN	-0.024	-0.038	NaN
YAL038W	-0.034	-0.013	-0.028	NaN
YAL040C	NaN	-0.024	NaN	NaN
YAL041W	NaN	-0.047	-0.051	NaN
YAL042C-A	-0.036	-0.045	NaN	-0.032
YAL042W	NaN	NaN	NaN	-0.019
YAL043C	-0.041	-0.046	-0.088	NaN
YAL045C	-0.047	-0.085	NaN	NaN
YAL046C	NaN	NaN	-0.018	NaN
YAL051W	NaN	NaN	-0.021	NaN
YAL067C	NaN	-0.042	NaN	NaN
YAL068C	-0.021	-0.040	-0.018	NaN
YAR002C-A	-0.014	-0.009	-0.013	NaN
YAR002W	NaN	-0.042	NaN	NaN
YAR018C	-0.030	-0.060	-0.053	NaN
YAR037W	NaN	NaN	0.025	NaN
YAR042W	-0.025	-0.021	NaN	NaN
YAR047C	-0.062	-0.049	NaN	-0.031
YAR050W	0.017	NaN	NaN	NaN
YBL002W	0.042	0.025	0.033	NaN
YBL003C	0.020	0.017	0.067	NaN
YBL006C	NaN	NaN	0.030	NaN
YBL008W	NaN	NaN	NaN	0.016
YBL009W	0.018	0.011	0.015	0.015
YBL011W	NaN	-0.026	NaN	NaN
YBL013W	NaN	-0.035	0.041	NaN
YBL014C	NaN	NaN	0.044	NaN
YBL015W	NaN	NaN	0.022	0.013
YBL016W	NaN	NaN	-0.020	NaN
YBL018C	-0.036	-0.021	-0.013	NaN
YBL019W	NaN	NaN	-0.013	NaN
YBL022C	NaN	-0.027	NaN	NaN
YBL024W	0.028	NaN	NaN	0.018
YBL025W	0.012	0.007	NaN	0.013
YBL027W	0.020	NaN	NaN	0.020
YBL028C	NaN	NaN	NaN	0.021
YBL031W	NaN	NaN	-0.020	NaN
YBL032W	-0.018	-0.029	-0.026	NaN
YBL034C	NaN	NaN	-0.010	0.011
YBL035C	NaN	NaN	-0.011	NaN
YBL036C	NaN	NaN	-0.011	NaN
YBL039C	NaN	NaN	-0.012	0.013
YBL040C	NaN	-0.086	-0.054	0.011
YBL041W	-0.018	NaN	-0.024	NaN
YBL042C	NaN	NaN	-0.020	0.012
YBL045C	NaN	0.012	NaN	NaN
YBL046W	-0.027	-0.047	-0.024	NaN
YBL047C	0.044	0.012	NaN	NaN
YBL048W	NaN	NaN	NaN	0.016
YBL050W	NaN	-0.058	-0.019	NaN
YBL051C	NaN	0.008	NaN	NaN
YBL052C	-0.041	-0.062	-0.082	-0.018
YBL054W	NaN	NaN	-0.016	NaN
YBL055C	NaN	NaN	-0.017	NaN
YBL056W	NaN	NaN	-0.014	NaN
YBL059W	NaN	-0.008	-0.019	NaN
YBL062W	NaN	-0.014	-0.020	NaN
YBL063W	NaN	NaN	-0.018	NaN
YBL064C	NaN	NaN	-0.024	NaN
YBL065W	NaN	-0.086	-0.069	NaN
YBL066C	0.014	NaN	-0.012	NaN
YBL067C	-0.027	-0.068	-0.060	NaN
YBL068W	NaN	0.008	NaN	NaN
YBL069W	NaN	0.012	-0.025	NaN
YBL071C	NaN	NaN	-0.018	NaN
YBL073W	-0.016	-0.021	NaN	NaN
YBL074C	NaN	NaN	-0.009	NaN
YBL076C	NaN	NaN	-0.013	NaN
YBL078C	NaN	NaN	-0.014	NaN
YBL079W	NaN	NaN	-0.016	NaN
YBL081W	NaN	NaN	-0.015	NaN
YBL082C	NaN	NaN	-0.014	NaN
YBL084C	-0.019	-0.018	-0.028	NaN
YBL086C	-0.031	-0.054	-0.056	-0.021
YBL087C	-0.039	NaN	-0.027	NaN
YBL091C-A	NaN	-0.035	-0.022	NaN
YBL092W	0.020	NaN	0.025	0.017
YBL093C	-0.022	-0.064	NaN	NaN
YBL095W	-0.017	-0.022	-0.033	NaN
YBL096C	NaN	-0.020	NaN	NaN
YBL097W	NaN	NaN	-0.015	NaN
YBL098W	0.014	NaN	NaN	NaN
YBL099W	-0.063	-0.058	-0.099	-0.028
YBL101C	NaN	0.013	NaN	NaN
YBL104C	0.016	0.011	NaN	NaN
YBL105C	NaN	0.019	NaN	NaN
YBR002C	0.031	-0.019	-0.044	NaN
YBR004C	0.016	NaN	NaN	NaN
YBR006W	-0.015	NaN	-0.023	NaN
YBR007C	0.013	NaN	NaN	0.012
YBR008C	0.015	0.009	NaN	NaN
YBR009C	-0.041	-0.047	-0.094	-0.017
YBR010W	-0.031	-0.040	-0.060	NaN
YBR013C	-0.014	NaN	-0.020	NaN
YBR014C	-0.046	-0.058	-0.076	NaN
YBR016W	NaN	0.018	0.022	NaN
YBR017C	NaN	0.016	NaN	NaN
YBR019C	NaN	NaN	0.009	NaN
YBR020W	-0.011	-0.011	-0.024	-0.031
YBR021W	-0.070	-0.064	-0.090	-0.022
YBR022W	NaN	0.009	0.013	NaN
YBR027C	-0.014	0.012	0.014	NaN
YBR029C	NaN	0.016	NaN	NaN
YBR031W	NaN	0.013	NaN	NaN
YBR036C	0.033	0.012	0.029	0.012
YBR042C	0.017	0.010	NaN	NaN
YBR048W	NaN	0.007	NaN	NaN
YBR050C	NaN	0.012	0.009	NaN
YBR057C	-0.021	-0.027	-0.047	NaN
YBR058C	NaN	NaN	-0.009	NaN
YBR059C	NaN	NaN	-0.022	NaN
YBR061C	-0.039	-0.063	-0.042	-0.026
YBR064W	-0.030	-0.023	-0.030	NaN
YBR065C	NaN	-0.013	-0.032	NaN
YBR066C	NaN	NaN	-0.012	NaN
YBR068C	NaN	-0.010	NaN	NaN
