orf	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YAL002W	-0.014847	-0.021817		
YAL005C	-0.097399	-0.085828	-0.046165	
YAL021C	-0.021303	-0.013752	-0.052153	
YAL035W	-0.073469	-0.048445	-0.044732	
YAL036C	-0.082845	-0.065893	-0.124891	-0.0282995002502218
YAL038W	-0.034167	-0.013487	-0.028022	
YAL042C-A	-0.035523	-0.045132		-0.0321754249240045
YAL043C	-0.041437	-0.046146	-0.08823	
YAL045C	-0.046724	-0.084773		
YAL068C	-0.021047	-0.039614	-0.018279	
YAR002C-A	-0.013548	-0.009446	-0.013119	
YAR018C	-0.029933	-0.05953	-0.053361	
YAR042W	-0.024565	-0.021148		
YAR047C	-0.061761	-0.049217		-0.0313105910652733
YBL018C	-0.035825	-0.020962	-0.013263	
YBL032W	-0.018123	-0.028738	-0.026245	
YBL041W	-0.017743		-0.023954	
YBL046W	-0.02704	-0.047195	-0.023881	
YBL052C	-0.040937	-0.061969	-0.082441	-0.0182594839920529
YBL067C	-0.026719	-0.068437	-0.060282	
YBL073W	-0.015786	-0.020703		
YBL084C	-0.019195	-0.018071	-0.027991	
YBL086C	-0.030705	-0.053776	-0.055774	-0.0208554942679595
YBL087C	-0.038977		-0.026776	
YBL093C	-0.021507	-0.064361		
YBL095W	-0.017063	-0.021525	-0.03281	
YBL099W	-0.062756	-0.058329	-0.099035	-0.0276023536360533
YBR006W	-0.014648		-0.022735	
YBR009C	-0.041088	-0.047065	-0.093641	-0.0170071092532997
YBR010W	-0.030908	-0.039936	-0.060417	
YBR013C	-0.013895		-0.020343	
YBR014C	-0.045532	-0.05827	-0.07555	
YBR020W	-0.011287	-0.010938	-0.023706	-0.031178353654908
YBR021W	-0.070071	-0.063891	-0.08955	-0.0222706276273652
YBR027C	-0.014038			
YBR057C	-0.021258	-0.026759	-0.047372	
YBR061C	-0.039188	-0.062526	-0.041524	-0.0257031192008623
YBR064W	-0.030471	-0.023215	-0.030023	
YBR072W	-0.074678	-0.081244	-0.143124	-0.0322355113909246
YBR081C	-0.056646	-0.029279	-0.051289	
YBR085W	-0.046672	-0.042896	-0.095435	
YBR090C	-0.019293			
YBR103W	-0.014284	-0.02468	-0.052211	
YBR113W	-0.022813			
YBR118W	-0.023733	-0.008309		-0.0132475579389948
YBR123C	-0.035563	-0.03944	-0.037605	-0.0194605854737517
YBR125C	-0.016225		-0.017421	
YBR140C	-0.019914		-0.014945	
YBR149W	-0.061644	-0.064279	-0.10743	-0.0362300856181174
YBR152W	-0.056133	-0.02799	-0.059495	
YBR164C	-0.026347	-0.020171	-0.02642	
YBR175W	-0.014311		-0.03091	
YBR185C	-0.086235	-0.066098	-0.126374	-0.0253173922428986
YBR193C	-0.025684	-0.021637	-0.030714	
YBR198C	-0.040033		-0.040589	
YBR249C	-0.014685	-0.030713	-0.021833	
YBR254C	-0.015361	-0.010441		
YBR257W	-0.021411		-0.018924	
YBR266C	-0.02266	-0.00957	-0.019018	
YBR271W	-0.052221			
YBR278W	-0.057776			-0.0423476656188819
YBR279W	-0.032343	-0.015107	-0.025655	
YBR281C	-0.057228			-0.0156539472965725
YBR282W	-0.051338			-0.0282578988542613
YBR283C	-0.055623	-0.013822		-0.0319066728934964
YBR284W	-0.055413			-0.0171611635745206
YBR285W	-0.031041			-0.0182258279366049
YBR286W	-0.041034			-0.0276940152521639
YBR288C	-0.019845		-0.014691	
YBR289W	-0.04238	-0.065038	-0.086691	
YBR290W	-0.024023			-0.0142078017763962
YBR291C	-0.047041			-0.0251618664358745
YBR292C	-0.039233			-0.0225799301876385
YBR293W	-0.034574			-0.020266933063697
YBR294W	-0.013314		-0.01144	
YBR295W	-0.026123			-0.0461984886567714
YBR297W	-0.038926			-0.0500755983716729
YBR298C	-0.040824			-0.0397692087005343
YBR300C	-0.028115			-0.0529814485903712
YCL001W	-0.028921	-0.040987	-0.042547	
YCL001W-A	-0.043709			-0.0210769252269482
YCL010C	-0.019266			
YCL024W	-0.022233	-0.023387	-0.041137	-0.0156285452181025
YCL027W	-0.032073	-0.027582	-0.050383	
YCL029C	-0.027056		-0.036561	-0.0226788362253861
YCL030C	-0.031981	-0.02367	-0.040949	
YCL033C	-0.033027	-0.025395	-0.038549	
YCL034W	-0.040798	-0.078329	-0.104045	
YCL039W	-0.027797		-0.032819	
YCL041C	-0.009232	-0.030871	-0.025771	
YCL042W	-0.03141	-0.021305	-0.047051	
YCL043C	-0.016859	-0.0191		
YCL044C	-0.028923	-0.016061	-0.045428	
YCL045C	-0.025042	-0.019457	-0.047943	
YCL046W	-0.035141	-0.018371	-0.0505	
YCL048W	-0.018875	-0.012214	-0.035203	
YCL049C	-0.023106	-0.026093	-0.04604	
YCL050C	-0.039542	-0.054318	-0.086926	-0.0218981488213973
YCL051W	-0.022345		-0.022947	
YCL054W	-0.030536	-0.02316	-0.044659	
YCL055W	-0.016524	-0.014294	-0.032179	
YCL056C	-0.02668	-0.024136	-0.044594	
YCL061C	-0.020757	-0.013246	-0.032015	
YCL063W	-0.034712	-0.024077	-0.048152	
YCL064C	-0.027067		-0.041559	
YCR001W	-0.015972	-0.014402	-0.031224	
YCR002C	-0.019426	-0.014217	-0.041331	
YCR004C	-0.02167		-0.031845	
YCR005C	-0.0288	-0.021247	-0.034286	
YCR006C	-0.076662	-0.072584	-0.026875	-0.0523661824793731
YCR008W	-0.021644	-0.027308	-0.061953	
YCR009C	-0.034861	-0.04479	-0.047617	
YCR010C	-0.027051	-0.021373	-0.040641	
YCR011C	-0.020288	-0.028859	-0.040575	
YCR012W	-0.011305	-0.014081	-0.025056	
YCR015C	-0.041418	-0.052347	-0.082556	
YCR016W	-0.02682	-0.014882	-0.037771	
YCR019W	-0.021202	-0.019905	-0.043684	
YCR020C	-0.026887	-0.015878	-0.036712	
YCR020C-A	-0.018167	-0.017852	-0.020751	
YCR020W-B	-0.053489			-0.0518826788746215
YCR022C	-0.028079	-0.018857	-0.040791	
YCR023C	-0.016539	-0.016581	-0.036967	
YCR024C	-0.050671			-0.0304389904203202
YCR024C-A	-0.024789			-0.0197690177747878
YCR025C	-0.045871			-0.0262320043154519
YCR026C	-0.053913			-0.045190949353752
YCR027C	-0.033079			
YCR028C	-0.062896			-0.0246508767736872
YCR031C	-0.066271			-0.0201732752115097
YCR032W	-0.009088			
YCR033W	-0.026875	-0.050569	-0.073183	
YCR034W	-0.058565			-0.0159169424376116
YCR035C	-0.043218			
YCR036W	-0.084208	-0.017143		-0.0213377660581456
YCR037C	-0.059199			-0.0578276460796214
YCR043C	-0.062724			-0.0339064524855395
YCR044C	-0.047945			-0.0277684567288464
YCR045C	-0.054834			-0.0418464017608877
YCR049C	-0.042496			-0.0257299613552297
YCR050C	-0.063883			-0.0244141235846856
YCR051W	-0.060469			-0.0336882147531672
YCR052W	-0.048791	-0.047999		-0.0350525719514183
YCR053W	-0.013108			
YCR059C	-0.052856			-0.0450280169543819
YCR060W	-0.009034			
YCR063W	-0.041523			-0.0344782718686129
YCR065W	-0.060216	-0.017186		-0.040786567013228
YCR066W	-0.049617			-0.0189001006283062
YCR068W	-0.047448			-0.0145821320597445
YCR071C	-0.037483			-0.0265179867277487
YCR073W-A	-0.045872			-0.0328289636637752
YCR076C	-0.051596			-0.0345576330924931
YCR077C	-0.029584			-0.0419894462273111
YCR079W	-0.052926			-0.0266877033253538
YCR081W	-0.026897			-0.0358830215228643
YCR082W	-0.045249			
YCR085W	-0.045714			-0.0307896308064751
YCR086W	-0.031566	-0.015444		
