orf	het | growth (relative abundance in pooled culture) | glucose limitation (glucose [2.5 g/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | nitrogen limitation (ammonium [97.6 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | phosphorus limitation (phosphorus(.) [12.3 mg/L]) | Delneri D~Oliver SG, 2008	het | growth (relative abundance in pooled culture) | grape juice [100%] | Delneri D~Oliver SG, 2008
YAL002W	-0.9843629102368595	-1.353953756586077		
YAL005C	-6.457598376383099	-5.326449237762746	-2.251077985912957	
YAL021C	-1.4123986715683852	-0.8534432809539227	-2.5430622809340075	
YAL035W	-4.87102839982433	-3.006476130440139	-2.181202652785842	
YAL036C	-5.492661500543721	-4.089291602086738	-6.089881527968269	-4.422099033346931
YAL038W	-2.2652877722141027	-0.8369974934718991	-1.3663967794054561	
YAL042C-A	-2.3551911942038095	-2.8008727571271406		-5.027753642146097
YAL043C	-2.7472921069229304	-2.863801166586658	-4.3022335253352155	
YAL045C	-3.0978226320406157	-5.260976385711671		
YAL068C	-1.3954257541425998	-2.4584280200486255	-0.8913127803423144	
YAR002C-A	-0.8982386143927373	-0.586214749264889	-0.6397030671979224	
YAR018C	-1.9845716301016982	-3.694406523791959	-2.6019662602902915	
YAR042W	-1.6286707678297603	-1.3124359006408928		
YAR047C	-4.094782629429425	-3.0543861226519207		-4.892614118942999
YBL018C	-2.3752139327295407	-1.3008928196157743	-0.6467247336112543	
YBL032W	-1.2015632129199572	-1.7834680779562122	-1.2797474654020484	
YBL041W	-1.1763690386160568		-1.168034703228831	
YBL046W	-1.7927644030985843	-2.9289016611853103	-1.1644751084498501	
YBL052C	-2.714141877575693	-3.845769828201981	-4.019952783204811	-2.8532393079993716
YBL067C	-1.771481955857658	-4.247171161914165	-2.939445102281055	
YBL073W	-1.0466190409509708	-1.2848193895861737		
YBL084C	-1.2726373046404336	-1.1214785871232067	-1.3648851706636973	
YBL086C	-2.0357555842138324	-3.3373157269181317	-2.719627934285915	-3.2588936280453695
YBL087C	-2.5841929785345235		-1.3056398603012096	
YBL093C	-1.4259239651420579	-3.994216332568021		
YBL095W	-1.1312847267038144	-1.335832360568149	-1.599867187648741	
YBL099W	-4.160751585830427	-3.6198729737319195	-4.82910231419668	-4.3131624322989515
YBR006W	-0.971169118956659		-1.108594346577084	
YBR009C	-2.7241532468385588	-2.920833916382808	-4.566082393130624	-2.6575423849915087
YBR010W	-2.0492145773288106	-2.478411203328669	-2.9460279145435533	
YBR013C	-0.92124487355972		-0.9919566656000712	
YBR014C	-3.0187924852768027	-3.616211458783092	-3.6839367883834924	
