orf	hap a | growth (general) | calcium dichloride [100 mM] | Ohnuki S~Ohya Y, 2007
YAL016W	-4.26138035732564
YBR036C	-12.784141071976919
YBR097W	-4.26138035732564
YBR127C	-8.52276071465128
YCL007C	-8.52276071465128
YDL185W	-8.52276071465128
YDR126W	-4.26138035732564
YDR300C	-8.52276071465128
YEL027W	-8.52276071465128
YEL045C	-8.52276071465128
YEL046C	-8.52276071465128
YEL051W	-8.52276071465128
YER014C-A	-8.52276071465128
YER017C	-4.26138035732564
YER145C	-12.784141071976919
YER151C	-12.784141071976919
YGL006W	-4.26138035732564
YGL038C	-8.52276071465128
YGL071W	-8.52276071465128
YGL095C	-12.784141071976919
YGR020C	-8.52276071465128
YGR105W	-8.52276071465128
YGR262C	-8.52276071465128
YGR285C	-4.26138035732564
YHR026W	-8.52276071465128
YHR039C-A	-8.52276071465128
YHR060W	-8.52276071465128
YHR064C	-4.26138035732564
YJL056C	-4.26138035732564
YJL129C	-4.26138035732564
YJL184W	-8.52276071465128
YJR104C	-12.784141071976919
YKL080W	-8.52276071465128
YKL081W	-12.784141071976919
YKL118W	-8.52276071465128
YKL119C	-8.52276071465128
YKL212W	-4.26138035732564
YLR061W	-4.26138035732564
YLR148W	-12.784141071976919
YLR240W	-8.52276071465128
YLR396C	-12.784141071976919
YLR417W	-4.26138035732564
YLR447C	-8.52276071465128
YMR058W	-12.784141071976919
YMR123W	-4.26138035732564
YMR231W	-12.784141071976919
YNL197C	-4.26138035732564
YOL143C	-8.52276071465128
YOR331C	-8.52276071465128
YOR332W	-8.52276071465128
YPL031C	-12.784141071976919
YPL045W	-12.784141071976919
YPL234C	-8.52276071465128
YPR036W	-8.52276071465128
YPR072W	-8.52276071465128
YPR099C	-8.52276071465128
YPR124W	-12.784141071976919
