orf	hap alpha | growth (culture turbidity) | hydrogen peroxide [2 mM] | None | Tucker CL~Fields S, 2004	hap alpha | growth (culture turbidity) | menadione [67 uM] | None | Tucker CL~Fields S, 2004	hap alpha | growth (culture turbidity) | mefloquine [235 uM] | None | Tucker CL~Fields S, 2004	hap alpha | growth (culture turbidity) | ibuprofen [50 uM] | None | Tucker CL~Fields S, 2004
YAL002W	-0.7617703257434647	0.17678575949406736	0.5862657624280717	-1.5042964420307974
YAL004W	-0.3995210712920542	-0.5254465111953083	0.716058343258938	0.3910811488382174
YAL005C	-0.05976337871202404	0.5973534380937462	0.8189596798786922	-0.09205431550094312
YAL007C	-0.35916889715929995	-0.25254374574310756	-0.06093032948248555	-0.2793925567753116
YAL008W	0.04771552534597271	0.3803584124332735	0.12854003187211063	0.3177480872867385
YAL009W	-0.6643322140382547	-0.6277235836530702	-0.25607975623559137	-0.21814736251253752
YAL010C	-2.3688031028168433	-1.9347540337512248	-2.1959591995995917	-1.3409759239967325
YAL011W	0.13402434224103088	-0.7263802287671935	-0.12467185166977562	0.10663775857793316
YAL012W	0.21004765245947582	-0.13589119109883321	-0.00026841444628381835	-1.8025339097451751
YAL013W	-0.530823262903712	-1.5860833196535404	-0.25177145109315974	-1.6764204824124223
YAL014C	-0.8106433933637809	-0.07583245009386022	0.723641951504857	0.46597448829504795
YAL015C	-1.3587112750258512	-0.014572534268787908	0.8222157728617038	-0.027135122980122175
YAL016W	-1.3693647047585977	-1.606191135338599	-2.0725454521151283	-1.5822448710925097
YAL017W	-0.43856097959935325	-0.014572534268787908	0.003132515623818002	0.17557174346244073
YAL018C	-0.0070573776835833706	0.1116979044726877	0.09259400809311812	0.10663775857793316
YAL019W	-0.3174371615177333	-0.4494443430095595	0.6910951976646822	0.2459270476229184
YAL020C	-0.19495545309887585	0.17678575949406736	0.16712247283631382	-0.21814736251253752
YAL021C	-1.2794519888989746	-1.9184609129466474	-3.3118245620646087	-2.9436433343448605
YAL022C	0.02006318595241064	-0.25254374574310756	-0.3503348620638434	-2.145205747649324
YAL023C	-0.1351958205508931	0.672899854434801	-0.19725194912766314	-1.4239121245609057
YAL026C	-2.4094720975088846	-2.2100488723867002	-5.254394774069523	-2.9333509748288633
YAL028W	-0.754591786636255	0.17678575949406736	-0.4090467255568159	-0.027135122980122175
YAL029C	0.07591543581663528	-0.13589119109883321	-2.251187929020414	-0.21814736251253752
YAL030W	-0.5996006013669611	-0.41934599677650836	-0.10654784380738774	-0.09205431550094312
YAL031C	-2.0468684862278637	-0.30920355799889765	0.5348147778310631	-0.09205431550094312
YAL034C	-1.0503821932224742	-0.5254465111953083	1.1354858875506895	-0.09205431550094312
YAL035W	-0.29603165918434365	-0.19478374295807804	-0.6290607994838207	-0.5131356835029639
YAL036C	-0.2295420014939032	0.5234493351514115	0.217685778657811	-0.09205431550094312
YAL037W	0.13402434224103088	-0.472887460071181	0.09043207449132568	0.46597448829504795
YAL040C	-1.6852528691630488	-0.5770499432080879	1.0156818864394042	0.6206455154341539
YAL042W	-0.4192010250699139	0.17678575949406736	-0.3815261899807357	-0.155712941176699
YAL044C	-1.177483936834709	-0.472887460071181	-0.5260796303727127	-0.4563231179788821
YAL045C	-0.3795131182845635	-0.30920355799889765	0.37193091789953087	-0.027135122980122175
YAL046C	-0.5996006013669611	-0.36479431719325817	-0.9403505276499824	-0.155712941176699
YAL047C	-2.3186918871349422	-4.30389412513719	-4.975765906982273	-1.6948370464038727
YAL048C	-0.1832188766164796	-0.41934599677650836	-0.6311940272713442	-0.155712941176699
YAL049C	-0.5129519859801907	-0.19478374295807804	-0.30236549958855435	-0.6236898650633402
YAL051W	-0.05976337871202404	-0.30920355799889765	-0.3339866912265131	-0.027135122980122175
YAL053W	0.25758222748027126	-0.472887460071181	-0.8153859675397142	-1.0287455218727848
YAL054C	0.09022583814503157	0.1116979044726877	0.39908362368499967	-0.09205431550094312
YAL055W	-0.15942563520216613	0.17678575949406736	0.26033834831261343	0.46597448829504795
YAL056W	0.16396821749033655		0.7259172229920052	0.7005305514290764
YAL058W	-0.4192010250699139	-0.41934599677650836	-0.11132969340280473	0.10663775857793316
YAL059W	0.13402434224103088	0.3110722814329116	-0.4329677072722227	-0.33948218133501495
YAL060W	-0.43856097959935325	-0.07583245009386022	-0.125417282737056	0.039082453391115025
YAL061W	0.02006318595241064	0.04792495561335691	-1.165182103893979	-0.027135122980122175
YAL062W	-0.05976337871202404	-0.472887460071181	-0.10532711663566766	0.039082453391115025
YAL064C-A	0.22572746019202988	-0.13589119109883321	-0.2525104698054896	0.039082453391115025
YAL065C	-0.20658723871982285	-0.5254465111953083	0.5284512149033529	0.3177480872867385
YAL066W	0.10467934449671103	-0.19478374295807804	-0.7545369142905158	-0.155712941176699
YAL067C	0.04771552534597271	-0.30920355799889765	-0.5091134091880943	0.2459270476229184
YAL068C	-0.20658723871982285	-0.41934599677650836	-0.29748301255988013	0.039082453391115025
YAR002C-A	0.14892028018230952	0.016519181803233134	-0.12674544226478973	-0.21814736251253752
YAR002W	0.02006318595241064	-2.430934093377146	0.1964491230328768	-0.9081415038849938
YAR003W	-0.3174371615177333	-0.5254465111953083	0.284732128270076	1.31298249405682
YAR014C	-0.6485089309408274	0.17678575949406736	-0.12780691539758768	-0.09205431550094312
YAR015W	-0.25209404913159644	-0.07583245009386022	0.07510156475428438	0.2459270476229184
YAR018C	-0.35916889715929995	-0.014572534268787908	-0.24038999739605985	-0.09205431550094312
YAR020C	-0.05976337871202404	-0.014572534268787908	0.7283456468062468	0.7005305514290764
YAR023C	0.3233469083334155	0.3803584124332735	0.7943948449586561	0.8656861314635254
YAR027W	0.07591543581663528	0.3803584124332735	0.46996817529112206	0.5424784372025625
YAR028W	-0.6799245003021428	0.5234493351514115	0.6100966999275398	0.3910811488382174
