orf	hap a (post-SGA) | growth (spot assay) | expression of A-beta-42 | SC - Ura, Gal [2%] | Picon-Pages P~Munoz FJ, 2023
YAL011W	3.2256041438721814
YAL021C	3.2256041438721814
YAL039C	-3.1610920609947386
YAL040C	3.2256041438721814
YAL044C	3.2256041438721814
YAL060W	3.2256041438721814
YBL007C	-3.1610920609947386
YBL022C	-3.1610920609947386
YBL024W	-3.1610920609947386
YBL038W	-3.1610920609947386
YBL045C	-3.1610920609947386
YBL051C	-3.1610920609947386
YBL052C	-3.1610920609947386
YBL071C-B	3.2256041438721814
YBL080C	-3.1610920609947386
YBL090W	-3.1610920609947386
YBL098W	-3.1610920609947386
YBL106C	-3.1610920609947386
YBR021W	-3.1610920609947386
YBR048W	3.2256041438721814
YBR058C-A	3.2256041438721814
YBR066C	3.2256041438721814
YBR107C	-3.1610920609947386
YBR113W	-3.1610920609947386
YBR114W	-3.1610920609947386
YBR120C	-3.1610920609947386
YBR131W	-3.1610920609947386
YBR163W	-3.1610920609947386
YBR181C	3.2256041438721814
YBR186W	3.2256041438721814
YBR206W	3.2256041438721814
YBR214W	3.2256041438721814
YBR215W	3.2256041438721814
YBR241C	-3.1610920609947386
YBR246W	3.2256041438721814
YBR266C	3.2256041438721814
YBR267W	3.2256041438721814
YBR280C	-3.1610920609947386
YBR282W	-3.1610920609947386
YBR283C	-3.1610920609947386
YBR288C	-3.1610920609947386
YBR291C	3.2256041438721814
YBR296C	-3.1610920609947386
YCR003W	-3.1610920609947386
YCR020W-B	3.2256041438721814
YCR028C-A	-3.1610920609947386
YCR046C	-3.1610920609947386
YCR053W	-3.1610920609947386
YCR061W	3.2256041438721814
YCR071C	-3.1610920609947386
YCR073W-A	-3.1610920609947386
YCR094W	3.2256041438721814
YDL009C	3.2256041438721814
YDL044C	-3.1610920609947386
YDL063C	3.2256041438721814
YDL067C	-3.1610920609947386
YDL069C	-3.1610920609947386
YDL075W	3.2256041438721814
YDL080C	3.2256041438721814
YDL101C	3.2256041438721814
YDL104C	-3.1610920609947386
YDL174C	-3.1610920609947386
YDL190C	-3.1610920609947386
YDR028C	-3.1610920609947386
YDR029W	-3.1610920609947386
YDR035W	-3.1610920609947386
YDR069C	-3.1610920609947386
YDR077W	-3.1610920609947386
YDR079W	-3.1610920609947386
YDR114C	-3.1610920609947386
YDR115W	-3.1610920609947386
YDR123C	3.2256041438721814
YDR128W	-3.1610920609947386
YDR153C	3.2256041438721814
YDR159W	3.2256041438721814
YDR171W	3.2256041438721814
YDR174W	3.2256041438721814
YDR186C	3.2256041438721814
YDR194C	-3.1610920609947386
YDR195W	3.2256041438721814
YDR197W	-3.1610920609947386
YDR214W	3.2256041438721814
YDR219C	3.2256041438721814
YDR225W	3.2256041438721814
YDR230W	-3.1610920609947386
YDR256C	-3.1610920609947386
YDR268W	-3.1610920609947386
YDR296W	-3.1610920609947386
YDR298C	-3.1610920609947386
YDR347W	-3.1610920609947386
YDR375C	-3.1610920609947386
YDR377W	-3.1610920609947386
YDR378C	3.2256041438721814
YDR405W	-3.1610920609947386
YDR421W	-3.1610920609947386
YDR442W	-3.1610920609947386
YDR443C	-3.1610920609947386
YDR529C	-3.1610920609947386
YDR537C	3.2256041438721814
YEL071W	-3.1610920609947386
YER005W	-3.1610920609947386
YER016W	3.2256041438721814
YER017C	-3.1610920609947386
YER035W	-3.1610920609947386
YER042W	-3.1610920609947386
YER050C	-3.1610920609947386
YER055C	-3.1610920609947386
YER058W	-3.1610920609947386
YER060W-A	-3.1610920609947386
YER066W	3.2256041438721814
YER068W	3.2256041438721814
YER084W	-3.1610920609947386
YER087W	-3.1610920609947386
YER092W	3.2256041438721814
YER119C-A	3.2256041438721814
YER134C	-3.1610920609947386
YER151C	3.2256041438721814
YER153C	-3.1610920609947386
YER154W	-3.1610920609947386
YFL030W	-3.1610920609947386
YFL036W	-3.1610920609947386
YFR024C-A	-3.1610920609947386
YFR034C	3.2256041438721814
YFR036W	3.2256041438721814
YGL003C	-3.1610920609947386
YGL007C-A	3.2256041438721814
YGL034C	-3.1610920609947386
YGL041C-B	3.2256041438721814
YGL042C	-3.1610920609947386
YGL064C	-3.1610920609947386
YGL107C	-3.1610920609947386
YGL119W	-3.1610920609947386
YGL124C	-3.1610920609947386
YGL125W	-3.1610920609947386
YGL126W	-3.1610920609947386
YGL129C	-3.1610920609947386
YGL143C	-3.1610920609947386
YGL148W	-3.1610920609947386
YGL168W	3.2256041438721814
YGL186C	-3.1610920609947386
YGL205W	-3.1610920609947386
YGL208W	-3.1610920609947386
YGL215W	-3.1610920609947386
YGL222C	3.2256041438721814
