ORF	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [50 uM] | Choi J~O'Shea EK, 2017	hap a | expression level of a gene (PHO84pr-YFP) | inorganic phosphate [1 mM] | Choi J~O'Shea EK, 2017
YDR207C	-0.606	-0.029
YDR209C	-0.513	0.137
YDR210W	0.121	0.062
YDR213W	0.074	0.120
YDR214W	-0.107	0.069
YDR215C	-0.053	0.055
YDR216W	-0.226	0.214
YDR217C	-0.478	0.148
YDR218C	-0.110	0.103
YDR219C	0.158	0.092
YDR220C	-0.604	0.160
YDR221W	0.017	-0.009
YDR223W	-0.133	0.244
YDR225W	0.711	0.075
YDR226W	2.367	5.519
YDR229W	0.281	-0.007
YDR230W	0.489	-0.000
YDR231C	0.499	0.045
YDR233C	0.533	0.227
YDR237W	0.456	0.250
YDR239C	-1.104	NaN
YDR241W	0.123	0.100
YDR242W	-0.009	0.131
YDR244W	0.622	1.103
YDR245W	0.573	NaN
YDR246W-A	-0.662	-0.035
YDR247W	0.085	0.099
YDR248C	1.037	0.176
YDR249C	-0.066	0.211
YDR251W	0.015	0.135
YDR252W	0.209	0.282
YDR253C	-0.009	0.121
YDR254W	-0.329	0.047
YDR255C	-0.302	0.142
YDR256C	0.191	0.196
YDR257C	NaN	0.126
YDR258C	0.170	0.177
YDR259C	-0.075	0.193
YDR260C	-0.417	-0.199
YDR261C	-1.449	-0.312
YDR262W	0.247	-0.207
YDR263C	-2.834	-0.510
YDR266C	-3.405	NaN
YDR268W	0.357	-0.065
YDR269C	-0.046	-0.055
YDR270W	0.020	-0.168
YDR271C	0.095	-0.053
YDR272W	0.000	0.105
YDR273W	0.458	-0.135
YDR274C	-0.640	-0.094
YDR276C	0.304	-0.019
YDR277C	-0.429	-0.131
YDR278C	-0.125	-0.041
YDR281C	0.523	-0.211
YDR282C	-0.475	-0.001
YDR283C	-0.073	-0.008
YDR284C	-0.598	-0.061
YDR285W	0.213	0.075
YDR286C	-1.255	-0.200
YDR287W	0.406	-0.022
YDR289C	NaN	-0.314
YDR290W	-1.870	-0.046
YDR291W	-0.055	0.240
YDR293C	NaN	-0.214
YDR294C	-0.214	-0.016
YDR295C	0.019	0.135
YDR296W	0.385	0.167
YDR297W	-0.011	-0.069
YDR300C	0.607	0.141
YDR304C	-0.189	-0.118
YDR305C	0.544	-0.353
YDR306C	-3.425	NaN
YDR307W	-0.557	-0.023
YDR309C	0.161	0.175
YDR310C	0.500	0.001
YDR312W	-0.029	0.297
YDR314C	-3.002	-0.284
YDR315C	0.122	-0.044
YDR318W	0.159	-0.050
YDR319C	0.241	0.152
YDR320C	0.060	-0.017
YDR321W	-0.109	-0.084
YDR322C-A	0.404	0.122
YDR322W	0.019	0.014
YDR323C	-0.220	0.122
YDR326C	0.079	0.087
YDR330W	0.183	0.078
YDR332W	0.123	0.081
YDR333C	-0.227	0.167
YDR335W	-0.961	0.017
YDR336W	-0.073	0.041
YDR337W	0.300	0.089
YDR338C	-0.440	0.054
YDR340W	-0.173	0.105
YDR344C	-0.057	0.041
YDR345C	0.478	-0.004
YDR346C	1.869	0.075
YDR347W	0.883	-0.033
YDR348C	0.567	-0.137
YDR349C	-0.314	-0.011
YDR351W	-0.168	0.000
YDR352W	0.132	0.029
YDR354W	0.130	0.057
YDR357C	0.904	-0.037
YDR358W	0.007	0.056
YDR359C	0.188	0.087
YDR360W	1.064	-0.349
YDR363W-A	1.603	0.924
YDR368W	-0.533	0.099
YDR369C	1.233	-0.061
YDR370C	-0.238	-0.123
YDR371W	-0.015	-0.011
YDR372C	1.441	0.255
YDR374C	-0.121	0.004
YDR375C	0.640	-0.057
YDR377W	1.414	-0.154
YDR378C	0.198	0.176
YDR379C-A	-0.187	0.004
YDR379W	-0.239	NaN
YDR380W	0.712	-0.073
YDR382W	-3.352	-0.656
YDR383C	0.130	-0.040
YDR384C	0.096	-0.073
YDR385W	0.225	-0.058
YDR386W	0.125	-0.061
YDR387C	-0.411	-0.121
YDR388W	1.105	-0.059
YDR389W	0.899	-0.501
YDR391C	0.034	-0.212
YDR393W	0.426	-0.040
YDR395W	1.251	0.019
YDR399W	0.523	0.316
YDR400W	-0.189	-0.038
YDR401W	-0.150	-0.022
YDR402C	0.061	-0.070
YDR403W	-0.087	-0.172
YDR405W	0.842	-0.179
YDR406W	0.006	-0.059
YDR408C	0.133	-0.112
YDR409W	0.503	-0.136
YDR411C	-0.146	-0.066
YDR414C	1.428	-0.012
YDR415C	-0.110	-0.008
YDR417C	NaN	0.076
YDR419W	-0.329	-0.040
YDR420W	-0.731	-0.045
YDR421W	-1.082	0.022
YDR422C	-0.465	0.045
YDR423C	-0.732	0.009
YDR424C	0.136	0.106
YDR425W	-0.205	-0.050
YDR426C	0.233	-0.049
YDR428C	-0.328	-0.048
YDR430C	0.112	-0.017
YDR431W	-0.085	0.324
YDR433W	0.076	0.009
YDR435C	1.414	-0.492
YDR436W	-0.256	-0.032
YDR438W	-0.358	-0.190
YDR439W	0.019	-0.098
YDR440W	0.378	-0.149
YDR441C	NaN	-0.260
YDR442W	0.659	-0.256
YDR443C	0.277	-0.205
YDR444W	-0.705	0.020
YDR445C	0.195	0.065
YDR446W	-0.102	0.313
YDR447C	-0.337	-0.204
YDR448W	-1.766	-0.130
YDR450W	-0.581	-0.120
YDR451C	-0.347	-0.115
YDR452W	0.125	-0.006
YDR453C	-0.673	-0.214
YDR455C	0.607	-0.097
YDR456W	0.245	-0.189
YDR457W	0.179	0.043
YDR458C	-0.617	-0.026
YDR459C	-0.038	-0.041
YDR462W	NaN	0.074
YDR463W	-0.104	0.343
YDR465C	0.434	NaN
YDR466W	0.264	-0.134
YDR467C	-0.298	-0.233
YDR469W	0.207	0.021
YDR470C	1.388	NaN
YDR471W	0.610	-0.013
YDR475C	-0.464	0.053
YDR476C	-0.282	0.111
YDR477W	-0.714	-0.155
YDR479C	-0.166	-0.006
YDR480W	-0.068	-0.454
YDR481C	-0.118	0.005
YDR482C	0.304	0.034
YDR483W	-0.217	-0.011
YDR484W	0.757	0.040
YDR485C	0.153	-0.222
YDR486C	1.084	-0.555
YDR488C	0.452	-0.283
YDR490C	-0.471	-0.028
YDR491C	-0.105	-0.026
YDR492W	-0.042	0.074
YDR493W	0.329	0.130
YDR494W	0.188	0.141
YDR495C	0.110	-0.263
YDR496C	0.002	0.050
YDR497C	1.130	0.659
YDR500C	0.024	-0.307
YDR501W	-0.645	-0.043
YDR502C	-0.190	0.128
YDR503C	0.252	0.009
YDR504C	0.327	-0.126
YDR505C	0.125	-0.067
YDR506C	-0.273	0.162
YDR507C	-0.569	0.122
YDR508C	0.880	0.069
YDR509W	1.111	-0.132
YDR511W	0.136	0.232
YDR512C	1.092	0.174
YDR513W	0.158	-0.114
YDR514C	0.164	-0.750
YDR515W	-0.299	0.055
YDR516C	-0.102	-0.135
YDR517W	-0.600	-1.432
YDR518W	0.058	0.083
YDR519W	-0.002	0.118
YDR520C	-0.183	0.066
YDR521W	0.309	0.108
YDR522C	0.130	0.088
YDR523C	0.222	0.063
YDR524C	0.034	0.317
YDR524C-B	0.665	-0.075
YDR524W-C	0.276	-0.050
YDR525W	0.758	0.085
YDR525W-A	0.239	0.039
YDR528W	-0.498	-0.036
YDR529C	0.115	0.072
YDR530C	-0.694	NaN
YDR532C	NaN	-0.168
YDR533C	-0.152	0.067
YDR534C	0.054	NaN
YDR535C	0.151	0.030
YDR536W	0.123	-0.074
YDR538W	-1.136	-0.118
YDR539W	0.012	0.025
YDR540C	0.061	0.027
YDR541C	0.072	-0.035
YEL001C	-0.011	-0.062
YEL003W	0.107	-0.133
YEL005C	0.770	-0.101
YEL007W	-1.013	-0.078
YEL008W	0.346	-0.151
YEL009C	-1.046	-0.598
YEL010W	-0.384	0.055
YEL011W	0.121	0.001
YEL012W	0.974	-0.211
YEL013W	0.658	0.034
YEL014C	0.463	0.141
YEL015W	-0.012	0.039
YEL016C	-0.013	-0.001
YEL017W	0.060	0.003
YEL020C	0.260	0.023
YEL024W	1.036	NaN
YEL025C	0.357	-0.070
YEL028W	0.205	-0.045
YEL030W	0.051	0.036
YEL033W	-1.032	-1.110
YEL037C	1.233	NaN
YEL038W	0.482	0.009
YEL039C	-0.107	0.038
YEL040W	-0.813	0.055
YEL041W	-0.026	0.052
YEL042W	1.433	0.055
YEL043W	0.026	-0.167
YEL047C	-0.030	0.041
YEL048C	0.855	0.194
YEL049W	-0.105	NaN
YEL050C	0.953	-0.252
YEL051W	NaN	-0.098
YEL052W	-0.145	0.023
YEL053C	-1.795	-0.009
YEL056W	0.181	-0.102
YEL057C	0.076	0.112
YEL059C-A	0.213	0.073
YEL059W	0.042	0.132
YEL060C	-0.120	NaN
YEL062W	-2.140	NaN
YEL063C	-0.203	-0.055
YEL064C	NaN	-0.043
YEL065W	-0.478	0.045
YEL066W	0.066	-0.087
YEL067C	-0.614	-0.028
YEL068C	1.026	-0.010
YEL071W	1.171	-0.215
YER001W	-0.676	-0.229
YER002W	-0.699	-0.257
YER004W	-0.390	0.035
YER005W	-0.566	-0.230
YER007C-A	0.107	0.113
YER007W	-0.184	-0.020
YER010C	0.344	0.023
YER011W	0.142	-0.056
YER014C-A	0.296	-0.356
YER015W	-0.124	0.190
YER016W	0.419	0.062
YER017C	0.680	0.072
YER019C-A	0.532	0.110
YER019W	-0.616	0.061
YER020W	-0.353	-0.132
YER024W	-0.170	0.061
YER027C	-0.963	0.013
YER028C	-0.028	0.079
YER030W	0.858	-0.038
YER031C	1.527	-0.166
YER032W	0.398	0.068
YER033C	-0.390	-0.007
YER034W	0.960	-0.010
YER035W	-0.675	-0.238
YER037W	-0.441	0.094
YER038W-A	0.158	0.192
YER039C	0.117	0.142
YER039C-A	0.264	0.011
YER040W	0.729	0.251
YER041W	-0.091	-0.091
YER042W	0.208	-0.047
YER044C	-1.090	-0.079
YER044C-A	0.020	0.026
YER045C	-0.094	0.000
YER046W	0.184	-0.104
YER046W-A	0.112	0.035
YER047C	0.170	0.053
YER048C	-0.436	0.146
YER049W	0.378	-0.069
YER050C	0.744	-0.100
YER051W	0.199	0.074
YER052C	-0.198	0.116
YER053C	0.361	0.025
YER053C-A	-0.035	0.053
YER054C	0.027	0.067
YER055C	1.554	-0.111
YER056C	-0.184	0.045
YER056C-A	-0.772	-0.057
YER057C	0.194	0.055
YER058W	0.464	-0.046
YER059W	-0.136	0.323
YER060W	0.566	0.118
YER060W-A	0.107	0.105
YER061C	-2.012	NaN
YER062C	-0.113	0.047
YER063W	0.206	-0.037
YER064C	-0.597	0.342
YER065C	0.400	-0.059
YER066C-A	0.199	0.058
YER066W	-0.063	-0.127
YER067C-A	0.064	0.062
YER067W	-0.613	0.024
YER071C	0.390	0.103
YER072W	-0.893	0.034
YER073W	0.188	0.138
YER074W	-0.606	0.075
YER075C	0.060	0.069
YER076C	-0.047	-0.046
YER077C	0.109	0.047
YER078C	0.352	0.027
YER079W	-0.063	0.115
YER080W	-0.499	-0.097
YER081W	-1.103	-0.051
YER083C	0.415	0.186
YER084W	0.426	0.105
YER085C	0.116	0.082
YER086W	1.483	0.256
YER087C-B	0.260	0.072
YER087W	0.882	1.809
YER088C	0.095	0.127
YER089C	-0.611	0.043
YER091C	0.519	0.772
YER091C-A	0.139	0.262
YER092W	0.444	-0.162
YER093C-A	0.875	0.205
YER095W	0.062	-0.056
YER096W	-0.663	0.067
YER097W	-0.138	0.222
YER098W	-0.008	0.123
YER099C	-0.146	0.017
YER101C	-1.442	-0.082
YER103W	0.133	0.108
YER105C	-0.120	-0.141
YER106W	0.079	0.079
YER108C	-1.113	-0.017
YER109C	0.012	0.096
YER110C	-0.810	-0.199
YER111C	1.039	0.281
YER113C	-0.357	0.118
YER114C	0.075	0.133
YER115C	-0.076	0.206
YER116C	-0.130	-0.047
YER117W	-0.425	0.193
YER118C	-0.717	0.117
YER119C	-0.537	0.076
YER119C-A	0.945	-0.287
YER120W	1.301	-0.341
YER121W	-0.151	0.048
YER122C	0.544	0.243
YER123W	-2.833	0.047
YER124C	-0.252	0.397
YER128W	-0.161	0.097
YER129W	-1.825	-0.037
YER130C	0.507	0.105
YER131W	-0.938	-0.153
YER132C	-1.133	-0.144
YER134C	-0.801	0.082
YER135C	-1.414	-0.027
YER137C	-1.114	-0.181
YER139C	-0.237	-0.346
YER140W	0.060	-0.010
YER141W	-0.199	-0.214
YER142C	-0.057	0.133
YER143W	-0.149	0.145
YER144C	0.633	-0.177
YER145C	1.054	0.468
YER149C	-0.964	0.083
YER150W	0.003	0.209
YER151C	0.918	-0.083
YER152C	-0.572	-0.014
YER153C	0.399	0.061
YER154W	0.742	0.196
YER155C	0.056	-0.367
YER156C	-1.725	-0.340
YER158C	-0.419	0.233
YER161C	0.130	-0.315
YER163C	-0.177	0.061
YER164W	-0.881	-0.015
YER166W	-0.379	0.102
YER167W	0.529	0.338
YER169W	0.356	0.309
YER170W	-0.093	0.050
YER173W	-0.500	-0.057
YER174C	-0.631	-0.068
YER175C	-1.615	-0.192
YER175W-A	-0.263	0.021
YER176W	-1.730	-0.287
YER177W	-1.122	-0.127
YER178W	0.887	0.157
YER179W	-1.660	-0.245
YER180C	-0.549	0.002
YER180C-A	0.594	-0.028
YER181C	-0.217	0.047
YER182W	-0.175	-0.022
YER183C	-0.756	-0.045
YER184C	-0.331	-0.074
YER185W	-0.207	0.073
YER186C	-0.340	-0.059
YER186W-A	0.153	-0.072
YER187W	-0.324	-0.076
YER188W	-0.371	-0.120
YFL001W	0.331	-0.092
YFL003C	0.159	0.129
YFL004W	0.159	0.343
YFL007W	-0.233	-0.136
YFL010C	-0.172	0.137
YFL010W-A	-0.298	0.208
YFL011W	0.939	0.028
YFL012W	-0.050	0.217
YFL012W-A	0.352	-0.090
YFL013C	0.625	-0.046
YFL014W	0.243	-0.094
YFL015C	0.045	0.027
YFL016C	-1.393	-0.198
YFL018C	-1.897	0.239
YFL019C	-0.490	-0.012
YFL020C	0.082	0.057
YFL021W	-0.111	0.083
YFL025C	-0.129	-0.065
YFL026W	-0.037	-0.063
YFL027C	-0.150	0.049
YFL028C	-0.411	0.011
YFL031W	0.330	-0.062
YFL033C	-0.176	0.438
YFL034C-A	-0.189	0.071
YFL034W	0.820	0.015
YFL036W	0.577	-0.184
YFL040W	-0.435	-0.036
YFL041W	-0.024	-0.001
YFL041W-A	-0.311	0.026
YFL042C	0.353	0.003
YFL044C	-0.034	-0.000
YFL046W	-0.136	0.067
YFL049W	-0.229	0.114
YFL050C	0.171	0.060
YFL051C	-0.260	0.123
YFL054C	0.450	-0.121
YFL055W	0.284	-0.143
YFL056C	0.078	0.014
YFL063W	-0.238	0.272
YFR001W	0.085	0.108
YFR006W	0.067	-0.018
YFR007W	0.226	0.083
YFR008W	0.213	0.043
YFR010W	0.053	0.068
YFR011C	0.205	0.079
YFR012W	0.128	0.070
YFR012W-A	-0.115	0.054
YFR013W	0.052	0.211
YFR014C	0.397	-0.005
YFR015C	0.046	0.102
YFR016C	0.282	0.033
YFR018C	-0.262	-0.524
YFR019W	-0.075	-0.162
YFR020W	-0.585	-0.487
YFR021W	1.276	-0.104
YFR022W	0.583	0.122
YFR023W	0.653	0.000
YFR024C-A	0.459	-0.028
YFR025C	-1.292	NaN
YFR026C	-0.147	-0.195
YFR030W	-1.882	0.335
YFR031C-A	-0.353	-0.140
YFR032C	0.171	-0.029
YFR032C-A	-0.395	-0.059
YFR032C-B	-0.443	-0.015
YFR033C	0.633	-0.035
YFR034C	-5.516	-0.372
YFR035C	-0.473	-0.308
YFR036W	0.532	-0.004
YFR038W	-0.325	0.069
YFR039C	-0.660	-0.153
YFR040W	-0.416	0.190
YFR041C	0.717	0.013
YFR043C	-0.050	0.070
YFR044C	0.217	0.106
YFR045W	0.072	0.081
YFR046C	0.139	0.069
YFR047C	0.323	0.105
YFR048W	0.206	0.220
YFR049W	-0.289	0.087
YFR053C	0.010	0.092
YFR054C	0.244	0.088
YFR055W	0.135	0.071
YFR056C	0.254	0.107
YFR057W	0.024	0.132
YGL002W	-0.492	0.018
YGL003C	-0.555	0.417
YGL004C	-1.082	-0.048
YGL005C	-0.582	0.307
YGL006W	-0.824	-0.045
YGL006W-A	-0.190	0.085
YGL007C-A	-0.073	-0.152
YGL007W	-0.014	-0.301
YGL010W	-0.358	-0.133
YGL013C	0.445	0.156
YGL014W	1.196	0.530
YGL016W	-0.659	-0.394
YGL017W	-0.007	0.054
YGL019W	0.483	-0.331
YGL020C	0.096	0.313
YGL021W	-0.055	0.096
YGL022W	0.280	0.065
YGL023C	1.535	0.480
YGL024W	1.626	0.396
YGL025C	-0.247	0.155
YGL026C	-0.622	0.024
YGL027C	0.709	-0.081
YGL028C	1.263	0.331
YGL029W	-1.326	-0.148
YGL031C	-0.449	-0.127
YGL032C	0.049	-0.098
YGL033W	-0.892	-0.153
YGL034C	-1.080	-0.116
YGL035C	-0.845	-0.159
YGL036W	0.110	-0.073
YGL037C	0.099	-0.081
YGL039W	0.183	-0.153
YGL041C	-0.572	-0.109
YGL041C-B	0.186	-0.033
YGL042C	-0.853	-0.342
YGL043W	0.793	-0.346
YGL045W	-1.262	-0.132
YGL049C	-0.331	0.005
YGL050W	-0.251	-0.090
YGL051W	-0.020	-0.102
YGL053W	0.242	-0.116
YGL054C	1.423	0.855
YGL056C	1.228	-0.081
YGL057C	0.521	-0.107
YGL058W	-0.651	0.072
YGL059W	-0.763	0.016
YGL060W	-0.247	0.050
YGL062W	1.174	0.461
YGL063W	0.217	-0.033
YGL064C	0.489	-0.052
YGL066W	-1.943	-1.225
YGL067W	-0.323	-0.006
YGL070C	-1.842	-0.341
YGL072C	1.072	0.239
YGL074C	0.009	0.028
YGL076C	-0.217	0.114
YGL077C	0.362	-0.020
YGL078C	-1.208	-0.385
YGL079W	1.062	-0.163
YGL080W	-1.791	0.085
YGL081W	-0.084	-0.143
YGL082W	0.057	-0.052
YGL083W	0.503	-0.045
YGL084C	1.389	-0.475
YGL085W	-0.210	-0.123
YGL086W	0.171	-0.102
YGL087C	-0.966	-0.317
YGL088W	-1.137	-0.373
YGL089C	-1.203	-0.214
YGL090W	-0.404	0.076
YGL094C	0.796	-0.253
YGL096W	-0.607	0.129
YGL100W	-1.231	0.026
YGL101W	-0.163	-0.107
YGL104C	-0.778	-0.148
YGL105W	0.520	0.081
YGL107C	0.666	0.299
YGL108C	0.064	0.251
YGL109W	-0.329	-0.017
YGL110C	0.233	NaN
YGL114W	-0.343	0.055
YGL117W	-0.631	0.147
YGL118C	-0.384	0.076
YGL119W	0.578	0.203
YGL121C	0.081	0.138
YGL124C	-0.592	-0.030
YGL125W	0.066	0.113
YGL126W	-0.183	NaN
YGL127C	-1.442	-0.144
YGL129C	0.679	-0.157
YGL131C	-0.157	0.004
YGL132W	-0.883	0.031
YGL133W	-0.502	-0.390
YGL134W	-0.276	-0.043
YGL138C	-0.494	0.044
YGL139W	-0.047	0.010
YGL140C	-1.017	-0.150
YGL141W	-1.128	-0.133
YGL143C	0.363	-0.103
YGL144C	-0.357	-0.063
YGL146C	-0.281	-0.240
YGL147C	0.585	0.243
YGL148W	-2.221	-0.649
YGL149W	0.566	-0.294
YGL151W	0.598	-0.311
YGL152C	1.493	-0.046
YGL153W	1.517	-0.053
YGL156W	-0.420	-0.032
YGL157W	-0.467	-0.069
YGL158W	-1.687	-0.271
YGL159W	-0.167	-0.021
YGL160W	-0.634	-0.159
YGL161C	-0.246	0.123
YGL162W	-0.522	0.028
YGL163C	0.422	-0.057
YGL164C	0.018	0.016
YGL165C	-0.077	-0.100
YGL166W	-0.664	-0.229
YGL167C	0.892	-0.346
YGL168W	0.820	-0.347
YGL170C	-0.928	-0.105
YGL173C	-0.684	-0.451
YGL174W	-0.180	-0.181
YGL175C	-0.266	0.232
YGL176C	-0.197	0.128
YGL177W	-0.383	-0.071
YGL178W	-0.554	-0.159
YGL179C	-0.294	0.074
YGL180W	0.546	0.128
YGL181W	-0.004	0.131
YGL184C	0.012	-0.047
YGL185C	-0.398	-0.073
YGL186C	-1.167	-0.161
YGL188C-A	-3.094	NaN
YGL190C	-0.237	-0.072
YGL191W	-0.058	-0.072
YGL192W	0.194	-0.105
YGL194C	0.839	0.059
YGL195W	0.233	0.230
YGL197W	-0.915	0.263
YGL198W	-0.430	0.254
YGL199C	-0.439	0.147
YGL200C	1.562	-0.061
YGL202W	-1.450	-0.150
YGL203C	0.838	-0.120
YGL205W	-0.213	-0.313
YGL208W	-0.692	-0.220
YGL209W	-0.701	-0.228
YGL210W	-0.498	-0.226
YGL211W	-0.657	-0.117
YGL212W	0.111	-0.203
YGL214W	-1.031	-0.607
YGL215W	-1.237	-0.430
YGL216W	-0.488	-0.021
YGL217C	-0.396	0.090
YGL218W	NaN	0.162
YGL219C	0.190	-0.021
YGL220W	0.491	-0.033
YGL221C	0.056	-0.156
YGL222C	0.512	-0.034
YGL223C	1.350	0.284
YGL224C	-0.488	-0.121
YGL226C-A	0.642	-0.091
YGL226W	0.547	-0.316
YGL227W	1.074	-0.190
YGL228W	-0.394	-0.039
YGL229C	0.032	-0.006
YGL230C	-0.138	-0.064
YGL231C	1.116	-0.276
YGL232W	-0.414	0.024
YGL234W	0.019	-0.183
YGL235W	NaN	-0.014
YGL236C	-0.117	-0.125
YGL237C	1.084	0.033
YGL239C	-0.163	0.043
YGL240W	1.168	-0.300
YGL241W	-0.358	-0.125
YGL242C	0.610	-0.114
YGL243W	0.105	0.048
YGL244W	0.402	0.094
YGL246C	-1.893	-0.325
YGL248W	0.059	-0.079
YGL249W	0.564	-0.054
YGL250W	-0.147	0.030
YGL251C	-0.393	0.028
YGL252C	0.322	0.594
YGL253W	1.951	-0.239
YGL255W	0.364	-0.130
YGL256W	-0.445	0.043
YGL257C	-0.002	-0.042
YGL258W	-0.819	-0.065
YGL259W	-0.214	-0.012
YGL260W	-0.305	-0.054
YGL261C	-1.084	-0.261
YGL262W	-0.171	0.088
YGL263W	-0.121	0.118
YGR001C	0.317	-0.027
YGR006W	0.849	NaN
YGR007W	-0.884	-0.074
YGR008C	-0.333	0.039
YGR010W	0.527	0.049
YGR011W	-0.312	0.118
YGR012W	-0.421	-0.020
YGR014W	-0.125	0.092
YGR015C	0.811	0.104
YGR016W	-0.105	0.183
YGR017W	-0.632	0.566
YGR018C	-0.765	0.481
YGR019W	-0.077	0.081
YGR022C	-0.093	0.123
YGR023W	0.489	0.303
YGR025W	NaN	0.075
YGR028W	-0.031	-0.082
YGR031W	0.061	-0.168
YGR032W	0.219	-0.037
YGR033C	0.068	-0.166
YGR034W	-1.553	-0.416
YGR035C	0.062	-0.136
YGR035W-A	-1.137	0.026
YGR037C	0.579	-0.080
YGR038W	-0.032	-0.072
YGR039W	-0.146	-0.081
YGR040W	-1.153	-0.124
YGR042W	-0.080	-0.085
YGR043C	-1.565	-0.380
YGR044C	-0.413	-0.106
YGR045C	-0.888	-0.357
YGR049W	-0.292	-0.233
YGR050C	-0.164	-0.124
YGR051C	-0.089	-0.216
YGR052W	-0.883	-0.433
YGR053C	-0.754	-0.175
YGR054W	-1.116	0.007
YGR055W	-0.468	0.145
YGR058W	-0.791	0.095
YGR059W	0.087	-0.047
YGR061C	0.051	-0.062
YGR062C	0.835	-0.181
YGR063C	-2.005	NaN
YGR066C	-0.156	-0.126
YGR067C	0.162	-0.091
YGR068C	-0.246	-0.152
YGR069W	-0.509	-0.035
YGR070W	-0.955	-0.134
YGR071C	-0.796	-0.073
YGR072W	-1.663	-2.283
YGR073C	0.063	0.044
YGR076C	0.046	0.014
YGR077C	0.541	-0.079
YGR078C	-0.195	-0.300
YGR079W	0.056	-0.086
YGR080W	-0.768	-0.109
YGR081C	0.949	0.374
YGR084C	0.568	-0.016
YGR085C	-1.304	-0.549
YGR086C	0.369	-0.283
YGR088W	0.208	0.082
YGR089W	-0.356	-0.265
YGR092W	1.537	0.354
YGR093W	0.243	-0.048
YGR096W	0.608	0.239
YGR097W	-0.413	-0.096
YGR100W	0.214	0.048
YGR101W	1.131	-0.100
YGR102C	-0.141	0.086
YGR105W	-0.674	-0.404
YGR106C	-0.450	-0.108
YGR107W	-1.276	-0.241
YGR108W	0.392	0.171
YGR109C	0.056	0.070
YGR110W	-0.855	-0.135
YGR111W	-0.479	0.001
YGR112W	0.535	0.116
YGR114C	-0.123	0.193
YGR117C	-0.111	0.016
YGR118W	0.390	0.425
YGR121C	0.302	0.277
YGR121W-A	0.023	0.091
YGR122C-A	-0.389	0.097
YGR122W	-1.092	0.123
YGR123C	-0.032	0.062
YGR124W	-0.136	0.168
YGR125W	-0.209	-0.050
YGR126W	0.029	0.173
YGR127W	-0.056	0.005
YGR129W	-0.025	0.112
YGR130C	0.180	0.116
YGR131W	0.243	0.232
YGR132C	0.552	0.032
YGR133W	1.325	-0.052
YGR134W	-0.392	0.041
YGR135W	0.197	-0.088
YGR136W	0.081	0.227
YGR137W	0.255	0.123
YGR138C	0.354	0.064
YGR139W	-0.567	0.125
YGR141W	-0.571	0.110
YGR142W	-0.265	0.176
YGR143W	-0.064	0.002
YGR144W	0.067	0.095
YGR146C	-0.896	-0.066
YGR146C-A	-0.020	0.053
YGR148C	-0.570	-0.115
YGR149W	-0.207	0.041
YGR150C	0.990	-0.099
YGR151C	0.243	0.108
YGR152C	0.090	0.242
YGR153W	0.498	-0.012
YGR154C	1.151	-0.067
YGR155W	-0.380	-0.161
YGR157W	0.909	0.107
YGR159C	-3.755	-0.495
YGR160W	-1.835	-0.342
YGR161C	-0.259	-0.085
YGR161W-C	0.071	-0.036
YGR162W	0.036	-0.106
YGR163W	-0.141	-0.055
YGR164W	0.561	0.833
YGR165W	0.854	-0.063
YGR166W	0.385	-0.143
YGR168C	0.059	-0.068
YGR169C	0.049	-0.091
YGR169C-A	-0.087	-0.056
YGR170W	-0.156	-0.040
YGR171C	-0.170	0.065
YGR173W	-0.430	-0.011
YGR174C	0.225	0.049
YGR174W-A	-0.151	0.011
YGR176W	0.118	0.030
YGR177C	0.260	0.010
YGR178C	-0.273	-0.040
YGR180C	0.410	-0.472
YGR181W	0.417	-0.016
YGR182C	0.200	0.094
YGR183C	0.287	-0.096
YGR184C	0.630	0.017
YGR187C	-0.156	-0.056
YGR188C	0.495	-0.091
YGR189C	-0.490	-0.001
YGR190C	0.995	-0.032
YGR192C	-0.052	0.183
YGR193C	1.456	-0.019
YGR194C	0.082	0.017
YGR196C	-0.651	0.016
YGR197C	0.344	0.020
YGR199W	-0.243	0.073
YGR200C	-1.300	0.051
YGR201C	-0.041	-0.099
YGR202C	0.396	0.013
YGR203W	-0.132	0.031
YGR204C-A	-0.186	0.033
YGR204W	1.395	0.446
YGR205W	-0.527	0.035
YGR206W	1.301	-0.504
YGR209C	-0.302	0.096
YGR210C	0.135	-0.008
YGR213C	-0.572	-0.061
YGR214W	0.884	-0.114
YGR215W	0.519	NaN
YGR217W	-0.557	-0.086
YGR219W	0.401	-0.142
YGR220C	0.602	0.323
YGR221C	-0.252	0.074
YGR222W	0.290	-0.190
YGR223C	0.065	0.037
YGR224W	-0.054	0.150
YGR225W	-0.088	0.098
YGR226C	-0.233	-0.056
YGR227W	1.185	-0.074
YGR228W	0.651	-0.074
YGR229C	0.931	-0.435
YGR230W	-0.061	0.078
YGR231C	0.369	0.142
YGR232W	-0.364	0.051
YGR233C	-5.176	-0.589
YGR234W	-0.300	0.081
YGR235C	-0.556	0.192
YGR236C	-0.058	0.099
YGR237C	-0.890	0.175
YGR238C	-0.528	-0.084
YGR239C	-0.068	-0.090
YGR240C	1.616	0.498
YGR241C	0.301	0.120
YGR242W	0.580	0.017
YGR243W	0.152	0.093
YGR244C	0.098	0.103
YGR247W	0.394	0.115
YGR248W	-0.973	-0.120
YGR249W	-0.064	0.200
YGR250C	-0.626	-0.064
