orf	hap a | cell conductivity | electric field [300 kHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013	hap a | cell conductivity | electric field [10 MHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013
YAL004W	0.1422	0.3266
YAL005C	0.6907	-0.31
YAL008W	0.6061	0.0223
YAL010C	1.0975	-0.7132
YAL011W	0.6044	-0.0726
YAL012W	0.875	0.2634
YAL015C	0.3109	-0.0933
YAL017W	0.0935	-0.2488
YAL018C	0.1181	-0.0873
YAL019W	0.1068	-0.2391
YAL020C	0.3767	-0.2875
YAL021C	0.333	-0.1242
YAL022C	-0.2307	-0.1082
YAL023C	-0.2853	-0.1189
YAL024C	0.7487	-0.1906
YAL026C	0.3777	-0.6236
YAL027W	0.1835	-0.2055
YAL028W	0.4579	-0.0599
YAL029C	0.2867	-0.1305
YAL030W	0.4848	-0.2404
YAL031C	0.0824	-0.1274
YAL034C	0.7826	-0.2489
YAL035W	0.3562	-0.6812
YAL036C	0.1268	0.1165
YAL037W	0.1923	-0.2385
YAL039C	0.634	-0.276
YAL040C	-0.09	-0.0689
YAL042C-A	0.0669	0.0498
YAL042W	0.2754	-0.1282
YAL045C	0.3557	-0.0338
YAL046C	0.2907	-0.0805
YAL047C		-0.1305
YAL048C	0.3274	-0.3983
YAL049C	0.6834	0.4987
YAL051W	0.3239	0.0561
YAL054C	-0.0122	-0.0256
YAL055W	-0.3255	-0.0941
YAL056C-A	0.2857	-0.3514
YAL056W	0.3394	-0.1027
YAL058W	0.0036	-0.5493
YAL059W	0.1621	-0.2229
YAL060W	0.0066	-0.0515
YAL061W	-0.1853	0.0126
YAL062W	0.3439	0.0046
YAL064C-A	-0.1851	-0.1157
YAL065C	0.3757	-0.0148
YAL066W	-0.0963	0.0736
YAL067C	0.123	-0.1444
YAL068C	0.1695	-0.015
YAR002C-A	0.2114	-0.0923
YAR002W	0.8574	-0.0465
YAR003W	0.8762	0.3317
YAR014C	0.0941	-0.034
YAR015W	1.1692	-0.0158
YAR020C	-0.3646	0.126
YAR023C	0.4203	-0.0991
YAR027W	-0.0271	0.0904
YAR028W	0.0374	-0.2257
YAR029W	0.492	-0.3586
YAR030C	0.0613	-0.1131
YAR031W	0.1461	0.0233
YAR035W	0.7282	-0.2515
YAR042W	0.1713	-0.2133
YAR047C	0.7723	-0.2221
YAR050W	0.2516	-0.0059
YBL001C	-0.0446	-0.1028
YBL003C	-0.0335	-0.1535
YBL005W	0.1274	-0.2113
YBL006C	0.6929	0.3446
YBL007C	-1.2536	-1.8471
YBL008W	-0.0214	-0.0265
YBL009W	0.3468	-0.0834
YBL010C	0.2239	-0.1928
YBL011W	-0.0107	0.2011
YBL012C	0.7972	-0.6574
YBL013W	0.4649	0.6646
YBL015W	-0.2537	0.0244
YBL016W	-0.0279	0.3168
YBL017C	-0.3033	0.7315
YBL019W	0.472	-0.2276
YBL021C	-0.0978	0.0187
YBL022C	0.7368	-0.5472
YBL024W	1.0105	-0.4146
YBL027W	-0.0944	-0.7693
YBL028C	0.2606	-0.1232
YBL029W	0.1561	0.0597
YBL031W	1.0027	-0.0414
YBL032W	-0.269	0.8076
YBL036C	0.556	0.0015
YBL037W	-0.2853	0.396
YBL038W	0.7433	-0.6855
YBL039C	-0.3627	0.1899
YBL042C	0.7742	-0.5168
YBL043W	0.1828	-0.041
YBL044W	-0.047	-0.1675
YBL045C	0.7246	-0.3383
YBL046W	-0.3451	0.0046
YBL047C	0.2727	-0.1154
YBL048W	0.351	-0.0311
YBL049W	0.433	0.3151
YBL051C	-0.0002	-0.5328
YBL052C	0.1893	-0.0464
YBL053W	0.2416	-0.0592
YBL054W	-0.0406	0.0726
YBL055C	0.2059	-0.0299
YBL056W	0.4271	0.1808
YBL057C	-0.0743	-0.0827
YBL058W	0.5724	-0.9366
YBL060W	0.3625	0.031
YBL061C	0.1113	0.0906
YBL062W	0.3809	0.3967
YBL063W	-0.1597	0.1316
YBL064C	-0.0437	0.3853
YBL065W	0.6975	-0.0509
YBL066C	0.3089	-0.0751
YBL067C	-0.0456	-0.0995
YBL068W	-0.6481	-0.1539
YBL069W	-0.3889	0.3519
YBL070C	0.1019	0.0846
YBL071C	0.3383	-0.1084
YBL072C	-0.844	-1.2481
YBL075C	0.3498	-0.1242
YBL078C	-0.1228	0.0953
YBL079W	-0.0714	0.0785
YBL080C	0.2969	-0.879
YBL081W	0.888	1.6659
YBL082C	0.2857	0.3685
YBL083C	-0.0624	0.4477
YBL085W	-0.3686	0.3962
YBL086C	0.3661	0.3036
YBL087C	0.0498	-0.2272
YBL088C	-0.052	0.173
YBL089W	-0.0191	-0.6056
YBL090W	0.5937	-0.3322
YBL091C	-0.4666	0.1249
YBL091C-A	0.1087	-0.1843
YBL094C	-0.5798	0.0808
YBL095W	0.5307	-0.1273
YBL096C	0.4167	0.5794
YBL098W	0.0666	-0.0233
YBL099W	1.6327	0.6633
YBL100C	0.0426	-0.9927
YBL102W	-0.3689	0.209
YBL103C	0.719	-0.371
YBL104C	0.5065	0.0291
YBL106C	0.3771	0.1139
YBL107C	-0.1524	0.3355
YBR001C	-0.0367	-0.2238
YBR003W	0.4515	-0.5166
YBR006W	-0.1563	0.074
YBR007C	-0.0774	0.221
YBR008C	0.1113	0.1003
YBR009C	0.2525	0.0601
YBR010W	0.2646	0.2565
YBR013C	0.0565	0.0955
YBR014C	0.1449	0.0187
YBR015C	0.1888	0.621
YBR016W	-0.1788	-0.0642
YBR018C	0.1312	-0.1207
YBR019C	0.4964	-0.0953
YBR020W	0.1092	-0.027200000000000002
YBR021W	0.6594	0.1813
YBR022W	-0.0808	0.4846
YBR023C	-0.3554	0.3612
YBR024W	0.3318	-0.0359
YBR025C	0.24	-0.1053
YBR027C	-0.1619	0.1948
