orf	hap a | cell conductivity | electric field [300 kHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013	hap a | cell conductivity | electric field [10 MHz] | YPD + G418 [100 ug/ml] | Vahey MD~Voldman J, 2013
YAL004W	-0.12924861326780834	0.9354918287330727
YAL005C	1.0644166372316877	-0.7748449920892285
YAL008W	0.8803071017854572	0.11793685767396767
YAL010C	1.9497092970369654	-1.8581120454281412
YAL011W	0.8766075011913842	-0.13702852764811274
YAL012W	1.4654968663420926	0.7656940168009813
YAL015C	0.23788233980286622	-0.19264268440435156
YAL017W	-0.23523128910978727	-0.6104205286360007
YAL018C	-0.1816958922779047	-0.17652263896776063
YAL019W	-0.2062873550502735	-0.584359788513512
YAL020C	0.3810786451499342	-0.7143948217020124
YAL021C	0.28597714752581765	-0.27566091840279505
YAL022C	-0.9407668847559798	-0.23267413057188582
YAL023C	-1.0595893508950363	-0.26142154493380637
YAL024C	1.1906383045588906	-0.45405608790106833
YAL026C	0.38325488079350667	-1.6173860335750496
YAL027W	-0.03937008118826561	-0.49408753406860256
YAL028W	0.5577889794080182	-0.10290776480732855
YAL029C	0.1852174372284126	-0.29258696611121554
YAL030W	0.6163297182201175	-0.5878524650247734
YAL031C	-0.25938750475344163	-0.2842582759689769
YAL034C	1.264412692875997	-0.610689196059944
YAL035W	0.3364658144566988	-1.772138469766323
YAL036C	-0.16276264217882427	0.3710215710284458
YAL037W	-0.020219207524827934	-0.5827477839698528
YAL039C	0.941024076241129	-0.6834980679485465
YAL040C	-0.6345705297053342	-0.12708783296221499
YAL042C-A	-0.29311915722881476	0.1918203992583429
YAL042W	0.1606259744560437	-0.2864076153605224
YAL045C	0.33537769663491257	-0.03278556715815784
YAL046C	0.19392237980270247	-0.15825325413962418
YAL047C		-0.29258696611121554
YAL048C	0.2737902279218119	-1.012078327431059
YAL049C	1.0485301170336088	1.3978684653392899
YAL051W	0.26617340316930826	0.20874644696676342
YAL054C	-0.4652593966353966	-0.010754838394816871
YAL055W	-1.1470740237666492	-0.19479202379589705
YAL056C-A	0.18304120158484014	-0.8860733056017062
YAL056W	0.29990505564468134	-0.21789742225501074
YAL058W	-0.43087487346695175	-1.4177661375852648
YAL059W	-0.08594152396071633	-0.5408356658347163
YAL060W	-0.4243461665362343	-0.08033970119610119
YAL061W	-0.84196578653779	0.09187611755147894
YAL062W	0.3096981160407574	0.07038272363602431
YAL064C-A	-0.8415305394090754	-0.2528241873676245
YAL065C	0.3789024095063617	0.018261243391046865
YAL066W	-0.6482808142598407	0.2557632461568204
YAL067C	-0.17103233762439962	-0.32993173803931797
YAL068C	-0.06983738019828006	0.017723908543160503
YAR002C-A	0.021346893267406124	-0.18995601016491973
YAR002W	1.4271951190152172	-0.06690632999894205
YAR003W	1.4681083491143796	0.949193867354175
YAR014C	-0.2339255477236438	-0.03332290200604422
YAR015W	2.1057453926811114	0.015574569151615036
YAR020C	-1.2321648374303327	0.39654497630304814
YAR023C	0.4759625192096937	-0.20822539499305615
YAR027W	-0.4976853077246263	0.3008993733792751
YAR028W	-0.3573181087142025	-0.5483583537051255
YAR029W	0.6319986148538392	-0.9054173601256152
YAR030C	-0.3053060768328206	-0.24583883434510176
YAR031W	-0.1207612942578757	0.12062353191339949
YAR035W	1.146025473865655	-0.6176745490824667
YAR042W	-0.06592015603984963	-0.5150435931361709
YAR047C	1.2419974657472006	-0.5386863264431709
YAR050W	0.1088315661390191	0.042172644121990135
YBL001C	-0.5357694314871444	-0.21816608967895393
YBL003C	-0.5116132158434901	-0.35438047361814756
YBL005W	-0.16145690079268074	-0.5096702446573071
YBL006C	1.069204355647547	0.9838519650428457
YBL007C	-3.1668383245662524	-4.90453196551989
YBL008W	-0.4852807645562633	-0.01317284521030551
YBL009W	0.3160091994071176	-0.1660446094339765
YBL010C	0.048549838812061874	-0.45996677122781837
YBL011W	-0.4619950431700379	0.5983142116843784
YBL012C	1.296185733272155	-1.7081956228678452
YBL013W	0.5730226289130255	1.8435877216610304
YBL015W	-0.9908203045581464	0.12357887357677451
YBL016W	-0.4994262962394843	0.9091624211866409
YBL017C	-1.0987615924793406	2.0233262282790196
YBL019W	0.5884739019823899	-0.553463034760046
YBL021C	-0.6515451677251994	0.10826483041201308
YBL022C	1.1647411004003783	-1.412124121682458
YBL024W	1.7603767960461612	-1.0558711175337978
YBL027W	-0.644145966537053	-2.008834470260267
YBL028C	0.12841768693117128	-0.27297424416336324
YBL029W	-0.09899893782215112	0.21841847422871802
YBL031W	1.743402158026296	-0.05320429137783974
YBL032W	-1.0241167099048052	2.2277821378997817
YBL036C	0.771277696042477	0.06205403349378566
YBL037W	-1.0595893508950363	1.1219470209496416
YBL038W	1.1788866320835991	-1.7836911689958797
YBL039C	-1.228029989707545	0.568223460202742
YBL042C	1.2461323134699882	-1.3304492248037305
YBL043W	-0.04089344613876635	-0.052129621682067015
YBL044W	-0.5409923970317183	-0.3919939129701932
YBL045C	1.1381910255487941	-0.8508778730651493
YBL046W	-1.1897282423806694	0.07038272363602431
YBL047C	0.1547501382183981	-0.252018185095795
YBL048W	0.3251493891101219	-0.025531546711691916
YBL049W	0.5036007118830639	0.9045950749796067
YBL051C	-0.43914456891252707	-1.3734360126346399
YBL052C	-0.026747914455545328	-0.06663766257499887
YBL053W	0.08706920970329451	-0.10102709283972627
YBL054W	-0.5270644889128545	0.2530765719173886
YBL055C	0.009377597227757566	-0.02230753762437372
YBL056W	0.49076092158598633	0.5437747246239123
YBL057C	-0.6004036301012466	-0.1641639374663742
YBL058W	0.8069679605970653	-2.4583150705172114
YBL060W	0.3501760990112053	0.14131092355702457
YBL061C	-0.19649429465419743	0.30143670822716145
YBL062W	0.3902188348529386	1.1238276929172437
YBL063W	-0.7862541540623349	0.41159035204386635
YBL064C	-0.5338108194079293	1.093199606587721
YBL065W	1.0792150396079805	-0.0787276966524421
YBL066C	0.23352986851572127	-0.14374521324669232
YBL067C	-0.5379456671307169	-0.20930006468882892
YBL068W	-1.8491276423831258	-0.3554551433139203
YBL069W	-1.2850473635691435	1.003464686990698
YBL070C	-0.2169509097037786	0.2853166627905705
YBL071C	0.29751119643675167	-0.23321146541977217
YBL072C	-2.275452204958971	-3.2952140961002256
YBL075C	0.322537906337835	-0.27566091840279505
YBL078C	-0.705951058814511	0.314064077152491
YBL079W	-0.5940925467348864	0.2689279499300364
YBL080C	0.2074150407928517	-2.3035626343259383
YBL081W	1.4937879297085346	4.533754637604119
YBL082C	0.18304120158484014	1.0480634793652663
YBL083C	-0.5745064259427343	1.260848079128267
YBL085W	-1.2408697800046224	1.122484355797528
YBL086C	0.3580105473280661	0.8736983212261407
YBL087C	-0.33033278673390387	-0.5523883650642732
YBL088C	-0.5518735752495806	0.522818665556344
YBL089W	-0.4802754225760466	-1.5690258972652769
YBL090W	0.8533217798051588	-0.834489160204615
