ORF	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013
YDR369C	1.821	-0.028
YDR370C	-0.212	-0.189
YDR371W	0.442	-0.233
YDR372C	-0.580	-0.492
YDR374C	0.216	0.534
YDR375C	-0.476	0.071
YDR377W	0.440	0.470
YDR378C	0.563	0.259
YDR379W	0.424	0.105
YDR380W	0.192	0.192
YDR382W	0.079	-0.139
YDR383C	-0.050	0.070
YDR384C	0.104	0.403
YDR385W	0.246	-0.201
YDR386W	0.633	0.287
YDR387C	-0.188	-0.102
YDR388W	0.433	0.570
YDR389W	0.347	0.572
YDR391C	0.007	0.147
YDR392W	-0.513	-0.406
YDR393W	0.360	-0.359
YDR395W	0.064	-0.498
YDR399W	0.097	1.564
YDR400W	-0.511	-0.411
YDR401W	0.614	-0.049
YDR402C	-0.370	-0.712
YDR403W	0.160	0.383
YDR405W	-0.327	1.382
YDR406W	-0.097	-0.165
YDR408C	1.336	0.360
YDR409W	0.297	0.430
YDR410C	-0.492	-0.608
YDR411C	-0.401	-0.038
YDR414C	-1.778	-1.361
YDR415C	0.234	-0.654
YDR417C	-1.536	-0.247
YDR418W	-0.522	-0.918
YDR419W	1.420	0.019
YDR420W	0.422	-0.019
YDR421W	0.014	-0.474
YDR422C	-0.354	0.214
YDR423C	0.370	-0.253
YDR424C	-0.318	-0.029
YDR425W	0.389	-0.493
YDR426C	-0.208	-0.523
YDR428C	0.402	0.327
YDR430C	-0.343	-0.148
YDR431W	-0.348	0.120
YDR435C	-0.975	-0.319
YDR436W	0.469	-0.372
YDR438W	0.466	0.487
YDR439W	0.956	0.003
YDR440W	0.738	0.714
YDR441C	1.226	1.066
YDR442W	-1.220	-1.025
YDR443C	0.874	1.514
YDR444W	0.029	-0.201
YDR445C	0.324	0.205
YDR447C	1.086	0.310
YDR448W	0.997	0.191
YDR450W	0.780	0.113
YDR451C	-0.658	0.086
YDR452W	0.254	1.184
YDR455C	0.287	0.307
YDR456W	0.082	0.396
YDR457W	0.925	1.004
YDR458C	0.766	0.325
YDR459C	0.031	-0.093
YDR461W	0.260	0.133
YDR462W	1.193	0.657
YDR463W	0.156	0.964
YDR465C	1.780	0.353
YDR466W	0.418	0.047
YDR467C	0.153	0.864
YDR469W	-0.179	0.411
YDR470C	1.569	-0.309
YDR471W	-0.580	0.751
YDR474C	0.893	0.079
YDR475C	-0.158	-0.539
YDR476C	0.670	0.546
YDR477W	2.631	1.906
YDR479C	0.308	0.332
YDR480W	-0.280	-0.168
YDR481C	0.117	0.254
YDR482C	-0.711	-0.197
YDR483W	-0.164	-0.144
YDR484W	1.246	-0.146
YDR485C	0.604	0.625
YDR486C	0.030	0.031
YDR488C	1.085	-0.005
YDR490C	0.902	1.046
YDR491C	0.242	-0.454
YDR492W	0.369	-0.000
YDR493W	0.092	0.258
YDR494W	0.131	0.087
YDR495C	0.745	-0.130
YDR496C	1.081	0.057
YDR497C	1.084	-0.673
YDR500C	0.853	0.020
YDR501W	1.264	-0.161
YDR502C	-0.224	0.700
YDR503C	0.998	-0.433
YDR504C	-0.063	-0.178
YDR505C	0.195	0.025
YDR506C	-0.341	-0.034
YDR507C	0.846	0.943
YDR508C	0.002	0.228
YDR509W	-0.203	0.223
YDR511W	0.453	-0.037
YDR512C	0.977	0.155
YDR513W	0.605	-0.989
YDR514C	0.033	0.438
YDR515W	1.157	0.779
YDR516C	-0.973	-0.421
YDR517W	-0.133	0.064
YDR518W	-0.145	0.213
YDR519W	1.405	0.689
YDR522C	1.762	0.051
YDR523C	-0.097	0.546
YDR524C	0.903	0.455
YDR525W-A	0.071	0.981
YDR528W	-0.378	0.333
YDR529C	0.213	1.179
YDR530C	1.172	-0.065
YDR532C	-0.988	0.085
YDR533C	0.096	0.108
YDR534C	1.232	0.735
YDR535C	-0.312	0.135
YDR536W	0.701	1.125
YDR537C	0.067	0.067
YDR538W	-0.404	-0.764
YDR539W	0.854	-0.175
YDR540C	0.141	0.007
YDR541C	-0.033	0.064
YEL001C	1.885	0.139
YEL003W	-0.225	0.151
YEL004W	-0.265	-0.046
YEL005C	0.285	0.550
YEL006W	1.397	0.310
YEL007W	-0.909	-0.393
YEL008W	0.070	-0.270
YEL009C	0.097	0.031
YEL010W	-0.426	0.141
YEL011W	0.691	-0.101
YEL012W	1.646	0.427
YEL013W	-0.299	-0.175
YEL014C	-0.190	0.384
YEL015W	-0.202	1.338
YEL016C	0.137	-0.284
YEL017C-A	0.490	0.266
YEL017W	0.061	0.274
YEL020C	-0.113	-0.147
YEL023C	0.160	0.065
YEL024W	1.016	0.712
YEL025C	-0.107	-1.331
YEL028W	0.572	0.312
YEL030W	-0.374	0.284
YEL033W	1.391	0.115
YEL037C	0.378	0.335
YEL038W	-0.713	0.084
YEL039C	-0.278	-0.509
YEL041W	0.323	0.288
YEL042W	-0.090	0.049
YEL043W	1.035	-0.893
YEL045C	0.763	0.205
YEL046C	1.161	0.953
YEL047C	-0.420	0.029
YEL048C	0.047	0.160
YEL049W	-0.095	0.049
YEL052W	0.788	-0.276
YEL053C	0.819	-0.524
YEL054C	0.748	0.586
YEL056W	0.536	0.259
YEL057C	-0.356	-0.237
YEL059W	1.362	-0.036
YEL060C	0.103	0.979
YEL061C	-1.866	-0.027
YEL062W	1.190	0.419
YEL063C	0.301	0.102
YEL064C	-0.091	0.280
YEL065W	-0.109	-0.365
YEL066W	0.442	-0.056
YEL067C	-0.338	-0.202
YEL068C	0.125	0.025
YEL071W	0.439	-0.026
YEL072W	-0.472	-0.221
YER001W	-0.466	0.983
YER002W	-0.275	-0.133
YER005W	-0.218	-0.953
YER007C-A	0.474	0.092
YER007W	0.386	0.347
YER010C	0.192	-0.130
YER011W	0.417	-0.029
YER016W	1.283	0.387
YER017C	0.145	1.248
YER019C-A	-0.115	0.078
YER019W	0.165	1.333
YER020W	-0.156	-0.206
YER024W	0.105	0.803
YER027C	-0.527	0.055
YER028C	0.429	-0.098
YER030W	-0.138	-0.371
YER032W	-0.139	0.384
YER033C	0.618	0.147
YER034W	-0.146	0.043
YER035W	0.127	-0.051
YER037W	0.507	0.482
YER038W-A	-0.386	-0.526
YER039C	0.709	-0.092
YER039C-A	1.854	0.280
YER040W	-0.085	-0.050
YER041W	-0.374	0.902
YER042W	-0.790	-0.110
YER044C-A	0.132	0.036
YER045C	-0.347	-0.252
YER046W	0.133	0.106
YER046W-A	0.579	0.253
YER047C	0.582	0.361
YER048C	1.458	0.360
YER049W	0.469	0.233
YER050C	1.323	0.016
YER051W	0.124	-0.155
YER053C	-0.205	-0.412
YER054C	0.125	0.189
YER055C	-0.464	0.422
YER056C	0.373	-0.411
YER056C-A	-0.509	0.196
YER057C	-0.217	0.171
YER058W	0.334	-0.295
YER059W	-0.618	0.544
YER060W	0.449	0.245
YER060W-A	-0.502	0.266
YER061C	1.120	0.633
YER062C	1.259	1.103
YER063W	-0.022	0.020
YER064C	1.537	-0.494
YER065C	-0.333	-0.037
YER066C-A	-0.132	0.091
YER066W	0.178	0.541
YER067C-A	0.505	-1.074
YER067W	0.570	-0.112
YER068C-A	-0.171	0.167
YER068W	0.378	-0.372
YER069W	-0.466	-0.057
YER070W	0.315	0.233
YER071C	0.494	0.330
YER072W	0.423	0.301
YER073W	0.533	0.314
YER074W	0.215	-0.036
YER075C	1.098	-0.331
YER078C	0.748	0.163
YER079W	0.254	-0.142
YER080W	0.738	0.059
YER081W	-0.006	0.195
YER083C	1.095	1.009
YER084W	0.468	0.953
YER085C	0.149	-0.685
YER086W	0.246	0.328
YER087C-A	0.870	-0.538
YER088C	0.966	0.265
YER089C	-0.052	-0.026
YER090W	0.785	0.128
YER091C	0.533	0.177
YER091C-A	0.356	0.099
YER092W	-0.180	-0.780
YER093C-A	0.466	-0.541
YER095W	0.450	0.019
YER096W	-0.263	0.083
YER097W	1.583	-0.281
YER098W	-0.286	0.259
YER101C	-0.165	0.637
YER103W	0.190	-0.762
YER106W	0.209	0.477
YER108C	0.906	0.518
YER109C	0.359	0.013
YER110C	1.933	1.448
YER111C	0.401	0.325
YER113C	-0.617	0.897
YER114C	0.064	1.138
YER115C	-0.346	-0.343
YER116C	-0.106	-0.100
YER118C	0.630	0.101
YER119C	-0.438	-0.157
YER120W	1.219	1.948
YER121W	0.236	0.343
YER123W	1.020	1.224
YER124C	0.435	0.101
YER128W	1.194	-0.048
YER129W	0.143	0.190
YER130C	0.652	0.322
YER131W	-0.606	-0.062
YER132C	0.491	-0.324
YER134C	0.105	0.703
YER135C	0.256	0.396
YER137C	-0.188	-0.132
YER139C	0.591	0.498
YER140W	-0.439	0.058
YER141W	0.476	-0.063
YER142C	-0.270	-0.172
YER143W	-0.743	-0.169
YER144C	0.588	0.074
YER145C	0.513	0.171
YER149C	-0.942	-1.381
YER150W	0.119	-0.291
YER151C	-0.576	0.313
YER152C	-0.423	0.009
YER153C	0.560	-0.278
YER154W	0.111	-0.541
YER155C	0.169	-0.251
YER156C	1.100	0.427
YER158C	0.326	0.108
YER161C	0.922	0.546
YER162C	1.144	0.652
YER163C	0.374	-0.199
YER164W	0.247	0.256
YER166W	-0.125	0.087
YER167W	-0.013	-0.069
YER169W	-0.324	-0.145
YER170W	-0.248	0.238
YER173W	0.206	-0.093
YER174C	1.030	0.115
YER175C	1.133	0.675
YER176W	-0.327	-0.012
YER177W	0.600	0.438
YER178W	0.100	0.825
YER179W	-0.379	0.241
YER180C	-0.660	-0.186
YER181C	0.005	-0.210
YER182W	0.099	-0.503
YER183C	0.538	-0.356
YER184C	-0.334	-0.282
YER185W	0.054	-0.555
YER186C	0.164	-0.243
YER187W	-0.291	0.522
YER188W	0.309	-0.118
YFL001W	-0.350	-0.246
YFL003C	0.522	0.700
YFL004W	0.141	-0.180
YFL006W	0.149	0.231
YFL007W	1.335	1.315
YFL010C	0.585	0.710
YFL010W-A	-0.002	0.027
YFL011W	0.444	0.157
YFL012W	0.981	-0.686
YFL013C	-0.324	0.579
YFL013W-A	-0.237	-0.382
YFL014W	-0.452	0.055
YFL015C	0.079	0.022
YFL019C	0.990	-0.098
YFL020C	0.258	0.450
YFL021W	0.306	0.454
YFL023W	0.561	0.687
YFL025C	0.398	1.009
YFL026W	0.016	-0.089
YFL027C	0.391	0.837
YFL028C	-0.106	0.460
YFL030W	-0.089	-0.022
YFL031W	-0.267	-0.549
YFL032W	-0.625	-0.662
YFL033C	0.487	0.648
YFL034C-A	-0.072	-0.099
YFL034W	-0.425	-0.275
YFL035C-B	0.254	0.077
YFL036W	0.611	0.236
YFL040W	-0.093	0.042
YFL041W	-0.066	-0.193
YFL042C	1.715	0.345
YFL043C	0.332	0.505
YFL044C	-0.087	0.158
YFL046W	0.051	0.438
YFL047W	0.134	-0.055
YFL048C	-0.078	-0.661
YFL049W	0.817	-0.088
YFL050C	0.256	0.042
YFL051C	0.220	0.030
YFL052W	-0.722	-0.241
YFL053W	-0.554	-0.286
YFL054C	0.464	-0.547
YFL055W	0.334	0.512
YFL056C	-0.407	-0.270
YFL063W	0.224	0.769
YFR001W	0.469	0.177
YFR006W	0.018	0.366
YFR007W	0.177	-0.304
YFR008W	0.186	0.386
YFR009W	0.046	-0.218
YFR010W	0.058	-0.268
YFR011C	-0.178	-0.120
YFR012W	-0.633	0.225
YFR013W	1.427	-0.417
YFR014C	-0.130	0.343
YFR015C	0.464	0.441
YFR016C	-0.494	-0.223
YFR017C	-0.059	-0.421
YFR018C	0.685	0.634
YFR019W	-0.114	0.027
YFR020W	0.444	-0.047
YFR021W	-0.452	0.175
YFR022W	0.267	0.062
YFR023W	0.194	0.673
YFR024C	0.742	0.053
YFR024C-A	-0.184	0.006
YFR026C	-0.298	0.564
YFR030W	0.469	0.233
YFR031C-A	0.199	-0.152
YFR032C	0.050	-0.546
YFR032C-A	0.580	1.046
YFR033C	0.934	-0.126
YFR034C	0.588	0.276
YFR035C	0.016	0.125
YFR036W	1.161	-0.065
YFR038W	-0.332	-1.523
YFR039C	0.107	0.317
YFR040W	-0.157	-0.210
YFR041C	0.579	-0.033
YFR043C	0.125	0.113
YFR044C	-0.732	-0.548
YFR045W	1.050	0.064
YFR046C	0.049	0.448
YFR047C	-0.246	0.027
YFR048W	0.790	1.067
YFR049W	0.203	0.397
YFR053C	0.483	0.379
YFR054C	0.503	0.177
YFR055W	0.191	-0.138
YFR056C	0.403	-0.371
YFR057W	0.149	-0.026
YGL002W	0.663	0.009
YGL003C	0.106	0.969
YGL004C	0.310	0.539
YGL005C	0.089	-0.192
YGL006W	0.805	-0.032
YGL007W	0.128	0.989
YGL010W	-0.103	0.147
YGL012W	-0.081	-0.971
YGL013C	0.233	-0.185
YGL015C	0.304	0.024
YGL016W	0.364	0.421
YGL017W	-0.126	0.088
YGL019W	0.469	0.233
YGL021W	-0.227	-0.176
YGL023C	1.339	1.309
YGL024W	0.405	0.205
YGL025C	-1.054	-1.257
YGL026C	0.370	0.030
YGL027C	0.039	-0.518
YGL028C	-0.777	-0.721
YGL029W	0.509	-0.325
YGL031C	1.284	-0.746
YGL032C	0.590	0.901
YGL033W	-0.362	0.518
YGL034C	0.048	0.540
YGL035C	0.603	1.241
YGL036W	0.034	0.190
YGL037C	0.544	0.631
YGL039W	-0.682	0.116
YGL041C	0.575	0.342
YGL042C	0.018	-0.335
YGL043W	-0.903	-0.443
YGL045W	2.977	1.960
YGL046W	2.494	1.686
YGL049C	-0.374	-0.719
YGL050W	0.049	-0.275
YGL051W	0.271	-0.966
YGL053W	-0.029	0.548
YGL054C	-0.925	0.639
YGL056C	0.355	0.190
YGL057C	-0.594	-0.891
YGL059W	0.066	0.158
YGL060W	-0.570	0.534
YGL062W	0.178	0.746
YGL063W	-0.068	0.347
YGL064C	0.022	0.692
YGL066W	0.582	0.844
YGL067W	-0.930	0.087
YGL072C	0.491	0.092
YGL076C	0.544	-0.172
YGL077C	-0.835	0.034
YGL078C	1.024	0.246
YGL079W	-0.062	0.128
YGL080W	1.300	-0.057
YGL081W	0.911	0.566
YGL082W	0.137	-0.252
YGL083W	0.242	0.178
YGL084C	-0.638	-0.567
YGL085W	1.201	-0.161
YGL086W	-0.419	-0.354
YGL087C	0.823	1.538
YGL089C	1.008	-0.133
YGL090W	0.637	0.403
YGL094C	0.076	0.159
YGL096W	0.079	0.364
YGL101W	0.503	0.205
YGL104C	0.691	0.330
YGL105W	1.048	0.431
YGL107C	1.201	-0.169
YGL108C	0.469	0.231
YGL109W	0.802	1.341
YGL110C	0.403	0.383
YGL114W	0.275	0.008
YGL117W	-0.133	-0.216
YGL121C	-0.002	0.026
YGL124C	-0.784	-0.510
YGL125W	0.491	0.234
YGL126W	0.869	0.362
YGL127C	0.524	-0.041
YGL129C	-0.316	0.303
YGL131C	0.187	-0.068
YGL132W	0.486	0.469
YGL133W	-0.057	0.040
YGL135W	0.832	0.934
YGL136C	0.867	0.610
YGL138C	-0.624	0.067
YGL139W	0.441	0.129
YGL140C	0.032	0.059
YGL141W	0.859	-0.065
YGL143C	0.331	0.650
YGL144C	0.592	-0.610
YGL146C	0.017	0.005
YGL147C	1.591	0.879
YGL148W	-0.671	-0.052
YGL149W	-0.212	0.003
YGL151W	-0.078	0.521
YGL152C	-0.672	0.018
YGL153W	-0.129	0.113
YGL154C	0.297	-0.247
YGL156W	0.044	-0.008
YGL157W	1.038	0.759
YGL158W	-0.021	0.455
YGL159W	-0.448	-0.104
YGL160W	0.149	-0.101
YGL161C	-0.044	0.240
YGL162W	0.147	-0.032
YGL163C	0.431	0.926
YGL164C	-0.147	0.274
YGL165C	-0.062	0.464
YGL166W	0.342	-0.098
YGL170C	0.861	0.307
YGL173C	1.726	1.095
YGL174W	1.357	0.139
YGL175C	0.930	0.599
YGL176C	0.229	-0.161
YGL177W	0.249	0.625
YGL179C	-0.198	0.201
YGL180W	0.139	0.586
YGL181W	0.683	-0.708
YGL194C	0.312	-0.606
YGL195W	0.502	0.286
YGL197W	0.520	-1.276
YGL198W	0.496	-0.084
YGL199C	-0.427	-0.305
YGL200C	0.469	0.177
YGL202W	0.435	0.205
YGL203C	-0.629	-0.204
YGL205W	0.486	0.760
YGL208W	0.953	1.221
YGL209W	-0.145	0.631
YGL210W	0.435	0.179
YGL211W	-0.413	-0.807
YGL212W	0.276	-0.392
YGL213C	1.406	1.013
YGL214W	0.545	0.249
YGL215W	0.379	-0.049
YGL216W	0.025	0.237
YGL217C	-1.057	0.536
YGL218W	0.973	0.282
YGL219C	1.336	1.729
YGL221C	0.598	0.928
YGL222C	0.155	-0.098
YGL226C-A	0.493	0.488
YGL226W	-0.139	-0.097
YGL227W	0.954	0.519
YGL228W	0.020	0.636
YGL229C	-0.305	0.115
YGL231C	0.037	1.059
YGL232W	0.995	1.029
YGL235W	0.783	0.262
YGL236C	0.424	-0.530
YGL237C	0.435	0.205
YGL241W	1.312	0.429
YGL242C	0.412	1.107
YGL243W	-0.075	0.315
YGL244W	-0.513	-0.371
YGL246C	1.312	-0.958
YGL248W	0.691	0.296
YGL249W	-0.048	-0.176
YGL250W	0.323	0.351
YGL251C	0.436	0.278
YGL252C	-0.602	-0.529
YGL253W	0.361	1.253
YGL254W	0.206	0.157
YGL255W	0.373	-0.156
YGL256W	0.732	0.679
YGL257C	0.054	0.045
YGL258W	1.392	0.562
YGL259W	0.193	-0.243
YGL260W	-0.408	0.793
YGL261C	0.052	0.912
YGL262W	0.797	0.174
YGL263W	0.146	-0.608
YGR001C	1.289	0.804
YGR003W	0.117	-0.075
YGR004W	-0.603	-0.958
YGR007W	0.493	-0.491
YGR008C	1.862	0.301
YGR010W	1.384	-0.592
YGR011W	-0.187	-0.333
YGR012W	-0.438	0.136
YGR014W	0.036	0.058
YGR015C	0.470	0.377
YGR016W	1.517	0.220
YGR017W	-0.222	0.608
YGR018C	0.867	-0.095
YGR019W	0.151	-0.007
YGR021W	0.837	0.955
YGR022C	-0.395	-0.032
YGR023W	0.068	0.401
YGR025W	-0.329	0.929
YGR026W	0.147	0.509
YGR028W	-0.124	0.553
YGR031W	0.452	0.300
YGR032W	-0.131	-0.154
YGR033C	1.300	0.019
YGR034W	0.118	-0.233
YGR035C	0.168	0.265
YGR036C	-0.123	-0.034
YGR037C	-0.284	0.091
YGR038W	0.183	-0.201
YGR039W	0.496	-0.041
YGR040W	0.548	0.187
YGR041W	-0.294	0.109
YGR042W	1.472	-0.102
YGR043C	0.945	0.300
YGR044C	1.593	0.688
YGR045C	0.134	-0.073
YGR049W	0.006	-0.036
YGR050C	1.018	0.481
YGR051C	0.002	0.154
YGR052W	0.206	0.175
YGR053C	0.352	0.212
YGR054W	0.376	1.220
YGR055W	0.856	1.786
YGR056W	1.426	0.098
YGR058W	3.183	1.493
YGR059W	0.485	-0.364
YGR061C	1.007	1.687
YGR062C	0.067	0.563
YGR063C	0.478	0.464
YGR064W	0.721	-0.674
YGR066C	1.745	-0.400
YGR067C	-1.131	-0.062
YGR068C	0.840	0.684
YGR069W	-0.039	0.069
YGR070W	0.857	0.106
YGR071C	0.834	0.011
YGR072W	0.918	1.105
YGR076C	1.615	1.867
YGR077C	0.398	-0.022
YGR078C	0.783	-0.654
YGR079W	0.390	-0.259
YGR080W	-0.779	0.087
YGR081C	0.654	0.336
YGR084C	1.200	0.255
YGR085C	0.737	-0.076
YGR086C	-0.192	0.187
YGR087C	0.303	0.117
YGR088W	0.548	0.208
YGR089W	0.212	0.217
YGR092W	0.617	1.119
YGR093W	0.480	0.404
YGR096W	-0.363	0.375
YGR097W	0.402	0.177
YGR100W	1.456	0.515
YGR104C	-1.091	-0.770
YGR106C	0.121	-0.061
YGR107W	1.036	0.577
YGR108W	0.692	0.296
YGR109C	1.239	0.167
YGR110W	0.430	1.104
YGR111W	1.710	1.631
YGR112W	0.288	-0.138
YGR117C	0.135	-0.032
YGR118W	0.232	0.016
YGR121C	-0.496	-0.184
YGR122C-A	0.048	0.261
YGR122W	1.125	0.661
YGR123C	-0.547	0.536
YGR124W	0.053	0.107
YGR125W	0.194	0.191
YGR126W	0.135	-0.269
YGR127W	-0.470	0.013
YGR129W	0.783	0.163
YGR130C	0.872	0.173
YGR131W	0.384	-0.223
YGR132C	0.491	0.308
YGR133W	-0.096	-0.034
YGR134W	0.216	0.254
YGR135W	0.499	0.413
YGR136W	0.938	-0.279
YGR137W	0.016	-0.201
YGR138C	0.305	0.157
YGR139W	0.438	0.205
YGR141W	0.465	-0.452
YGR142W	0.536	0.683
YGR143W	0.882	0.332
YGR144W	0.440	0.106
YGR146C	0.626	-0.020
YGR148C	0.178	-0.298
YGR149W	0.186	0.072
YGR150C	0.502	1.286
YGR151C	0.073	-0.174
YGR152C	-0.180	-0.010
YGR153W	0.666	0.069
YGR154C	0.377	0.192
YGR155W	2.597	1.601
YGR157W	0.461	0.049
YGR159C	1.029	1.819
YGR160W	0.025	1.217
YGR161C	0.212	0.145
YGR163W	-0.157	-0.923
YGR164W	0.416	0.203
YGR165W	0.582	0.255
YGR166W	0.074	-0.282
YGR168C	-0.362	-0.193
YGR169C	0.209	-0.292
YGR170W	0.051	-0.289
YGR171C	0.910	0.512
YGR173W	-0.417	0.102
YGR174C	0.223	0.482
YGR176W	0.130	0.099
YGR177C	-1.245	-0.591
YGR178C	0.361	-0.381
YGR181W	0.107	-0.100
YGR182C	-0.374	0.673
YGR183C	-0.193	-0.398
YGR184C	0.675	0.012
YGR187C	0.239	0.845
YGR188C	-0.402	0.174
YGR189C	0.171	0.005
YGR192C	-0.527	0.633
YGR193C	0.074	0.236
YGR194C	0.009	-0.738
YGR196C	0.640	0.016
YGR199W	0.060	0.153
YGR200C	-0.087	-0.135
YGR201C	-0.287	-0.358
YGR202C	-0.397	-0.242
YGR203W	0.399	0.576
YGR204W	0.436	-0.001
YGR205W	0.133	0.221
YGR206W	0.171	-0.356
YGR207C	0.365	0.054
YGR208W	0.296	-0.131
YGR209C	-0.514	-0.404
YGR210C	1.062	-0.004
YGR212W	-0.030	0.168
YGR213C	-0.851	0.893
YGR214W	1.349	0.455
YGR215W	0.117	-0.028
YGR220C	0.676	-0.284
YGR221C	0.745	-0.153
YGR223C	-0.196	0.248
YGR224W	0.269	0.427
YGR225W	-0.016	-0.370
YGR226C	0.317	0.087
YGR227W	-0.111	-1.053
YGR228W	-0.812	-0.130
YGR229C	0.054	-0.043
YGR230W	0.521	0.048
YGR231C	0.364	0.685
YGR232W	-0.186	0.339
YGR233C	0.503	0.105
YGR234W	0.105	-0.718
YGR235C	0.606	0.237
YGR236C	-0.117	-0.009
YGR237C	0.399	-0.006
YGR238C	1.507	0.135
YGR239C	0.539	0.052
YGR240C	1.795	0.957
YGR241C	-0.484	0.650
YGR242W	-0.696	-0.368
YGR243W	0.056	0.269
YGR244C	0.596	-0.136
YGR247W	1.342	-0.018
YGR249W	0.692	0.345
YGR250C	-0.137	0.686
YGR254W	0.873	-0.226
YGR256W	-0.094	-0.194
YGR258C	-0.387	0.211
YGR259C	0.459	0.119
YGR260W	0.345	-0.150
YGR261C	0.351	0.365
YGR263C	0.649	0.254
YGR266W	0.251	0.112
YGR268C	1.385	-0.252
YGR270W	0.040	0.302
YGR271W	0.254	0.093
YGR273C	1.493	0.759
YGR275W	0.341	-0.363
YGR276C	0.246	-0.077
YGR279C	0.092	-0.554
YGR281W	0.062	0.294
YGR282C	-0.019	-0.221
YGR283C	0.166	-0.174
YGR284C	0.169	0.005
YGR285C	0.469	0.124
YGR286C	0.655	0.033
YGR287C	0.410	-0.484
YGR288W	-0.305	-0.084
YGR289C	0.485	-0.013
YGR290W	0.012	-0.001
YGR291C	-0.246	-0.088
YGR292W	-0.155	0.004
YGR295C	-0.491	-0.391
YHL002W	-0.091	0.196
YHL003C	0.084	-0.146
YHL005C	0.438	0.132
YHL006C	0.718	0.515
YHL007C	0.395	0.290
YHL008C	0.543	-0.357
YHL009C	0.870	-0.291
YHL010C	0.469	0.233
YHL011C	-0.698	-0.508
YHL012W	0.897	-0.386
YHL013C	0.417	0.155
YHL014C	0.643	0.151
YHL016C	-0.101	0.073
YHL017W	0.332	-0.196
YHL019C	0.502	0.050
YHL020C	-0.257	-0.182
YHL021C	1.853	1.183
YHL022C	0.503	0.218
YHL023C	1.000	0.243
YHL024W	0.128	0.490
YHL026C	0.435	0.233
YHL027W	1.796	1.668
YHL028W	0.512	0.403
YHL029C	0.509	-0.295
YHL030W	0.556	0.957
YHL031C	0.071	-0.608
YHL032C	-0.310	0.036
YHL033C	1.502	0.471
YHL034C	-0.055	0.234
YHL035C	0.235	0.595
YHL036W	0.440	0.536
YHL037C	1.737	0.936
YHL038C	0.837	-0.486
YHL039W	0.333	0.235
YHL040C	-0.393	1.420
YHL041W	0.306	-0.111
YHL042W	0.943	0.211
YHL043W	0.679	0.274
YHL045W	0.083	0.038
YHL046C	0.806	0.225
YHL047C	0.751	0.659
YHR001W-A	0.747	-0.372
YHR003C	-0.493	0.317
YHR004C	0.391	0.709
YHR005C	-0.554	0.021
YHR006W	-0.451	-0.972
YHR009C	-0.349	-0.176
YHR011W	3.781	3.692
YHR012W	-0.007	-0.077
YHR014W	0.503	0.205
YHR015W	0.760	0.410
YHR016C	0.469	0.233
YHR017W	0.193	-0.738
YHR018C	0.481	0.850
YHR021W-A	-0.427	0.007
YHR022C	0.021	-0.115
YHR025W	-0.556	0.418
YHR028C	-0.013	-0.200
YHR029C	-0.136	-0.028
YHR030C	0.411	0.191
YHR031C	0.029	0.104
YHR032W	0.179	0.101
YHR033W	0.100	0.384
YHR034C	0.891	0.140
YHR035W	0.669	-0.052
YHR037W	-0.198	-0.211
YHR038W	0.484	-0.133
YHR039C	0.269	0.707
YHR041C	0.077	0.527
YHR043C	-0.507	0.024
YHR044C	-0.647	-0.280
YHR045W	0.080	-0.143
YHR046C	0.219	-0.013
YHR047C	0.020	-0.567
YHR049C-A	-0.134	-0.385
YHR049W	0.477	0.594
YHR057C	0.643	0.213
YHR059W	1.078	-0.136
YHR061C	-0.335	0.160
YHR064C	0.503	0.205
YHR066W	0.469	0.151
YHR067W	1.508	-0.661
YHR073W	0.062	0.152
YHR075C	0.397	0.113
YHR076W	0.272	-0.098
YHR077C	0.127	-0.070
YHR078W	1.992	-0.286
YHR079C	-0.242	-0.730
YHR079C-B	-0.324	0.258
YHR080C	-0.931	0.093
YHR081W	-0.765	-0.043
YHR082C	0.409	0.308
YHR086W	-0.070	0.044
YHR087W	0.860	-0.209
YHR092C	-0.185	0.003
YHR093W	0.348	-0.020
YHR094C	-0.898	-0.485
YHR095W	0.356	0.096
YHR096C	0.268	0.300
YHR097C	-0.470	-0.326
YHR100C	0.002	0.220
YHR103W	2.109	0.529
YHR104W	-0.488	-0.617
YHR105W	0.114	0.054
YHR106W	1.046	0.461
YHR108W	-0.043	-0.237
YHR109W	-0.170	0.174
YHR110W	0.333	0.044
YHR111W	0.438	0.275
YHR112C	0.144	0.907
YHR113W	0.160	-0.267
YHR114W	-0.123	-0.361
YHR115C	-0.594	0.305
YHR116W	-0.926	-0.136
YHR117W	-0.641	0.127
YHR121W	-0.504	0.224
YHR123W	0.113	0.132
YHR124W	-0.164	0.025
YHR125W	0.644	-0.060
YHR126C	1.337	-0.516
YHR127W	-0.370	0.425
YHR129C	0.817	0.488
YHR130C	0.342	0.834
YHR131C	0.184	0.317
YHR132C	1.324	-1.220
YHR132W-A	0.999	-0.175
YHR133C	-0.604	-0.066
YHR134W	0.802	0.185
YHR135C	0.042	-0.543
YHR136C	0.866	0.949
YHR137W	0.738	0.111
YHR138C	-1.273	-0.120
YHR139C	-0.530	0.630
YHR139C-A	0.583	0.424
YHR140W	-0.201	-0.360
YHR142W	0.740	0.050
YHR143W	-1.301	-0.476
YHR146W	0.014	0.317
YHR147C	0.469	0.233
