ORF	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013	hom/het | electrical properties | standard [standard] | Vahey MD~Voldman J, 2013
YBR075W	0.864	0.203
YBR076W	0.309	0.695
YBR077C	-0.577	-0.430
YBR081C	-0.215	-0.614
YBR082C	1.195	0.281
YBR083W	-0.558	0.458
YBR084C-A	-0.029	0.347
YBR084W	0.035	0.026
YBR085W	1.302	0.479
YBR090C	0.564	-0.199
YBR090C-A	-0.071	1.077
YBR092C	-0.714	-0.225
YBR095C	0.555	-0.430
YBR098W	0.307	0.206
YBR099C	0.110	0.039
YBR100W	-0.491	-0.051
YBR103W	0.060	-0.287
YBR104W	1.456	-0.196
YBR105C	1.346	-0.152
YBR106W	0.546	0.051
YBR107C	-0.052	-0.034
YBR108W	0.374	0.070
YBR111C	1.843	0.493
YBR113W	-0.398	-0.345
YBR114W	0.491	0.790
YBR115C	-0.774	-0.416
YBR116C	0.353	0.724
YBR119W	-0.465	0.326
YBR120C	0.426	-0.047
YBR125C	1.239	0.741
YBR126C	0.850	2.234
YBR128C	-0.557	0.343
YBR129C	1.726	0.089
YBR130C	0.722	0.551
YBR131W	0.179	0.004
YBR132C	0.229	0.478
YBR133C	1.065	0.109
YBR134W	0.973	1.250
YBR137W	0.061	0.248
YBR138C	0.116	-0.715
YBR139W	-0.880	-0.711
YBR141C	-0.301	-0.069
YBR144C	-0.009	0.668
YBR145W	1.051	-0.114
YBR146W	2.341	1.092
YBR147W	0.383	-0.239
YBR148W	0.597	0.183
YBR149W	0.183	0.357
YBR150C	0.182	0.421
YBR151W	-0.163	-0.026
YBR156C	0.154	0.413
YBR157C	-0.253	0.476
YBR161W	-0.348	-0.392
YBR162C	0.500	0.231
YBR162W-A	0.725	-0.037
YBR165W	-0.022	0.053
YBR166C	1.278	-0.565
YBR168W	0.595	0.382
YBR169C	0.160	-0.136
YBR170C	0.043	-0.025
YBR171W	0.050	0.127
YBR172C	0.438	0.024
YBR173C	0.767	0.985
YBR174C	0.703	0.927
YBR175W	-0.238	-0.021
YBR176W	0.607	0.488
YBR177C	0.258	0.865
YBR179C	0.417	0.782
YBR180W	-0.221	0.043
YBR181C	0.450	1.252
YBR183W	0.542	0.388
YBR184W	0.483	0.346
YBR185C	-0.259	-0.233
YBR186W	1.304	-0.234
YBR187W	0.193	0.224
YBR188C	0.874	0.719
YBR189W	-0.169	-0.468
YBR191W	-0.240	-0.322
YBR194W	-0.144	-0.036
YBR195C	1.246	0.355
YBR197C	-0.010	0.557
YBR199W	0.860	-0.246
YBR200W	-0.823	0.710
YBR201W	0.031	1.171
YBR203W	0.738	1.028
YBR204C	1.284	0.810
YBR205W	-0.319	-0.790
YBR206W	1.512	-0.522
YBR207W	0.774	0.024
YBR208C	0.578	0.274
YBR209W	1.031	0.038
YBR210W	0.089	-0.029
YBR212W	0.127	0.372
YBR213W	0.302	0.215
YBR214W	0.386	0.400
YBR215W	0.132	-0.652
YBR216C	0.469	0.273
YBR217W	-0.490	1.140
YBR218C	1.152	0.921
YBR219C	0.435	0.177
YBR220C	0.388	-0.071
YBR222C	0.030	-0.283
YBR223C	0.481	0.064
YBR224W	-0.119	-0.177
YBR225W	-0.095	1.147
YBR226C	1.166	0.589
YBR227C	1.386	0.111
YBR228W	0.305	0.630
YBR229C	1.170	0.131
YBR230C	0.435	0.233
YBR231C	1.159	0.122
YBR232C	0.586	0.774
YBR233W	0.346	-0.403
YBR235W	-0.040	-0.645
YBR238C	-0.295	-1.199
YBR239C	-0.430	-0.850
YBR240C	1.292	0.120
YBR241C	0.079	-0.218
YBR242W	0.856	0.055
YBR244W	0.894	0.578
YBR245C	1.138	0.766
YBR246W	0.543	1.014
YBR248C	0.420	1.003
YBR250W	0.808	0.005
YBR255W	-0.485	0.973
YBR258C	0.249	0.669
YBR259W	0.037	0.533
YBR260C	0.659	-0.398
YBR261C	0.361	0.921
YBR262C	-0.206	0.295
YBR263W	-0.718	1.167
YBR264C	0.285	-0.414
YBR266C	1.610	-0.244
YBR267W	0.834	0.016
YBR268W	1.130	0.880
YBR269C	-0.749	-0.189
YBR270C	-0.300	-0.007
YBR271W	0.340	0.174
YBR272C	0.120	0.038
YBR274W	0.435	0.179
YBR275C	0.200	0.384
YBR276C	0.374	0.108
YBR277C	0.160	0.487
YBR278W	0.312	0.012
YBR281C	-0.160	-0.061
YBR282W	0.469	0.179
YBR283C	0.391	0.357
YBR284W	0.337	0.323
YBR285W	0.430	-0.283
YBR286W	-0.386	-0.600
YBR287W	-0.510	0.234
YBR288C	-0.391	-0.201
YBR290W	0.672	0.041
YBR291C	-0.069	0.029
YBR292C	-0.369	-0.216
YBR293W	0.802	0.061
YBR294W	0.554	0.583
YBR295W	-0.394	-0.386
YBR296C	0.503	0.177
YBR297W	0.198	-0.121
YBR298C	-0.775	-0.226
YBR299W	-0.265	0.424
YBR300C	0.173	-0.109
YBR301W	-0.679	-0.407
YCL001W	0.837	0.641
YCL001W-A	0.435	0.181
YCL002C	0.327	-0.196
YCL005W	0.001	0.429
YCL006C	0.323	1.077
YCL008C	2.655	1.349
YCL009C	0.415	0.237
YCL010C	-0.062	0.091
YCL011C	0.779	0.492
YCL012W	0.188	-0.684
YCL013W	0.014	-0.104
YCL014W	-0.982	-0.185
YCL016C	-0.595	0.400
YCL022C	0.032	0.669
YCL023C	0.736	0.820
YCL024W	0.121	0.251
YCL025C	0.255	0.040
YCL026C	0.395	0.538
YCL026C-A	0.599	0.110
YCL027W	0.272	-0.142
YCL028W	0.517	-0.131
YCL029C	0.471	-0.235
YCL030C	0.111	0.214
YCL032W	0.435	0.177
YCL033C	0.582	0.400
YCL034W	0.469	0.177
YCL035C	-0.570	-0.119
YCL036W	0.234	1.230
YCL037C	0.673	0.039
YCL038C	0.261	-0.075
YCL039W	-0.033	-0.028
YCL040W	0.073	-0.070
YCL042W	-0.142	-0.413
YCL044C	0.469	0.177
YCL045C	0.179	-0.176
YCL046W	-0.026	0.008
YCL047C	0.352	-0.130
YCL048W	0.058	-0.934
YCL049C	0.143	-0.100
YCL050C	0.386	0.250
YCL051W	0.497	0.257
YCL055W	-0.042	0.345
YCL056C	0.583	0.072
YCL057W	0.246	0.066
YCL058C	0.252	-0.190
YCL060C	0.768	-0.117
YCL061C	-0.731	-0.454
YCL062W	-0.845	-0.765
YCL063W	-0.024	-0.003
YCL064C	0.469	0.233
YCL069W	-0.165	-0.318
YCL074W	0.435	0.231
YCL075W	0.439	-0.122
YCL076W	0.435	0.258
YCR001W	0.020	-0.175
YCR002C	0.256	0.629
YCR003W	1.709	1.093
YCR004C	0.841	0.649
YCR005C	-0.429	0.066
YCR006C	0.333	0.158
YCR007C	0.254	1.282
YCR008W	-0.679	0.796
YCR009C	2.356	0.574
YCR010C	0.589	0.001
YCR011C	0.371	-0.203
YCR014C	0.202	-0.125
YCR015C	0.080	-0.271
YCR016W	1.089	1.438
YCR017C	-0.430	-0.392
YCR019W	0.163	0.227
YCR020C	0.189	-0.122
YCR020C-A	-0.024	0.201
YCR020W-B	0.517	-0.273
YCR021C	-0.329	1.171
YCR022C	0.028	0.190
YCR023C	0.216	0.145
YCR024C-A	0.095	0.053
YCR025C	-0.203	0.371
YCR026C	0.095	0.107
YCR027C	0.250	-0.793
YCR028C	0.879	-0.222
YCR028C-A	1.045	-0.201
YCR030C	0.222	-0.210
YCR031C	-0.041	0.336
YCR032W	0.869	0.032
YCR033W	0.178	-0.606
YCR034W	2.530	0.213
YCR036W	0.523	-0.651
YCR037C	0.855	0.585
YCR043C	-0.124	0.024
YCR045C	-0.324	-0.140
YCR046C	0.583	-0.397
YCR048W	0.015	-0.022
YCR049C	-0.839	-0.002
YCR050C	-0.030	0.023
YCR051W	-0.250	0.097
YCR053W	-0.329	-0.081
YCR059C	-0.097	-0.614
YCR060W	-0.095	-0.311
YCR061W	-0.436	0.146
YCR062W	0.228	-0.087
YCR065W	-0.032	0.332
YCR066W	1.490	0.178
YCR067C	0.568	0.051
YCR068W	-1.401	0.118
YCR069W	-0.417	1.609
YCR071C	1.401	0.206
YCR073C	0.401	0.331
YCR073W-A	-0.036	0.268
YCR075C	-0.264	0.107
YCR076C	0.733	0.441
YCR077C	0.481	0.245
YCR079W	1.572	0.339
YCR084C	-4.304	-3.439
YCR085W	1.780	0.050
YCR086W	0.164	-0.044
YCR087C-A	0.474	0.009
YCR087W	0.936	0.476
YCR088W	-0.177	-0.229
YCR089W	0.067	-0.117
YCR090C	0.836	0.118
YCR092C	-0.062	-0.256
YCR094W	1.581	1.123
YCR095C	0.535	0.195
YCR098C	-0.268	-0.361
YCR099C	0.211	-0.086
YCR100C	0.167	0.106
YCR101C	0.350	0.284
YCR102C	0.469	0.177
YCR102W-A	-0.331	-0.830
YCR105W	0.080	0.128
YCR106W	-0.576	-0.219
YCR107W	0.066	0.342
YDL001W	-0.000	-0.178
YDL002C	-0.452	-0.421
YDL006W	-1.273	-0.437
YDL009C	0.824	0.481
YDL010W	0.631	0.246
YDL011C	1.168	0.318
YDL012C	0.129	-0.044
YDL013W	0.558	-0.033
YDL018C	-0.349	-0.152
YDL019C	0.435	0.205
YDL020C	1.789	-0.493
YDL021W	0.411	-0.008
YDL022W	-0.179	-0.349
YDL023C	0.058	0.580
YDL024C	0.258	0.038
YDL025C	-0.089	-0.215
YDL026W	-1.135	0.473
YDL027C	-0.247	-0.349
YDL032W	-0.138	-0.382
YDL033C	0.227	-0.243
YDL034W	0.537	0.346
YDL035C	0.284	0.179
YDL036C	0.153	-0.026
YDL037C	-0.309	0.389
YDL038C	-0.505	-0.300
YDL039C	0.024	0.390
YDL041W	2.129	0.805
YDL042C	0.969	1.119
YDL044C	-0.146	0.369
YDL045W-A	0.042	0.029
YDL046W	0.202	-0.045
YDL047W	3.051	1.472
YDL048C	-1.278	-0.500
YDL049C	0.426	0.532
YDL050C	1.606	0.520
YDL051W	0.238	0.375
YDL052C	-0.542	-0.308
YDL053C	0.238	0.153
YDL054C	0.022	-0.213
YDL056W	-0.143	0.273
YDL057W	0.208	0.292
YDL059C	0.074	0.466
YDL061C	0.502	0.258
YDL063C	-0.230	0.235
YDL065C	-0.327	-0.159
YDL066W	0.088	0.026
YDL067C	-1.029	-0.379
YDL068W	0.916	0.184
YDL069C	-0.097	0.956
YDL070W	0.435	0.179
YDL071C	-0.135	1.227
YDL073W	0.961	1.651
YDL074C	0.090	-0.123
YDL075W	-0.956	-0.901
YDL076C	-1.026	-0.240
YDL078C	0.757	1.261
YDL079C	-0.058	0.065
YDL080C	0.869	0.201
YDL081C	1.673	-0.079
YDL082W	-0.241	-0.508
YDL083C	0.469	0.356
YDL085W	-0.039	-0.200
YDL086W	-0.144	0.368
YDL088C	-0.025	0.507
YDL089W	1.441	0.689
YDL090C	0.029	-0.201
YDL091C	1.697	-0.068
YDL093W	0.019	0.290
YDL094C	-0.336	-0.153
YDL095W	0.356	0.131
YDL096C	0.119	-0.098
YDL099W	0.467	-0.132
YDL100C	0.156	-0.119
YDL101C	2.134	1.264
YDL104C	-0.345	-0.203
YDL106C	0.878	0.573
YDL107W	0.290	0.070
YDL109C	0.308	0.273
YDL110C	-0.090	-0.057
YDL112W	0.519	0.257
YDL113C	0.155	-0.017
YDL114W	0.719	0.540
YDL115C	1.552	-0.409
YDL116W	-0.602	-0.072
YDL117W	-0.080	-0.483
YDL118W	-0.087	-0.150
YDL119C	1.050	0.235
YDL121C	-0.538	-0.441
YDL122W	-0.452	-0.388
YDL123W	0.503	0.205
YDL124W	0.505	0.828
YDL125C	0.581	0.452
YDL127W	0.503	0.205
YDL128W	-0.050	-0.248
YDL129W	0.573	0.256
YDL130W	0.350	0.175
YDL130W-A	1.113	-0.054
YDL131W	0.817	0.032
YDL133C-A	-0.146	1.474
YDL133W	0.157	-0.023
YDL134C	-0.545	-0.469
YDL134C-A	0.833	0.522
YDL136W	1.379	0.178
YDL137W	0.177	0.218
YDL138W	0.333	0.072
YDL142C	0.739	0.859
YDL144C	0.339	-0.099
YDL149W	-0.938	-0.335
YDL151C	1.701	0.576
YDL154W	-0.378	1.372
YDL155W	0.297	0.990
YDL156W	0.358	-0.915
YDL157C	-0.088	-0.322
YDL159W	-0.275	-0.107
YDL160C	0.469	0.233
YDL161W	0.219	0.403
YDL162C	-0.334	0.301
YDL168W	0.792	0.231
YDL169C	-0.082	-0.329
YDL170W	-0.441	-0.009
YDL171C	0.321	0.122
YDL172C	0.227	-0.345
YDL173W	1.102	0.634
YDL174C	-0.649	0.126
YDL175C	0.296	0.234
YDL176W	0.435	0.205
YDL177C	1.414	0.453
YDL178W	0.168	0.103
YDL179W	0.228	0.126
YDL180W	0.023	0.634
YDL181W	0.118	0.499
YDL182W	-0.787	-0.082
YDL183C	0.339	0.156
YDL184C	-0.014	-0.285
YDL186W	1.366	-0.527
YDL187C	-0.054	0.397
YDL189W	-0.139	-0.154
YDL190C	0.103	-0.221
YDL191W	1.370	0.159
YDL192W	0.435	0.205
YDL194W	0.940	1.048
YDL197C	0.132	0.324
YDL199C	0.350	0.185
YDL200C	0.416	0.004
YDL201W	-0.226	-0.204
YDL203C	0.813	0.035
YDL204W	0.083	-0.256
YDL206W	-0.214	-0.725
YDL210W	0.556	0.182
YDL211C	0.410	0.205
YDL213C	1.303	0.002
YDL214C	0.469	0.177
YDL215C	-0.172	0.243
YDL216C	0.259	0.394
YDL218W	-0.075	0.569
YDL219W	-0.291	0.440
YDL222C	0.234	0.005
YDL223C	0.154	0.320
YDL224C	0.047	0.636
YDL225W	0.240	0.050
YDL226C	1.848	0.173
YDL227C	0.896	0.322
YDL229W	0.721	0.120
YDL230W	-0.059	0.808
YDL231C	0.145	0.391
YDL232W	1.254	1.055
YDL233W	0.398	0.463
YDL234C	1.060	-0.068
YDL236W	-0.970	0.238
YDL237W	0.382	0.447
YDL238C	-0.471	0.534
YDL239C	0.364	0.331
YDL240W	0.435	0.177
YDL241W	0.421	0.340
YDL242W	0.080	0.391
YDL243C	0.118	-0.207
YDR001C	0.699	-0.122
YDR003W	0.883	-0.286
YDR004W	-0.277	0.785
YDR005C	0.333	0.244
YDR006C	0.461	-0.155
YDR007W	0.045	0.548
YDR008C	0.234	0.209
YDR009W	-0.164	-0.002
YDR010C	-0.247	0.144
YDR011W	-0.357	-0.402
YDR014W	-0.058	-0.116
YDR015C	1.114	0.197
YDR017C	0.205	0.097
YDR018C	1.532	0.132
YDR019C	0.396	0.372
YDR020C	-0.675	0.566
YDR022C	0.303	-0.463
YDR025W	1.565	0.545
YDR026C	1.145	0.209
YDR028C	0.148	0.201
YDR029W	0.203	-0.176
YDR030C	0.280	-0.211
YDR031W	0.435	0.233
YDR032C	0.469	0.233
YDR033W	0.381	0.203
YDR034C	0.528	0.292
YDR035W	-0.263	-0.158
YDR036C	0.361	-0.637
YDR042C	0.346	0.238
YDR043C	0.405	-0.293
YDR046C	-0.184	-0.085
YDR048C	1.587	0.352
YDR049W	-0.485	0.086
YDR051C	-0.624	-0.138
YDR055W	-0.208	-0.015
YDR056C	1.159	-0.328
YDR057W	-0.273	0.552
YDR058C	0.469	0.433
YDR059C	-0.084	-1.258
YDR061W	-0.023	0.633
YDR063W	0.017	-0.202
YDR066C	-0.175	-0.194
YDR067C	0.478	0.012
YDR068W	-0.243	-0.400
YDR070C	0.098	-0.487
YDR071C	-0.221	1.035
YDR072C	-0.503	1.271
YDR073W	1.564	0.248
YDR074W	1.560	0.979
YDR075W	-0.930	-0.221
YDR076W	0.555	1.416
YDR077W	0.140	0.058
YDR078C	1.016	0.233
YDR079W	1.391	0.141
YDR080W	0.240	0.075
YDR083W	2.253	0.157
YDR084C	0.242	0.301
YDR085C	0.433	0.086
YDR089W	-0.132	0.214
YDR090C	0.430	0.669
YDR092W	0.817	0.277
YDR093W	0.172	-0.292
YDR094W	0.418	0.578
YDR095C	0.702	-0.165
YDR096W	-0.042	0.121
YDR097C	0.580	-0.063
YDR098C	-0.624	0.154
YDR099W	-0.012	0.635
YDR100W	0.170	-0.023
YDR101C	0.488	0.192
YDR102C	0.400	1.140
YDR103W	0.668	0.243
YDR104C	-0.117	1.303
YDR105C	0.513	0.252
YDR107C	-0.069	-0.649
YDR108W	-0.456	-0.386
YDR109C	1.860	-0.629
YDR110W	1.157	-0.599
YDR111C	1.048	0.164
YDR112W	0.233	1.705
YDR115W	-0.146	0.703
YDR116C	0.469	0.233
YDR117C	1.259	0.225
YDR119W	-0.213	-0.508
YDR120C	-1.757	0.213
YDR121W	1.222	-0.032
YDR122W	0.780	0.634
YDR123C	1.423	-0.174
YDR124W	-0.509	0.509
YDR125C	0.713	0.647
YDR126W	0.637	0.159
YDR127W	0.446	-0.311
YDR128W	0.160	-0.122
YDR129C	0.470	-1.583
YDR130C	0.954	0.967
YDR131C	0.601	0.652
YDR132C	0.143	0.934
YDR133C	0.139	0.047
YDR134C	0.114	0.259
YDR135C	0.099	0.446
YDR136C	0.078	-0.034
YDR137W	0.831	0.165
YDR139C	0.441	-0.073
YDR142C	-0.382	0.474
YDR143C	0.523	0.756
YDR144C	0.385	-0.231
YDR146C	0.177	0.749
YDR148C	0.034	0.017
YDR149C	0.584	0.644
YDR150W	2.073	1.091
YDR151C	1.614	0.180
YDR152W	0.366	0.273
YDR153C	0.040	0.160
YDR154C	0.190	0.227
YDR155C	0.503	0.233
YDR156W	0.212	0.841
YDR157W	0.503	0.233
YDR158W	0.350	-0.228
YDR159W	0.019	-0.580
YDR161W	1.069	0.758
YDR162C	-0.164	-0.364
YDR163W	-0.118	0.594
YDR165W	0.481	0.068
YDR169C	-0.221	-0.328
YDR171W	0.204	-0.363
YDR174W	1.200	0.155
YDR175C	-0.572	0.254
YDR176W	1.125	-0.172
YDR179C	0.139	-0.100
YDR179W-A	1.407	-0.050
YDR181C	0.503	0.286
YDR183W	0.531	0.077
YDR184C	0.683	-0.130
YDR185C	0.163	-0.183
YDR186C	0.208	0.195
YDR191W	1.402	0.403
YDR192C	-0.264	0.320
YDR193W	0.468	0.413
YDR194C	0.095	-0.509
YDR195W	-0.454	0.868
YDR197W	0.181	0.395
YDR198C	1.021	0.088
YDR199W	0.013	-0.566
YDR200C	0.469	0.233
YDR202C	0.425	-0.234
YDR203W	0.359	-0.818
YDR205W	-0.160	-0.364
YDR206W	0.338	0.168
YDR207C	1.764	1.420
YDR209C	0.708	0.958
YDR210W	0.367	0.170
YDR213W	-0.248	0.382
YDR214W	0.089	-0.214
YDR215C	0.788	0.172
YDR216W	1.789	0.104
YDR217C	0.676	0.426
YDR218C	0.145	0.159
YDR219C	0.298	0.193
YDR220C	0.496	-0.082
YDR221W	-0.321	0.239
YDR223W	-0.309	-0.334
YDR225W	0.188	-0.171
YDR226W	-1.156	-0.798
YDR227W	0.239	0.300
YDR229W	-0.831	1.078
YDR230W	0.903	0.434
YDR231C	1.085	-0.275
YDR233C	0.119	0.215
YDR234W	-0.385	-0.273
YDR237W	0.510	-0.157
YDR239C	1.351	0.182
YDR241W	-0.389	-0.859
YDR242W	-0.008	0.332
YDR244W	-0.013	-0.038
YDR245W	0.038	-0.756
YDR247W	-0.133	-0.043
YDR248C	-0.047	0.043
YDR249C	-0.195	0.458
YDR250C	0.274	-0.290
YDR251W	0.864	0.368
YDR252W	-0.234	-0.079
YDR253C	-0.170	0.241
YDR254W	0.555	-0.382
YDR255C	0.687	-0.054
YDR256C	-0.615	0.674
YDR257C	-0.210	0.079
YDR258C	1.093	0.230
YDR259C	-0.502	-0.334
YDR261C	0.177	0.243
YDR262W	0.093	-0.086
YDR263C	0.408	0.192
YDR265W	0.010	-0.130
YDR266C	-0.516	0.233
YDR269C	-0.241	0.079
YDR270W	0.233	0.183
YDR271C	-0.160	0.146
YDR272W	-0.126	0.396
YDR273W	0.616	0.352
YDR274C	0.132	0.389
YDR275W	0.031	-0.093
YDR277C	1.704	0.217
YDR278C	-0.114	-0.351
YDR279W	0.756	0.245
YDR281C	0.110	0.236
YDR282C	-0.038	0.341
YDR284C	0.207	0.271
YDR285W	0.043	0.341
YDR286C	-0.188	0.897
YDR287W	0.085	-0.101
YDR289C	0.358	-0.239
YDR290W	-0.487	0.651
YDR291W	0.172	0.356
YDR293C	-0.265	-0.179
YDR294C	-0.897	-0.195
YDR297W	1.077	0.455
YDR304C	-0.066	0.454
YDR305C	-0.332	0.426
YDR306C	0.072	0.355
YDR307W	-0.180	-0.664
YDR309C	0.088	-0.048
YDR310C	-0.905	-0.297
YDR312W	-0.629	-1.198
YDR313C	0.802	-0.368
YDR314C	-0.556	0.443
YDR315C	0.438	0.127
YDR316W	-0.088	0.035
YDR317W	0.360	0.166
YDR318W	0.458	0.319
YDR319C	1.122	-0.161
YDR320C	-0.170	0.203
YDR321W	-0.162	0.299
YDR322W	0.261	-0.643
YDR323C	1.018	-0.088
YDR326C	0.845	-0.307
YDR329C	0.353	-0.235
YDR330W	-0.182	-0.116
YDR333C	-0.566	-0.015
YDR334W	0.996	0.376
YDR335W	0.153	-1.079
YDR336W	0.558	0.907
YDR337W	0.503	0.205
YDR338C	0.595	0.516
YDR340W	-0.532	0.956
YDR344C	0.211	0.244
YDR346C	0.594	0.141
YDR347W	1.134	0.096
YDR348C	0.246	0.203
YDR349C	-0.265	-0.708
YDR350C	0.507	1.621
YDR351W	0.763	0.228
YDR352W	-0.457	0.977
YDR354W	0.455	1.113
YDR357C	0.379	0.057
YDR358W	0.013	0.185
YDR360W	-0.266	0.198
YDR363W	-0.034	1.020
YDR363W-A	0.435	0.177
YDR364C	-0.400	-0.572
YDR368W	-0.423	0.261
