orf	hap alpha | growth (exponential growth rate) | EtOH (ethanol [8%]) | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | sodium chloride [1 M] | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | EtOH (ethanol [5%]) | Yoshikawa K~Shimizu H, 2009
YAL002W	-0.3566220540610877	-0.27339240719512803	0.2945978906506409
YAL004W	-0.13361133536976763	0.6602907732289605	1.1042874430838978
YAL005C	-0.5466024387743774	-0.28344826205695384	0.4764425853642904
YAL007C	-0.32076133193014417	-1.7234062319226287	0.3775519696795761
YAL008W	-0.2503453703009612	-0.09586729010789766	0.1065774751312084
YAL009W	-2.242160956892116	-1.014276606600681	-0.8520180008129935
YAL011W	-0.5944802661342729	-0.6578381857584525	0.06141682386791518
YAL012W	0.16491804554626627	-0.1262155920071528	-0.15114026320662347
YAL013W	-1.3108823051024194	0.8074121297040388	0.7293335053936664
YAL014C	-0.03509921096542144	-0.1380417848530156	0.30508432145061193
YAL015C	0.26123409929190133	-0.003913976999486876	0.7156600623550381
YAL016W	-3.8205252268771863	-2.8427450229286113	3.546866325623161
YAL017W	0.4599269261668075	0.6634170961365105	0.20507873138935376
YAL018C	-0.4292130329884147	-0.18639745083067197	-0.1917000830878543
YAL019W	0.08091453787679302	-0.06013967652820915	-0.2688752708278678
YAL020C	-1.0864520991400433	-0.8207799504663478	-0.23970914108105945
YAL021C	-2.1912428568581124	-0.9744059569403527	-1.7786280982920146
YAL022C	-1.0137936295401506	-0.5821891567737193	-0.33326643079645685
YAL023C	-0.8515892786195269	0.9578043772515581	1.2276885102338824
YAL024C	-0.09735794534880166	-0.6901250195899878	-0.14737635632564658
YAL027W	-1.2134512504963375	-0.5042022233316857	0.7823493541733795
YAL028W	0.13388023005338	0.22481882110371323	0.18655425044494886
YAL029C	-0.1845375940624588	-0.10105668927264844	-0.15838632723904553
YAL030W	0.22344960900913544	-0.3041169734197943	0.1892413248747607
YAL031C	-0.29275683935632835	-2.8482697922382525	1.2666937761168842
YAL034C	-0.029339564121651698	-2.423432363373275	1.060749957629375
YAL035W	-0.07792238548909149	-0.2574384010569344	-0.20944584311939135
YAL036C	-0.10122324645368189	-0.6133536667805777	-0.2582404374041599
YAL037W	-0.15196888928441538	-0.3419309828435242	-0.20312543179656764
YAL039C	-0.9753519336600582	0.19999221208478282	-1.0424575435309196
YAL040C	0.529169122520473	-1.5574438200388216	1.773134537071906
YAL042C-A	0.004486838721262442	-0.366275683890765	-0.11946856511677202
YAL042W	-0.14615150844702968	-0.35364693693262655	-0.1082694756593473
YAL044C	-1.7487470357028756	-0.11434806377896638	-1.3064922794541232
YAL045C	-0.1629865277033012	-1.4128746201409357	0.5952057221100951
YAL046C	-0.2657700753950818	-0.7711455715745673	-0.18250324570867144
YAL047C	-1.9465892114143033	0.23411223076229384	-1.7774595984051862
YAL048C	-0.5704870340272953	-0.8070118935789456	-0.49055239257843086
YAL049C	-2.4233879676180337	-0.8086160370426304	-2.5277056679179943
YAL051W	-0.35373913038977883	-0.27628090828475366	-0.08389913588748923
YAL053W	0.16764810217216375	0.33807870355110964	-0.11239475054391428
YAL054C	0.10397996587233231	0.5494774394983367	-0.04353886095277619
YAL055W	-0.8296784656155587	0.24323291723515042	-0.827862878084921
YAL056C-A	1.6276889029480954	2.7154192387193663	3.009097300884422
YAL056W	0.005728683293916871	-0.9035694266964319	0.7129438965998338
YAL058W	1.1235720657867792	1.2748777909323206	2.979235065581659
YAL059W	-0.039894237170861685	0.2650725230459166	-0.4655619315524898
YAL060W	0.09951880984634505	-0.16691849548256293	-0.28094521415765106
YAL061W	0.3648909930551003	-1.3430051736647592	1.2450636494921525
YAL062W	-0.6209124795833905	-0.8807923161505046	0.23063613539985542
YAL064C-A	-0.2643440552462577	0.3311250039636136	-0.24810067376079167
YAL065C	0.09334644044309848	-1.955768318288774	0.6273692177488934
YAL066W	-0.7935339065979516	-0.562850885292145	-0.2720401400103462
YAL067C	0.3874590343237089	0.16094146203191959	-0.1270799655096862
YAL068C	0.21513649704427937	0.10517752346437086	0.44138287658947806
YAR002C-A	0.082033170398117	-0.16042615348300074	0.10025673128229251
YAR002W	-1.2248972487701204	0.16800654938236403	0.837528413955101
YAR003W	0.2759389008290025	-0.7255263127723143	0.2648758212135323
YAR014C	0.005267534344265837	-0.6439762321077762	0.002034651837240296
YAR015W	-1.8788447437420988	-0.26211966508167744	-0.00856846585991236
YAR018C	-0.01916454017765518	0.40010735740906667	-0.03107044634212533
YAR020C	0.0024208951818463814	0.12770559098523118	1.1556872033784116
YAR023C	-0.44108992939798775	-1.2393974380070207	-0.4007664655867489
YAR027W	0.0722136565107765	-0.6815020493861862	-0.3565171877477896
YAR028W	-0.07728386885412303	-0.024741069695247236	-0.35132551836281917
YAR029W	0.08032514769872756	-0.25369176694549583	-0.29767883396265493
YAR030C	-0.09494917062663283	-0.3895446739259579	-0.27830957657839767
YAR031W	-0.21053730478842494	-0.8694793031844815	-0.28180748459111715
YAR035W	0.05987308274743946	-0.5984005525196447	-0.4263765749113783
YAR042W	-0.2068927720186162	-0.8025661586619333	-0.12540543634292475
YAR047C	-0.059876760381748176	-0.515223318543987	-0.34791380142958406
YAR050W	-0.2167439363759538	-0.6677688294173137	0.10469202880176544
YBL001C	0.07945646474786437	-0.09219253744007397	0.02082492359611715
YBL002W	0.2964400801875845	0.18551367050538384	-0.024764202286761402
