orf	hap alpha | growth (exponential growth rate) | EtOH (ethanol [8%]) | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | sodium chloride [1 M] | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | EtOH (ethanol [5%]) | Yoshikawa K~Shimizu H, 2009
YAL002W	0.3693946188340807	0.4338565022421525	0.6821748878923767
YAL004W	0.381866237646518	0.4844863249827625	0.7160422891289357
YAL005C	0.35877018358770185	0.4333112143331122	0.6897810218978101
YAL007C	0.37140008861320334	0.35522817899867076	0.6856446610544971
YAL008W	0.3753380205516495	0.4434829637641969	0.6743104380746349
YAL009W	0.2639480170289043	0.39368138023750837	0.6342146538203003
YAL011W	0.35609267097349073	0.4130095789708176	0.6724214747159724
YAL012W	0.3985611510791367	0.44183729939125627	0.6635307138904262
YAL013W	0.31602870813397127	0.49246411483253577	0.7003588516746411
YAL014C	0.387375415282392	0.4411960132890365	0.6826135105204874
YAL015C	0.403947515980711	0.4484692161040709	0.699786923853314
YAL016W	0.17567980446073939	0.2945310113046135	0.818209593644974
YAL017W	0.4150591845681719	0.4846558526961859	0.6784305129329241
YAL018C	0.36533505154639173	0.438573883161512	0.6618341924398626
YAL019W	0.3938633512033763	0.4454203262233375	0.6586061366487966
YAL020C	0.3285797101449275	0.4041739130434783	0.6598260869565217
YAL021C	0.2667955534074432	0.3958434026099565	0.5954567423876269
YAL022C	0.3326430517711172	0.4171117166212534	0.6559128065395096
YAL023C	0.3417141441664603	0.5006192717364379	0.7212038642556354
YAL024C	0.38389366692728694	0.4112587959343237	0.663688149223724
YAL027W	0.3214774281805746	0.42134062927496585	0.702576379388965
YAL028W	0.39682539682539686	0.46087246087246087	0.6776556776556777
YAL029C	0.379018245004344	0.4432015638575152	0.6632276281494353
YAL030W	0.40183446167285436	0.4321904345927059	0.6777680716313607
YAL031C	0.3729662077596996	0.2942314256456935	0.7228353623847992
YAL034C	0.3876975169300226	0.3172686230248307	0.7142212189616253
YAL035W	0.38498057833405264	0.43472162278808807	0.6610919292188174
YAL036C	0.3836775043936731	0.41542179261862916	0.6590509666080845
YAL037W	0.38083961248654463	0.430139935414424	0.6613562970936491
YAL039C	0.3347928595486696	0.4595262153362524	0.6262490176265858
YAL040C	0.41893147502903605	0.36422764227642274	0.7440185830429734
YAL042C-A	0.38958921973484023	0.4288198217778743	0.6648554662029992
YAL042W	0.38116494284158947	0.42950462710941745	0.665323897659227
YAL044C	0.2915416249861065	0.44248082694231416	0.6152050683561188
YAL045C	0.3802234636871508	0.3720670391061452	0.6947486033519552
YAL046C	0.3744754116001291	0.40686538254600235	0.6622188744216075
YAL047C	0.28047752808988763	0.46137640449438205	0.5955056179775282
YAL048C	0.3574344649763644	0.4049204984959175	0.6493339063171465
YAL049C	0.253813104189044	0.40483351235230935	0.5641245972073039
YAL051W	0.3695558430357913	0.4336998706338939	0.6663432514014661
YAL053W	0.3987138263665595	0.46701408138374545	0.665151347156004
