orf	hap a | growth (undefined) | bleomycin [1-7.5 ug/ml] | discrete | discrete | discrete
YAL068C	0.052724019328697636
YAL067C	0.052724019328697636
YAL066W	0.052724019328697636
YAL065C	0.052724019328697636
YAL062W	0.052724019328697636
YAL061W	0.052724019328697636
YAL060W	0.052724019328697636
YAL059W	0.052724019328697636
YAL058W	0.052724019328697636
YAL056W	0.052724019328697636
YAL055W	0.052724019328697636
YAL053W	0.052724019328697636
YAL051W	0.052724019328697636
YAL049C	0.052724019328697636
YAL048C	-3.8620344158270767
YAL046C	0.052724019328697636
YAL045C	0.052724019328697636
YAL044C	0.052724019328697636
YAL042W	0.052724019328697636
YAL042C-A	0.052724019328697636
YAL040C	0.052724019328697636
YAL039C	0.052724019328697636
YAL037W	0.052724019328697636
YAL036C	0.052724019328697636
YAL035W	-5.166953894212335
YAL034C	0.052724019328697636
YAL031C	0.052724019328697636
YAL030W	0.052724019328697636
YAL029C	0.052724019328697636
YAL028W	0.052724019328697636
YAL027W	0.052724019328697636
YAL026C	0.052724019328697636
YAL023C	0.052724019328697636
YAL022C	0.052724019328697636
YAL021C	-5.166953894212335
YAL020C	0.052724019328697636
YAL019W	0.052724019328697636
YAL018C	0.052724019328697636
YAL017W	0.052724019328697636
YAL015C	0.052724019328697636
YAL014C	0.052724019328697636
YAL013W	0.052724019328697636
YAL011W	0.052724019328697636
YAL010C	0.052724019328697636
YAL009W	0.052724019328697636
YAL008W	0.052724019328697636
YAL007C	0.052724019328697636
YAL004W	0.052724019328697636
YAL005C	0.052724019328697636
YAL002W	-5.166953894212335
YAR002W	0.052724019328697636
YAR003W	0.052724019328697636
YAR014C	0.052724019328697636
YAR015W	0.052724019328697636
YAR018C	0.052724019328697636
YAR020C	0.052724019328697636
YAR023C	0.052724019328697636
YAR027W	0.052724019328697636
YAR028W	0.052724019328697636
YAR029W	0.052724019328697636
YAR031W	0.052724019328697636
YAR030C	0.052724019328697636
YAR035W	0.052724019328697636
YAR042W	0.052724019328697636
YAR047C	0.052724019328697636
YJL218W	0.052724019328697636
YJL217W	0.052724019328697636
YJL216C	0.052724019328697636
YJL215C	0.052724019328697636
YJL214W	0.052724019328697636
YJL212C	0.052724019328697636
YJL210W	0.052724019328697636
YJL211C	0.052724019328697636
YJL209W	0.052724019328697636
YJL208C	0.052724019328697636
YJL207C	0.052724019328697636
YJL206C	0.052724019328697636
YJL205C	0.052724019328697636
YJL204C	-5.166953894212335
YJL201W	0.052724019328697636
YJL200C	0.052724019328697636
YJL199C	0.052724019328697636
YJL198W	0.052724019328697636
YJL197W	0.052724019328697636
YJL196C	0.052724019328697636
YJL193W	0.052724019328697636
YJL192C	0.052724019328697636
YJL191W	0.052724019328697636
YJL190C	0.052724019328697636
YJL189W	-3.8620344158270767
YJL188C	0.052724019328697636
YJL187C	0.052724019328697636
YJL186W	0.052724019328697636
YJL185C	0.052724019328697636
YJL183W	0.052724019328697636
YJL181W	0.052724019328697636
YJL182C	0.052724019328697636
YJL180C	-3.8620344158270767
YJL179W	-5.166953894212335
YJL178C	0.052724019328697636
YJL176C	0.052724019328697636
YJL172W	0.052724019328697636
YJL171C	0.052724019328697636
YJL170C	0.052724019328697636
YJL169W	0.052724019328697636
YJL168C	0.052724019328697636
YJL166W	0.052724019328697636
YJL165C	0.052724019328697636
YJL164C	0.052724019328697636
YJL163C	0.052724019328697636
YJL162C	0.052724019328697636
YJL161W	0.052724019328697636
YJL159W	0.052724019328697636
YJL158C	0.052724019328697636
YJL157C	0.052724019328697636
YJL155C	0.052724019328697636
YJL154C	0.052724019328697636
YJL153C	0.052724019328697636
YJL152W	0.052724019328697636
YJL151C	0.052724019328697636
YJL150W	0.052724019328697636
YJL149W	0.052724019328697636
YJL148W	0.052724019328697636
YJL147C	0.052724019328697636
YJL146W	0.052724019328697636
YJL145W	0.052724019328697636
YJL144W	0.052724019328697636
YJL142C	0.052724019328697636
YJL140W	-3.8620344158270767
YJL139C	0.052724019328697636
YJL138C	0.052724019328697636
YJL135W	0.052724019328697636
YJL134W	0.052724019328697636
YJL133W	0.052724019328697636
YJL131C	0.052724019328697636
YJL130C	0.052724019328697636
YJL129C	0.052724019328697636
YJL127C	-5.166953894212335
YJL126W	0.052724019328697636
YJL124C	0.052724019328697636
YJL123C	0.052724019328697636
YJL122W	0.052724019328697636
YJL120W	0.052724019328697636
YJL121C	0.052724019328697636
YJL118W	0.052724019328697636
YJL119C	0.052724019328697636
YJL117W	0.052724019328697636
YJL116C	0.052724019328697636
YJL115W	-3.8620344158270767
YJL112W	0.052724019328697636
YJL110C	0.052724019328697636
YJL108C	0.052724019328697636
YJL107C	0.052724019328697636
YJL106W	0.052724019328697636
YJL102W	0.052724019328697636
YJL100W	0.052724019328697636
YJL099W	0.052724019328697636
YJL098W	0.052724019328697636
YJL096W	0.052724019328697636
YJL095W	0.052724019328697636
YJL093C	0.052724019328697636
YJL092W	0.052724019328697636
YJL089W	0.052724019328697636
YJL088W	0.052724019328697636
YJL084C	0.052724019328697636
YJL083W	0.052724019328697636
YJL082W	0.052724019328697636
YJL080C	0.052724019328697636
YJL079C	0.052724019328697636
YJL077C	0.052724019328697636
YJL075C	-2.5571149374418187
YJL073W	0.052724019328697636
YJL071W	0.052724019328697636
YJL068C	0.052724019328697636
YJL067W	0.052724019328697636
YJL066C	0.052724019328697636
YJL064W	0.052724019328697636
YJL065C	0.052724019328697636
YJL063C	0.052724019328697636
YJL062W	0.052724019328697636
YJL060W	0.052724019328697636
YJL059W	0.052724019328697636
YJL058C	0.052724019328697636
YJL057C	0.052724019328697636
YJL056C	0.052724019328697636
YJL055W	0.052724019328697636
YJL053W	0.052724019328697636
YJL052W	0.052724019328697636
YJL051W	0.052724019328697636
YJL049W	0.052724019328697636
YJL048C	0.052724019328697636
YJL047C	0.052724019328697636
YJL046W	0.052724019328697636
YJL045W	0.052724019328697636
YJL044C	0.052724019328697636
YJL043W	0.052724019328697636
YJL038C	0.052724019328697636
YJL037W	0.052724019328697636
YJL036W	0.052724019328697636
YJL030W	0.052724019328697636
YJR073C	0.052724019328697636
YJR075W	-3.8620344158270767
YJR078W	0.052724019328697636
YJR079W	0.052724019328697636
YJR082C	0.052724019328697636
YJR083C	0.052724019328697636
YJR088C	0.052724019328697636
YJR092W	0.052724019328697636
YJR102C	-5.166953894212335
YJR103W	0.052724019328697636
YJR105W	0.052724019328697636
YJR108W	0.052724019328697636
YJR110W	0.052724019328697636
YJR111C	0.052724019328697636
YJR115W	0.052724019328697636
YJR127C	0.052724019328697636
YJR128W	0.052724019328697636
YJR129C	0.052724019328697636
YJR130C	0.052724019328697636
YJR135C	0.052724019328697636
YJR137C	0.052724019328697636
YJR146W	0.052724019328697636
YJR147W	0.052724019328697636
YJR149W	0.052724019328697636
YJR152W	0.052724019328697636
YJR154W	0.052724019328697636
YLL001W	0.052724019328697636
YLL002W	-3.8620344158270767
YLL005C	0.052724019328697636
YLL006W	0.052724019328697636
YLL009C	0.052724019328697636
YLL010C	0.052724019328697636
YLL012W	0.052724019328697636
YLL013C	0.052724019328697636
YLL014W	0.052724019328697636
YLL015W	0.052724019328697636
YLL019C	0.052724019328697636
YLL020C	0.052724019328697636
YLL021W	0.052724019328697636
YLL023C	0.052724019328697636
YLL024C	0.052724019328697636
YLL025W	0.052724019328697636
YLL026W	0.052724019328697636
YLL027W	-2.5571149374418187
YLL028W	0.052724019328697636
YLL029W	0.052724019328697636
YLL032C	0.052724019328697636
YLL033W	0.052724019328697636
YLL038C	0.052724019328697636
YLL039C	0.052724019328697636
YLL040C	0.052724019328697636
YLL041C	0.052724019328697636
YLL042C	0.052724019328697636
YLL043W	0.052724019328697636
YLL045C	0.052724019328697636
YLL046C	0.052724019328697636
YLL047W	0.052724019328697636
YLL051C	0.052724019328697636
YLL052C	0.052724019328697636
YLL053C	0.052724019328697636
YLL054C	0.052724019328697636
YLL055W	0.052724019328697636
YLL056C	0.052724019328697636
YLL057C	0.052724019328697636
YLL058W	0.052724019328697636
YLL060C	0.052724019328697636
