orf	hap a/hap alpha/hom | multiple small vacuoles (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole fragmented (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole enlarged (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole class E (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002
YAL002W	0.0	30.0	30.0	30.0
YAL016W	30.0	30.0	0.0	0.0
YAL026C	50.0	0.0	0.0	0.0
YAL040C	30.0	0.0	0.0	30.0
YAL058W	70.0	0.0	0.0	0.0
YAR018C	15.0	0.0	0.0	0.0
YBL058W	25.0	0.0	10.0	0.0
YBR025C	60.0	0.0	0.0	25.0
YBR028C	15.0	0.0	0.0	0.0
YBR037C	50.0	0.0	0.0	0.0
YBR050C	20.0	10.0	0.0	0.0
YBR059C	40.0	0.0	0.0	0.0
YBR097W	0.0	30.0	50.0	0.0
YBR131W	20.0	80.0	0.0	0.0
YBR177C	20.0	10.0	0.0	10.0
YBR200W	50.0	0.0	0.0	0.0
YCL008C	25.0	0.0	50.0	0.0
YCL016C	50.0	0.0	0.0	0.0
YCL029C	60.0	0.0	0.0	20.0
YCR002C	40.0	0.0	0.0	0.0
YCR034W	75.0	10.0	0.0	0.0
YDL006W	60.0	0.0	0.0	0.0
YDL025C	15.0	0.0	0.0	10.0
YDL077C	0.0	100.0	0.0	0.0
YDL192W	70.0	0.0	0.0	0.0
YDR017C	80.0	0.0	0.0	0.0
YDR027C	45.0	50.0	0.0	0.0
YDR080W	0.0	100.0	0.0	0.0
YDR099W	20.0	10.0	0.0	20.0
YDR129C	30.0	30.0	0.0	30.0
YDR173C	50.0	10.0	0.0	0.0
YDR200C	70.0	0.0	0.0	0.0
YDR223W	10.0	0.0	0.0	40.0
YDR323C	0.0	50.0	0.0	0.0
YDR389W	30.0	0.0	0.0	0.0
YDR433W	80.0	0.0	0.0	0.0
YDR456W	30.0	30.0	0.0	20.0
YDR477W	50.0	0.0	0.0	0.0
YDR484W	50.0	45.0	0.0	0.0
YDR495C	0.0	30.0	60.0	0.0
YDR507C	50.0	10.0	0.0	0.0
YEL010W	0.0	0.0	60.0	0.0
YEL013W	60.0	15.0	0.0	0.0
YEL044W	40.0	0.0	40.0	0.0
YER019W	30.0	20.0	0.0	0.0
YER044C	30.0	30.0	0.0	0.0
YER083C	30.0	30.0	0.0	30.0
YER122C	30.0	20.0	0.0	0.0
YER123W	30.0	20.0	10.0	0.0
YER155C	0.0	0.0	60.0	0.0
