orf	hap a/hap alpha/hom | multiple small vacuoles (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole fragmented (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole enlarged (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002	hap a/hap alpha/hom | vacuole class E (FM 4-64 dye) | standard | YPD + G418 [20 ug/ml] | Seeley ES~Eitzen G, 2002
YAL002W	0.0	5.1843728062962064	8.607884053008387	13.841745999766564
YAL016W	3.8652931785025024	5.1843728062962064	0.0	0.0
YAL026C	6.442155297504171	0.0	0.0	0.0
YAL040C	3.8652931785025024	0.0	0.0	13.841745999766564
YAL058W	9.01901741650584	0.0	0.0	0.0
YAR018C	1.9326465892512512	0.0	0.0	0.0
YBL058W	3.2210776487520856	0.0	2.869294684336129	0.0
YBR025C	7.730586357005005	0.0	0.0	11.534788333138803
YBR028C	1.9326465892512512	0.0	0.0	0.0
YBR037C	6.442155297504171	0.0	0.0	0.0
YBR050C	2.5768621190016683	1.7281242687654024	0.0	0.0
YBR059C	5.153724238003337	0.0	0.0	0.0
YBR097W	0.0	5.1843728062962064	14.346473421680646	0.0
YBR131W	2.5768621190016683	13.824994150123219	0.0	0.0
YBR177C	2.5768621190016683	1.7281242687654024	0.0	4.613915333255521
YBR200W	6.442155297504171	0.0	0.0	0.0
YCL008C	3.2210776487520856	0.0	14.346473421680646	0.0
YCL016C	6.442155297504171	0.0	0.0	0.0
YCL029C	7.730586357005005	0.0	0.0	9.227830666511043
YCR002C	5.153724238003337	0.0	0.0	0.0
YCR034W	9.663232946256256	1.7281242687654024	0.0	0.0
YDL006W	7.730586357005005	0.0	0.0	0.0
YDL025C	1.9326465892512512	0.0	0.0	4.613915333255521
YDL077C	0.0	17.28124268765402	0.0	0.0
YDL192W	9.01901741650584	0.0	0.0	0.0
YDR017C	10.307448476006673	0.0	0.0	0.0
YDR027C	5.797939767753753	8.64062134382701	0.0	0.0
YDR080W	0.0	17.28124268765402	0.0	0.0
YDR099W	2.5768621190016683	1.7281242687654024	0.0	9.227830666511043
YDR129C	3.8652931785025024	5.1843728062962064	0.0	13.841745999766564
YDR173C	6.442155297504171	1.7281242687654024	0.0	0.0
YDR200C	9.01901741650584	0.0	0.0	0.0
YDR223W	1.2884310595008341	0.0	0.0	18.455661333022086
YDR323C	0.0	8.64062134382701	0.0	0.0
YDR389W	3.8652931785025024	0.0	0.0	0.0
YDR433W	10.307448476006673	0.0	0.0	0.0
YDR456W	3.8652931785025024	5.1843728062962064	0.0	9.227830666511043
YDR477W	6.442155297504171	0.0	0.0	0.0
YDR484W	6.442155297504171	7.776559209444311	0.0	0.0
YDR495C	0.0	5.1843728062962064	17.215768106016775	0.0
YDR507C	6.442155297504171	1.7281242687654024	0.0	0.0
YEL010W	0.0	0.0	17.215768106016775	0.0
YEL013W	7.730586357005005	2.5921864031481032	0.0	0.0
YEL044W	5.153724238003337	0.0	11.477178737344516	0.0
YER019W	3.8652931785025024	3.4562485375308047	0.0	0.0
YER044C	3.8652931785025024	5.1843728062962064	0.0	0.0
YER083C	3.8652931785025024	5.1843728062962064	0.0	13.841745999766564
YER122C	3.8652931785025024	3.4562485375308047	0.0	0.0
YER123W	3.8652931785025024	3.4562485375308047	2.869294684336129	0.0
YER155C	0.0	0.0	17.215768106016775	0.0
YFL033C	3.8652931785025024	0.0	0.0	0.0
YGL024W	9.663232946256256	0.0	0.0	0.0
YGL167C	5.153724238003337	0.0	0.0	0.0
YGL206C	3.2210776487520856	4.320310671913505	0.0	0.0
YGL212W	0.0	17.28124268765402	0.0	0.0
YGL215W	3.2210776487520856	0.0	0.0	0.0
YGL223C	11.595879535507507	0.0	0.0	0.0
YGR167W	6.442155297504171	6.9124970750616095	0.0	4.613915333255521
YGR188C	1.2884310595008341	0.0	17.215768106016775	0.0
YGR262C	6.442155297504171	1.7281242687654024	0.0	0.0
YHL031C	9.01901741650584	0.0	0.0	0.0
YHR026W	0.0	6.9124970750616095	17.215768106016775	0.0
YHR060W	0.0	3.4562485375308047	20.085062790352904	0.0
YJL075C	5.153724238003337	0.0	0.0	0.0
YJL095W	2.5768621190016683	1.7281242687654024	0.0	0.0
YJL154C	6.442155297504171	0.0	0.0	0.0
YJL184W	0.0	6.9124970750616095	5.738589368672258	0.0
YKL041W	6.442155297504171	0.0	0.0	23.069576666277605
YKL048C	10.307448476006673	0.0	0.0	0.0
YKL054C	3.8652931785025024	1.7281242687654024	0.0	4.613915333255521
YKL055C	3.8652931785025024	0.0	0.0	0.0
YKL080W	0.0	1.7281242687654024	17.215768106016775	0.0
YKL139W	6.442155297504171	1.7281242687654024	0.0	0.0
YKR001C	7.730586357005005	0.0	0.0	0.0
YLL002W	7.730586357005005	0.0	0.0	0.0
YLR025W	3.8652931785025024	0.0	8.607884053008387	13.841745999766564
YLR056W	7.730586357005005	0.0	0.0	0.0
YLR091W	0.0	15.553118418888621	0.0	0.0
YLR144C	3.8652931785025024	0.0	0.0	13.841745999766564
YLR148W	0.0	17.28124268765402	0.0	0.0
YLR204W	0.0	0.0	20.085062790352904	0.0
YLR240W	0.0	3.4562485375308047	22.954357474689033	0.0
YLR260W	5.153724238003337	6.9124970750616095	0.0	0.0
YLR261C	7.730586357005005	1.7281242687654024	0.0	0.0
YLR262C	5.153724238003337	6.9124970750616095	0.0	0.0
YLR320W	6.442155297504171	0.0	0.0	0.0
YLR322W	3.2210776487520856	4.320310671913505	0.0	0.0
YLR337C	2.5768621190016683	3.4562485375308047	2.869294684336129	0.0
YLR362W	6.442155297504171	0.0	0.0	0.0
YLR370C	3.8652931785025024	0.0	5.738589368672258	13.841745999766564
YLR371W	2.5768621190016683	0.0	11.477178737344516	0.0
YLR372W	0.0	17.28124268765402	0.0	0.0
YLR373C	3.8652931785025024	0.0	0.0	0.0
YLR396C	0.0	17.28124268765402	0.0	0.0
YLR447C	0.0	4.320310671913505	14.346473421680646	11.534788333138803
YML001W	0.0	17.28124268765402	0.0	0.0
YML008C	7.730586357005005	0.0	0.0	0.0
YML012C-A	4.50950870825292	6.048434940678908	0.0	0.0
YMR015C	10.307448476006673	0.0	0.0	0.0
YMR038C	5.153724238003337	0.0	0.0	0.0
YMR231W	0.0	17.28124268765402	0.0	0.0
YMR238W	3.8652931785025024	0.0	0.0	13.841745999766564
YMR269W	10.95166400575709	0.0	0.0	0.0
YNL015W	6.442155297504171	0.0	0.0	0.0
YNL080C	9.01901741650584	0.0	0.0	0.0
YNL280C	3.8652931785025024	3.4562485375308047	0.0	0.0
YNL281W	9.01901741650584	0.0	0.0	0.0
YNL297C	7.730586357005005	0.0	0.0	0.0
YNL298W	5.797939767753753	0.0	0.0	13.841745999766564
YOL008W	6.442155297504171	0.0	0.0	0.0
YOL018C	6.442155297504171	0.0	0.0	0.0
YOL035C	7.730586357005005	0.0	0.0	0.0
YOL050C	9.01901741650584	0.0	0.0	0.0
YOL063C	6.442155297504171	0.0	0.0	0.0
YOL065C	6.442155297504171	0.0	0.0	0.0
YOL152W	6.442155297504171	0.0	0.0	0.0
YOR036W	0.0	12.960932015740518	0.0	11.534788333138803
YOR061W	2.5768621190016683	4.320310671913505	5.738589368672258	0.0
YOR068C	11.595879535507507	0.0	0.0	0.0
YOR069W	12.884310595008342	0.0	0.0	0.0
YOR070C	6.442155297504171	0.0	0.0	11.534788333138803
