orf	hom | growth (colony size) | Gd(NO3)3 [3.5 mM] | YPD | Cao Y~Wang X, 2022
YAL013W	9.213693213484774
YBL102W	9.213693213484774
YBR059C	-9.029419349215079
YBR103W	-9.029419349215079
YBR126C	-9.029419349215079
YBR127C	-9.029419349215079
YBR164C	-9.029419349215079
YBR187W	-9.029419349215079
YBR287W	-9.029419349215079
YDL106C	-9.029419349215079
YDL128W	-9.029419349215079
YDL185W	-9.029419349215079
YDL192W	-9.029419349215079
YDR004W	9.213693213484774
YDR028C	9.213693213484774
YDR108W	-9.029419349215079
YDR389W	-9.029419349215079
YDR445C	-9.029419349215079
YEL042W	-9.029419349215079
YFR034C	-9.029419349215079
YGL076C	9.213693213484774
YGR105W	9.213693213484774
YHR064C	-9.029419349215079
YHR067W	9.213693213484774
YJL004C	-9.029419349215079
YJL117W	-9.029419349215079
YJL129C	-9.029419349215079
YJR055W	-9.029419349215079
YKL009W	-9.029419349215079
YKL118W	-9.029419349215079
YKL190W	-9.029419349215079
YLR261C	-9.029419349215079
YLR262C	-9.029419349215079
YLR441C	-9.029419349215079
YML014W	-9.029419349215079
YML097C	-9.029419349215079
YML122C	-9.029419349215079
YML123C	-9.029419349215079
YMR183C	-9.029419349215079
YMR214W	9.213693213484774
YNL027W	-9.029419349215079
YNL041C	-9.029419349215079
YNL051W	-9.029419349215079
YNL119W	-9.029419349215079
YNL120C	-9.029419349215079
YNL307C	-9.029419349215079
YNL323W	-9.029419349215079
YOL055C	9.213693213484774
YOR038C	-9.029419349215079
YOR094W	9.213693213484774
YPL051W	-9.029419349215079
YPL057C	-9.029419349215079
YPR067W	-9.029419349215079
YPR079W	-9.029419349215079
YPR139C	-9.029419349215079
