orf	hap a | growth (spot assay) | gadolinium [3..8-4.0 mM] | YPD | Grosjean N~Blaudez D, 2023
YAL016W	1.699874943514452
YAR020C	1.699874943514452
YBL006C	-1.8061171274841052
YBL007C	3.4528709790137304
YBL012C	-1.8061171274841052
YBL016W	3.4528709790137304
YBL024W	3.4528709790137304
YBL025W	3.4528709790137304
YBL047C	3.4528709790137304
YBL071W-A	-3.5591131629833836
YBL072C	-1.8061171274841052
YBR021W	-1.8061171274841052
YBR026C	-1.8061171274841052
YBR032W	1.699874943514452
YBR036C	-5.312109198482663
YBR041W	3.4528709790137304
YBR058C-A	1.699874943514452
YBR085C-A	3.4528709790137304
YBR085W	3.4528709790137304
YBR094W	1.699874943514452
YBR101C	5.205867014513009
YBR105C	3.4528709790137304
YBR126C	1.699874943514452
YBR127C	-3.5591131629833836
YBR132C	1.699874943514452
YBR133C	3.4528709790137304
YBR181C	-1.8061171274841052
YBR187W	-3.5591131629833836
YBR196C-A	-1.8061171274841052
YBR277C	1.699874943514452
YBR278W	3.4528709790137304
YBR281C	3.4528709790137304
YBR282W	3.4528709790137304
YBR284W	3.4528709790137304
YCL005W-A	-3.5591131629833836
YCL007C	-3.5591131629833836
YCL008C	3.4528709790137304
YCL058C	-1.8061171274841052
YCR023C	3.4528709790137304
YCR024C-A	1.699874943514452
YCR025C	1.699874943514452
YCR026C	1.699874943514452
YCR028C	-3.5591131629833836
YCR034W	5.205867014513009
YCR045C	3.4528709790137304
YCR047C	-1.8061171274841052
YCR050C	3.4528709790137304
YCR063W	-1.8061171274841052
YCR068W	1.699874943514452
YCR081W	3.4528709790137304
YCR087C-A	1.699874943514452
YCR087W	1.699874943514452
YCR094W	-3.5591131629833836
YDL006W	-1.8061171274841052
YDL025C	1.699874943514452
YDL040C	3.4528709790137304
YDL042C	1.699874943514452
YDL047W	-1.8061171274841052
YDL073W	3.4528709790137304
YDL083C	-1.8061171274841052
YDL106C	-3.5591131629833836
YDL119C	3.4528709790137304
YDL146W	3.4528709790137304
YDL151C	-1.8061171274841052
YDL160C	-5.312109198482663
YDL161W	3.4528709790137304
YDL176W	3.4528709790137304
YDL181W	3.4528709790137304
YDL185W	-5.312109198482663
YDL192W	-3.5591131629833836
YDL232W	1.699874943514452
YDR027C	-5.312109198482663
YDR067C	3.4528709790137304
YDR069C	3.4528709790137304
YDR094W	3.4528709790137304
YDR103W	3.4528709790137304
YDR105C	3.4528709790137304
YDR108W	-3.5591131629833836
YDR121W	1.699874943514452
YDR127W	3.4528709790137304
YDR129C	3.4528709790137304
YDR136C	-3.5591131629833836
YDR137W	-3.5591131629833836
YDR140W	-3.5591131629833836
YDR153C	1.699874943514452
YDR173C	-1.8061171274841052
YDR207C	-3.5591131629833836
YDR264C	1.699874943514452
YDR294C	3.4528709790137304
YDR297W	3.4528709790137304
YDR300C	3.4528709790137304
YDR346C	3.4528709790137304
YDR360W	3.4528709790137304
YDR364C	-1.8061171274841052
YDR372C	-3.5591131629833836
YDR378C	3.4528709790137304
YDR382W	-3.5591131629833836
YDR389W	-3.5591131629833836
YDR414C	-3.5591131629833836
YDR417C	-3.5591131629833836
YDR418W	-3.5591131629833836
YDR431W	1.699874943514452
YDR432W	1.699874943514452
YDR435C	3.4528709790137304
YDR442W	3.4528709790137304
YDR444W	-5.312109198482663
YDR445C	-5.312109198482663
YDR450W	-3.5591131629833836
YDR456W	-1.8061171274841052
YDR463W	3.4528709790137304
YDR475C	-1.8061171274841052
YDR484W	-3.5591131629833836
YEL027W	-3.5591131629833836
YEL045C	3.4528709790137304
YEL046C	3.4528709790137304
YEL048C	1.699874943514452
YEL053C	3.4528709790137304
YEL062W	1.699874943514452
YER019W	3.4528709790137304
YER026C	-1.8061171274841052
YER037W	1.699874943514452
YER070W	3.4528709790137304
YER074W	-3.5591131629833836
YER087W	5.205867014513009
YER090W	3.4528709790137304
YER155C	3.4528709790137304
YER178W	-1.8061171274841052
YFL001W	3.4528709790137304
YFR001W	-3.5591131629833836
YFR010W	5.205867014513009
YFR034C	-3.5591131629833836
YFR035C	1.699874943514452
YGL005C	-3.5591131629833836
YGL007C-A	3.4528709790137304
YGL007W	3.4528709790137304
YGL012W	-3.5591131629833836
YGL019W	1.699874943514452
YGL020C	5.205867014513009
YGL054C	-3.5591131629833836
YGL058W	-3.5591131629833836
YGL070C	-3.5591131629833836
YGL105W	-5.312109198482663
YGL149W	1.699874943514452
YGL167C	3.4528709790137304
YGL188C-A	-1.8061171274841052
YGL211W	-1.8061171274841052
YGL220W	-1.8061171274841052
YGL223C	-3.5591131629833836
YGL253W	1.699874943514452
YGR004W	-3.5591131629833836
YGR020C	-5.312109198482663
YGR025W	5.205867014513009
YGR026W	5.205867014513009
YGR028W	3.4528709790137304
YGR036C	-3.5591131629833836
YGR037C	1.699874943514452
YGR056W	-3.5591131629833836
YGR057C	-1.8061171274841052
YGR058W	3.4528709790137304
YGR063C	1.699874943514452
YGR064W	3.4528709790137304
YGR072W	3.4528709790137304
YGR092W	3.4528709790137304
YGR096W	1.699874943514452
YGR097W	1.699874943514452
YGR102C	1.699874943514452
YGR105W	-3.5591131629833836
YGR118W	-1.8061171274841052
YGR157W	-1.8061171274841052
YGR160W	-3.5591131629833836
YGR163W	-1.8061171274841052
YGR192C	1.699874943514452
YGR200C	-1.8061171274841052
