orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YEL051W	-5.0	
YEL054C	4.0	
YER007C-A	4.0	
YER012W		3.0
YER016W	-4.0	
YER027C	-2.0	
YER037W	-2.0	
YER044C	1.0	
YER050C	4.0	
YER061C	2.0	
YER068W	3.0	
YER075C	4.0	
YER077C	-2.0	
YER078C	-2.0	
YER081W	1.0	
YER083C	-5.0	
YER084W	3.0	
YER087W	4.0	
YER094C		3.0
YER095W	-3.0	
YER103W	2.0	
YER107C		1.0
YER116C	-3.0	
YER120W	1.0	
YER122C	3.0	
YER129W	-2.0	
YER139C	-2.0	
YER141W	3.0	
YER151C	-4.0	
YER155C	-4.0	
YER158C	2.0	
YER169W	2.0	
YER184C	2.0	
YER186C	2.0	
YFL007W	3.5	
YFL009W		2.0
YFL012W-A	-2.0	
YFL016C	2.0	
YFL023W	-2.0	
YFL027C	2.0	
YFL036W	2.0	
YFL039C		1.0
YFL042C	-2.0	
YFL055W	-2.0	
YFL060C		-3.0
YFR004W		2.0
YFR008W	3.0	
YFR011C	-4.0	
YFR012W	3.0	
YFR031C-A	2.0	
YFR050C		2.0
YFR052W		4.0
YFR056C	1.0	
YGL011C		2.0
YGL012W	-5.0	
YGL020C	4.0	
YGL025C	-4.0	
YGL031C	2.0	
YGL035C	2.0	
YGL042C	-2.0	
YGL047W		4.0
YGL049C	-2.0	
YGL054C	2.0	
YGL058W	-2.0	
YGL064C	5.0	
YGL076C	2.0	
YGL077C	-2.0	
YGL079W	2.0	
YGL081W	-3.0	
YGL093W		-3.0
YGL097W		5.0
YGL103W		1.0
YGL107C	5.0	
YGL124C	2.0	
YGL126W	2.0	
YGL129C	5.0	
YGL133W	2.0	
YGL136C	4.0	
YGL141W	2.0	
YGL143C	4.0	
YGL144C	2.0	
YGL146C	2.0	
YGL147C	2.0	
YGL167C	-4.0	
YGL168W	-5.0	
YGL203C	2.0	
YGL206C	-4.0	
YGL217C	-2.0	
YGL218W	3.0	
YGL219C	5.0	
YGL220W	2.0	
YGL223C	-4.0	
YGL228W	2.0	
YGL235W	-3.0	
YGL240W	4.0	
YGL241W	-3.0	
YGL244W	-2.0	
YGL252C	-4.0	
YGL253W	2.0	
YGR006W	-4.0	
YGR011W	-3.0	
YGR012W	-2.0	
YGR017W	-2.0	
YGR018C	-4.0	
YGR022C	-4.0	
YGR033C	-3.0	
YGR037C	-3.0	
YGR046W		-2.0
YGR050C	-2.0	
YGR055W	-4.0	
YGR058W	-4.0	
YGR076C	2.0	
YGR078C	-5.0	
YGR092W	-2.0	
YGR101W	3.0	
YGR102C	1.0	
YGR104C	-4.0	
YGR105W	-4.0	
YGR109C	-2.0	
YGR110W	-2.0	
YGR116W		-2.0
YGR122C-A	-2.0	
YGR131W	1.0	
YGR134W	2.0	
YGR135W	4.0	
YGR139W	2.0	
YGR148C	4.0	
YGR150C	4.0	
YGR162W	2.0	
YGR163W	-4.0	
YGR165W	4.0	
YGR167W	-5.0	
YGR168C	2.0	
YGR171C	3.0	
YGR180C	2.0	
YGR181W	1.0	
YGR182C	2.0	
YGR215W	4.0	
YGR219W	2.0	
YGR220C	4.0	
YGR228W	2.0	
YGR240C	-2.0	
YGR252W	-3.0	
YGR253C		1.0
YGR256W	3.0	
YGR257C	-2.0	
YGR262C	-5.0	
YGR265W		-3.0
YGR271C-A	-4.0	
YGR281W	4.0	
YGR285C	-4.0	
YGR289C	3.0	
YHL011C	1.0	
YHL020C	-5.0	
YHL025W	-5.0	
YHL033C	2.0	
YHR010W	-2.0	
YHR011W	3.0	
YHR012W	2.0	
YHR021C	-4.0	
YHR031C	2.0	
YHR034C	1.0	
YHR038W	2.0	
YHR039C-A	4.0	
YHR060W	-4.0	
YHR091C	5.0	
YHR120W	3.0	
YHR130C	2.0	
YHR146W	-2.0	
YHR147C	5.0	
YHR151C	2.0	
YHR155W	3.0	
YHR162W	4.0	
YHR168W	5.0	
YHR183W	-2.0	
YIL001W	2.0	
YIL002C	2.0	
YIL005W	-2.0	
YIL006W	-2.0	
YIL007C	-2.0	
YIL009W	-3.0	
YIL017C	-2.0	
YIL024C	2.0	
YIL026C		-2.0
YIL028W	-3.0	
YIL033C		-2.0
YIL036W	-3.0	
YIL038C	-2.0	
YIL040W	-4.0	
YIL042C	-2.0	
YIL050W	-2.0	
YIL052C	2.0	
YIL053W	-3.0	
YIL058W	-2.0	
YIL064W	-2.0	
YIL066C	1.0	
YIL071C	2.0	
YIL075C		1.0
YIL084C	-4.0	
YIL090W	2.0	
YIL092W	-3.0	
YIL094C	2.0	
YIL105C	-2.0	
YIL112W	2.0	
YIL128W	4.0	
YIL130W	2.0	
YIL133C	1.0	
YIL135C	1.0	
YIL147C		-4.0
YIL153W	2.0	
YIL163C	2.0	
YIR004W	2.0	
YIR006C		-3.0
YIR028W	2.0	
YJL014W		-2.0
YJL016W	2.0	
YJL019W		-2.0
YJL023C	5.0	
YJL027C	5.0	
YJL028W	-4.0	
YJL031C		-2.0
YJL056C	2.0	
YJL064W	1.0	
YJL068C	2.0	
YJL090C		-2.0
YJL093C	2.0	
YJL105W	-2.0	
YJL111W		-2.0
YJL112W	1.0	
YJL115W	2.0	
YJL128C	-3.0	
YJL129C	-2.0	
YJL131C	2.0	
YJL134W	-3.0	
YJL136C	-3.0	
YJL138C	-3.0	
YJL139C	3.0	
YJL140W	-4.0	
YJL143W		3.0
YJL147C	3.0	
YJL154C	2.0	
YJL161W	2.0	
YJL163C	-2.0	
YJL164C	-3.0	
YJL175W	-5.0	
YJL176C	-5.0	
YJL180C	-4.0	
YJL182C	-2.0	
YJL183W	-4.0	
YJL184W	-5.0	
YJL190C	2.0	
YJL191W	2.0	
YJL195C		-4.0
YJL206C	2.0	
YJR002W		-2.0
YJR007W		-2.0
YJR010W	1.0	
YJR011C	3.0	
YJR014W	4.0	
YJR018W	-3.0	
YJR019C	2.0	
YJR032W	-2.0	
YJR045C		1.0
YJR052W	1.0	
YJR055W	2.0	
YJR074W	3.0	
YJR077C	4.0	
YJR080C	3.0	
YJR087W	3.0	
YJR090C	-2.0	
YJR094W-A	2.0	
YJR100C	2.0	
YJR104C	5.0	
YJR113C	5.0	
YJR117W	2.0	
YJR118C	2.0	
YJR122W	-4.0	
YJR128W	-3.0	
YJR139C	-2.0	
YJR144W	5.0	
YKL001C	-2.0	
YKL010C	2.0	
YKL016C	1.0	
YKL023W	-3.0	
YKL027W	-3.0	
YKL032C	-2.0	
YKL033W-A	2.0	
YKL047W	2.0	
YKL075C	2.0	
YKL097C	-2.0	
YKL101W	-3.0	
YKL110C	-3.0	
YKL113C	-3.0	
YKL115C	-2.0	
YKL119C	2.0	
YKL121W	-3.0	
YKL131W	-2.0	
YKL134C	2.0	
YKL139W	-2.0	
YKL143W	-3.0	
YKL145W		2.0
YKL155C	-2.0	
YKL165C		-2.0
YKL168C	2.0	
YKL169C	3.0	
YKL170W	2.0	
YKL181W		-2.0
YKL194C	-2.0	
YKL195W		-4.0
YKL201C	-2.0	
YKL204W	2.0	
YKL206C	1.0	
YKL212W	-5.0	
YKL213C	3.0	
YKL216W	-2.0	
YKL220C	-2.0	
YKR001C	2.0	
YKR006C	2.0	
YKR007W	-5.0	
YKR016W	-2.0	
YKR020W	1.0	
YKR021W	-2.0	
YKR023W	-3.0	
YKR034W	-2.0	
YKR035C	2.0	
YKR053C	-2.0	
YKR055W	2.0	
YKR059W	-3.0	
YKR064W	-2.0	
YKR071C		-4.0
YKR072C	3.0	
YKR073C	2.0	
YKR077W	2.0	
YKR090W	2.0	
YKR091W	2.0	
YKR092C	2.0	
YKR097W	1.0	
YLL001W	2.0	
YLL010C	-2.0	
YLL027W	-4.0	
YLL033W	4.0	
YLL039C	1.0	
YLL040C	2.0	
YLL049W	-2.0	
YLL051C	2.0	
YLR006C	-3.0	
YLR021W	3.0	
YLR023C	-4.0	
YLR028C	-2.0	
YLR055C	-4.0	
YLR058C	-2.0	
YLR061W	1.0	
YLR067C	2.0	
YLR069C	3.0	
YLR072W	-2.0	
YLR074C	4.0	
YLR079W	-2.0	
YLR080W	-4.0	
YLR085C	-3.0	
YLR090W	3.0	
YLR091W	4.0	
YLR103C		1.0
YLR114C	3.0	
YLR124W	1.0	
YLR148W	2.0	
YLR168C	2.0	
YLR176C	-3.0	
YLR185W	2.0	
YLR191W	-3.0	
YLR193C	-2.0	
YLR204W	1.0	
YLR211C	-2.0	
YLR224W	-2.0	
YLR233C	-4.0	
YLR234W	-2.0	
YLR240W	-4.0	
YLR244C	-2.0	
YLR260W	2.0	
YLR268W	-4.0	
YLR270W	4.0	
YLR287C-A	-2.0	
YLR288C	3.0	
YLR294C	3.0	
YLR305C		1.0
YLR309C	2.0	
YLR310C		1.0
YLR312W-A	3.0	
YLR320W	-5.0	
YLR322W	-4.0	
YLR324W	-2.0	
YLR328W	-2.0	
YLR330W	-2.0	
YLR333C	2.0	
YLR337C	-3.0	
YLR346C	-3.0	
YLR353W	2.0	
YLR357W	1.0	
YLR358C	2.0	
YLR360W	2.0	
YLR368W	2.0	
YLR371W	2.0	
YLR372W	-5.0	
YLR373C	4.0	
YLR374C	3.0	
YLR382C	5.0	
YLR393W	4.0	
YLR396C	4.0	
YLR403W	3.0	
