Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YAL002W_ko,0.545986529,0.290045513,0.00848475,0.012549936,.,-0.093662065,-0.03364201,0.198408282,-0.178483265,0.196356668,-0.126379131,0.019100328,-0.073813916,0.002150078
YAL004W_ko,-0.079297402,-0.012240218,0.010951739,-0.003286007,0.020056295,-0.000126129,0.022848463,-0.062073782,0.03754004,0.069987898,-0.014120921,0.022081031,-0.010223871,0.013943734
YAL005C_ko,-0.00136773,-0.032841709,-0.017060669,0.062770076,.,0.003855585,-0.009790849,-0.04247889,-0.025766563,0.131197679,0.002887171,-0.005219195,-0.026600618,0.026027976
YAL007C_ko,-0.047512585,-0.051129328,-0.050840774,-0.023209204,0.075747891,0.031322847,-0.047471382,0.019991428,0.164040384,0.049381984,-0.050780171,-0.018885315,-0.028619813,0.014212799
YAL008W_ko,-0.091424441,-0.06239245,-0.04457487,-0.047500257,.,-0.024377512,-0.043962164,-0.025486997,0.061288322,0.066685438,-0.044217533,-0.034978551,-0.042513568,-0.033390881
YAL009W_ko,-0.067660792,-0.019774165,-0.034707958,-0.031252383,.,-0.036326673,-0.024628424,-0.00051808,0.278421885,0.089537806,-0.054381096,-0.02334502,0.00209179,-0.025421452
YAL010C_ko,0.241261376,0.043858123,0.082450997,0.037856892,-0.039826488,-0.030788357,0.027097486,-0.072781885,.,-0.076499354,0.105814213,-0.023574334,0.011546331,0.025955377
YAL011W_ko,0.057102776,-0.018818323,-0.027346993,-0.044913083,.,0.094521424,0.09323457,-0.0922842,-0.048484287,0.210761519,-0.058448521,0.053424786,0.018594847,0.013053787
YAL013W_ko,0.094643241,0.1161592,0.104990296,-0.005363732,1.883809582,0.011572847,-0.004830054,0.117592568,-0.112145842,-0.077449694,0.035967811,0.013181606,0.006684123,-0.001896419
YAL014C_ko,-0.077496394,0.0045541,-0.029964378,-0.049272713,.,-0.093944884,-0.01816496,-0.044638628,0.060499927,0.065553533,-0.035752347,-0.0267661,-0.042113732,-0.038766897
YAL015C_ko,-0.027199652,-0.023993443,-0.023407908,-0.019183056,-0.043690394,-0.012763753,-0.022756765,0.004181311,0.16665952,0.032535302,0.094439878,-0.017260325,0.009031156,-0.017705771
YAL016C-B_ko,-0.126518772,-0.017297549,-0.030020317,0.03223896,-0.046826646,0.077601845,-0.004139555,0.00306879,0.701182257,0.014475659,0.019644965,-0.030212012,0.061931271,-0.003734885
YAL016W_ko,0.180044935,0.214370796,-0.343280049,0.047601818,-0.120791906,-0.113340555,-0.285998657,0.582823584,-0.516645257,0.425733438,-0.200502426,-0.137223207,-0.104682065,-0.275322799
YAL017W_ko,-0.041696483,-0.06410072,-0.044916202,-0.073094998,.,-0.02100061,-0.038713687,-0.066340559,0.132989189,0.114148669,-0.02249115,-0.041726977,-0.047120554,-0.011992014
YAL018C_ko,-0.06414119,-0.056888952,-0.029406559,-0.007041296,-0.0344982,-0.026981625,-0.016092451,-0.024405603,0.12128902,0.108894855,-0.026690655,-0.010300043,-0.009654351,0.091004815
YAL019W_ko,-0.10229932,-0.044276302,-0.036616027,-0.024001366,.,-0.009503181,-0.052351679,0.010714171,-0.070904344,0.137271224,-0.04310193,-0.038877265,-0.022537146,-0.053404854
YAL020C_ko,-0.110083685,-0.052949489,-0.011713792,-0.012069603,.,0.020296089,-0.085232554,0.043058022,-0.050706947,-0.204506175,-0.042858385,-0.072786033,-0.022355033,-0.042830745
YAL021C_ko,0.21362287,0.196044553,0.046101732,0.009878466,0.01374234,0.176406947,0.03005786,0.093999172,-0.001128693,-0.387565803,-0.060480463,-0.010557104,0.122554547,0.013848592
YAL022C_ko,-0.102655749,-0.068673411,-0.012265173,-0.017337162,.,-0.100429286,-0.016644897,-0.094652836,-0.075083156,0.105768243,-0.012515853,-0.015418072,-0.009937788,-0.040113861
YAL023C_ko,-0.022355528,-0.059440521,-0.046624021,0.008485258,-0.043503113,0.194455007,-0.092068792,0.066182518,-0.14298747,0.212863656,-0.138584995,-0.015044439,0.011219247,-0.009917582
YAL024C_ko,.,0.001459218,0.042025006,0.006856408,0.003146727,0.021761223,0.012213278,-0.031436906,-0.014781964,0.042826543,0.028287607,0.034561652,0.016385202,-0.011437742
YAL026C_ko,0.19118,-0.067254566,-0.217385825,0.00223519,.,-0.14138715,-0.147847796,0.047381642,-0.06391936,-0.014898637,-0.191290108,-0.10980398,-0.006928612,0.009673097
YAL027W_ko,0.066736175,0.113361365,0.006938081,0.021880242,-0.028475643,-0.058595909,-0.027381855,0.096106901,0.195995268,-0.109230083,0.04591605,-0.009567884,0.028675843,0.049308922
YAL028W_ko,0.048281876,0.060970727,-0.007840817,-0.003032548,-0.062674953,-0.082471354,-0.043062208,0.06698568,0.192515498,-0.122715625,0.030054832,-0.029046978,0.023994181,-0.032615153
