Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YAL002W_ko,3.8308573,5.070358265,-0.366593067,0.944211798,.,-1.316855203,-1.364853163,2.651413799,-1.076025231,0.898461628,-1.543329899,0.520450649,-1.384236504,-1.328093271
YAL004W_ko,-2.775903437,-0.140798164,-0.368113628,0.113508864,0.712653178,0.020978608,0.222650068,-1.076982442,-0.728345556,0.826595503,0.141773109,0.354467875,0.198244496,-2.390591328
YAL005C_ko,-2.993982757,-0.303185645,0.541467603,-2.61075634,.,0.269502937,-0.121618785,-0.972808374,-0.253448169,1.090749579,-0.118061856,-0.383627408,-0.179771455,-2.046217609
YAL007C_ko,-0.132333804,-1.052278883,-2.097765158,0.416182058,-1.780370999,0.231864814,-1.906169164,0.170110613,1.23704245,0.502682731,-0.32386493,-1.226731299,-0.201579563,-2.908211489
YAL008W_ko,-0.017024317,-1.254945097,-1.94502382,-0.277979758,.,-0.536392744,-1.858456275,-0.538499771,0.795708931,0.683533959,-0.228740687,-1.703418269,-0.401188306,0.079012358
YAL009W_ko,-0.639690717,-0.379082345,-1.440618951,-0.018240528,.,-0.731007578,-1.313235003,-0.066101544,2.376361859,0.736488377,-0.407964365,-1.420906398,0.494548689,-1.171161282
YAL010C_ko,-2.628156003,1.090599455,1.225536025,0.87695171,-0.238756679,0.175912649,0.608517586,-0.578792417,.,-0.587211855,1.606213744,-0.945233122,0.261071828,0.580011517
YAL011W_ko,-0.207774163,-0.179736675,-0.760155527,-0.137443562,.,1.032836498,1.753509725,-1.430608963,-0.226047128,1.54498398,-0.452696415,0.971138655,0.04967421,0.928813856
YAL013W_ko,1.968780657,2.647212253,2.313733644,0.628603532,-3.159323024,1.379539229,1.571398092,1.592991185,-1.121990309,-0.74053252,0.837378306,1.488695365,-0.109823604,0.939642758
YAL014C_ko,-0.251438964,0.673129668,-0.135093997,-0.836792747,.,-0.737665216,-0.071820957,-0.382612842,0.172209404,0.497428922,-0.229601017,-0.405212399,-1.231523235,-0.692583196
YAL015C_ko,-1.188617323,-0.202255796,-0.598791859,0.213810383,-0.210277939,-0.487643583,-0.908487414,-0.033040213,1.534195211,0.406393819,-0.511650788,-0.630587941,0.187999385,-1.268393442
YAL016C-B_ko,-1.264695695,0.004033368,-0.965752143,-0.168136017,-1.437168772,1.205660685,-0.293884727,-0.019031859,-3.781906873,0.25777336,-0.20089899,-1.177336882,-0.298127148,1.158355555
YAL016W_ko,2.821762217,4.767992724,-8.351056353,-1.044220802,-1.163052772,-1.543811397,-6.3375218,7.703531285,-4.12823192,0.523658619,-2.602070187,-4.240273061,-2.109654305,-5.688898473
YAL017W_ko,-2.443073323,-0.573500037,0.328346589,-1.551991773,.,0.483194764,-0.804081634,-0.832627569,0.641763593,1.03306969,-0.362922869,-0.621222419,-1.207665113,-1.589851474
YAL018C_ko,-0.457464263,-0.953020417,-0.818185263,-0.507716856,0.306860415,-0.448643645,-0.654869624,-0.689791453,0.318800627,1.170727193,0.089187425,-0.829547979,0.200730548,-4.257444504
YAL019W_ko,-0.047532141,-0.631767678,-0.870577725,0.411450708,.,0.104332099,-1.462601547,0.120614102,-0.338288441,0.905091546,-0.265686355,-1.435420815,-0.601247028,-0.492419684
YAL020C_ko,-0.210585129,-1.036143063,-0.645196207,0.298687747,.,-0.373952885,-2.761171855,0.50749316,-0.105395515,-1.670898662,-0.18513087,-2.66401077,0.119193151,0.099701632
YAL021C_ko,2.285226449,3.453546847,1.604299505,0.860813513,0.927605256,2.680278917,2.005918151,1.368111451,-0.16126934,-3.539368921,-0.612414953,-0.122908433,-0.430300077,-0.014673083
YAL022C_ko,-0.401663959,-1.27680481,-0.778182632,0.461011764,.,-1.371836954,-0.846796691,-1.5841567,-0.228266657,1.16240864,0.276957739,-0.814171013,0.38304802,-0.200144163
YAL023C_ko,-0.212278922,-0.76249789,-0.216629445,0.926682454,-0.102656169,3.434702627,-0.904174446,1.005273594,-0.865851428,0.402312261,-1.759895607,0.06355783,0.223786258,0.739191755
YAL024C_ko,.,0.078572193,0.935599615,0.592371343,0.768384664,-0.14629604,0.125668425,-0.647809517,-0.082687633,0.455319511,0.951163882,0.533365338,0.927838812,0.692769464
YAL026C_ko,0.149895831,-1.104661196,-5.350586913,0.822172046,.,-2.065060278,-3.835763253,0.580513442,-0.331558157,-0.032377624,-2.605237972,-3.692804405,0.496365043,-1.537146168
YAL027W_ko,1.488783632,2.626191217,-0.761189107,1.223001316,0.142471332,-1.297252732,-1.151125685,1.385725943,1.334880874,-0.816024881,1.279217825,-1.003152741,1.375150323,-3.579738069
YAL028W_ko,0.149048298,1.475415776,-0.206421907,0.633671618,0.060193733,-1.177192538,-1.536787933,1.001681608,1.72571468,-1.221873153,0.952728028,-1.415756574,0.876581527,-0.43466548
YAL029C_ko,-0.704659663,-0.724032505,-1.398454958,0.398038256,0.124951983,-1.077557879,-1.100865974,-0.449156333,0.981807182,0.137070714,-0.241394952,-1.077041156,0.405422953,0.152765009
YAL030W_ko,-0.126488428,-1.0297757,-0.1130991,-1.184559757,.,-0.489026647,-1.178280309,-1.166621846,-0.372272594,0.898260202,-0.451135758,-1.19075168,-1.052147798,-1.887732561
YAL031C_ko,-0.27962582,-0.876410529,-1.552826397,0.514942462,.,-1.123526683,-0.822482503,-1.383269219,-0.571055285,1.293216046,0.10019392,-1.13227476,0.165630169,-0.036308149
YAL034C_ko,-0.608043037,-0.916997151,-1.557606765,-1.146498916,.,-0.995502415,-0.883265255,-1.09612394,-0.46858355,1.252647484,-0.124412078,-0.99011755,0.164087231,-0.084073314
YAL035W_ko,2.107998042,-1.786751869,0.495057389,0.450720649,-0.280246916,2.095416751,-0.327964072,-0.917006898,-1.826239275,0.395080463,-1.629245394,-0.828332323,-0.164215138,1.033241179
YAL036C_ko,-4.083702655,-0.53443182,-1.045928525,0.136542287,.,-1.095806134,-0.717864281,-1.370785022,-0.54292928,1.114812435,0.41818467,-1.006877946,0.095149678,-2.704371365
YAL037C-A_ko,-1.262042017,0.24053104,-0.13347919,0.329312704,-0.782931447,2.381065948,-0.430800454,0.315967293,0.686905922,-2.033026038,0.217423709,-0.312438211,0.938826827,1.630332912
YAL037W_ko,-0.901478087,-0.265282779,-0.116735883,0.294272186,.,-1.11223957,0.048015025,-1.825331879,-0.471063425,1.676397405,0.404038408,-0.268353923,0.700970242,0.280170451
YAL039C_ko,-0.270162015,0.521672302,0.871782444,-0.281912998,.,-4.094264721,0.187375605,-4.657858794,-2.063756341,0.412469174,0.547439445,-0.823500083,0.443090209,0.330661657
YAL040C_ko,0.046628419,-0.879051199,-1.727745736,0.270771362,.,-1.024439203,-1.210043891,-0.826873536,0.104918066,1.074931662,-0.162671471,-1.539309217,-0.268153799,0.267292199
YAL042W_ko,0.10048878,1.402808397,-1.277485736,0.672195611,.,0.075580664,-1.33954389,0.94124481,-1.387293859,0.765844707,-0.498951745,-1.127151011,0.447367766,-2.045175417
YAL043C-A_ko,-0.278849248,-0.125062448,-0.981151251,0.291450051,.,-0.006764825,-1.664868503,0.98419539,-0.475047024,1.515618546,-0.409445299,-1.05471353,0.242651719,0.463067177
YAL044C_ko,-0.172771496,-0.297627641,-0.187436928,-2.114732573,.,-1.763075636,1.275542889,-1.714784429,-0.794775447,4.276205499,-0.285312252,-1.022484833,0.078781872,0.564350633
YAL044W-A_ko,0.267085343,-0.831938426,-1.217614477,1.460604198,-0.9764555,1.46895877,-0.376855773,0.862325,0.658143508,-0.662123819,0.48354818,0.06568176,0.926427059,1.293990375
YAL045C_ko,0.188476698,-0.819479722,-0.683138727,0.336066945,.,-1.451081052,-0.992669539,-1.803165398,-0.505406441,0.994354254,-0.578810651,-1.421724596,0.251418323,-0.458303753
YAL046C_ko,-0.250083862,-0.975646198,-1.083882092,0.491356011,.,-0.929896307,-0.852480347,-1.862577775,-1.08220955,1.785719432,0.063295088,-1.431177515,0.479238914,-0.863471955
YAL047C_ko,-0.033016209,-3.176001155,-0.565343446,0.758284614,-0.975175938,-1.77689103,-1.207586722,-0.464750846,-0.132076522,-0.617912541,-0.956156361,-0.389507999,-0.203102676,2.061861991
YAL048C_ko,0.162729089,-0.786132961,-0.041128041,0.165080007,.,-4.827209912,-0.647989485,-5.009815593,-1.993515987,0.243511701,0.634895121,-2.030808936,0.522490898,0.48359831
YAL049C_ko,0.308491679,-0.401949263,-0.433750878,0.829877657,-1.798113207,0.902182742,-0.468779656,-0.206552703,-0.895169018,-0.296950536,0.210822937,-0.818361858,0.104374031,0.111626781
YAL051W_ko,0.268619552,0.163928892,-0.441025046,0.853092976,.,-1.554136597,0.011887977,-1.40326888,-0.505191467,1.186965796,0.982936558,-0.394835962,0.80099006,-1.031857876
YAL053W_ko,-0.386994473,-1.338043884,-1.8751994,-2.676191403,-2.793923733,-1.031665781,-1.571991427,-0.64522284,-0.089879031,0.673888345,-0.751404479,-1.477050904,0.480224666,-2.093121617
YAL054C_ko,0.125718069,-0.456194892,-0.793175256,0.160493855,0.493893708,0.603241262,-1.231217324,-0.107976216,-0.109578941,-0.191670121,-0.015552017,-0.720864886,0.14815452,2.194269604
YAL055W_ko,-3.926043013,-1.012385485,-1.003321328,0.651155709,-0.250069431,-1.103353789,-1.198067837,-2.011463703,-0.775579632,0.494366331,-0.42395908,-1.619131174,0.936656871,-3.041914201
YAL056W_ko,-0.603553539,0.485689594,0.079365526,0.82658777,.,-2.087462627,0.832996367,-2.605933703,-0.935840535,0.977969412,2.001658277,0.178583164,1.799008195,0.913769379
YAL058C-A_ko,-0.053829864,0.294545623,0.423796743,-0.34122472,0.342674273,0.32508129,1.094393723,0.735771282,0.07679198,-0.788027154,-0.642430936,1.52174836,-0.100607718,-0.112292135
YAL058W_ko,-2.671710992,-1.730790688,-2.553392331,-0.157038097,.,-0.606734988,-1.859007317,0.201141352,-0.406426991,1.114635416,-1.385090483,-1.614352156,0.611639911,-2.594571805
YAL059W_ko,0.284582643,-2.763370928,-2.702394313,0.563788179,.,-0.120350501,-1.494099194,-0.901080173,-0.484347467,-0.139455091,-1.38806085,-1.323468987,0.124106521,0.436972026
YAL060W_ko,0.357290078,0.066362451,-0.64698167,0.609569422,-1.625132232,-0.258319439,-0.380950643,-0.617645843,-0.446810287,0.649697912,0.291149044,-0.195675727,0.610908428,1.068265461
YAL061W_ko,-0.360080335,-0.031613083,-0.628214911,0.412553693,.,-0.103113783,-0.194931319,-0.693905064,-0.807152512,0.878395445,0.186016026,-0.069906493,0.33444511,-0.293261423
YAL062W_ko,0.960364073,0.327367938,-0.667608776,0.381030756,-0.196132959,-1.266170285,-0.276277263,-1.594055411,-0.584204434,2.651183554,0.397967118,-0.63422357,0.668011665,1.307333541
YAL064C-A_ko,-0.940839465,-0.139681278,-0.305740598,-1.3375182,-2.015058212,0.655839533,0.169828646,0.460260876,0.372494009,-0.04139084,-1.120191965,0.192397745,-0.374357963,-0.842713129
YAL065C_ko,0.372288836,-0.516474195,-0.816846405,0.794595565,.,0.080756638,-0.706997086,-0.802181333,-0.071668119,0.783396745,0.013345178,-0.626941066,0.771350381,0.334615369
YAL066W_ko,0.484196332,-0.207877893,-0.871697887,1.372247052,.,0.393254616,-0.264134931,-0.135130072,-0.266757227,0.833291643,0.484539066,0.025165661,0.954208746,1.683985216
YAL067C_ko,-1.039524654,0.31486361,-0.502875475,0.517249217,.,-0.715287913,-0.491822696,-0.473677885,0.115949978,0.271090008,0.599538421,-0.655425034,0.104578177,-2.084622951
YAL067W-A_ko,-4.909615057,-0.213034529,0.622049139,0.416895749,-0.009639175,2.991633273,0.960511595,0.893391965,0.832049787,-1.355293718,-0.010553122,-0.206856574,1.060098921,-0.419262054
YAL068C_ko,0.698066215,-0.200222833,-0.546134374,0.475185004,.,-0.440887632,-0.472686113,-0.76335071,-0.303489437,1.593186943,0.758666189,-0.454929069,0.574565869,0.745887119
