orf	hap alpha | H2S production | standard | BiGGY agar | Linderholm AL~Bisson LF, 2008
YAR015W	7.028480965875898
YBR058C	7.028480965875898
YBR081C	7.028480965875898
YBR119W	7.028480965875898
YBR213W	-6.887911346558382
YBR239C	7.028480965875898
YBR240C	7.028480965875898
YBR289W	7.028480965875898
YCL007C	7.028480965875898
YCR034W	7.028480965875898
YDL185W	7.028480965875898
YDR008C	7.028480965875898
YDR019C	7.028480965875898
YDR048C	7.028480965875898
YDR095C	7.028480965875898
YDR158W	7.028480965875898
YDR207C	7.028480965875898
YDR294C	7.028480965875898
YDR354W	7.028480965875898
YDR408C	7.028480965875898
YDR502C	7.028480965875898
YEL027W	7.028480965875898
YEL062W	7.028480965875898
YER038W-A	7.028480965875898
YER042W	7.028480965875898
YER060W-A	7.028480965875898
YFR030W	-6.887911346558382
YGL026C	7.028480965875898
YGL066W	7.028480965875898
YGL195W	7.028480965875898
YGL234W	7.028480965875898
YGL246C	7.028480965875898
YGR055W	7.028480965875898
YGR061C	7.028480965875898
YGR105W	7.028480965875898
YGR138C	7.028480965875898
YGR155W	7.028480965875898
YHL023C	7.028480965875898
YHL031C	7.028480965875898
YHR029C	7.028480965875898
YHR039C-A	7.028480965875898
YHR060W	7.028480965875898
YIL006W	7.028480965875898
YIL039W	7.028480965875898
YIL074C	7.028480965875898
YIR023W	7.028480965875898
YJL101C	7.028480965875898
YJL148W	7.028480965875898
YJR137C	-6.887911346558382
YJR139C	7.028480965875898
YKL080W	7.028480965875898
YKL118W	7.028480965875898
YKL119C	7.028480965875898
YKL211C	7.028480965875898
YKL213C	7.028480965875898
YKR069W	-6.887911346558382
YLR023C	7.028480965875898
YLR180W	7.028480965875898
YLR303W	7.028480965875898
YLR358C	7.028480965875898
YLR372W	7.028480965875898
YLR384C	7.028480965875898
YMR161W	7.028480965875898
YMR189W	7.028480965875898
YMR244W	7.028480965875898
YMR280C	7.028480965875898
YMR300C	7.028480965875898
YNL025C	7.028480965875898
YNL031C	7.028480965875898
YNL032W	7.028480965875898
YNL148C	7.028480965875898
YNL315C	7.028480965875898
YNR023W	7.028480965875898
YOL071W	7.028480965875898
YOL075C	7.028480965875898
YOL082W	7.028480965875898
YOL138C	7.028480965875898
YOR014W	7.028480965875898
YOR128C	7.028480965875898
YOR331C	7.028480965875898
YOR332W	7.028480965875898
YPL038W	7.028480965875898
YPL176C	7.028480965875898
YPL177C	7.028480965875898
YPL178W	7.028480965875898
YPL188W	7.028480965875898
YPL213W	7.028480965875898
YPL232W	7.028480965875898
YPL253C	7.028480965875898
YPL270W	7.028480965875898
YPR036W	7.028480965875898
YPR115W	7.028480965875898
