orf	hap alpha | growth (spot assay) | hygromycin B [25 ug/ml] | Banuelos MG~Gharakhanian E, 2010
YAL016W	-15.093044755780724
YAL026C	-15.093044755780724
YBR279W	-15.093044755780724
YCR084C	-7.546522377890362
YDL129W	-7.546522377890362
YDL160C	-15.093044755780724
YDL192W	-15.093044755780724
YDR027C	-15.093044755780724
YDR065W	-7.546522377890362
YDR079W	-7.546522377890362
YDR388W	-7.546522377890362
YDR484W	-15.093044755780724
YEL059W	-15.093044755780724
YER019C-A	-15.093044755780724
YER040W	-7.546522377890362
YER083C	-7.546522377890362
YGL095C	-15.093044755780724
YGL206C	-15.093044755780724
YGR043C	-7.546522377890362
YGR262C	-15.093044755780724
YKL212W	-15.093044755780724
YKR024C	-7.546522377890362
YLR226W	-7.546522377890362
YLR240W	-15.093044755780724
YLR312W-A	-7.546522377890362
YLR382C	-7.546522377890362
YML008C	-7.546522377890362
YML009W-B	-7.546522377890362
YML115C	-7.546522377890362
YOR028C	-7.546522377890362
YOR200W	-7.546522377890362
YOR221C	-7.546522377890362
YOR303W	-7.546522377890362
YPL040C	-7.546522377890362
YPL097W	-7.546522377890362
YPL118W	-7.546522377890362
YPL129W	-7.546522377890362
YPR022C	-7.546522377890362
