ORF	number of lipid droplets;YPD
YDR174W	-1.000
YNL052W	-1.000
YGR155W	-1.000
YOR245C	-1.000
YER014W	-1.000
YGR036C	-1.000
YDR382W	-1.000
YIL018W	-1.000
YLL045C	-1.000
YDR418W	-1.000
YMR242C	-1.000
YLR404W	-1.000
YER014C-A	-1.000
YKL143W	-1.000
YHR004C	-1.000
YAL009W	-1.000
YDR293C	-1.000
YBL042C	1.000
YLR447C	1.000
YEL051W	1.000
YPR036W	1.000
YGR105W	1.000
YLR370C	1.000
YHR129C	1.000
YNL225C	1.000
YDR150W	1.000
YAL047C	2.000
YLR233C	2.000
YLR318W	2.000
YIL009C-A	1.000
YJR043C	1.000
YMR224C	1.000
YKL113C	2.000
YNL250W	1.000
YLL002W	1.000
YDR369C	1.000
YGR204W	1.000
YMR300C	1.000
YGL234W	1.000
YGR061C	1.000
YDR408C	1.000
YNL220W	1.000
YLR372W	1.000
YMR202W	1.000
YLR056W	1.000
YGL012W	1.000
YMR015C	1.000
YML008C	1.000
YIL125W	2.000
YOR241W	1.000
YMR205C	1.000
YGR180C	1.000
YMR313C	1.000
YKR089C	1.000
YEL036C	1.000
YDR414C	1.000
YDR245W	1.000
YJL183W	1.000
YGL038C	1.000
YDL232W	1.000
YGL167C	2.000
YOR369C	1.000
YJL136C	1.000
YOR182C	1.000
YKL054C	1.000
YIL030C	1.000
YOL013C	1.000
YBL058W	1.000
YLR244C	1.000
YOL076W	1.000
YNR032W	1.000
YIL040W	1.000
YDL160C	1.000
YGL173C	1.000
YDR195W	1.000
YDR138W	1.000
YML062C	1.000
YPR072W	1.000
YBR279W	1.000
YGL025C	1.000
YPL031C	1.000
YNL139C	1.000
YBL093C	1.000
YJL140W	1.000
YDR477W	1.000
YOR290C	1.000
YHL025W	1.000
YDR073W	1.000
YHR041C	2.000
YGR104C	2.000
YPL042C	1.000
YJL176C	1.000
YPL129W	1.000
YGL206C	1.000
YKL212W	1.000
YDR320C	1.000
YOR106W	1.000
YKR001C	1.000
YMR231W	1.000
YBR097W	1.000
YPL045W	1.000
YLR148W	1.000
YDR323C	1.000
YNR006W	1.000
YPL084W	1.000
YLR396C	1.000
YLR240W	1.000
YDL077C	1.000
YDR080W	1.000
YGL212W	1.000
YGL095C	1.000
YJL029C	2.000
YDR027C	1.000
YDR200C	1.000
YPR139C	1.000
YDL073W	1.000
YDR532C	1.000
YGL168W	1.000
YKL037W	1.000
YJL075C	1.000
YLL030C	2.000
YLR358C	1.000
YOR041C	1.000
YPL183W-A	1.000
YPR087W	2.000
YDR173C	1.000
YMR014W	1.000
YKL048C	1.000
YJL184W	2.000
YPR159W	1.000
YLR320W	1.000
YDR523C	1.000
YAL016W	1.000
