orf	hap a | growth (colony size + intensity) | acetaminophen [100 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [50 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [60 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [70 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [80 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [90 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [100 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [50 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [60 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [70 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [80 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017
YAL002W	18.400855	1.0793103448275863	1.096551724137931	1.2206896551724138	1.206896551724138	1.2482758620689656	0.49310344827586206	0.8333333333333334	0.8283333333333334	0.5566666666666666	0.30833333333333335
YAL004W	31.4431										
YAL005C	18.005315										
YAL007C	19.8289	1.1941391941391941	1.3626373626373627	1.2564102564102564	1.26007326007326	1.3516483516483517	0.7509157509157509	0.8892455858747994	0.9534510433386838	0.7688603531300161	0.42375601926163725
YAL008W	21.5574										
YAL009W	14.51416										
YAL010C	4.5049	1.0450819672131149	1.0717213114754098	1.0225409836065573	1.028688524590164	0.9754098360655737	0.4487704918032787	0.829465186680121	0.7245206861755802	0.4934409687184662	0.19979818365287588
YAL011W	18.0169	0.7263779527559056	0.38779527559055116	0.13582677165354332	0.28346456692913385	0.15354330708661418	0.03937007874015748	0.4041025641025641	0.07384615384615385	0.11487179487179487	0.07076923076923076
YAL012W	30.2725										
YAL013W		1.0565217391304347	1.1130434782608696	1.0913043478260869	1.1217391304347826	1.0913043478260869	0.5434782608695652	0.8067226890756303	0.8256302521008403	0.4684873949579832	0.1953781512605042
YAL014C	16.639955										
YAL015C	14.37865										
YAL016W	16.8776										
YAL017W	24.74995										
YAL018C	26.215700000000002										
YAL019W	33.74995	1.1266666666666667	1.2666666666666666	1.4033333333333333	1.3166666666666667	1.5133333333333334	0.8666666666666667	1.0363636363636364	1.287603305785124	1.1024793388429752	1.0429752066115703
YAL020C	31.4634	1.055084745762712	1.173728813559322	1.0423728813559323	1.2118644067796611	1.2118644067796611	0.5932203389830508	0.9697674418604652	1.0186046511627906	0.9697674418604652	0.5302325581395348
YAL021C	16.4123	0.9457364341085271	0.9593023255813954	0.874031007751938	0.9496124031007752	0.9612403100775194	0.4069767441860465	0.8197381671701913	0.6888217522658611	0.5659617321248741	0.2628398791540785
YAL022C	13.933165										
YAL023C	16.9304	1.0090415913200723	1.0361663652802893	1.054249547920434	1.0669077757685352	1.0415913200723328	0.4629294755877034	0.9493827160493827	0.7666666666666667	0.5444444444444444	0.16790123456790124
YAL024C	41.27365	1.1448763250883391	1.226148409893993	1.2579505300353357	1.3639575971731448	1.342756183745583	0.6289752650176679	0.8175895765472313	0.8843648208469055	0.5944625407166124	0.2671009771986971
YAL026C	19.7748	0.9464285714285714	0.8785714285714286	0.8035714285714286	1.0392857142857144	0.8464285714285714	0.35	0.7698961937716263	0.6903114186851211	0.5294117647058824	0.25432525951557095
YAL027W	18.728604999999998	1.091710758377425	1.146384479717813	1.1040564373897708	1.1516754850088184	1.1534391534391535	0.5396825396825397	0.7308347529812607	0.6379897785349233	0.4045996592844974	0.15417376490630325
YAL028W	18.4107										
YAL029C	22.55775										
YAL030W	18.10426										
YAL031C	28.8081										
YAL034C	21.8801										
YAL035W	29.9337										
YAL036C	27.9244										
YAL037W	15.600025										
YAL039C	18.8475										
YAL040C	17.053815	1.116564417177914	1.112474437627812	1.0020449897750512	1.0674846625766872	1.0204498977505112	0.5010224948875256	0.8183632734530938	0.7395209580838323	0.6986027944111777	0.19860279441117765
YAL042W	14.4059	1.1363636363636365	1.3096590909090908	1.3039772727272727	1.3238636363636365	1.4119318181818181	0.6022727272727273	0.7536231884057971	0.8538647342995169	0.3973429951690821	0.23429951690821257
YAL044C	74.649										
YAL045C	25.90885										
YAL046C	18.473029999999998										
YAL047C	52.960750000000004										
YAL048C	10.390485	1.101338432122371	1.135755258126195	1.0783938814531548	1.1434034416826004	1.152963671128107	0.5736137667304015	0.8782791185729276	0.8142707240293809	0.6810073452256034	0.2570828961175236
YAL049C	28.21835										
YAL051W	66.931	1.1610486891385767	1.0823970037453183	0.9850187265917603	1.1797752808988764	1.097378277153558	0.7602996254681648	0.902818270165209	0.8377065111758989	0.6647230320699709	0.2730806608357629
YAL053W	38.29385	1.0769230769230769	1.1369606003752346	0.9906191369606003	1.0938086303939962	1.0900562851782365	0.3771106941838649	0.8156638013371538	0.8490926456542502	0.5749761222540593	0.2492836676217765
YAL054C											
YAL055W	14.579500000000001	1.1195652173913044	1.068840579710145	1.1280193236714975	1.1292270531400965	1.0181159420289856	0.47946859903381644	0.817243920412675	0.8459837877671333	0.6617538688282977	0.24907885040530583
YAL056W	17.1603										
YAL058W	26.14915										
YAL059W	29.53725										
YAL060W	28.35365										
YAL061W	24.120649999999998										
YAL062W	27.113799999999998										
YAL064C-A	23.560200000000002										
YAL065C	26.1191										
YAL066W	23.625349999999997										
YAL067C	14.56045										
YAL068C	65.09563										
YAR002C-A	15.87695	1.1789772727272727	1.2784090909090908	1.3125	1.2727272727272727	1.3323863636363635	0.7954545454545454	0.7454100367197063	0.7503059975520195	0.42105263157894735	0.22888616891064872
YAR002W	18.257165	1.2307692307692308	1.264957264957265	1.3376068376068375	1.435897435897436	1.5512820512820513	0.7948717948717948	0.8872651356993737	0.8977035490605428	0.8183716075156576	0.44467640918580376
YAR003W	12.265525	1.120331950207469	1.107883817427386	1.053941908713693	1.1908713692946058	1.2406639004149378	0.4979253112033195	0.8280961182994455	0.7726432532347505	0.5083179297597042	0.2680221811460259
YAR014C	12.784524999999999	1.0548245614035088	0.9758771929824561	0.8070175438596491	0.9824561403508771	0.8969298245614035	0.43201754385964913	0.7196601941747572	0.5497572815533981	0.5145631067961165	0.17111650485436894
YAR015W	10.44248										
YAR018C	16.3489	1.047008547008547	1.1153846153846154	1.1217948717948718	1.1217948717948718	1.2585470085470085	0.6645299145299145	0.9428879310344828	0.8987068965517241	0.5969827586206896	0.3125
YAR020C	14.339115										
YAR023C	13.074185										
YAR027W	11.75542										
YAR028W	21.799750000000003										
YAR029W	30.02689										
YAR030C	19.86613										
YAR031W	31.6827										
YAR035W	19.740725										
YAR042W	18.54328										
YAR047C	13.774094999999999										
YAR050W	22.57615										
YBL001C	22.17205										
YBL002W	25.644										
YBL003C	104.37										
YBL005W	24.5727										
YBL006C	9.906785										
YBL007C	10.215	1.5517241379310345	1.5134099616858236	1.0881226053639848	1.5478927203065134	2.0421455938697317	0.5708812260536399	0.5785123966942148	0.29201101928374656	0.4214876033057851	0.2809917355371901
YBL008W	15.4236	1.1048387096774193	1.1411290322580645	1.0685483870967742	1.1169354838709677	1.1290322580645162	0.5161290322580645	0.8275229357798165	0.7981651376146789	0.6678899082568808	0.3431192660550459
YBL009W	16.220399999999998										
YBL010C	101.0207										
YBL011W	18.3108	1.0	1.1575091575091576	1.1282051282051282	1.2857142857142858	1.3186813186813187	0.7692307692307693	0.8553459119496856	0.7861635220125787	0.8474842767295597	0.7122641509433962
YBL012C	22.4275										
YBL013W	31.5179										
YBL015W	17.278100000000002										
YBL016W	49.6355	1.0148698884758365	1.1635687732342008	1.171003717472119	1.1858736059479553	1.2973977695167287	0.8104089219330854	1.0687022900763359	1.1583969465648856	1.1774809160305344	0.7786259541984732
YBL017C	45.0225	1.114864864864865	1.195945945945946	1.222972972972973	1.125	1.2668918918918919	0.7905405405405406	0.7960122699386503	0.8266871165644172	0.4217791411042945	0.34355828220858897
YBL019W	25.03255										
YBL021C	12.569894999999999	0.9253112033195021	0.995850622406639	0.9875518672199171	0.941908713692946	0.9585062240663901	0.5601659751037344	0.8125	0.9833333333333333	0.8645833333333334	0.49583333333333335
YBL022C											
YBL024W	10.874955	0.9902676399026764	1.0437956204379562	0.948905109489051	0.9440389294403893	0.9124087591240876	0.5328467153284672	0.6395864106351551	0.5435745937961596	0.2555391432791728	0.15066469719350073
YBL025W		0.5865384615384616	0.625	0.49038461538461536	0.7115384615384616	0.6153846153846154	0.5769230769230769	0.7915194346289752	0.6784452296819788	0.8869257950530035	0.5265017667844523
YBL027W	13.790799999999999	1.028391167192429	0.8769716088328076	0.7981072555205048	1.0378548895899053	0.8643533123028391	0.36908517350157727	0.7303206997084548	0.4446064139941691	0.4737609329446064	0.31486880466472306
YBL028C	39.55055										
YBL029W	21.25295										
YBL031W	19.90765										
YBL032W	21.38055	1.1721611721611722	1.4175824175824177	1.4102564102564104	1.2967032967032968	1.4322344322344323	0.8461538461538461	1.008849557522124	1.3008849557522124	0.9274336283185841	0.6973451327433628
YBL033C	8.43043										
YBL036C	25.928449999999998	1.209205020920502	1.209205020920502	1.1841004184100419	1.284518828451883	1.2677824267782427	0.5439330543933054	0.9092558983666061	0.8620689655172413	0.7096188747731398	0.4246823956442831
YBL037W	54.26085										
YBL038W	35.47455										
YBL039C	21.74145										
YBL042C	38.209649999999996										
