orf	hap a | growth (colony size + intensity) | acetaminophen [100 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [50 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [60 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [70 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [80 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [90 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [100 mM], temperature [30 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [50 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [60 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [70 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017	hap a | growth (colony size) | acetaminophen [80 mM], temperature [37 C] | YPD | Huseinovic A~Vos JC, 2017
YAL002W	-0.0039575648341407445	-0.4537648878891301	-0.47525547910998905	0.18838663417541532	-0.11319612819380005	-0.03328319344356652	-0.8488902677112532	-0.16601356872178466	-0.17267559488386855	-0.5707585897563667	0.01975868226195232
YAL004W	0.5561826020211132										
YAL005C	-0.020945272211047663										
YAL007C	0.05737431204570713	0.34921050723396097	0.868550594717717	0.33213992672475895	0.10954611716809275	0.31022839672415775	0.26191230848636365	0.17198627142113623	0.3220759391482131	0.08719049867576643	0.44981471565389225
YAL008W	0.1316101723910163										
YAL009W	-0.17088388663038678										
YAL010C	-0.6007629884642827	-0.6931171517511365	-0.6006559311588718	-0.6090390239821444	-0.8596593324359211	-0.940029687375974	-1.0399019523979527	-0.18939722598841893	-0.5831807618265278	-0.7668025485745711	-0.38463492181837083
YAL011W	-0.02044771800676625	-2.921751188147627	-4.054671586622147	-4.177514444365101	-3.981192476930268	-3.671130383740444	-2.803832644883542	-2.7607924372144783	-3.156135645766016	-1.940632208600505	-0.8653868573982098
YAL012W	0.5059075090964855										
YAL013W		-0.6131210930037347	-0.39196755916264736	-0.3323090790545959	-0.46989656746671704	-0.5549068351688357	-0.6318468177610879	-0.3268798028005011	-0.18336435817990468	-0.8441761094117338	-0.40110362190829935
YAL014C	-0.07958494492210998										
YAL015C	-0.1767037891096421										
YAL016W	-0.06937853414295983										
YAL017W	0.2687242574042743										
YAL018C	0.3316754939105729										
YAL019W	0.6552575192543074	-0.12261151076939693	0.3838720345286484	0.9234142985793244	0.34659994860371296	0.8475151099574142	0.7606333318695866	1.061341918655828	1.6434104204026838	1.121643083915184	2.7569776912002015
YAL020C	0.557054449267286	-0.6231697029493523	-0.08548983031481461	-0.5292279205801581	-0.09238718337467343	-0.15428015266978776	-0.4175295491586621	0.6587556862463022	0.5797121076596335	0.7101432268785642	0.8465380945187269
YAL021C	-0.08936230378060667	-1.3878207839533137	-1.1684029050649831	-1.2066996810180068	-1.190886920638963	-0.9871156811822996	-1.219973275786349	-0.24819884620547325	-0.724344649132235	-0.5419373748226183	-0.1497464223219174
YAL022C	-0.19583654134911566										
YAL023C	-0.0671108723401064	-0.9451403606101589	-0.7802182439581112	-0.4814316947610621	-0.6995696599494309	-0.7201055382786199	-0.9788969673641398	0.5355262731513228	-0.4165233917359183	-0.6086560413900893	-0.5034804961564141
YAL024C	0.9783864417188737	0.004725023157890658	0.1792436304588598	0.33833857392998845	0.5446883292742339	0.2806793092566195	-0.26347691650953703	-0.2611874713114727	0.04888907729766168	-0.45356490085765033	-0.13386989936436736
YAL026C	0.0550508176605863	-1.3829808047897691	-1.57611626516722	-1.4902558404285855	-0.8152706912320364	-1.3686404279857856	-1.4654616158583749	-0.5495027335533995	-0.718454078196326	-0.6552678802978762	-0.18147123896543435
YAL027W	0.010118688118231217	-0.3670512525129636	-0.22358627966929812	-0.2809898179520804	-0.34450161462397305	-0.348429986562848	-0.6482009514851295	-0.7856363204287313	-0.9253489432500258	-1.0422728489941502	-0.5546279902880452
YAL028W	-0.0035347403938170764										
YAL029C	0.17457334444564734										
YAL030W	-0.016695768478408583										
YAL031C	0.4430142525794646										
YAL034C	0.14546953723535014										
YAL035W	0.49135667919484216										
YAL036C	0.4050609810798118										
YAL037W	-0.12424800436607719										
YAL039C	0.015225007247971267										
YAL040C	-0.06181042761663725	-0.1932545401430541	-0.39484137175647976	-0.6915227027346914	-0.6971532436845542	-0.7903594678272466	-0.8147704941892278	-0.2565103313535243	-0.5238653576588146	-0.1306571549701918	-0.38908885001723004
YAL042W	-0.1755334522890406	-0.05480252269192243	0.6009956686764966	0.5235677016042961	0.3767460264613324	0.5105531594728658	-0.3785266927008804	-0.6478760410536833	-0.07171706716251468	-1.0647735916852874	-0.25608561275325337
YAL044C	2.411795652928485										
YAL045C	0.318496857088497										
YAL046C	-0.000857782814804598										
YAL047C	1.4803256511152652										
YAL048C	-0.3479880586925463	-0.2997268373001514	-0.2772667887543745	-0.38426570870646154	-0.3791508729442857	-0.35001003639456607	-0.5020058551597314	0.10569196156094468	-0.22828321050700265	-0.1852153746097857	-0.17119649748775942
YAL049C	0.41768558689323604										
YAL051W	2.080321906821979	0.11781516114293851	-0.5467407322946191	-0.7600428649825978	-0.22679948854144125	-0.5347228855480453	0.30234339699844387	0.2540356418532524	-0.13561134461772717	-0.23570815399011089	-0.11159005892214628
YAL053W	0.8504095735343481	-0.4704585794168246	-0.2711794769985236	-0.7375046824702793	-0.5868895609465004	-0.5590542053882863	-1.348653268725279	-0.27282913630564676	-0.090587282879233	-0.5139864500466665	-0.20025582186080185
YAL054C											
