orf	hap ? | growth (pooled culture, barseq) | gradual switch 0.5% glucose to 5% galactose | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018	hap ? | growth (pooled culture, barseq) | galactose [5%] | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018	hap ? | growth (pooled culture, barseq) | glucose [5%] | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018
YAL002W	0.6297612308528843	-3.2773332917222846	-1.0094571093678482
YAL004W	-0.3321663834289442	-0.16569660006906442	-0.4577542630253087
YAL005C	-0.18313328617364058	-0.12339086495234729	-0.3612005821680813
YAL007C	-0.7718393097474056	1.443753729860108	1.0715973867099553
YAL008W	-0.06204736085144934	-0.1410354391411321	-0.021709349031332238
YAL009W			
YAL010C			
YAL011W	0.14831026249446955	1.6556447667997936	-1.635781973021681
YAL012W		-0.287943559932577	-1.3826931184327553
YAL013W	-0.23225746419622473	0.2575367845978098	0.16475749202348908
YAL014C	0.8032670126195818	-0.3119241469008331	-0.31429662176963125
YAL015C	-0.46933810574310336	0.15121816588612266	0.33269365014282853
YAL016C-B			
YAL016W			
YAL017W	-0.4466450527136191	0.6515301720584171	0.44097633505208805
YAL018C	0.030043407967709747	0.285157432701487	-0.08463449229387335
YAL019W	-0.6085974125754372	-0.5684369152537165	-0.2310049809204213
YAL020C	-0.1056273699182172	-0.7580321068890922	-2.5153018501504856
YAL021C			
YAL022C	-0.10378634423348178	0.3331481795172623	0.031146426253524883
YAL023C	-0.03779585644446496	-0.9261657172462118	-0.613671174180774
YAL024C	-0.16993589905921408	-0.6509101306177264	-0.15610752929720806
YAL026C	-0.18914402459981067	-3.874701803121554	-1.4196846057816497
YAL027W	0.24219523374040824	-0.15635044719959676	-0.3199166336696576
YAL028W	-0.25827869676649334	0.19767697204626739	-0.023191564244004016
YAL029C	0.16640929554344694	0.20406546264867434	-0.13484744775736976
YAL030W	-1.0250779523334592	0.5102755481967499	0.5705367899432324
YAL031C	-0.0953312743666286	0.12520563667771117	-0.1066203646326849
YAL034C	-0.3029454213265926	0.22948859314306538	0.025900991465513255
YAL035W			
YAL036C	-0.2299651784822333	-0.2395334350623074	-0.22804803243784738
YAL037C-A			
YAL037W	-0.19129183227723992	-0.10715643046233427	0.08289888320091035
YAL039C	-1.9283016300970062	-0.6913468550854486	0.8278779855282079
YAL040C	-0.2897950758307674	-0.17510653115758557	-0.12395241210322103
YAL042C-A	-1.1959555639238717	0.49140117272168843	0.17724126881505373
YAL042W	-0.38509672200401845	0.20878355349773692	-0.02587165261046827
YAL044C	-0.6579369795133218		-1.2705985107358075
YAL044W-A			
YAL045C	-0.49265015838334847	0.07326793991530803	0.11048277335139067
YAL046C	-0.63310860042347	-0.24423856438042782	0.27061136890825105
YAL047C			
YAL048C	-2.4396376934813255	-1.84530329850598	-1.0856835375457494
YAL049C		3.23324257896052	2.7825089653300368
YAL051W	-0.1562995843591081	-0.06629990680734496	-0.29224242376480225
YAL053W	-0.5882639400990867	-0.7955537736887576	-0.04001769121479004
YAL054C	-0.08993741375503655	0.132830456124395	-0.10891432828490603
YAL055W	0.3405252806953647	-1.181758123316935	-1.5783215560545796
YAL056C-A	0.015787595481780915	0.02228848398849369	-0.7767956384394669
YAL056W	-0.3602119421037119	-0.8696868053999894	-0.2026276660317336
YAL058W	0.11646710175098689	-0.0005269689706193481	-1.1551790406083964
YAL059W	-2.9305766367457693	-3.0890590064300474	-1.1103273912276825
YAL060W	-0.7296043110876484	-0.26668054275745273	0.3071681977330314
YAL061W	-0.05286558393278192	-0.6523152869120071	-0.1891596890782843
YAL062W	-1.1286824952518515	-0.42745345410622365	0.1503421599470638
YAL064C-A	-0.16646332589382967	-0.17522302116223606	0.015467577563186478
YAL065C	-0.1834622052518075	-0.019439620735620285	-0.16878170035687334
YAL066W	-0.616357632463315	-0.22870681332074447	-0.01111717677362477
YAL067C	0.2151858466144867	-0.23962664578303894	-0.06987637430375816
YAL067W-A			
YAL068C	0.5826098832136043	0.9932569112672978	-0.6155928476544293
YAR002C-A	-0.7096240937916563	0.2723447487959078	0.13121909066382748
YAR002W			
YAR003W	-0.5768337818600883	-1.0122923764093656	-0.35283356792288384
YAR014C			
YAR015W	-0.5297172173848845	-0.32074177813844246	-0.49731231084684246
YAR018C			
YAR020C	-0.8118466833092542	0.17807712517852392	0.6515340154002824
YAR023C	-0.2874421878426517	-0.2025399155542539	0.20153982377987623
YAR027W	-0.22463406933334185	0.4851376181756799	0.12726022534357534
YAR028W	-0.21181168414421347	0.3586203953761336	0.015077415423222265
YAR029W	-1.3356084349706105	0.6288372921329173	0.44493925191493244
YAR030C	-0.306495710742661	0.04927446160490612	-0.012945029508362455
YAR031W	-0.46397576783749156	0.00015713782511004882	0.08335934736913587
YAR035C-A			
YAR035W	-0.31262171664383215	0.007142092813643829	0.22830002261612625
YAR042W	-0.608454432327393	0.0692518306086195	0.31495046285883643
YAR047C	-0.8457262566443965	-0.02732973043390733	0.21415494395917622
YAR050W	-0.3638140597180918	0.4906170702883065	0.1764511191914157
YBL001C	0.11731697682595878	-0.475767139571161	-0.7697810629921229
YBL002W	-0.5191703349310006	-2.2788095855048924	-1.6860818319562556
YBL003C	-0.2968822646008495	0.5969997245779654	0.1608438006972972
