orf	hap ? | growth (pooled culture, barseq) | gradual switch 0.5% glucose to 5% galactose | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018	hap ? | growth (pooled culture, barseq) | galactose [5%] | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018	hap ? | growth (pooled culture, barseq) | glucose [5%] | YP (-C) | Perez-Samper G~Verstrepen KJ, 2018
YAL002W	0.5552456750447649	0.1362580575	0.23356475850000002
YAL004W	0.529099887269828	0.169507346	0.243335032
YAL005C	0.5331506990714914	0.1699594025	0.24504493049999998
YAL007C	0.5171493050729644	0.186705073	0.2704187855
YAL008W	0.5364418894469434	0.16977086200000002	0.25105708400000004
YAL009W			
YAL010C			
YAL011W	0.5421595398139606	0.1889692275	0.22247298100000001
YAL012W		0.16820108025000002	0.2269550085
YAL013W	0.5318154735159223	0.17402979200000002	0.254359282
YAL014C	0.559961669554584	0.1679448365	0.24587556700000002
YAL015C	0.5253714749786119	0.172893728	0.25733331449999997
YAL016C-B			
YAL016W			
YAL017W	0.5259882862018943	0.17823979499999998	0.2592509255
YAL018C	0.5389449735271048	0.1743249315	0.24994272350000002
YAL019W	0.5215863208484424	0.16520387800000003	0.247350604
YAL020C	0.535257357834198	0.16317796499999998	0.206897296
YAL021C			
YAL022C	0.5353073980514936	0.174837735	0.251993123
YAL023C	0.5371010603430002	0.161381379	0.240573852
YAL024C	0.5335094122195021	0.16432261325000003	0.24867698575000002
YAL026C	0.5329873234817609	0.1298748965	0.22629991500000002
YAL027W	0.5447113914262932	0.169607214	0.24577604050000001
YAL028W	0.5311082003133202	0.17339016200000001	0.251030835
YAL029C	0.5426514827314985	0.173458426	0.24905348700000002
YAL030W	0.5102661220692086	0.1767304235	0.261545351
YAL031C	0.5355372120822781	0.172615772	0.24955336900000002
YAL034C	0.5298941311010315	0.173730084	0.25190023
YAL035W			
YAL036C	0.5318777792600424	0.168718365	0.24740296950000001
YAL037C-A			
YAL037W	0.5329289447400742	0.170132875	0.252909623
YAL039C	0.4857159436134889	0.16389052799999998	0.26610268449999996
YAL040C	0.5302515656287403	0.1694067965	0.2492464305
YAL042C-A	0.5056215628510323	0.17652874200000002	0.254580361
YAL042W	0.5276612079152774	0.173508841	0.2509833725
YAL044C	0.5202452408888777		0.228940126
YAL044W-A			
YAL045C	0.5247378389628863	0.1720607935	0.2533981145
YAL046C	0.5209200915957717	0.16866808849999998	0.2562338805
YAL047C			
YAL048C	0.47181751300766883	0.1515599655	0.2322148415
YAL049C		0.2058265955	0.30071783900000004
YAL051W	0.5338800556908899	0.170569446	0.24626613149999999
YAL053W	0.5221389972122362	0.1627770285	0.250732856
YAL054C	0.5356838205512985	0.17269724674999998	0.2495127445
YAL055W	0.5473840629469079	0.15865025500000002	0.223490565
YAL056C-A	0.5385574917225673	0.17151605425	0.23768503124999998
YAL056W	0.5283375916310991	0.16198488249999998	0.2478531465
YAL058W	0.5412940230011348	0.1712722605	0.2309841245
YAL059W	0.45847348874797733	0.138269856	0.231778416
YAL060W	0.5182972784705856	0.1684282855	0.25688127650000003
YAL061W	0.5366914558250658	0.16430759849999999	0.24809165500000002
YAL062W	0.5074500864845706	0.166710352	0.2541039965
YAL064C-A	0.5336037989068859	0.16940555175	0.2517154615
YAL065C	0.5331417588474192	0.17107017	0.24845253500000003
YAL066W	0.5213753932700437	0.1688340525	0.251244664
YAL067C	0.5439772595714211	0.168717369	0.2502040795
YAL067W-A			
YAL068C	0.5539640722397562	0.1818913045	0.2405398205
YAR002C-A	0.5188403531399911	0.174188022	0.25376534025
YAR002W			
