orf	hap a | growth (colony size) | sorbic acid [1 mM] | Schuller C~Kuchler K, 2004
YAL016W	-7.456377201805831
YBL079W	-7.456377201805831
YBR036C	-7.456377201805831
YBR096W	-7.456377201805831
YBR127C	-7.456377201805831
YBR132C	-7.456377201805831
YBR133C	-7.456377201805831
YBR173C	-7.456377201805831
YBR267W	-7.456377201805831
YBR282W	-7.456377201805831
YCR081W	-7.456377201805831
YDL005C	-7.456377201805831
YDR007W	-7.456377201805831
YDR017C	-7.456377201805831
YDR027C	-7.456377201805831
YDR069C	-7.456377201805831
YDR173C	-7.456377201805831
YDR364C	-7.456377201805831
YDR484W	-7.456377201805831
YER017C	-7.456377201805831
YER044C	-7.456377201805831
YER083C	-7.456377201805831
YER090W	-7.456377201805831
YER169W	-7.456377201805831
YFL017W-A	-7.456377201805831
YGL026C	-7.456377201805831
YGL070C	-7.456377201805831
YGL148W	-7.456377201805831
YGL173C	-7.456377201805831
YGR063C	-7.456377201805831
YGR064W	-7.456377201805831
YGR076C	-7.456377201805831
YGR104C	-7.456377201805831
YGR112W	-7.456377201805831
YGR135W	-7.456377201805831
YGR159C	-7.456377201805831
YGR162W	-7.456377201805831
YGR222W	-7.456377201805831
YGR229C	-7.456377201805831
YGR240C	-7.456377201805831
YGR271C-A	-7.456377201805831
YHR060W	-7.456377201805831
YIL018W	-7.456377201805831
YJL063C	-7.456377201805831
YJL075C	-7.456377201805831
YJL140W	-7.456377201805831
YJL176C	-7.456377201805831
YJL189W	-7.456377201805831
YKL169C	-7.456377201805831
YKL212W	-7.456377201805831
YLR044C	-7.456377201805831
YLR056W	-7.456377201805831
YLR148W	-7.456377201805831
YLR399C	-7.456377201805831
YLR402W	-7.456377201805831
YML008C	-7.456377201805831
YML061C	-7.456377201805831
YML076C	-7.456377201805831
YMR060C	-7.456377201805831
YMR183C	-7.456377201805831
YMR202W	-7.456377201805831
YMR205C	-7.456377201805831
YMR231W	-7.456377201805831
YNL084C	-7.456377201805831
YNL225C	-7.456377201805831
YNR032W	-7.456377201805831
YNR037C	-7.456377201805831
YOL023W	-7.456377201805831
YOL051W	-7.456377201805831
YOL086C	-7.456377201805831
YOL143C	-7.456377201805831
YOR235W	-7.456377201805831
YOR291W	-7.456377201805831
YPL042C	-7.456377201805831
YPL045W	-7.456377201805831
YPL058C	-7.456377201805831
YPL059W	-7.456377201805831
YPL097W	-7.456377201805831
YPL193W	-7.456377201805831
YPL268W	-7.456377201805831
YPR067W	-7.456377201805831
YPR100W	-7.456377201805831
