ORF	hap alpha | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017	hap a | transport to/from cell surface (GFP-Snc1-Suc2 + Suc2 invertase activity) | standard | YPD | Dalton LE~Conibear E, 2017
YGR016W	-5.146	-5.793
YJR125C	-5.165	-5.063
YDL113C	-5.175	-4.962
YJL036W	-5.483	-4.637
YOR115C	-4.246	-5.190
YPL120W	-3.896	-5.002
YLL040C	-5.559	-3.125
YGL054C	-4.201	-4.085
YBR164C	-3.307	-4.934
YHR108W	-4.080	-4.137
YPR032W	-3.516	-4.683
YKL085W	-3.311	-4.880
YBR171W	-3.573	-4.449
YNR051C	-3.882	-4.005
YML012C-A	-3.926	NaN
YMR207C	-3.430	-4.386
YIL044C	-4.005	-3.618
YBR037C	-4.629	-2.976
YOR070C	-4.492	-2.944
YNR049C	-3.645	-3.598
YPR050C	-3.377	-3.821
YPL205C	-3.601	-3.592
YML097C	-3.001	-4.130
YLR360W	-3.056	-4.057
YPL051W	-2.447	-4.501
YDL107W	-4.201	-2.681
YJL046W	-2.712	-4.162
YER031C	-2.174	-4.611
YOR109W	-3.405	-3.303
YDR153C	-2.909	-3.788
YDR148C	-5.078	-1.514
YDR027C	-4.651	-1.661
YOR327C	-2.087	-4.198
YLR239C	-2.847	-3.377
YHR067W	-3.236	-2.979
YLR204W	-3.782	-2.419
YOR039W	-3.678	-2.495
YPR072W	-3.022	NaN
YEL053C	-2.417	-3.500
YDR126W	-3.182	-2.679
YER028C	-5.652	-0.180
YHR124W	0.122	-5.889
YHR051W	-2.207	-3.448
YGL252C	-3.217	-2.434
YPR051W	-3.817	-1.830
YOL067C	-2.381	-3.257
YNR001C	-2.547	-3.071
YER058W	NaN	-2.794
YDR108W	-3.491	-2.081
YMR257C	-0.898	-4.649
YOR221C	-3.048	-2.471
YFR048W	-2.557	-2.951
YER149C	-0.173	-5.336
YIL039W	-2.496	-3.011
YER137C	-5.276	-0.228
YKL109W	-3.255	-2.229
YMR080C	-2.612	-2.837
YKR020W	-2.168	-3.135
YDR137W	-1.275	-3.905
YDL192W	-2.294	-2.877
YDR114C	-2.559	NaN
YNR042W	-2.762	-2.353
YPL172C	-2.724	-2.380
YOL023W	-2.181	-2.893
YBL015W	-2.645	-2.398
YDL226C	-1.475	-3.552
YGL237C	-3.102	-1.888
YGL005C	-2.177	-2.788
YHR116W	-3.459	-1.498
YLR216C	-2.298	-2.624
YGL101W	NaN	-2.456
YMR183C	-3.124	-1.788
YBL021C	-3.260	-1.638
YER129W	-2.570	-2.255
YJR139C	-4.327	-0.439
YGR006W	-2.383	NaN
YER061C	-0.961	-3.755
YMR256C	-1.731	-2.966
YJR060W	-4.233	-0.458
YIR033W	-2.243	-2.436
YDR079W	-3.318	-1.342
YFL042C	-2.028	-2.226
YOR332W	NaN	-2.225
YCR065W	-1.655	-2.772
YLR218C	-2.819	-1.607
YPL270W	-4.060	-0.338
YHR021C	-0.515	-3.733
YDR358W	-2.160	-2.075
YLR182W	-2.113	NaN
YOL111C	-3.094	-1.103
YPR191W	-4.304	0.117
YJL209W	-2.007	-2.175
YMR162C	-2.533	-1.599
YDL068W	-2.181	-1.945
YLR295C	-2.061	-2.054
YLR315W	-2.638	-1.469
YBL103C	-2.051	-2.048
YCR094W	-0.078	-3.999
YIL161W	NaN	-1.996
YDR508C	0.135	-4.116
YNL225C	NaN	-1.985
YOL110W	-1.701	-2.259
YHR153C	-0.122	-3.830
YML081W	0.842	-4.789
YCR073W-A	-1.867	-2.057
YDR197W	-1.557	-2.352
YNL185C	-1.943	NaN
YML037C	-3.032	-0.846
YAL030W	-2.194	-1.657
YPL157W	-3.389	-0.451
YOR164C	-1.712	-2.122
YDL173W	-1.552	-2.277
YHL031C	-2.355	-1.474
YGR072W	-1.836	-1.988
YDL006W	-0.370	-3.441
YGL019W	-2.961	-0.838
YMR052C-A	-1.841	-1.952
YNL127W	-1.752	-2.021
YLR039C	-0.887	-2.878
YMR274C	-0.970	-2.783
YNR045W	-3.193	-0.555
YKL038W	-2.090	-1.628
YPL050C	0.146	-3.859
YLR203C	-2.507	-1.200
YLR217W	-2.211	-1.472
YDR517W	-1.556	-2.113
YML041C	-1.242	-2.421
YOL012C	-2.585	-1.077
YMR151W	-2.136	-1.518
YBL080C	-2.674	-0.961
YHR168W	-3.759	0.138
YPR134W	-2.780	-0.827
YOR196C	-3.008	-0.593
YER019W	-0.289	-3.307
YMR052W	-1.959	-1.614
YEL024W	-3.543	-0.015
YNL076W	-1.454	-2.084
YER093C-A	-1.799	-1.725
YML071C	-1.230	-2.283
YHR038W	-3.273	-0.213
YGR062C	-1.723	-1.760
YJR005W	-1.942	-1.535
YIL035C	-1.915	-1.551
YMR030W	-1.429	-2.033
YLR144C	0.361	-3.813
YIL098C	-0.388	-3.046
YNR025C	-2.074	-1.354
YJR140C	-1.346	-2.078
YOR358W	-3.094	-0.315
YLR312W-A	NaN	-1.701
YLR361C	-1.064	-2.324
YER027C	-1.392	-1.983
YER151C	-3.211	-0.149
YDR162C	-1.594	-1.761
YLR423C	-4.099	0.748
YGR064W	NaN	-1.674
YDR485C	-1.797	-1.546
YOR219C	-3.127	-0.196
YER083C	NaN	-1.659
YDL191W	-1.838	-1.462
YAL039C	-2.977	-0.321
YDL100C	-1.073	-2.215
YBR044C	-1.259	-2.022
YDR100W	-1.617	-1.632
YNL051W	-1.126	-2.122
YDR456W	-0.546	-2.700
YJL166W	0.063	-3.293
YNR020C	-2.865	-0.358
